,PV
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0371756699737944
34,0.0849729599401016
35,0.1125891719206347
36,0.1370188979034137
37,0.1582621378884392
38,0.1763188918757107
39,0.1943756458629824
40,0.2060594278547465
41,0.2230540198427666
42,0.4280512856982619
43,0.8072431194309647
44,1.0016187652939474
45,1.364878169037885
46,1.56350246289787
47,1.7090186567952925
48,1.827980800711435
49,1.6824646068140123
50,1.887461872669505
51,2.11476454050928
52,2.14981588648457
53,2.0510348205542024
54,1.48915112295028
55,1.0472917312617525
56,0.774316097454176
57,0.6999647575065866
58,0.7243944834893659
59,0.7998079854362069
60,0.8465431134032617
61,0.6468566575440235
62,0.4779728996630716
63,0.3462648117559142
64,0.2952810357918532
65,0.2602296898165609
66,0.2326134778360282
67,0.1880026738674747
68,0.1327702499064086
69,0.0775378259453427
70,0.0350513459752918
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0477972899663071
130,0.087097283938604
131,0.11471349591913721
132,0.1423297078996702
133,0.1614486238861932
134,0.1795053778734644
135,0.19649996986148488
136,0.21243239985025392
137,0.2336756398352792
138,0.46416479367280516
139,0.831672845413744
140,1.015426871284215
141,1.3574430350431248
142,1.567751110894875
143,1.6941483888057751
144,1.8428510687009547
145,1.7015835228005352
146,1.8757780906777426
147,2.105205082516018
148,2.1646861544740874
149,2.060594278547465
150,1.5613781388993675
151,1.082343077237045
152,0.8125539294272212
153,0.7318296174841259
154,0.7392647514788837
155,0.8359214934107513
156,0.857164733395775
157,0.663851249532045
158,0.5013404636465995
159,0.3685702137401907
160,0.32502157177088864
161,0.279348605803084
162,0.2453594218270434
163,0.1996864558592386
164,0.13489457390491139
165,0.0817864739423476
166,0.032927021976789296
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0467351279670558
226,0.08815944593785549
227,0.117899981916891
228,0.1433918698989212
229,0.1625107858854442
230,0.1858783498689722
231,0.1996864558592386
232,0.21668104784725922
233,0.2347378018345307
234,0.4737242516660667
235,0.8199890634219813
236,1.0324214632722326
237,1.37868627502815
238,1.5847457028828975
239,1.71432946679155
240,1.8460375546987076
241,1.693086226806525
242,1.87046728068149
243,2.102018596518265
244,2.17424561246735
245,2.0754645465369825
246,1.5560673289031124
247,1.123767395207845
248,0.8369836554100005
249,0.7445755614751401
250,0.7509485334706487
251,0.8412323034070053
252,0.8784079733808017
253,0.6861566515163204
254,0.510899921639861
255,0.37069453773869354
256,0.3239594097716374
257,0.2835972538000892
258,0.24960806982404837
259,0.2049972658554952
260,0.1433918698989212
261,0.08815944593785549
262,0.0392999939722969
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0732891779483376
322,0.138081059902665
323,0.1688837578809519
324,0.1869405118682237
325,0.207121589853998
326,0.2336756398352792
327,0.2602296898165609
328,0.2729756338075764
329,0.2655404998128174
330,0.4907188436540869
331,0.8263620354174896
332,1.0398565972669924
333,1.382934923025155
334,1.5847457028828975
335,1.7334483827780724
336,1.8683429566829877
337,1.666532176825245
338,1.8332916107076924
339,2.0393510385624403
340,2.1423807524898124
341,2.110515892512275
342,1.5401348989143426
343,1.1407619871958625
344,0.8592890573942785
345,0.7466998854736436
346,0.7360782654811306
347,0.8231755494197344
348,0.857164733395775
349,0.6659755735305461
350,0.506651273642856
351,0.3749431857356982
352,0.33033238176714497
353,0.2857215777985916
354,0.2538567178210535
355,0.2103080758517514
356,0.1465783558966754
357,0.0913459319356095
358,0.0446108039685532
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.06266755795582479
418,0.1062161999251269
419,0.13914322190191653
420,0.16675943388244951
421,0.19756213186073612
422,0.2347378018345307
423,0.2644783378135664
424,0.2835972538000892
425,0.31864859977538096
426,0.5077134356421072
427,0.8762836493822984
428,1.0855295632347999
429,1.3839970850244074
430,1.5921808368776524
431,1.7026456847997848
432,1.812048370722665
433,1.658034880831235
434,1.785494320741385
435,2.001113206589395
