t,ag1,ag2,ag3
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.008559481283628066,0.008559481283628066,0.008559481283628066
35,0.019564528648292764,0.019564528648292764,0.019564528648292764
36,0.025923000458987995,0.025923000458987995,0.025923000458987995
37,0.0315478024453721,0.0315478024453721,0.0315478024453721
38,0.03831070338665551,0.03831070338665551,0.032695397049025
39,0.044546896893298805,0.044546896893298805,0.032695397049025
40,0.04978627951430121,0.04978627951430121,0.034689018820307
41,0.0538214635480115,0.0538214635480115,0.034689018820307
42,0.05135688770176853,0.05135688770176853,0.05135688770176853
43,0.09855631306577496,0.09855631306577496,0.09855631306577496
44,0.35171574888687074,0.1368940043031167,0.0689793132863575
45,0.48597732673577887,0.1368940043031167,0.0689793132863575
46,0.3142552414132036,0.3142552414132036,0.3142552414132036
47,0.3599873271285876,0.3599873271285876,0.3599873271285876
48,0.39349158243878884,0.39349158243878884,0.39349158243878884
49,0.42088192254639856,0.42088192254639856,0.42088192254639856
50,0.3873776672361974,0.3873776672361974,0.3873776672361974
51,0.43457709260020294,0.43457709260020294,0.43457709260020294
52,0.48691220673438673,0.48691220673438673,0.48691220673438673
53,0.4949825748018084,0.4949825748018084,0.4949825748018084
54,0.49444260928179873,0.49444260928179873,0.4278312121809025
55,0.1961530530031252,0.41622602034043427,0.41622602034043427
56,0.1817906391190767,0.27080390382577524,0.27080390382577524
57,0.12424871968213,0.20529829112028722,0.20529829112028722
58,0.1611628047403119,0.1611628047403119,0.1611628047403119
59,0.16678760672669612,0.16678760672669612,0.16678760672669612
60,0.18415112590205596,0.18415112590205596,0.18415112590205596
61,0.19491161665861706,0.19491161665861706,0.19491161665861706
62,0.1489349743351289,0.1489349743351289,0.1489349743351289
63,0.11005047364664697,0.11005047364664697,0.11005047364664697
64,0.09446854704453636,0.09446854704453636,0.0502392686363067
65,0.07686047126107286,0.07686047126107286,0.0502392686363067
66,0.05991636898539664,0.05991636898539664,0.05991636898539664
67,0.05355789717470147,0.05355789717470147,0.05355789717470147
68,0.0432865196343478,0.0432865196343478,0.0432865196343478
69,0.030569576012957463,0.030569576012957463,0.030569576012957463
70,0.017852632391567133,0.017852632391567133,0.017852632391567133
71,0.008070368067420732,0.008070368067420732,0.008070368067420732
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.011005047364664665,0.011005047364664665,0.011005047364664665
131,0.020053641864500066,0.020053641864500066,0.020053641864500066
132,0.026412113675195265,0.026412113675195265,0.026412113675195265
133,0.0327705854858904,0.0327705854858904,0.0327705854858904
134,0.03717260443175634,0.03717260443175634,0.03717260443175634
135,0.041330066769518434,0.041330066769518434,0.041330066769518434
136,0.049024733010150645,0.049024733010150645,0.03767945147723
137,0.05452725669248285,0.05452725669248285,0.03767945147723
138,0.07572598061753599,0.0569732272244185,0.028708153506461
139,0.1039814161498222,0.0569732272244185,0.028708153506461
140,0.1072106526762142,0.0704252392079617,0.0354864675288197
141,0.086389765739382,0.0704252392079617,0.0354864675288197
142,0.1003523693868292,0.4443348149629199,0.392942851119685
143,0.1053346200275485,0.5846191895357735,0.392942851119685
144,0.0932172943951822,0.6519459137435057,0.425040161637325
145,0.098906901608349,0.7489700819338774,0.425040161637325
146,0.0999525591502285,0.7145409787301338,0.3608455206658275
147,0.1009367074249382,0.7161217748532975,0.3608455206658275
