t,ag1,ag2,ag3
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.020375447048652302,0.0035261901618146544,0.0017768066404172415
35,0.04639549374463984,0.008177529299530972,0.004120562900707484
36,0.061100279926787286,0.011083748261530954,0.005584973188645754
37,0.0784153467262147,0.010790733957049183,0.005437326652852426
38,0.09746951443206575,0.007877771164138684,0.003969518226131578
39,0.10870328079357187,0.008701383193225807,0.004384526848824923
40,0.11705290767828126,0.01144278333866675,0.005765886831961395
41,0.12018260466928998,0.014728047575498528,0.007421293671541486
42,0.09993532223173833,0.035996911466081596,0.018138429407485668
43,0.1911876677285494,0.06947408140846378,0.03500719006031172
44,0.41524578528326345,0.09465015659300624,0.04769312460007518
45,0.512697875519307,0.11912636465469936,0.06002640415124658
46,0.21546425472933212,0.483613960578122,0.24368750893215685
47,0.24545090283376453,0.554902230730538,0.27960884782146017
48,0.281171151689359,0.5979855560255767,0.3013180396014309
49,0.30903311254464116,0.6340979804402533,0.31951467465430133
50,0.27549935472413617,0.5895607634186381,0.29707288356581796
51,0.3126094152802277,0.6590394622353672,0.33208240028501396
52,0.4110417027773726,0.6979872002140042,0.35170771721178345
53,0.4149139631527167,0.7115113703539878,0.3585223908987207
54,0.457055714017902,0.6381195961832578,0.3215411205433401
55,0.13697084970100482,0.5928858749729207,0.2987483690100681
56,0.07531599916465856,0.43093783308168654,0.21714461452428213
57,0.03935606032389297,0.32947206158513703,0.1660171800136744
58,0.09001428326523007,0.2616378363495582,0.13183629460614743
59,0.14002605684682795,0.23960337846538166,0.12073338486787878
60,0.16569132529340858,0.25717468726496817,0.12958736514779115
61,0.1599182669999342,0.28247877781765446,0.14233780515826258
62,0.09849968235347967,0.23160310267928574,0.1167021379726213
63,0.07182264480635729,0.1717738899130544,0.08655488622052926
64,0.16193363228446803,0.0513620064861831,0.025880723954728305
65,0.13556720754061793,0.04547744331896653,0.022915560298867956
66,0.10256800014004132,0.05132103029338536,0.025860076522763217
67,0.09597317133111441,0.043022152619965864,0.02167836757302415
68,0.08503546117930906,0.02980546628636994,0.015018631437364403
69,0.06318390415310896,0.01896737959772883,0.009557444288034607
70,0.027629250336787297,0.01724107005882769,0.008687576779086418
71,0.011890396619392844,0.00819256723802363,0.0041281403448457255
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.013739292841009797,0.012817339427375906,0.006458509825608295
131,0.027938646980356117,0.021425975929138568,0.010796302684005518
132,0.037231165124448,0.027931044187231444,0.014074131713906361
133,0.04253945208090872,0.03708539875270177,0.018686905624060706
134,0.051057427556035484,0.040202705248375006,0.020257680490858514
135,0.05334581146138599,0.04697448598035265,0.023669902866816656
136,0.060240641135027924,0.050195394673776574,0.0252928816887268
137,0.07216811174972936,0.04958203586731063,0.024983817245155714
138,0.09031204298023911,0.04727432837135269,0.023820989996823708
139,0.1039814161498222,0.0569732272244185,0.028708153506461
140,0.1072106526762142,0.0704252392079617,0.0354864675288197
141,0.086389765739382,0.0704252392079617,0.0354864675288197
142,0.07390793600102855,0.5743258921833692,0.28939620728503646
143,0.08924703894571165,0.6607202778222008,0.3329293439150946
144,0.08010352135168061,0.7248541728880027,0.36524567553632975
145,0.0920682247933865,0.7851971255013145,0.3956517948848503
146,0.09981830649285502,0.7151599060217795,0.3603608460315553
147,0.1009367074249382,0.7161217748532975,0.3608455206658275
