t,ag1,ag2,ag3
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.014645956684348304,0.007335974196818702,0.0036965129697171945
35,0.03347647242136763,0.01676794102129993,0.00844917250221075
36,0.044356325958312244,0.022217521853222476,0.01119515356542928
37,0.05398081177945532,0.027038304896846145,0.013624290659814839
38,0.0623499298847973,0.031230290152171165,0.015736583785367547
39,0.0694636802743379,0.03479347761919739,0.017532032942087324
40,0.07657743066387862,0.03835666508622367,0.019327482098807133
41,0.08118044562181656,0.040662256976652364,0.020489243317861085
42,0.08787574010609005,0.04401584518091233,0.022179077818303226
43,0.1686377298226397,0.08446850289479853,0.04256270647988672
44,0.3517157488868706,0.1368940043031167,0.0689793132863575
45,0.48597732673577876,0.1368940043031167,0.0689793132863575
46,0.5377158382682193,0.26933505265463104,0.13571483331676062
47,0.591350094566335,0.3248990132378016,0.16371287358162623
48,0.585629732719585,0.395537979090024,0.19930703550675755
49,0.60700420306094,0.43596421437018107,0.21967735020807472
50,0.6058662816183075,0.3698856154131038,0.18638110467718086
51,0.61500040779296,0.45796671363951863,0.23076415636813044
52,0.59833139639006,0.5734502450439787,0.28895497876912146
53,0.59248801600897,0.5934347616877815,0.2990249467086735
54,0.608142124503575,0.5376557576958871,0.2709185485450378
55,0.1961530530031252,0.5535330880825686,0.2789189525982997
56,0.1817906391190767,0.36013827541798793,0.18146953223356266
57,0.12424871968213,0.273023289050839,0.13757329318973538
58,0.2757624415710162,0.13812591416295836,0.06960005848696114
59,0.28538692739215954,0.14294669720658212,0.07202919558134677
60,0.3150972966661233,0.15782824486298583,0.0795278361770588
61,0.33350935649787566,0.16705061242470087,0.08417488105327477
62,0.2548396463076614,0.1276459510246459,0.06431932567307942
63,0.18830515737019318,0.09431966824481224,0.047526595324935535
64,0.13641662511707328,0.0683293596617973,0.034430377946508856
65,0.1163307416642527,0.058268595049017345,0.029360874445182403
66,0.10252169679043843,0.05135181937773107,0.02587559078802044
67,0.09164184325349391,0.04590223854580857,0.023129609724801936
68,0.07406669523227596,0.03709906950962614,0.01869379416114131
69,0.05230698815838695,0.02619990784578115,0.013201832034704304
70,0.030547281084497932,0.01530074618193617,0.007709869908267302
71,0.013809044873814088,0.006916775671286192,0.0034852836571619195
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.018830515737019264,0.009431966824481197,0.00475265953249354
131,0.034313384231901785,0.01718713954683241,0.008660401814766011
132,0.04519323776884635,0.02263672037875493,0.011406382877984525
133,0.05607309130579081,0.028086301210677397,0.014152363941203012
134,0.06360529760059863,0.03185908794046993,0.016053427754200458
135,0.07071904799013905,0.03542227540749607,0.017848876910920193
136,0.07741434247441277,0.03877586361175615,0.019538711411362392
137,0.08369118105341904,0.04191985255324981,0.021122931255526868
138,0.09206029915876107,0.04611183780857485,0.023235224381079587
139,0.1039814161498222,0.0569732272244185,0.028708153506461
140,0.1072106526762142,0.0704252392079617,0.0354864675288197
141,0.086389765739382,0.0704252392079617,0.0354864675288197
142,0.1003523693868292,0.5567418535129088,0.28053581256969606
143,0.1053346200275485,0.6500229547323032,0.3275390859231554
144,0.0932172943951822,0.7161342623893194,0.3608518129915114
145,0.098906901608349,0.7806497957924596,0.39336044777874263
146,0.0999525591502285,0.7150706356681891,0.3603158637277721
147,0.1009367074249382,0.7161217748532975,0.3608455206658275
