case,house,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,Cost_total_EUR,E_min_kWh,E_max_kWh,E_end_kWh,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,Simul_frac_of_import
case_01_1house_baseline,1,385.3045770633064,0.0,0.0,1.4250000000000007,96.3261442658266,0.5,1.7947368421052632,0.5,,,,
case_01_1house_baseline,_COMMUNITY,385.3045770633064,0.0,0.0,1.4250000000000007,96.3261442658266,0.5,1.7947368421052632,0.5,0.0,385.3045770633064,0.0,0.0
case_02_1house_bigbattery,1,383.40457706330636,0.0,0.0,3.325,95.85114426582659,0.5,3.220000000000001,0.5,,,,
case_02_1house_bigbattery,_COMMUNITY,383.40457706330636,0.0,0.0,3.325,95.85114426582659,0.5,3.220000000000001,0.5,0.0,383.40457706330636,0.0,0.0
case_03_2houses_baseline,A,385.3045770633064,0.0,0.0,1.4250000000000007,96.3261442658266,0.5,1.7947368421052632,0.5,,,,
case_03_2houses_baseline,B,385.96957706330636,0.0,0.0,0.76,96.49239426582659,0.2,0.22,0.2,,,,
case_03_2houses_baseline,_COMMUNITY,771.2741541266128,0.0,0.0,2.1850000000000005,192.8185385316532,0.7,2.0147368421052634,0.7,0.0,771.2741541266128,0.0,0.0
case_04_2houses_bigB,A,385.3045770633064,0.0,0.0,1.4250000000000007,96.3261442658266,0.5,1.7947368421052632,0.5,,,,
case_04_2houses_bigB,B,384.0695770633064,0.0,0.0,2.6599999999999993,96.0173942658266,0.2,2.22,0.2,,,,
case_04_2houses_bigB,_COMMUNITY,769.3741541266127,0.0,0.0,4.085,192.34353853165317,0.7,4.014736842105263,0.7,0.0,769.3741541266127,0.0,0.0
case_05_2houses_sharedPV_equal,A,393.90603853165317,0.0,0.0,1.425,98.47650963291329,0.5,1.8560526315789476,0.5,,,,
case_05_2houses_sharedPV_equal,B,394.57103853165313,0.0,0.0,0.76,98.64275963291328,0.2,0.22,0.2,,,,
case_05_2houses_sharedPV_equal,_COMMUNITY,788.4770770633063,0.0,0.0,2.185,197.11926926582657,0.7,2.0760526315789476,0.7,0.0,788.4770770633063,0.0,0.0
case_06_2houses_sharedPV_weighted_70_30,A,390.46545394431445,0.0,0.0,1.425,97.61636348607861,0.5,1.8560526315789476,0.5,,,,
case_06_2houses_sharedPV_weighted_70_30,B,398.0116231189919,0.0,0.0,0.76,99.50290577974798,0.2,0.22,0.2,,,,
case_06_2houses_sharedPV_weighted_70_30,_COMMUNITY,788.4770770633063,0.0,0.0,2.185,197.11926926582657,0.7,2.0760526315789476,0.7,0.0,788.4770770633063,0.0,0.0
case_07_2houses_sharedPV_unnormalized_normalize,A,391.0388847088709,0.0,0.0,1.425,97.75972117721773,0.5,1.8560526315789476,0.5,,,,
case_07_2houses_sharedPV_unnormalized_normalize,B,397.43819235443544,0.0,0.0,0.76,99.35954808860886,0.2,0.22,0.2,,,,
case_07_2houses_sharedPV_unnormalized_normalize,_COMMUNITY,788.4770770633063,0.0,0.0,2.185,197.11926926582657,0.7,2.0760526315789476,0.7,0.0,788.4770770633063,0.0,0.0
case_08_2houses_sharedPV_equal_high_price,A,393.90603853165317,0.0,0.0,1.4250000000000003,157.56241541266127,0.5,1.2200000000000002,0.5,,,,
case_08_2houses_sharedPV_equal_high_price,B,394.57103853165313,0.0,0.0,0.76,157.8284154126613,0.2,0.22,0.2,,,,
case_08_2houses_sharedPV_equal_high_price,_COMMUNITY,788.4770770633063,0.0,0.0,2.1850000000000005,315.39083082532255,0.7,1.4400000000000002,0.7,0.0,788.4770770633063,0.0,0.0
