t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,1.9024691042666917,0.0,0.0,0.0,0.0,1.9024691042666912,0.0,9.499350235719291,0.25,0.05,0.0
2,1.819678693799812,0.0,0.0,0.0,0.0,1.819678693799812,0.0,9.020487421561445,0.25,0.05,0.0
3,1.8679782457026524,0.0,0.0,0.0,0.0,1.8679782457026521,0.0,8.528914199008117,0.25,0.05,0.0
4,1.7453724735375722,0.0,0.0,0.0,0.0,1.7453724735375722,0.0,8.069605653340336,0.25,0.05,0.0
5,1.5763362890401542,0.0,0.0,0.0,0.0,1.5763362890401544,0.0,7.654780314119241,0.25,0.05,0.0
6,1.7203281955141667,0.0,0.0,0.0,0.0,1.7203281955141665,0.0,7.202062367931303,0.25,0.05,0.0
7,1.589252406296128,0.0,0.0,0.0,0.0,1.5892524062961275,0.0,6.7838380504849525,0.25,0.05,0.0
8,1.6843735271964757,0.0,0.0,0.0,0.0,1.6843735271964757,0.0,6.340581859117459,0.25,0.05,0.0
9,1.7377721876462013,0.0,0.0,0.0,0.0,1.7377721876462013,0.0,5.883273388684248,0.25,0.05,0.0
10,1.8104917683392987,0.0,0.0,0.0,0.0,1.8104917683392987,0.0,5.406828186489696,0.25,0.05,0.0
11,1.4148470559652522,0.0,0.0,0.0,0.0,1.4148470559652522,0.0,5.0345000138672615,0.25,0.05,0.0
12,1.5637196286726172,0.0,0.0,0.0,0.0,1.5637196286726172,0.0,4.6229948484270995,0.25,0.05,0.0
13,1.595724826938108,0.0,0.0,0.0,0.0,1.595724826938108,0.0,4.203067262390755,0.25,0.05,0.0
14,1.3897742797479704,0.0,0.6285,0.0,0.0,0.7612742797479705,0.0,4.002731925614974,0.25,0.05,0.0
15,1.44783752130347,0.0,0.743,0.0,0.0,0.7048375213034699,0.0,3.8172483673772177,0.25,0.05,0.0
16,1.4282934260688998,0.0,0.744,0.0,0.0,0.6842934260688999,0.0,3.6371711499906656,0.25,0.05,0.0
17,1.414824857661559,0.0,1.3035580646290974,0.0,0.0,0.11126679303246151,0.0,3.6078904149821227,0.25,0.05,0.0
18,1.3242382866627764,0.0,1.2129714936303149,0.0,0.0,0.11126679303246151,0.0,3.57860967997358,0.25,0.05,0.0
19,1.354896022762024,0.0,1.2436292297295624,0.0,0.0,0.11126679303246151,0.0,3.5493289449650374,0.25,0.05,0.0
20,1.347566150645259,0.0,1.2362993576127974,0.0,0.0,0.11126679303246151,0.0,3.520048209956495,0.25,0.05,0.0
21,1.2482142828650333,0.0,1.1619378925457449,0.0,0.0,0.08627639031928841,0.0,3.497343896714577,0.25,0.05,0.0
22,1.3782574292826084,0.0,1.29198103896332,0.0,0.0,0.08627639031928841,0.0,3.4746395834726593,0.25,0.05,0.0
23,1.3237249239832598,0.0,1.2261433514842026,0.0,0.0,0.09758157249905719,0.0,3.4489602222886964,0.25,0.05,0.0
24,1.4891887546113347,0.0,1.3916071821122775,0.0,0.0,0.09758157249905719,0.0,3.4232808611047347,0.25,0.05,0.0
25,1.2856098031971714,0.0,1.2237288060026474,0.0,0.0,0.0618809971945241,0.0,3.406996388158807,0.25,0.05,0.0
26,1.178530822734354,0.0,1.11664982553983,0.0,0.0,0.0618809971945241,0.0,3.3907119152128793,0.25,0.05,0.0
27,1.560936409946258,0.0,1.3610131882408725,0.0,0.0,0.19992322170538548,0.0,3.338100541079884,0.25,0.05,0.0
28,1.388848276640168,0.0,1.1889250549347825,0.0,0.0,0.19992322170538548,0.0,3.2854891669468875,0.25,0.05,0.0
29,1.3220868535245693,0.0,1.22034021390665,0.0,0.0,0.10174663961791951,0.0,3.258713735468488,0.25,0.05,0.0
