t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,1.9024691042666917,0.0,0.0,0.0,0.0,1.9024691042666917,0.0,9.499350235719291,0.25,0.0,0.0
2,1.819678693799812,0.0,0.0,0.0,0.0,1.819678693799812,0.0,9.020487421561446,0.25,0.0,0.0
3,1.8679782457026524,0.0,0.4419999999999986,0.0,0.0,1.4259782457026535,0.0,8.645229988481802,0.25,0.0,0.0
4,1.7453724735375722,0.0,0.0,0.0,0.0,1.7453724735375722,0.0,8.185921442814019,0.25,0.0,0.0
5,1.5763362890401542,0.0,0.0,0.0,0.0,1.5763362890401542,0.0,7.771096103592926,0.25,0.0,0.0
6,1.7203281955141667,0.0,0.0,0.0,0.0,1.7203281955141667,0.0,7.318378157404988,0.25,0.0,0.0
7,1.589252406296128,0.0,0.0,0.0,0.0,1.589252406296128,0.0,6.900153839958637,0.25,0.0,0.0
8,1.6843735271964757,0.0,0.0,0.0,0.0,1.6843735271964757,0.0,6.456897648591143,0.25,0.0,0.0
9,1.7377721876462013,0.0,0.0,0.0,0.0,1.7377721876462013,0.0,5.999589178157933,0.25,0.0,0.0
10,1.8104917683392987,0.0,0.0,0.0,0.0,1.8104917683392987,0.0,5.5231439759633805,0.25,0.0,0.0
11,1.4148470559652522,0.0,0.0,0.0,0.0,1.4148470559652522,0.0,5.1508158033409455,0.25,0.0,0.0
12,1.5637196286726172,0.0,0.76175,0.0,0.0,0.8019696286726171,0.0,4.939771164216573,0.25,0.0,0.0
13,1.595724826938108,0.0,0.8275,0.0,0.0,0.7682248269381079,0.0,4.737606736074966,0.25,0.0,0.0
14,1.3897742797479704,0.0,0.0,0.0,0.0,1.3897742797479704,0.0,4.371876662457079,0.25,0.0,0.0
15,1.44783752130347,0.0,0.0,0.0,0.0,1.44783752130347,0.0,3.990866788429849,0.25,0.0,0.0
16,1.4282934260688998,0.0,0.0,0.0,0.0,1.4282934260688998,0.0,3.6150000973590863,0.25,0.0,0.0
17,1.414824857661559,0.0,1.2126614181614184,0.0,0.0,0.20216343950014062,0.0,3.56179919222747,0.25,0.0,0.0
18,1.3242382866627764,0.0,1.2129714936303149,0.0,0.0,0.11126679303246151,0.0,3.532518457218927,0.25,0.0,0.0
19,1.354896022762024,0.0,1.2436292297295624,0.0,0.0,0.11126679303246151,0.0,3.503237722210385,0.25,0.0,0.0
20,1.347566150645259,0.0,1.2362993576127974,0.0,0.0,0.11126679303246151,0.0,3.4739569872018428,0.25,0.0,0.0
21,1.2482142828650333,0.0,1.1619378925457449,0.0,0.0,0.08627639031928841,0.0,3.4512526739599245,0.25,0.0,0.0
22,1.3782574292826084,0.0,1.29198103896332,0.0,0.0,0.08627639031928841,0.0,3.4285483607180067,0.25,0.0,0.0
23,1.3237249239832598,0.0,1.2261433514842026,0.0,0.0,0.09758157249905719,0.0,3.402868999534044,0.25,0.0,0.0
24,1.4891887546113347,0.0,1.3916071821122775,0.0,0.0,0.09758157249905719,0.0,3.377189638350082,0.25,0.0,0.0
25,1.2856098031971714,0.0,1.2237288060026474,0.0,0.0,0.0618809971945241,0.0,3.360905165404155,0.25,0.0,0.0
26,1.178530822734354,0.0,1.11664982553983,0.0,0.0,0.0618809971945241,0.0,3.3446206924582276,0.25,0.0,0.0
27,1.560936409946258,0.0,1.3610131882408725,0.0,0.0,0.19992322170538548,0.0,3.2920093183252312,0.25,0.0,0.0
28,1.388848276640168,0.0,1.1889250549347825,0.0,0.0,0.19992322170538548,0.0,3.239397944192235,0.25,0.0,0.0
29,1.3220868535245693,0.0,1.22034021390665,0.0,0.0,0.10174663961791951,0.0,3.2126225127138355,0.25,0.0,0.0
30,1.2843839628734668,0.0,1.1826373232555474,0.0,0.0,0.10174663961791951,0.0,3.1858470812354356,0.25,0.0,0.0
31,1.4262771224807764,0.0,1.3281005403933102,0.0,0.0,0.0981765820874662,0.0,3.160011138580839,0.25,0.0,0.0
