t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.870920274602229,0.27,0.06
2,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.741840549204458,0.27,0.06
3,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.631540865821527,0.27,0.06
4,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.521241182438595,0.27,0.06
5,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.444930730026183,0.27,0.06
6,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.368620277613771,0.27,0.06
7,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.285300372900045,0.27,0.06
8,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.20198046818632,0.27,0.06
9,0.3412412986386575,0.0,0.0,0.0,0.0,0.34124129863865704,0.0,4.112180126439305,0.27,0.06
10,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.02237978469229,0.27,0.06
11,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.979926309433391,0.27,0.06
12,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.937472834174493,0.27,0.06
13,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.900441765412838,0.27,0.06
14,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.863410696651182,0.27,0.06
15,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.8366954256159875,0.27,0.06
16,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.809980154580793,0.27,0.06
17,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.785248690800687,0.27,0.06
18,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7605172270205816,0.27,0.06
19,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7357857632404756,0.27,0.06
20,0.093979562364402,0.0,0.0,0.0,0.0,0.09397956236440311,0.0,3.7110542994603697,0.27,0.06
21,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.691877495994513,0.27,0.06
22,0.07287185317025825,0.0,0.0,-1.3877787807814457e-17,0.0,0.07287185317025824,0.0,3.6727006925286556,0.27,0.06
23,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.6510110665396858,0.27,0.06
24,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.629321440550716,0.27,0.06
25,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.6155670435821006,0.27,0.06
26,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.6018126466134857,0.27,0.06
27,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.557375364099499,0.27,0.06
28,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.512938081585512,0.27,0.06
29,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904425,0.0,3.490322678877501,0.27,0.06
30,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904425,0.0,3.46770727616949,0.27,0.06
31,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.445885396363514,0.27,0.06
32,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.4240635165575384,0.27,0.06
33,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.395496692084261,0.27,0.06
34,0.1085539329984535,0.0,0.0,0.0,0.0,0.10855393299845373,0.0,3.366929867610984,0.27,0.06
35,0.1256411261556175,0.006499907026201535,0.0,0.0,0.0,0.11914121912941597,0.0,3.3355769152085055,0.27,0.06
36,0.1256411261556175,0.07332467050237854,0.0,0.0,0.0,0.052316455653240626,0.0,3.3218094268787057,0.27,0.06
37,0.12815394867873,0.09943080254144851,0.0,0.0,0.0,0.028723146137281497,0.0,3.314250704211,0.27,0.06
38,0.12815394867873,0.12815394867873,0.0,0.0,0.0,0.0,0.0,3.314250704211,0.27,0.06
39,0.08242057875808526,0.08242057875808526,0.0,0.0,0.0,0.0,0.0,3.314250704211,0.27,0.06
40,0.08242057875808526,0.08242057875808526,0.0,0.0,0.0,0.0,0.0,3.314250704211,0.27,0.06
41,0.08744622380430975,0.08744622380430908,0.0,0.0,0.0,0.0,0.0,3.314250704211,0.27,0.06
42,0.08744622380430975,0.0,0.0,0.0,0.0,0.08744622380430975,0.0,3.2912385400519706,0.27,0.06
43,0.273395090514625,0.0,0.0,0.0,0.0,0.273395090514625,0.0,3.2192924636007536,0.27,0.06
44,0.273395090514625,0.05659744668524577,0.0,0.0,0.0,0.21679764382937924,0.0,3.1622404520667065,0.27,0.06
45,0.17388731859937476,0.17388731859937476,0.0,0.0,0.0,0.0,0.0,3.1622404520667065,0.27,0.06
46,0.17388731859937476,0.17388731859937476,0.0,0.0,0.0,0.0,0.0,3.1622404520667065,0.27,0.06
47,1.6981654108628774,1.5122094739369074,0.0,0.0,0.0,0.18595593692597673,0.0,3.1133046791914514,0.27,0.06
48,1.6981654108628774,0.4381032871749515,0.0,0.0,0.0,1.260062123687926,0.0,2.7817093834841025,0.27,0.06
49,1.582073060551535,0.7625011109795431,0.0,0.0,0.0,0.8195719495719919,0.0,2.5660325546493676,0.27,0.06
50,1.582073060551535,1.5778601172516886,0.0,0.0,0.0,0.004212943299846228,0.0,2.5649238853599345,0.27,0.06
51,1.646903881647835,1.646903881647835,0.0,0.0,0.0,0.0,0.0,2.5649238853599345,0.27,0.06
52,1.646903881647835,0.18886120415063778,1.4580426774971973,0.0,0.0,0.0,0.0,2.5649238853599345,0.27,0.06
53,1.290585698126955,1.290585698126955,0.0,0.0,0.0,0.0,0.0,2.5649238853599345,0.27,0.06
54,1.290585698126955,1.290585698126955,0.0,0.0,0.0,0.0,0.0,2.5649238853599345,0.27,0.06
55,1.07850337666337,1.07850337666337,0.0,0.0,0.0,0.0,0.0,2.5649238853599345,0.27,0.06
56,1.07850337666337,1.1865745356802548,0.0,0.0,0.1080711590168848,0.0,0.0,2.5905907856264445,0.27,0.06
57,1.321242032396025,1.1060031370398513,-0.0,0.0,0.0,0.21523889535615315,0.0,2.533948971059036,0.27,0.06
58,1.321242032396025,1.3212420323960248,-0.0,0.0,0.0,0.0,0.0,2.533948971059036,0.27,0.06
59,1.2152009721771324,0.6776712347068825,0.0,0.0,0.0,0.5375297374702499,0.0,2.3924937769879175,0.27,0.06
60,1.2152009721771324,0.0,1.2152009721771324,0.0,0.0,0.0,0.0,2.3924937769879175,0.27,0.06
61,1.21469845792896,0.0,1.21469845792896,0.0,0.0,0.0,0.0,2.3924937769879175,0.27,0.06
62,1.21469845792896,0.0,1.21469845792896,0.0,0.0,0.0,0.0,2.3924937769879175,0.27,0.06
63,0.90964170311022,0.0,0.90964170311022,0.0,0.0,0.0,0.0,2.3924937769879175,0.27,0.06
64,0.90964170311022,0.0,0.90964170311022,0.0,0.0,0.0,0.0,2.3924937769879175,0.27,0.06
65,0.1266462551648625,0.1266462551648625,0.0,0.0,0.0,0.0,0.0,2.3924937769879175,0.27,0.06
66,0.1266462551648625,0.0,0.0,0.0,0.0,0.1266462551648625,0.0,2.3591658151024273,0.27,0.06
67,0.20152836635361074,0.021849344020102454,0.0,0.0,0.0,0.1796790223335083,0.0,2.3118818618567674,0.27,0.06
68,0.20152836635361074,0.030534005100936942,-0.0,0.0,0.0,0.17099436125267375,0.0,2.2668833457376425,0.27,0.06
69,0.16584628652541525,0.1658462865254151,-0.0,0.0,0.0,0.0,0.0,2.2668833457376425,0.27,0.06
70,0.16584628652541525,0.1658462865254151,-0.0,0.0,0.0,0.0,0.0,2.2668833457376425,0.27,0.06
71,0.2904822836717875,0.0,0.2904822836717875,0.0,0.0,0.0,0.0,2.2668833457376425,0.27,0.06
72,0.2904822836717875,-0.0,0.2904822836717875,0.0,0.0,0.0,0.0,2.2668833457376425,0.27,0.06
73,0.34375412116177,0.0,0.34375412116177,0.0,0.0,0.0,0.0,2.2668833457376425,0.27,0.06
74,0.34375412116177,0.0,0.34375412116177,0.0,0.0,0.0,0.0,2.2668833457376425,0.27,0.06
