t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y
1,0.741,0.0,0.25,0.05,0.0,0.0,0.0,0.740999999999999,3.220000000000001,0,0
2,0.646,0.0,0.25,0.05,0.646,0.0,0.0,0.0,3.2200000000000006,0,1
3,0.76775,0.0,0.25,0.05,0.0,0.0,0.0,0.7677499999999996,2.411842105263159,0,0
4,0.6735,0.0,0.25,0.05,0.0,0.0,0.0,0.6735000000000011,1.7028947368421061,0,0
5,0.64225,0.0,0.25,0.05,0.0,0.0,0.0,0.64225,1.0268421052631584,0,1
6,0.7935,0.0,0.25,0.05,0.2929999999999995,0.0,0.0,0.5005000000000006,0.5,0,1
7,0.6395,0.0,0.25,0.05,0.6395,0.0,0.0,0.0,0.5,0,1
8,0.7305,0.0,0.25,0.05,0.7305,0.0,0.0,0.0,0.5,0,1
9,0.7485,0.0,0.25,0.05,0.7485,0.0,0.0,0.0,0.5,0,1
10,0.80575,0.0,0.25,0.05,0.80575,0.0,0.0,0.0,0.5,0,1
11,0.63825,0.0,0.25,0.05,0.63825,0.0,0.0,0.0,0.5,0,1
12,0.76175,0.0,0.25,0.05,0.76175,0.0,0.0,0.0,0.5,0,1
13,0.8275,0.0,0.25,0.05,0.8275,0.0,0.0,0.0,0.5,0,1
14,0.6285,0.0,0.25,0.05,0.6285,0.0,0.0,0.0,0.5,0,1
15,0.743,0.0,0.25,0.05,0.743,0.0,0.0,0.0,0.5,0,1
16,0.744,0.0,0.25,0.05,0.744,0.0,0.0,0.0,0.5,0,1
17,0.729,0.0,0.25,0.05,0.729,0.0,0.0,0.0,0.5,0,1
18,0.6505,0.0,0.25,0.05,0.6505,0.0,0.0,0.0,0.5,0,1
19,0.68125,0.0,0.25,0.05,0.68125,0.0,0.0,0.0,0.5,0,1
20,0.6515,0.0,0.25,0.05,0.6515,0.0,0.0,0.0,0.5,0,1
21,0.5935,0.0,0.25,0.05,0.5935,0.0,0.0,0.0,0.5,0,1
22,0.701,0.0,0.25,0.05,0.701,0.0,0.0,0.0,0.5,0,1
23,0.653,0.0,0.25,0.05,0.653,0.0,0.0,0.0,0.5,0,1
24,0.8395,0.0,0.25,0.05,0.8395,0.0,0.0,0.0,0.5,0,1
25,0.64425,0.0,0.25,0.05,0.64425,0.0,0.0,0.0,0.5,0,1
26,0.56525,0.0,0.25,0.05,0.56525,0.0,0.0,0.0,0.5,0,1
27,0.79725,0.0,0.25,0.05,0.79725,0.0,0.0,0.0,0.5,0,1
28,0.61775,0.0,0.25,0.05,0.61775,0.0,0.0,0.0,0.5,0,1
29,0.673,0.0,0.25,0.05,0.673,0.0,0.0,0.0,0.5,0,1
