t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y
1,0.741,0.0,0.25,0.05,0.0,0.0,0.0,0.741,0.22000000000000008,0,0
2,0.646,0.0,0.25,0.05,0.627,0.0,0.0,0.019000000000000017,0.2,0,1
3,0.76775,0.0,0.25,0.05,0.76775,0.0,0.0,0.0,0.2,0,1
4,0.6735,0.0,0.25,0.05,0.6735,0.0,0.0,0.0,0.2,0,1
5,0.64225,0.0,0.25,0.05,0.64225,0.0,0.0,0.0,0.2,0,1
6,0.7935,0.0,0.25,0.05,0.7935,0.0,0.0,0.0,0.2,0,1
7,0.6395,0.0,0.25,0.05,0.6395,0.0,0.0,0.0,0.2,0,1
8,0.7305,0.0,0.25,0.05,0.7305,0.0,0.0,0.0,0.2,0,1
9,0.7485,0.0,0.25,0.05,0.7485,0.0,0.0,0.0,0.2,0,1
10,0.80575,0.0,0.25,0.05,0.80575,0.0,0.0,0.0,0.2,0,1
11,0.63825,0.0,0.25,0.05,0.63825,0.0,0.0,0.0,0.2,0,1
12,0.76175,0.0,0.25,0.05,0.76175,0.0,0.0,0.0,0.2,0,1
13,0.8275,0.0,0.25,0.05,0.8275,0.0,0.0,0.0,0.2,0,1
14,0.6285,0.0,0.25,0.05,0.6285,0.0,0.0,0.0,0.2,0,1
15,0.743,0.0,0.25,0.05,0.743,0.0,0.0,0.0,0.2,0,1
16,0.744,0.0,0.25,0.05,0.744,0.0,0.0,0.0,0.2,0,1
17,0.729,0.0,0.25,0.05,0.729,0.0,0.0,0.0,0.2,0,1
18,0.6505,0.0,0.25,0.05,0.6505,0.0,0.0,0.0,0.2,0,1
19,0.68125,0.0,0.25,0.05,0.68125,0.0,0.0,0.0,0.2,0,1
20,0.6515,0.0,0.25,0.05,0.6515,0.0,0.0,0.0,0.2,0,1
21,0.5935,0.0,0.25,0.05,0.5935,0.0,0.0,0.0,0.2,0,1
22,0.701,0.0,0.25,0.05,0.701,0.0,0.0,0.0,0.2,0,1
23,0.653,0.0,0.25,0.05,0.653,0.0,0.0,0.0,0.2,0,1
24,0.8395,0.0,0.25,0.05,0.8395,0.0,0.0,0.0,0.2,0,1
25,0.64425,0.0,0.25,0.05,0.64425,0.0,0.0,0.0,0.2,0,1
26,0.56525,0.0,0.25,0.05,0.56525,0.0,0.0,0.0,0.2,0,1
27,0.79725,0.0,0.25,0.05,0.79725,0.0,0.0,0.0,0.2,0,1
28,0.61775,0.0,0.25,0.05,0.61775,0.0,0.0,0.0,0.2,0,1
29,0.673,0.0,0.25,0.05,0.673,0.0,0.0,0.0,0.2,0,1
30,0.613,0.0,0.25,0.05,0.613,0.0,0.0,0.0,0.2,0,1
31,0.762,0.0,0.25,0.05,0.762,0.0,0.0,0.0,0.2,0,1
32,0.627,0.0,0.25,0.05,0.627,0.0,0.0,0.0,0.2,0,1
33,0.653,0.0,0.25,0.05,0.653,0.0,0.0,0.0,0.2,0,1
34,0.68425,0.0,0.25,0.05,0.68425,0.0,0.0,0.0,0.2,0,1
35,0.56975,0.0012903206025850799,0.25,0.05,0.5684596793974149,0.0,0.0,0.0,0.2,0,1
36,0.6445,0.00294930423448017,0.25,0.05,0.6415506957655198,0.0,0.0,0.0,0.2,0,1
37,0.834,0.00390782811068625,0.25,0.05,0.8300921718893137,0.0,0.0,0.0,0.2,0,1
38,0.736,0.0047557530780993,0.25,0.05,0.7312442469219007,0.0,0.0,0.0,0.2,0,1
39,0.7005,0.00549307913671935,0.25,0.05,0.6950069208632806,0.0,0.0,0.0,0.2,0,1
40,0.65,0.00611980628654637,0.25,0.05,0.6438801937134536,0.0,0.0,0.0,0.2,0,1
41,0.698,0.00674653343637342,0.25,0.05,0.6912534665636265,0.0,0.0,0.0,0.2,0,1
