t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y
1,0.741,0.0,0.25,0.05,0.60425,0.0,0.0,0.13674999999999998,1.8560526315789474,0,1
2,0.646,0.0,0.25,0.05,-0.0,0.0,0.0,0.6460000000000001,1.1760526315789472,0,0
3,0.76775,0.0,0.25,0.05,0.76775,0.0,0.0,0.0,1.1760526315789472,0,1
4,0.6735,0.0,0.25,0.05,0.6735,0.0,0.0,0.0,1.1760526315789472,0,1
5,0.64225,0.0,0.25,0.05,-0.0,0.0,0.0,0.64225,0.5,0,0
6,0.7935,0.0,0.25,0.05,0.7935,0.0,0.0,0.0,0.5,0,1
7,0.6395,0.0,0.25,0.05,0.6395,0.0,0.0,-0.0,0.5,0,1
8,0.7305,0.0,0.25,0.05,0.7305,0.0,0.0,0.0,0.5,0,1
9,0.7485,0.0,0.25,0.05,0.7485,0.0,0.0,0.0,0.5,0,1
10,0.80575,0.0,0.25,0.05,0.80575,0.0,0.0,0.0,0.5,0,1
11,0.63825,0.0,0.25,0.05,0.63825,0.0,0.0,0.0,0.5,0,1
12,0.76175,0.0,0.25,0.05,0.76175,0.0,0.0,0.0,0.5,0,1
13,0.8275,0.0,0.25,0.05,0.8275,0.0,0.0,0.0,0.5,0,1
14,0.6285,0.0,0.25,0.05,0.6285,0.0,0.0,0.0,0.5,0,1
15,0.743,0.0,0.25,0.05,0.743,0.0,0.0,0.0,0.5,0,1
16,0.744,0.0,0.25,0.05,0.744,0.0,0.0,0.0,0.5,0,1
17,0.729,0.0,0.25,0.05,0.729,0.0,0.0,0.0,0.5,0,1
18,0.6505,0.0,0.25,0.05,0.6505,0.0,0.0,0.0,0.5,0,1
19,0.68125,0.0,0.25,0.05,0.68125,0.0,0.0,0.0,0.5,0,1
20,0.6515,0.0,0.25,0.05,0.6515,0.0,0.0,0.0,0.5,0,1
21,0.5935,0.0,0.25,0.05,0.5935,0.0,0.0,-0.0,0.5,0,1
22,0.701,0.0,0.25,0.05,0.701,0.0,0.0,-0.0,0.5,0,1
23,0.653,0.0,0.25,0.05,0.653,0.0,0.0,0.0,0.5,0,1
24,0.8395,0.0,0.25,0.05,0.8395,0.0,0.0,0.0,0.5,0,1
25,0.64425,0.0,0.25,0.05,0.64425,0.0,0.0,0.0,0.5,0,1
26,0.56525,0.0,0.25,0.05,0.56525,0.0,0.0,0.0,0.5,0,1
27,0.79725,0.0,0.25,0.05,0.79725,0.0,0.0,0.0,0.5,0,1
28,0.61775,0.0,0.25,0.05,0.61775,0.0,0.0,0.0,0.5,0,1
29,0.673,0.0,0.25,0.05,0.673,0.0,0.0,0.0,0.5,0,1
30,0.613,0.0,0.25,0.05,0.613,0.0,0.0,0.0,0.5,0,1
31,0.762,0.0,0.25,0.05,0.762,0.0,0.0,0.0,0.5,0,1
32,0.627,0.0,0.25,0.05,0.627,0.0,0.0,-0.0,0.5,0,1
33,0.653,0.0,0.25,0.05,0.653,0.0,0.0,-0.0,0.5,0,1
34,0.68425,0.0,0.25,0.05,0.68425,0.0,0.0,-0.0,0.5,0,1
35,0.56975,0.002867379116855733,0.25,0.05,0.5668826208831442,0.0,0.0,0.0,0.5,0,1
36,0.6445,0.006554009409955933,0.25,0.05,0.637945990590044,0.0,0.0,-0.0,0.5,0,1
37,0.834,0.008684062468191665,0.25,0.05,0.8253159375318083,0.0,0.0,0.0,0.5,0,1
38,0.736,0.010568340173554,0.25,0.05,0.725431659826446,0.0,0.0,0.0,0.5,0,1
39,0.7005,0.012206842526043,0.25,0.05,0.688293157473957,0.0,0.0,-0.0,0.5,0,1
40,0.65,0.0135995695256586,0.25,0.05,0.6364004304743415,0.0,0.0,0.0,0.5,0,1
41,0.698,0.014992296525274265,0.25,0.05,0.6830077034747257,0.0,0.0,0.0,0.5,0,1
42,0.87875,0.0158934728191432,0.25,0.05,0.8628565271808568,0.0,0.0,0.0,0.5,0,1
43,0.7325,0.017204274701134465,0.25,0.05,0.7152957252988655,0.0,0.0,0.0,0.5,0,1
44,0.88825,0.03301582240265313,0.25,0.05,0.8552341775973469,0.0,0.0,0.0,0.5,0,1
45,0.68425,0.06226308939458179,0.25,0.05,0.6219869106054182,0.0,0.0,0.0,0.5,0,1
46,0.76775,0.07725538591985613,0.25,0.05,0.6904946140801439,0.0,0.0,0.0,0.5,0,1
47,0.7115,0.1052737761474178,0.25,0.05,0.6062262238525822,0.0,0.0,0.0,0.5,0,1
48,0.7955,0.12059377314318999,0.25,0.05,0.67490622685681,0.0,0.0,0.0,0.5,0,1
49,0.67925,0.13181751425773966,0.25,0.05,0.5474324857422603,0.0,0.0,0.0,0.5,0,1
50,0.77225,0.140993127431678,0.25,0.05,0.631256872568322,0.0,0.0,0.0,0.5,0,1
51,0.6305,0.1297693863171283,0.25,0.05,0.5007306136828716,0.0,0.0,-0.0,0.5,0,1
52,0.8015,0.14558093401864713,0.25,0.05,0.6559190659813529,0.0,0.0,0.0,0.5,0,1
53,0.7915,0.16311290919027932,0.25,0.05,0.6283870908097207,0.0,0.0,0.0,0.5,0,1
54,0.667,0.16581643807188612,0.25,0.05,0.501183561928114,0.0,0.0,-0.0,0.5,0,1
55,0.662,0.15819740213281233,0.25,0.05,0.5038025978671877,0.0,0.0,0.0,0.5,0,1
56,0.792,0.11485901490947847,0.25,0.05,0.6771409850905216,0.0,0.0,-0.0,0.5,0,1
57,0.7075,0.08077816597770746,0.25,0.05,0.6267218340222925,0.0,0.0,-0.0,0.5,0,1
58,0.89825,0.0597234107482238,0.25,0.05,0.8385265892517761,0.0,0.0,-0.0,0.5,0,1
59,0.6725,0.05398865251451233,0.25,0.05,0.6185113474854876,0.0,0.0,0.0,0.5,0,1
60,0.66475,0.05587293021987467,0.25,0.05,0.6088770697801252,0.0,0.0,-0.0,0.5,0,1
61,0.88275,0.061689613571210666,0.25,0.05,0.8210603864287893,0.0,0.0,0.0,0.5,0,1
62,0.776,0.06529431874668633,0.25,0.05,0.7107056812533137,0.0,0.0,-0.0,0.5,0,1
63,0.71975,0.049892396633289794,0.25,0.05,0.6698576033667102,0.0,0.0,-0.0,0.5,0,1
64,0.8925,0.036866302931002334,0.25,0.05,0.8556336970689976,0.0,0.0,0.0,0.5,0,1
65,0.838,0.026707588345570663,0.25,0.05,0.8112924116544293,0.0,0.0,-0.0,0.5,0,1
66,0.67775,0.022775182699597,0.25,0.05,0.654974817300403,0.0,0.0,0.0,0.5,0,1
67,0.701,0.020071653817990132,0.25,0.05,0.6809283461820098,0.0,0.0,0.0,0.5,0,1
68,0.83825,0.017941600759754466,0.25,0.05,0.8203083992402456,0.0,0.0,0.0,0.5,0,1
69,0.76775,0.014500745819527601,0.25,0.05,0.7532492541804724,0.0,0.0,0.0,0.5,0,1
70,0.894,0.0102406397030562,0.25,0.05,0.8837593602969438,0.0,0.0,0.0,0.5,0,1
71,0.63225,0.0059805335865847995,0.25,0.05,0.6262694664134152,0.0,0.0,-0.0,0.5,0,1
