t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y
1,0.741,0.0,0.4,0.03,0.0,0.0,0.0,0.741,1.2200000000000002,0,0
2,0.646,0.0,0.4,0.03,0.0,0.0,0.0,0.646,0.5400000000000003,0,0
3,0.76775,0.0,0.4,0.03,0.7297499999999998,0.0,0.0,0.03800000000000025,0.5,0,1
4,0.6735,0.0,0.4,0.03,0.6735,0.0,0.0,0.0,0.5,0,1
5,0.64225,0.0,0.4,0.03,0.64225,0.0,0.0,-0.0,0.5,0,1
6,0.7935,0.0,0.4,0.03,0.7935,0.0,0.0,-0.0,0.5,0,1
7,0.6395,0.0,0.4,0.03,0.6395,0.0,0.0,0.0,0.5,0,1
8,0.7305,0.0,0.4,0.03,0.7305,0.0,0.0,0.0,0.5,0,1
9,0.7485,0.0,0.4,0.03,0.7485,0.0,0.0,0.0,0.5,0,1
10,0.80575,0.0,0.4,0.03,0.80575,0.0,0.0,-0.0,0.5,0,1
11,0.63825,0.0,0.4,0.03,0.63825,0.0,0.0,-0.0,0.5,0,1
12,0.76175,0.0,0.4,0.03,0.76175,0.0,0.0,0.0,0.5,0,1
13,0.8275,0.0,0.4,0.03,0.8275,0.0,0.0,-0.0,0.5,0,1
14,0.6285,0.0,0.4,0.03,0.6285,0.0,0.0,-0.0,0.5,0,1
15,0.743,0.0,0.4,0.03,0.743,0.0,0.0,-0.0,0.5,0,1
16,0.744,0.0,0.4,0.03,0.744,0.0,0.0,-0.0,0.5,0,1
17,0.729,0.0,0.4,0.03,0.729,0.0,0.0,-0.0,0.5,0,1
18,0.6505,0.0,0.4,0.03,0.6505,0.0,0.0,0.0,0.5,0,1
19,0.68125,0.0,0.4,0.03,0.68125,0.0,0.0,-0.0,0.5,0,1
20,0.6515,0.0,0.4,0.03,0.6515,0.0,0.0,0.0,0.5,0,1
21,0.5935,0.0,0.4,0.03,0.5935,0.0,0.0,-0.0,0.5,0,1
22,0.701,0.0,0.4,0.03,0.701,0.0,0.0,0.0,0.5,0,1
23,0.653,0.0,0.4,0.03,0.653,0.0,0.0,-0.0,0.5,0,1
24,0.8395,0.0,0.4,0.03,0.8395,0.0,0.0,-0.0,0.5,0,1
25,0.64425,0.0,0.4,0.03,0.64425,0.0,0.0,-0.0,0.5,0,1
26,0.56525,0.0,0.4,0.03,0.56525,0.0,0.0,-0.0,0.5,0,1
27,0.79725,0.0,0.4,0.03,0.79725,0.0,0.0,0.0,0.5,0,1
28,0.61775,0.0,0.4,0.03,0.61775,0.0,0.0,0.0,0.5,0,1
29,0.673,0.0,0.4,0.03,0.673,0.0,0.0,-0.0,0.5,0,1
30,0.613,0.0,0.4,0.03,0.613,0.0,0.0,-0.0,0.5,0,1
31,0.762,0.0,0.4,0.03,0.762,0.0,0.0,-0.0,0.5,0,1
32,0.627,0.0,0.4,0.03,0.627,0.0,0.0,-0.0,0.5,0,1
33,0.653,0.0,0.4,0.03,0.653,0.0,0.0,0.0,0.5,0,1
34,0.68425,0.0,0.4,0.03,0.68425,0.0,0.0,0.0,0.5,0,1
35,0.56975,0.0021505343376418,0.4,0.03,0.5675994656623582,0.0,0.0,0.0,0.5,0,1
36,0.6445,0.00491550705746695,0.4,0.03,0.6395844929425331,0.0,0.0,-0.0,0.5,0,1
37,0.834,0.00651304685114375,0.4,0.03,0.8274869531488562,0.0,0.0,-0.0,0.5,0,1
38,0.736,0.0079262551301655,0.4,0.03,0.7280737448698344,0.0,0.0,-0.0,0.5,0,1
39,0.7005,0.00915513189453225,0.4,0.03,0.6913448681054678,0.0,0.0,0.0,0.5,0,1
40,0.65,0.01019967714424395,0.4,0.03,0.639800322855756,0.0,0.0,0.0,0.5,0,1
41,0.698,0.0112442223939557,0.4,0.03,0.6867557776060442,0.0,0.0,-0.0,0.5,0,1
42,0.87875,0.0119201046143574,0.4,0.03,0.8668298953856426,0.0,0.0,0.0,0.5,0,1
43,0.7325,0.01290320602585085,0.4,0.03,0.7195967939741492,0.0,0.0,-0.0,0.5,0,1
44,0.88825,0.02476186680198985,0.4,0.03,0.8634881331980101,0.0,0.0,-0.0,0.5,0,1
45,0.68425,0.04669731704593635,0.4,0.03,0.6375526829540636,0.0,0.0,0.0,0.5,0,1
46,0.76775,0.0579415394398921,0.4,0.03,0.7098084605601079,0.0,0.0,-0.0,0.5,0,1
47,0.7115,0.07895533211056335,0.4,0.03,0.6325446678894366,0.0,0.0,-0.0,0.5,0,1
48,0.7955,0.0904453298573925,0.4,0.03,0.7050546701426075,0.0,0.0,0.0,0.5,0,1
