t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.870920274602229,0.27,0.06
2,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.741840549204457,0.27,0.06
3,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.631540865821526,0.27,0.06
4,0.41913879685514,0.0,0.0,-5.551115123125783e-17,0.0,0.41913879685513994,0.0,4.521241182438594,0.27,0.06
5,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.444930730026182,0.27,0.06
6,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.36862027761377,0.27,0.06
7,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.2853003729000445,0.27,0.06
8,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.201980468186319,0.27,0.06
9,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.112180126439304,0.27,0.06
10,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.022379784692289,0.27,0.06
11,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.9799263094333908,0.27,0.06
12,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.9374728341744927,0.27,0.06
13,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.900441765412837,0.27,0.06
14,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.863410696651181,0.27,0.06
15,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.8366954256159866,0.27,0.06
16,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.809980154580792,0.27,0.06
17,0.093979562364402,0.0,0.0,-5.551115123125783e-17,0.0,0.09397956236440194,0.0,3.7852486908006866,0.27,0.06
18,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7605172270205807,0.27,0.06
19,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7357857632404747,0.27,0.06
20,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.711054299460369,0.27,0.06
21,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.6918774959945115,0.27,0.06
22,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.6727006925286543,0.27,0.06
23,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.6510110665396844,0.27,0.06
24,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.6293214405507146,0.27,0.06
25,0.052266708480737,0.0,-0.0,0.0,0.0,0.052266708480737,0.0,3.6155670435820997,0.27,0.06
26,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.6018126466134848,0.27,0.06
27,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.5573753640994976,0.27,0.06
28,0.16886167355315,0.0,-0.0,0.0,0.0,0.16886167355315,0.0,3.512938081585511,0.27,0.06
29,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904425,0.0,3.4903226788774995,0.27,0.06
30,0.0859385302904425,0.0,0.0,-4.163336342344337e-17,0.0,0.08593853029044246,0.0,3.4677072761694885,0.27,0.06
31,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.4458853963635128,0.27,0.06
32,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.424063516557537,0.27,0.06
33,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.3954966920842597,0.27,0.06
34,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.3669298676109825,0.27,0.06
35,0.1256411261556175,0.007529900068337619,0.0,0.0,0.0,0.11811122608727989,0.0,3.3358479660090667,0.27,0.06
36,0.1256411261556175,0.01721120015620029,0.0,0.0,0.0,0.10842992599941723,0.0,3.307313774956589,0.27,0.06
37,0.12815394867873,0.022804840206965365,0.0,0.0,0.0,0.10534910847176464,0.0,3.279590325358756,0.27,0.06
38,0.12815394867873,0.027753060251872925,0.0,0.0,0.0,0.10040088842685709,0.0,3.253169038930636,0.27,0.06
39,0.08242057875808526,0.03205586029092302,0.0,0.0,0.0,0.050364718467162235,0.0,3.2399151656498035,0.27,0.06
40,0.08242057875808526,0.03571324032411554,-0.0,0.0,0.0,0.046707338433969715,0.0,3.227623760798759,0.27,0.06
41,0.08744622380430975,0.03937062035730812,0.0,0.0,0.0,0.048075603447001625,0.0,3.214972286207442,0.27,0.06
42,0.08744622380430975,0.04173716037878566,0.0,0.0,0.0,0.04570906342552409,0.0,3.2029435853059884,0.27,0.06
43,0.273395090514625,0.04517940041002571,0.0,0.0,0.0,0.2282156901045993,0.0,3.1428868247521464,0.27,0.06
44,0.273395090514625,0.08670142078685888,0.0,0.0,0.0,0.18669366972776613,0.0,3.093756911665892,0.27,0.06
45,0.17388731859937476,0.16350640148390258,0.0,0.0,0.0,0.010380917115472177,0.0,3.0910250913723467,0.27,0.06
46,0.17388731859937476,0.20287702184121056,0.0,0.0,0.028989703241835807,0.0,0.0,3.097910145892283,0.27,0.06
47,1.6981654108628774,0.27645490250896715,0.0,-2.220446049250313e-16,0.0,1.42171050835391,0.0,2.7237758015886224,0.27,0.06
48,1.6981654108628774,0.3166860828740851,0.0,0.0,0.0,1.3814793279887922,0.0,2.3602286100126246,0.27,0.06
49,1.582073060551535,0.3461602631415778,0.0,0.0,0.0,1.235912797409957,0.0,2.034988400167899,0.27,0.06
50,1.582073060551535,0.37025594336025813,0.0,0.0,0.0,1.2118171171912782,0.0,1.7160891588017733,0.27,0.06
51,1.646903881647835,0.3407817630927655,1.3061221185550695,0.0,0.0,0.0,0.0,1.7160891588017733,0.27,0.06
52,1.646903881647835,0.38230378346959826,0.6160821651333914,0.0,0.0,0.6485179330448454,0.0,1.5454265448426034,0.27,0.06
53,1.290585698126955,0.42834374388743407,0.862241954239521,0.0,0.0,0.0,0.0,1.5454265448426037,0.27,0.06
54,1.290585698126955,0.43544336395186695,0.0,0.0,0.0,0.8551423341750881,0.0,1.3203890884807383,0.27,0.06
55,1.07850337666337,0.415435343770284,0.663068032893086,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
56,1.07850337666337,0.30162628273740966,0.7768770939259604,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
57,1.321242032396025,0.2121280419251683,1.1091139904708567,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
58,1.321242032396025,0.15683706142337495,1.16440497097265,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
59,1.2152009721771324,0.14177726128669962,1.0734237108904328,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
60,1.2152009721771324,0.14672548133160737,1.068475490845525,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
61,1.21469845792896,0.16200042147023505,1.0526980364587248,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
62,1.21469845792896,0.17146658155614522,1.0432318763728148,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
63,0.90964170311022,0.1310202611890746,0.7786214419211452,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
64,0.90964170311022,0.09681300087862653,0.8128287022315934,0.0,0.0,0.0,0.0,1.3203890884807383,0.27,0.06
65,0.1266462551648625,0.07013564063651613,0.0,0.0,0.0,0.05651061452834637,0.0,1.3055178741311735,0.27,0.06
66,0.1266462551648625,0.05980892054279599,0.06683733462206651,0.0,0.0,0.0,0.0,1.3055178741311735,0.27,0.06
67,0.20152836635361074,0.05270930047836332,0.0,0.0,0.0,0.1488190658752474,0.0,1.26635496205874,0.27,0.06
68,0.20152836635361074,0.047115660427598245,0.0,0.0,0.0,0.1544127059260125,0.0,1.2257200394466314,0.27,0.06
69,0.16584628652541525,0.03807978034559308,0.0,0.0,0.0,0.12776650617982216,0.0,1.1920972746624676,0.27,0.06
70,0.16584628652541525,0.02689250024406293,0.0,0.0,0.0,0.13895378628135233,0.0,1.155530488798954,0.27,0.06
71,0.2904822836717875,0.015705220142532755,0.2747770635292548,0.0,0.0,0.0,0.0,1.155530488798954,0.27,0.06
72,0.2904822836717875,0.007099620064432615,0.2833826636073549,0.0,0.0,0.0,0.0,1.155530488798954,0.27,0.06
73,0.34375412116177,0.0,0.34375412116177,0.0,0.0,0.0,0.0,1.155530488798954,0.27,0.06
74,0.34375412116177,0.0,0.34375412116177,0.0,0.0,0.0,0.0,1.155530488798954,0.27,0.06
75,0.0507590149668695,0.0,0.0507590149668695,0.0,0.0,0.0,0.0,1.155530488798954,0.27,0.06
76,0.0507590149668695,0.0,0.0507590149668695,0.0,0.0,0.0,0.0,1.155530488798954,0.27,0.06
77,0.0201025801848988,0.0,0.0201025801848988,0.0,0.0,0.0,0.0,1.155530488798954,0.27,0.06
78,0.0201025801848988,0.0,0.0201025801848988,0.0,0.0,0.0,0.0,1.1555304887989537,0.27,0.06
79,0.0914667398412895,0.0,0.0914667398412895,0.0,0.0,0.0,0.0,1.1555304887989537,0.27,0.06
80,0.0914667398412895,0.0,0.0,0.0,0.0,0.0914667398412895,0.0,1.1314602941038776,0.27,0.06
81,0.07940519173035025,0.0,0.0,1.3877787807814457e-17,0.0,0.07940519173035027,0.0,1.1105641910169433,0.27,0.06
82,0.07940519173035025,0.0,0.0,0.0,0.0,0.07940519173035025,0.0,1.0896680879300091,0.27,0.06
83,0.108051368493831,0.0,0.108051368493831,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
84,0.108051368493831,0.0,0.108051368493831,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
85,0.14875909336825124,0.0,0.14875909336825124,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
86,0.14875909336825124,0.0,0.14875909336825124,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
87,0.11558983606316825,0.0,0.11558983606316797,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
88,0.11558983606316825,0.0,0.11558983606316825,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
89,0.1201129166047705,0.0,0.12011291660477053,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
90,0.1201129166047705,0.0,0.1201129166047705,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
91,0.03920003136055275,0.0,0.03920003136055275,0.0,0.0,0.0,0.0,1.0896680879300091,0.27,0.06
92,0.03920003136055275,0.0,0.0,0.0,0.0,0.03920003136055275,0.0,1.079352290203548,0.27,0.06
93,0.020605144689521276,0.0,0.0,0.0,0.0,0.020605144689521276,0.0,1.0739298837063054,0.27,0.06
94,0.020605144689521276,0.0,0.0,0.0,0.0,0.020605144689521276,0.0,1.068507477209063,0.27,0.06
95,0.04774362793913475,0.0,0.0,0.0,0.0,0.04774362793913475,0.0,1.0559433645935012,0.27,0.06
96,0.04774362793913475,0.0,0.0,0.0,0.0,0.04774362793913475,0.0,1.0433792519779395,0.27,0.06
97,0.10704623948458625,0.0,0.10704623948458625,0.0,0.0,0.0,0.0,1.0433792519779395,0.27,0.06
98,0.10704623948458625,0.0,0.10704623948458625,0.0,0.0,0.0,0.0,1.0433792519779395,0.27,0.06
99,0.11558983606316825,0.0,0.11558983606316825,0.0,0.0,0.0,0.0,1.0433792519779395,0.27,0.06
100,0.11558983606316825,0.0,0.11558983606316825,0.0,0.0,0.0,0.0,1.0433792519779395,0.27,0.06
101,0.08845135281355475,0.0,0.08845135281355472,0.0,0.0,2.7755575615628914e-17,0.0,1.0433792519779395,0.27,0.06
102,0.08845135281355475,0.0,0.08845135281355475,0.0,0.0,0.0,0.0,1.0433792519779395,0.27,0.06
103,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,1.0433792519779395,0.27,0.06
104,0.07287185317025825,0.0,0.07287185317025827,0.0,0.0,0.0,0.0,1.0433792519779395,0.27,0.06
