t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
1,0.1722983996719955,0.0,0.1722983996719955,0.0,0.0,0.0,0.0,2.4,0.14,0.06,0.0,0.0,0.0
2,0.13974173008711724,0.0,0.13974173008711724,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
3,0.2773180595618275,0.0,0.2773180595618275,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
4,0.3201857282892275,0.0,0.3201857282892275,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
5,0.13924388466330026,0.0,0.13924388466330026,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
6,0.14134119091682776,0.0,0.14134119091682776,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
7,0.17238919215050325,0.0,0.17238919215050325,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
8,0.1407828171740055,0.0,0.1407828171740055,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
9,0.13922723937557374,0.0,0.13922723937557374,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
10,0.16824451550662775,0.0,0.16824451550662775,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
11,0.14828378910671475,0.0,0.14828378910671475,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
12,0.171298169200436,0.0,0.171298169200436,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
13,0.322994242291065,0.0,0.322994242291065,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
14,0.256664283909305,0.0,0.256664283909305,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
15,0.13851754483523876,0.0,0.13851754483523876,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
16,0.508466630594525,0.0,0.508466630594525,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
17,0.6285427098368775,0.0,0.6285427098368775,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
18,0.448593530642635,0.0,0.448593530642635,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
19,0.3913851899349475,0.0,0.3913851899349475,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
20,0.2312923257903345,0.0,0.2312923257903345,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
21,0.06013337172361025,0.0,0.06013337172361025,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
22,0.058202518347347,0.0,0.058202518347347,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
23,0.09063661808623975,0.0,0.09063661808623975,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
24,0.06286471211871625,0.0,0.06286471211871625,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
25,0.05906353368519475,0.0,0.05906353368519475,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
26,0.2152946910772815,0.0,0.2152946910772815,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
27,0.2295324649152605,0.0,0.2295324649152605,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
28,0.118677875073336,0.0,0.118677875073336,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
29,0.0756150025171445,0.0,0.0756150025171445,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
30,0.0789516261023015,0.0,0.0789516261023015,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
31,0.0606100322357755,0.0,0.0606100322357755,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
32,0.0626785875377755,0.0,0.0626785875377755,0.0,0.0,0.0,0.0,2.3999999999999995,0.14,0.06,0.0,0.0,0.0
33,0.08390738222084575,0.0,0.0,0.0,0.0,0.08390738222084575,0.0,2.3779191099418817,0.24,0.06,0.0,0.0,0.0
34,0.0568497104175825,0.0,0.0,0.0,0.0,0.0568497104175825,0.0,2.3629586598319916,0.24,0.06,0.0,0.0,0.0
35,0.05492793628917,0.009412375085422024,0.0,0.0,0.0,0.04551556120374797,0.0,2.3509808805678474,0.24,0.06,0.009412375085422024,0.0,0.0
36,0.1418117985970925,0.021514000195250363,0.0,0.0,0.0,0.12029779840184214,0.0,2.3193235651989417,0.24,0.06,0.021514000195250363,0.0,0.0
37,0.22534995807200675,0.028506050258706703,0.0,0.0,0.0,0.19684390781330005,0.0,2.2675225368270207,0.24,0.06,0.0285060502587067,0.0,0.0
38,0.105646127991534,0.034691325314841155,0.0,0.0,0.0,0.07095480267669285,0.0,2.2488502203331544,0.24,0.06,0.03469132531484115,0.0,0.0
39,0.078648984507276,0.04006982536365377,0.0,0.0,0.0,0.038579159143622234,0.0,2.238697810032201,0.24,0.06,0.04006982536365377,0.0,0.0
40,0.06565506762485225,0.04464155040514443,0.0,0.0,0.0,0.021013517219707824,0.0,2.2331679370796462,0.24,0.06,0.04464155040514443,0.0,0.0
41,0.05650923862317875,0.049213275446635146,0.0,0.0,0.0,0.007295963176543602,0.0,2.2312479467700297,0.24,0.06,0.049213275446635146,0.0,0.0
42,0.06972559707794625,0.05217145047348207,0.0,0.0,0.0,0.01755414660446418,0.0,2.226628434505697,0.24,0.06,0.05217145047348207,0.0,0.0
43,0.07331795281090026,0.05647425051253213,0.0,0.0,0.0,0.016843702298368124,0.0,2.2221958812692844,0.24,0.06,0.05647425051253213,0.0,0.0
44,0.05584191390614725,0.10837677598357359,0.0,0.0,0.052534862077426345,0.0,0.0,2.234672911012673,0.24,0.06,0.05584191390614725,0.052534862077426345,0.0
45,0.05936617528022025,0.2043830018548782,0.0,0.0,0.14501682657465795,0.0,0.0,2.2691144073241545,0.24,0.06,0.05936617528022025,0.14501682657465795,0.0
46,0.08561579402476525,0.2535962773015132,0.0,0.0,0.16798048327674792,0.0,0.0,2.309009772102382,0.24,0.06,0.08561579402476525,0.16798048327674792,0.0
47,0.3005715265156175,0.3455686281362089,0.0,0.0,0.044997101620591395,0.0,0.0,2.3196965837372727,0.24,0.06,0.3005715265156175,0.044997101620591395,0.0
48,0.3445544295206875,0.39585760359260636,0.0,0.0,0.05130317407191887,0.0,0.0,2.3318810875793536,0.24,0.06,0.3445544295206875,0.05130317407191887,0.0
49,0.55910310906623,0.4327003289269722,0.0,0.0,0.0,0.12640278013925776,0.0,2.2986171980690226,0.24,0.06,0.4327003289269722,0.0,0.0
50,0.52025452072077,0.46281992920032267,0.0,0.0,0.0,0.05743459152044739,0.0,2.283502831879431,0.24,0.06,0.46281992920032267,0.0,0.0
51,0.371557625836845,0.42597720386595683,0.0,0.0,0.05441957802911185,0.0,0.0,2.296427481661345,0.24,0.06,0.371557625836845,0.05441957802911185,0.0
52,0.258266771154965,0.4778797293369978,0.0,0.0,0.2196129581820328,0.0,0.0,2.3485855592295777,0.24,0.06,0.258266771154965,0.2196129581820328,0.0
53,0.2434706235741645,0.5354296798592926,0.0,0.0,0.29195905628512797,0.0,1.1102230246251565e-16,2.4179258350972956,0.24,0.06,0.2434706235741645,0.29195905628512797,0.0
54,0.189011781757284,0.5443042049398337,0.0,0.0,0.35529242318254967,0.0,0.0,2.502307785603151,0.24,0.06,0.189011781757284,0.35529242318254967,0.0
55,0.06579125634261375,0.519294179712855,0.0,0.0,0.453502923370241,0.0,2.220446049250313e-16,2.6100147299035834,0.24,0.06,0.06579125634261375,0.453502923370241,0.0
56,0.06998889526561874,0.37703285342176207,0.0,0.0,0.3070439581561433,0.0,0.0,2.6829376699656673,0.24,0.06,0.06998889526561874,0.3070439581561433,0.0
57,0.07646996502309175,0.26516005240646034,0.0,0.0,0.1886900873833686,0.0,0.0,2.7277515657192173,0.24,0.06,0.07646996502309175,0.1886900873833686,0.0
58,0.05971421311449975,0.19604632677921868,0.0,0.0,0.13633211366471887,0.0,5.551115123125783e-17,2.760130442714588,0.24,0.06,0.05971421311449975,0.13633211366471887,0.0
