t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.45482087668333493,0.0,0.0,0.0,0.0,0.45482087668333493,0.0,4.521241182438595,0.27,0.06
2,0.3032976785396613,0.0,0.0,0.0,0.0,0.3032976785396613,0.0,4.20198046818632,0.27,0.06
3,0.25128225231123524,0.0,0.0,0.0,0.0,0.25128225231123524,0.0,3.937472834174493,0.27,0.06
4,0.12111804561401537,0.0,0.0,0.0,0.0,0.12111804561401537,0.0,3.8099801545807925,0.27,0.06
5,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7110542994603692,0.27,0.06
6,0.07764621596417176,0.0,0.0,0.0,0.0,0.07764621596417176,0.0,3.6293214405507146,0.27,0.06
7,0.11056419101694348,0.0,0.0,0.0,0.0,0.11056419101694348,0.0,3.512938081585511,0.27,0.06
8,0.084430836776575,0.0,0.0,0.0,0.0,0.084430836776575,0.0,3.424063516557537,0.27,0.06
9,0.11709752957703551,0.007731593820168097,0.0,0.0,0.0,0.10936593575686741,0.0,3.3089414789187295,0.27,0.06
10,0.10528726371840763,0.03697718783558651,0.0,0.0,0.0,0.06831007588282112,0.0,3.237036135884181,0.27,0.06
11,0.18042065715946737,0.06655893810405573,0.0,0.0,0.0,0.11386171905541163,0.0,3.1171816947732216,0.27,0.06
12,0.9360263647311261,0.29985137772130166,0.0,0.0,0.0,0.6361749870098244,0.0,2.4475238137102484,0.27,0.06
13,1.614488471099685,0.44984429783256236,1.1161844072353477,0.0,0.0,0.04845976603177496,0.0,2.396513533676801,0.27,0.06
14,1.1845445373951626,0.4940152294834358,0.6905293079117268,0.0,0.0,0.0,0.0,2.396513533676801,0.27,0.06
15,1.2682215022865786,0.20545870186464069,1.0627628004219378,0.0,0.0,0.0,0.0,2.396513533676801,0.27,0.06
16,1.06217008051959,0.1754063328419004,0.8867637476776895,0.0,0.0,0.0,0.0,2.396513533676801,0.27,0.06
17,0.1640873107592366,0.07180297565164802,0.0,0.0,0.0,0.09228433510758859,0.0,2.299372128300392,0.27,0.06
18,0.22816428509860137,0.027430350248944177,0.0,0.0,0.0,0.20073393484965718,0.0,2.0880732495112793,0.27,0.06
19,0.19725656806431976,0.0,0.0,0.0,0.0,0.19725656806431976,0.0,1.8804347568119955,0.27,0.06
20,0.05578466001309415,0.0,0.0,0.0,0.0,0.05578466001309415,0.0,1.82171406206137,0.27,0.06
21,0.09372828011209063,0.0,0.0,0.0,0.0,0.09372828011209063,0.0,1.723052714574959,0.27,0.06
22,0.13217446471570976,0.0,0.0,0.0,0.0,0.13217446471570976,0.0,1.5839216990847382,0.27,0.06
23,0.07965647398266162,0.0,0.07965647398266162,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
24,0.034174386314328016,0.0,0.034174386314328016,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
25,0.11131803777387725,0.0,0.11131803777387725,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
26,0.0806616029919065,0.0,0.0806616029919065,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
27,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
28,0.05804620028389526,0.0,0.05804620028389526,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
29,0.08593853029044238,0.0,0.08593853029044238,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
30,0.11935906984783662,0.0,0.11935906984783662,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
31,0.13192318246339838,0.0,0.13192318246339838,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
32,0.11558983606316812,0.0,0.11558983606316812,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
33,0.08568724803813113,0.008538368827489977,0.07714887921064115,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
34,0.10026161867218275,0.03785119409351857,0.06241042457866418,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
35,0.08367699001964124,0.07005496313578392,0.013622026883857316,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
36,0.5400055602168436,0.3020700089914369,0.23793555122540677,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
37,0.9905546134826637,0.4503149165868337,0.5402396968958301,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
38,0.6525800092522774,0.49952819203346877,0.15305181721880867,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
39,0.5540773663462726,0.2130558331835885,0.3410215331626841,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
40,0.5877491881559788,0.18091929539193344,0.40682989276404535,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
41,0.16861039130083874,0.07711424444985043,0.09149614685098831,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
42,0.13192318246339838,0.028438819008096545,0.10348436345530183,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
43,0.1746411653563084,0.0,0.1746411653563084,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
44,0.062066716320875,0.0,0.062066716320875,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
45,0.06457953884398737,0.0,0.06457953884398737,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
46,0.08769750605662113,0.0,0.08769750605662113,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
47,0.06834877262865588,0.0,0.06834877262865588,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
48,0.0507590149668695,0.0,0.0507590149668695,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
49,0.0432205473975325,0.0,0.0432205473975325,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
50,0.055533377760782994,0.0,0.055533377760782994,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
51,0.0497538859576245,0.0,0.0497538859576245,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
52,0.046989781182201,0.0,0.046989781182201,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
53,0.09900520741062663,0.0,0.09900520741062663,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
54,0.11332829579236701,0.0,0.11332829579236701,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
55,0.10227187669067263,0.0,0.10227187669067263,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
56,0.11006162651232086,0.0,0.11006162651232086,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
57,0.08769750605662113,0.008538368827489984,0.07915913722913115,0.0,0.0,0.0,0.0,1.5839216990847382,0.27,0.06
58,0.037441055594373995,0.038590737850230275,0.0,-0.0,0.0011496822558562797,0.0,0.0,1.5850138972278016,0.27,0.06
59,0.04849747469606838,0.07119789439615662,0.0,-0.0,0.022700419700088237,0.0,0.0,1.6065792959428855,0.27,0.06
60,0.5304568597572419,0.3048264902664533,0.22563036949078857,0.0,0.0,0.0,0.0,1.6065792959428855,0.27,0.06
61,0.9284879222900138,0.4509199978423252,0.47756792444768853,0.0,0.0,0.0,0.0,1.6065792959428855,0.27,0.06
62,0.49779011670033124,0.5005366607926214,0.0,-0.0,0.0027465440922901374,0.0,0.0,1.6091885128305612,0.27,0.06
63,0.47919525515752626,0.21877048948545183,0.2604247656720744,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
64,0.46989781182200996,0.184617014175492,0.2852807976465179,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
65,0.23595403492025038,0.07771932570534187,0.1582347092149085,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
66,0.08367699001964138,0.030119600273350474,0.0535573897462909,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
67,0.24349250248958687,0.0,0.24349250248958687,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
68,0.04950260370531325,0.0,0.04950260370531325,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
69,0.14976422237749626,0.0,0.14976422237749626,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
70,0.14574370634051637,0.0,0.14574370634051637,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
71,0.10629239272765251,0.0,0.10629239272765251,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
72,0.08493340128119736,0.0,0.08493340128119736,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
73,0.24902071204043447,0.0,0.24902071204043447,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
74,0.26258995366524074,0.0,0.26258995366524074,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
75,0.06508210334860987,0.0,0.06508210334860987,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
76,0.050507732714558246,0.0,0.050507732714558246,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
77,0.12815394867872987,0.0,0.12815394867872987,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
78,0.24148224447109723,0.0,0.24148224447109723,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
79,0.11483598930623437,0.0,0.11483598930623437,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
80,0.09322571560746824,0.0,0.09322571560746824,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
81,0.08141544974884025,0.013379018871421297,0.06803643087741895,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
82,0.088702635065866,0.05042343795761801,0.03827919710824799,0.0,0.0,0.0,0.0,1.6091885128305612,0.27,0.06
83,0.0711128774040795,0.08161873824073099,0.0,-0.0,0.01050586083665149,0.0,0.0,1.61916908062538,0.27,0.06
84,0.21208222095068263,0.30596942152682605,0.0,-0.0,0.09388720057614341,0.0,0.0,1.7083619211727163,0.27,0.06
85,0.40732853099651123,0.44950814157951197,0.0,-0.0,0.04217961058300074,0.0,0.0,1.748432551226567,0.27,0.06
86,0.460851650738805,0.4957632419993001,0.0,-0.0,0.03491159126049509,0.0,0.0,1.7815985629240374,0.27,0.06
87,0.460851650738805,0.22045127075070592,0.2404003799880991,0.0,0.0,0.0,0.0,1.7815985629240374,0.27,0.06
88,0.32641564575229376,0.18058313913888252,0.14583250661341124,0.0,0.0,0.0,0.0,1.7815985629240374,0.27,0.06
89,0.061564151816252494,0.07879502571510434,0.0,-0.0,0.017230873898851848,0.0,0.0,1.7979678931279466,0.27,0.06
90,0.17589757661786487,0.031195300283113004,0.14470227633475186,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
91,0.14096934354660287,0.0,0.14096934354660287,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
92,0.1324257469680209,0.0,0.1324257469680209,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
93,0.12312830363250513,0.0,0.12312830363250513,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
94,0.13443600498651087,0.0,0.13443600498651087,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
95,0.172128342833196,0.0,0.172128342833196,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
96,0.10403085245685138,0.0,0.10403085245685138,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
97,0.08794878830893238,0.0,0.08794878830893238,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
98,0.10176931218605026,0.0,0.10176931218605026,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
99,0.0593026115454515,0.0,0.0593026115454515,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
100,0.04196413613597625,0.0,0.04196413613597625,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
101,0.05302055523767063,0.0,0.05302055523767063,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
102,0.07714365145954913,0.0,0.07714365145954913,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
103,0.25128225231123563,0.0,0.25128225231123563,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
104,0.18469245544875723,0.0,0.18469245544875723,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
105,0.09674366713982537,0.010689768847015016,0.08605389829281035,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
106,0.07287185317025825,0.046725719174059335,0.026146133996198917,0.0,0.0,0.0,0.0,1.7979678931279466,0.27,0.06
107,0.03568207982819538,0.08699723828954357,0.0,-0.0,0.051315158461348195,0.0,0.0,1.8467172936662275,0.27,0.06
108,0.2276617205939791,0.3125580840866214,0.0,-0.0,0.08489636349264229,0.0,0.0,1.9273688389842376,0.27,0.06
109,0.3829541525223225,0.4404319227471405,0.0,-0.0,0.05747777022481798,0.0,0.0,1.9819727206978146,0.27,0.06
110,0.4045644262210888,0.4910570544565892,0.0,-0.0,0.08649262823550041,0.0,0.0,2.06414071752154,0.27,0.06
111,0.4515542074032888,0.23006533958795833,0.22148886781533045,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
112,0.44552343334782,0.18226392040413655,0.26325951294368344,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
113,0.43069778046145746,0.08296336325293416,0.34773441720852327,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
114,0.15906166571301175,0.03132976278433331,0.12773190292867845,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
115,0.15529243192834324,6.723125061015736e-05,0.1552252006777331,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
116,0.1309180534541535,0.0,0.1309180534541535,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
117,0.08568724803813113,0.0,0.08568724803813113,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
118,0.03718977334206275,0.0,0.03718977334206275,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
119,0.04322054739753243,0.0,0.04322054739753243,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
120,0.14875909336825113,0.0,0.14875909336825113,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
121,0.096241102635203,0.0,0.096241102635203,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
122,0.10051290092449414,0.0,0.10051290092449414,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
123,0.0678462081240335,0.0,0.0678462081240335,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
124,0.06658979686247725,0.0,0.06658979686247725,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
125,0.056789789022339124,0.0,0.056789789022339124,0.0,0.0,0.0,0.0,2.06414071752154,0.27,0.06
