t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.45482087668333493,0.0,0.32154825570133594,0.0,0.0,0.13327262098199896,0.0,4.859713030545264,0.27,0.06
2,0.3032976785396613,0.0,0.0,0.0,0.0,0.3032976785396613,0.0,4.540452316292989,0.27,0.06
3,0.25128225231123524,0.0,0.0,0.0,0.0,0.25128225231123524,0.0,4.275944682281163,0.27,0.06
4,0.12111804561401537,0.0,0.0,0.0,0.0,0.12111804561401537,0.0,4.1484520026874625,0.27,0.06
5,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,4.04952614756704,0.27,0.06
6,0.07764621596417176,0.0,0.0,0.0,0.0,0.07764621596417176,0.0,3.967793288657385,0.27,0.06
7,0.11056419101694348,0.0,0.0,0.0,0.0,0.11056419101694348,0.0,3.8514099296921813,0.27,0.06
8,0.084430836776575,0.0,0.0,0.0,0.0,0.084430836776575,0.0,3.7625353646642075,0.27,0.06
9,0.11709752957703551,0.006185275056134478,0.0,0.0,0.0,0.11091225452090103,0.0,3.645785623063259,0.27,0.06
10,0.10528726371840763,0.029581750268469216,0.0,0.0,0.0,0.07570551344993842,0.0,3.566095608905429,0.27,0.06
11,0.18042065715946737,0.0532471504832446,0.0,0.0,0.0,0.12717350667622276,0.0,3.432228759772563,0.27,0.06
12,0.9360263647311261,0.23988110217704134,0.6961452625540847,0.0,0.0,0.0,0.0,3.432228759772563,0.27,0.06
13,1.614488471099685,0.35987543826604995,1.254613032833635,0.0,0.0,0.0,0.0,3.432228759772563,0.27,0.06
14,1.1845445373951626,0.3952121835867487,0.7893323538084139,0.0,0.0,0.0,0.0,3.432228759772563,0.27,0.06
15,1.2682215022865786,0.16436696149171257,1.1038545407948661,0.0,0.0,0.0,0.0,3.432228759772563,0.27,0.06
16,1.06217008051959,0.14032506627352034,0.9218450142460696,0.0,0.0,0.0,0.0,3.432228759772563,0.27,0.06
17,0.1640873107592366,0.05744238052131842,0.0,0.0,0.0,0.10664493023791818,0.0,3.319970938469491,0.27,0.06
18,0.22816428509860137,0.021944280199155345,0.0,0.0,0.0,0.20622000489944603,0.0,3.102897249101653,0.27,0.06
19,0.19725656806431976,0.0,0.0,0.0,0.0,0.19725656806431976,0.0,2.8952587564023693,0.27,0.06
20,0.05578466001309415,0.0,0.0,0.0,0.0,0.05578466001309415,0.0,2.8365380616517437,0.27,0.06
21,0.09372828011209063,0.0,0.0,0.0,0.0,0.09372828011209063,0.0,2.7378767141653326,0.27,0.06
22,0.13217446471570976,0.0,0.0,0.0,0.0,0.13217446471570976,0.0,2.5987456986751116,0.27,0.06
23,0.07965647398266162,0.0,0.0,0.0,0.0,0.07965647398266162,0.0,2.5148967786933625,0.27,0.06
24,0.034174386314328016,0.0,0.0,0.0,0.0,0.034174386314328016,0.0,2.478923740467754,0.27,0.06
25,0.11131803777387725,0.0,0.0,0.0,0.0,0.11131803777387725,0.0,2.361746858600515,0.27,0.06
26,0.0806616029919065,0.0,0.0,0.0,0.0,0.0806616029919065,0.0,2.2768399080827186,0.27,0.06
27,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,2.2001326942192887,0.27,0.06
28,0.05804620028389526,0.0,0.0,0.0,0.0,0.05804620028389526,0.0,2.139031430762557,0.27,0.06
29,0.08593853029044238,0.0,0.0,0.0,0.0,0.08593853029044238,0.0,2.0485698199305125,0.27,0.06
30,0.11935906984783662,0.0,0.0,0.0,0.0,0.11935906984783662,0.0,1.922928693774895,0.27,0.06
31,0.13192318246339838,0.0,0.0,0.0,0.0,0.13192318246339838,0.0,1.7840621859186863,0.27,0.06
32,0.11558983606316812,0.0,0.0,0.0,0.0,0.11558983606316812,0.0,1.662388674273246,0.27,0.06
33,0.08568724803813113,0.006830695061991982,0.0,0.0,0.0,0.07885655297613915,0.0,1.579381776403626,0.27,0.06
34,0.10026161867218275,0.030280955274814857,0.0,0.0,0.0,0.06998066339736789,0.0,1.5057179201958704,0.27,0.06
35,0.08367699001964124,0.05604397050862714,0.0,0.0,0.0,0.0276330195110141,0.0,1.4766305312369081,0.27,0.06
36,0.5400055602168436,0.2416560071931495,0.29834955302369415,0.0,0.0,0.0,0.0,1.4766305312369081,0.27,0.06
37,0.9905546134826637,0.3602519332694669,0.6303026802131968,0.0,0.0,0.0,0.0,1.4766305312369081,0.27,0.06
38,0.6525800092522774,0.39962255362677507,0.25295745562550237,0.0,0.0,0.0,0.0,1.4766305312369081,0.27,0.06
39,0.5540773663462726,0.17044466654687085,0.38363269979940173,0.0,0.0,0.0,0.0,1.4766305312369081,0.27,0.06
40,0.5877491881559788,0.14473543631354674,0.443013751842432,0.0,0.0,0.0,0.0,1.4766305312369081,0.27,0.06
41,0.16861039130083874,0.06169139555988036,0.0,0.0,0.0,0.10691899574095838,0.0,1.3640842199306362,0.27,0.06
42,0.13192318246339838,0.022751055206477237,0.0,0.0,0.0,0.10917212725692113,0.0,1.2491661912391403,0.27,0.06
43,0.1746411653563084,0.0,0.0,0.0,0.0,0.1746411653563084,0.0,1.065333385600921,0.27,0.06
44,0.062066716320875,0.0,0.0,0.0,0.0,0.062066716320875,0.0,1.0,0.27,0.06
45,0.06457953884398737,0.0,0.06457953884398737,0.0,0.0,0.0,0.0,1.0,0.27,0.06
46,0.08769750605662113,0.0,0.08769750605662113,0.0,0.0,0.0,0.0,1.0,0.27,0.06
47,0.06834877262865588,0.0,0.06834877262865588,0.0,0.0,0.0,0.0,1.0,0.27,0.06
48,0.0507590149668695,0.0,0.0507590149668695,0.0,0.0,0.0,0.0,1.0,0.27,0.06
49,0.0432205473975325,0.0,0.0432205473975325,0.0,0.0,0.0,0.0,1.0,0.27,0.06
50,0.055533377760782994,0.0,0.055533377760782994,0.0,0.0,0.0,0.0,1.0,0.27,0.06
51,0.0497538859576245,0.0,0.0497538859576245,0.0,0.0,0.0,0.0,1.0,0.27,0.06
52,0.046989781182201,0.0,0.046989781182201,0.0,0.0,0.0,0.0,1.0,0.27,0.06
53,0.09900520741062663,0.0,0.09900520741062663,0.0,0.0,0.0,0.0,1.0,0.27,0.06
54,0.11332829579236701,0.0,0.11332829579236701,0.0,0.0,0.0,0.0,1.0,0.27,0.06
55,0.10227187669067263,0.0,0.10227187669067263,0.0,0.0,0.0,0.0,1.0,0.27,0.06
56,0.11006162651232086,0.0,0.11006162651232086,0.0,0.0,0.0,0.0,1.0,0.27,0.06
57,0.08769750605662113,0.006830695061991987,0.08086681099462914,0.0,0.0,0.0,0.0,1.0,0.27,0.06
58,0.037441055594373995,0.03087259028018422,0.006568465314189774,0.0,0.0,0.0,0.0,1.0,0.27,0.06
59,0.04849747469606838,0.056958315516925304,0.0,-0.0,0.008460840820856921,0.0,0.0,1.0080377987798141,0.27,0.06
60,0.5304568597572419,0.2438611922131627,0.28659566754407917,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
61,0.9284879222900138,0.36073599827386016,0.5677519240161536,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
62,0.49779011670033124,0.400429328634097,0.09736078806623422,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
63,0.47919525515752626,0.17501639158836146,0.3041788635691648,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
64,0.46989781182200996,0.14769361134039363,0.32220420048161635,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
65,0.23595403492025038,0.062175460564273505,0.17377857435597688,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
66,0.08367699001964138,0.02409568021868038,0.059581309800961,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
67,0.24349250248958687,0.0,0.24349250248958687,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
68,0.04950260370531325,0.0,0.04950260370531325,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
69,0.14976422237749626,0.0,0.14976422237749626,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
70,0.14574370634051637,0.0,0.14574370634051637,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
71,0.10629239272765251,0.0,0.10629239272765251,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
72,0.08493340128119736,0.0,0.08493340128119736,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
73,0.24902071204043447,0.0,0.24902071204043447,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
74,0.26258995366524074,0.0,0.26258995366524074,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
75,0.06508210334860987,0.0,0.06508210334860987,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
76,0.050507732714558246,0.0,0.050507732714558246,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
77,0.12815394867872987,0.0,0.12815394867872987,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
78,0.24148224447109723,0.0,0.24148224447109723,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
79,0.11483598930623437,0.0,0.11483598930623437,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
80,0.09322571560746824,0.0,0.09322571560746824,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
81,0.08141544974884025,0.010703215097137038,0.07071223465170322,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
82,0.088702635065866,0.04033875036609441,0.048363884699771584,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
83,0.0711128774040795,0.0652949905925848,0.005817886811494699,0.0,0.0,0.0,0.0,1.0080377987798141,0.27,0.06
84,0.21208222095068263,0.24477553722146086,0.0,-0.0,0.03269331627077823,0.0,0.0,1.0390964492370534,0.27,0.06
85,0.40732853099651123,0.3596065132636096,0.047722017732901634,0.0,0.0,0.0,0.0,1.0390964492370534,0.27,0.06
86,0.460851650738805,0.39661059359944006,0.06424105713936495,0.0,0.0,0.0,0.0,1.0390964492370534,0.27,0.06
87,0.460851650738805,0.17636101660056472,0.2844906341382403,0.0,0.0,0.0,0.0,1.0390964492370534,0.27,0.06
88,0.32641564575229376,0.14446651131110602,0.18194913444118774,0.0,0.0,0.0,0.0,1.0390964492370534,0.27,0.06
89,0.061564151816252494,0.06303602057208349,0.0,-0.0,0.0014718687558303856,0.0,0.0,1.0404947245550922,0.27,0.06
90,0.17589757661786487,0.024956240226490407,0.15094133639137447,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
91,0.14096934354660287,0.0,0.14096934354660287,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
92,0.1324257469680209,0.0,0.1324257469680209,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
93,0.12312830363250513,0.0,0.12312830363250513,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
94,0.13443600498651087,0.0,0.13443600498651087,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
95,0.172128342833196,0.0,0.172128342833196,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
96,0.10403085245685138,0.0,0.10403085245685138,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
97,0.08794878830893238,0.0,0.08794878830893238,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
98,0.10176931218605026,0.0,0.10176931218605026,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
99,0.0593026115454515,0.0,0.0593026115454515,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
100,0.04196413613597625,0.0,0.04196413613597625,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
101,0.05302055523767063,0.0,0.05302055523767063,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
102,0.07714365145954913,0.0,0.07714365145954913,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
103,0.25128225231123563,0.0,0.25128225231123563,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
104,0.18469245544875723,0.0,0.18469245544875723,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
105,0.09674366713982537,0.008551815077612011,0.08819185206221336,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
106,0.07287185317025825,0.03738057533924747,0.03549127783101078,0.0,0.0,0.0,0.0,1.0404947245550922,0.27,0.06
107,0.03568207982819538,0.06959779063163486,0.0,-0.0,0.03391571080343948,0.0,0.0,1.0727146498183597,0.27,0.06
108,0.2276617205939791,0.25004646726929713,0.0,-0.0,0.022384746675318035,0.0,0.0,1.0939801591599119,0.27,0.06
109,0.3829541525223225,0.35234553819771236,0.03060861432461015,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
110,0.4045644262210888,0.3928456435652714,0.011718782655817384,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
111,0.4515542074032888,0.1840522716703667,0.2675019357329221,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
112,0.44552343334782,0.14581113632330925,0.29971229702451074,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
113,0.43069778046145746,0.06637069060234732,0.3643270898591101,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
114,0.15906166571301175,0.02506381022746665,0.1339978554855451,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
115,0.15529243192834324,5.378500048812589e-05,0.1552386469278551,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
116,0.1309180534541535,0.0,0.1309180534541535,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
117,0.08568724803813113,0.0,0.08568724803813113,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
118,0.03718977334206275,0.0,0.03718977334206275,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
119,0.04322054739753243,0.0,0.04322054739753243,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
120,0.14875909336825113,0.0,0.14875909336825113,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
121,0.096241102635203,0.0,0.096241102635203,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
122,0.10051290092449414,0.0,0.10051290092449414,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
123,0.0678462081240335,0.0,0.0678462081240335,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
124,0.06658979686247725,0.0,0.06658979686247725,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
125,0.056789789022339124,0.0,0.056789789022339124,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
126,0.09448212686902438,0.0,0.09448212686902438,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
127,0.07638980470261537,0.0,0.07638980470261537,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
128,0.06910261938558974,0.0,0.06910261938558974,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
129,0.07287185317025813,0.006938265062968238,0.06593358810728989,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
130,0.06131286956394151,0.04550211041295449,0.015810759150987022,0.0,0.0,0.0,0.0,1.0939801591599119,0.27,0.06
131,0.06332312758243125,0.08411974076342886,0.0,-0.0,0.02079661318099761,0.0,0.0,1.1137369416818597,0.27,0.06
132,0.22338992230468752,0.25284328729467975,0.0,-0.0,0.02945336498999218,0.0,0.0,1.1417176384223522,0.27,0.06
133,0.4088362245103787,0.37950696344421603,0.029329261066162682,0.0,0.0,0.0,0.0,1.1417176384223522,0.27,0.06
134,0.42215418388287496,0.3988157786194531,0.023338405263421846,0.0,0.0,0.0,0.0,1.1417176384223522,0.27,0.06
135,0.4578362637110712,0.20578141186756949,0.25205485184350174,0.0,0.0,0.0,0.0,1.1417176384223522,0.27,0.06
136,0.4646208845234738,0.17560802659373098,0.2890128579297428,0.0,0.0,0.0,0.0,1.1417176384223522,0.27,0.06
137,0.452810618664845,0.0993946809020566,0.3534159377627884,0.0,0.0,0.0,0.0,1.1417176384223522,0.27,0.06
138,0.29726690448419174,0.02716142524650356,0.2701054792376882,0.0,0.0,0.0,0.0,1.1417176384223522,0.27,0.06
