t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.22738597940254196,0.0,0.0,0.0,0.0,0.22738597940254196,0.0,4.760646337471009,0.27,0.06
2,0.1484392712261592,0.0,0.0,0.0,0.0,0.1484392712261592,0.0,4.60439447302242,0.27,0.06
3,0.15676342829733805,0.0,0.0,0.0,0.0,0.15676342829733805,0.0,4.439380337972591,0.27,0.06
4,0.3066606754075334,0.0,0.0,0.0,0.0,0.3066606754075334,0.0,4.116579627017293,0.27,0.06
5,0.42495343905119864,0.0,0.0,0.0,0.0,0.42495343905119864,0.0,3.6692602174897155,0.27,0.06
6,0.06795930506897832,0.0,0.0,0.0,0.0,0.06795930506897832,0.0,3.597724106890791,0.27,0.06
7,0.1556421411877682,0.0,0.0,0.0,0.0,0.1556421411877682,0.0,3.4338902740615613,0.27,0.06
8,0.06946381209824924,0.0,0.0,0.0,0.0,0.06946381209824924,0.0,3.360770471852878,0.27,0.06
9,0.0843742068811727,0.004042463832849766,0.0,0.0,0.0,0.08033174304832293,0.0,3.2762107423283275,0.27,0.06
10,0.11882503454891725,0.016058420969903956,0.0,0.0,0.0,0.1027666135790133,0.0,3.168035359613577,0.27,0.06
11,0.06384867560454312,0.017810763490056836,0.0,0.0,0.0,0.04603791211448628,0.0,3.119574399493065,0.27,0.06
12,0.19752698133532262,0.12549330067381162,0.0,0.0,0.0,0.072033680661511,0.0,3.043749472480948,0.27,0.06
13,0.4272955066947025,0.2800517346074658,0.0,0.0,0.0,0.1472437720872367,0.0,2.8887560281785936,0.27,0.06
14,0.14206563923492024,0.14160591501469322,0.0,0.0,0.0,0.00045972422022702575,0.0,2.8882721079467757,0.27,0.06
15,0.1232840801496255,0.05122614493061657,0.0,0.0,0.0,0.07205793521900893,0.0,2.8124216498215033,0.27,0.06
16,0.09651391786163681,0.03863458842585252,0.0,0.0,0.0,0.05787932943578429,0.0,2.7514960398890986,0.27,0.06
17,0.07348289248018913,0.03419315962777702,0.0,0.0,0.0,0.039289732852412114,0.0,2.7101384263602437,0.27,0.06
18,0.11736592375890013,0.022002681533288854,0.0,0.0,0.0,0.09536324222561128,0.0,2.6097560661227583,0.27,0.06
19,0.06993252826854518,0.0,0.0,0.0,0.0,0.06993252826854518,0.0,2.536142878471658,0.27,0.06
20,0.36539773447209406,0.0,0.36539773447209406,0.0,0.0,0.0,0.0,2.536142878471658,0.27,0.06
21,0.7407890727139268,0.0,0.7407890727139268,0.0,0.0,0.0,0.0,2.536142878471658,0.27,0.06
22,0.9090260221806787,0.0,0.9090260221806787,0.0,0.0,0.0,0.0,2.536142878471658,0.27,0.06
23,0.6181371351959113,0.0,0.6181371351959113,0.0,0.0,0.0,0.0,2.536142878471658,0.27,0.06
24,0.69339956025485,0.0,0.69339956025485,0.0,0.0,0.0,0.0,2.536142878471658,0.27,0.06
25,0.23487144095350643,0.0,0.23487144095350643,0.0,0.0,0.0,0.0,2.536142878471658,0.27,0.06
26,0.10491524853954719,0.0,0.0,0.0,0.0,0.10491524853954719,0.0,2.425705774745819,0.27,0.06
27,0.10757962948175374,0.0,0.0,0.0,0.0,0.10757962948175374,0.0,2.3124640595018677,0.27,0.06
28,0.06939042151145557,0.0,0.0,0.0,0.0,0.06939042151145557,0.0,2.239421510542441,0.27,0.06
29,0.1484127900865944,0.0,0.0,0.0,0.0,0.1484127900865944,0.0,2.083197520977605,0.27,0.06
30,0.0691475516314475,0.0,0.0,0.0,0.0,0.0691475516314475,0.0,2.0104106245234497,0.27,0.06
31,0.13638278668432707,0.0,0.0,0.0,0.0,0.13638278668432707,0.0,1.8668497964346844,0.27,0.06
32,0.13665516411985024,0.0,0.0,0.0,0.0,0.13665516411985024,0.0,1.7230022552558948,0.27,0.06
33,0.3882884098138481,0.024587410230882928,0.3637009995829652,0.0,0.0,0.0,0.0,1.7230022552558948,0.27,0.06
34,0.6484262626300601,0.14065051507444126,0.5077757475556188,0.0,0.0,0.0,0.0,1.7230022552558948,0.27,0.06
35,0.5120109419742674,0.24621458676496444,0.265796355209303,0.0,0.0,0.0,0.0,1.7230022552558948,0.27,0.06
36,0.37920954026507436,0.5416862571256605,0.0,-0.0,0.16247671686058618,0.0,0.0,1.8773551362734517,0.27,0.06
37,0.44243855720380315,0.5146214813575616,0.0,-0.0,0.07218292415375806,0.0,0.0,1.945928914219522,0.27,0.06
38,0.5454755363442221,0.7871589554403282,0.0,-0.0,0.2416834190961066,0.0,0.0,2.1755281623608234,0.27,0.06
39,0.21363129721062185,0.20986754108843728,0.0,0.0,0.0,0.003763756122184575,0.0,2.171566313811155,0.27,0.06
40,0.6485753136156099,0.3268308598388506,0.32174445377675936,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
41,0.35795237293247006,0.1397175855741955,0.21823478735827456,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
42,0.7597408676964232,0.06563536722756123,0.694105500468862,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
43,0.6449504239111913,0.0,0.6449504239111913,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
44,0.5412234219341124,0.0,0.5412234219341124,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
45,0.6143022878849425,0.0,0.6143022878849425,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
46,0.6408242840650101,0.0,0.6408242840650101,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
47,0.3469566471812038,0.0,0.3469566471812038,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
48,0.40667880463757244,0.0,0.40667880463757244,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
49,0.17039970196520368,0.0,0.17039970196520368,0.0,0.0,0.0,0.0,2.171566313811155,0.27,0.06
50,0.07493859855226224,0.0,0.0,0.0,0.0,0.07493859855226224,0.0,2.0926835784929843,0.27,0.06
51,0.1046496805399123,0.0,0.0,0.0,0.0,0.1046496805399123,0.0,1.9825260200299186,0.27,0.06
