t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.3580609072090188,0.0,0.0,0.0,0.0,0.3580609072090188,0.0,4.623093781885244,0.27,0.06
2,0.238773212707893,0.0,0.0,0.0,0.0,0.238773212707893,0.0,4.371753557982198,0.27,0.06
3,0.19782370564034238,0.0,0.0,0.0,0.0,0.19782370564034238,0.0,4.163518078360785,0.27,0.06
4,0.095351026118645,0.0,0.0,0.0,0.0,0.095351026118645,0.0,4.063148577183264,0.27,0.06
5,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,3.9852685078048555,0.27,0.06
6,0.06112752504286575,0.0,0.0,0.0,0.0,0.06112752504286575,0.0,3.920923744601839,0.27,0.06
7,0.08704243048175062,0.0,0.0,0.0,0.0,0.08704243048175062,0.0,3.829300133568417,0.27,0.06
8,0.06646876509515501,0.0,0.0,0.0,0.0,0.06646876509515501,0.0,3.7593330124156226,0.27,0.06
9,0.09218584682839949,0.005900897561728987,0.0,0.0,0.0,0.0862849492666705,0.0,3.6685067500296538,0.27,0.06
10,0.08288813266330339,0.02822168399087773,0.0,0.0,0.0,0.054666448672425656,0.0,3.610963119848153,0.27,0.06
11,0.14203742064976563,0.05079903118357993,0.0,0.0,0.0,0.0912383894661857,0.0,3.514922709883747,0.27,0.06
12,0.7368932837279045,0.2288522010896632,0.0,0.0,0.0,0.5080410826382413,0.0,2.9801426228961247,0.27,0.06
13,1.2710173087391987,0.3433296137872052,0.9276876949519934,0.0,0.0,0.0,0.0,2.9801426228961247,0.27,0.06
14,0.9325409483885738,0.3770416981181265,0.0,0.0,0.0,0.5554992502704473,0.0,2.3954065699798646,0.27,0.06
15,0.9984162225844362,0.15680993868385878,0.8416062839005773,0.0,0.0,0.0,0.0,2.3954065699798646,0.27,0.06
16,0.8362008037417263,0.13387340642218187,0.6181987985399943,0.0,0.0,0.08412859877955021,0.0,2.306850150211917,0.27,0.06
17,0.12917887978314352,0.054801379095013515,0.0,0.0,0.0,0.07437750068813001,0.0,2.2285580442244117,0.27,0.06
18,0.17962392472143077,0.020935358305960213,0.0,0.0,0.0,0.15868856641547055,0.0,2.0615174479976006,0.27,0.06
19,0.15529160892766838,0.0,0.0,0.0,0.0,0.15529160892766838,0.0,1.8980525964947919,0.27,0.06
20,0.04391686265215594,0.0,0.0,0.0,0.0,0.04391686265215594,0.0,1.8518243200188382,0.27,0.06
21,0.07378824220384776,0.0,0.0,0.0,0.0,0.07378824220384776,0.0,1.774152486120051,0.27,0.06
22,0.10405526916682012,0.0,0.0,0.0,0.0,0.10405526916682012,0.0,1.6646206238391879,0.27,0.06
23,0.0627101146879885,0.0,0.0,0.0,0.0,0.0627101146879885,0.0,1.5986099767992,0.27,0.06
24,0.026904023967086535,0.0,0.0,0.0,0.0,0.026904023967086535,0.0,1.5702899515706878,0.27,0.06
25,0.08763590159867163,0.0,0.0,0.0,0.0,0.08763590159867163,0.0,1.478041634098402,0.27,0.06
26,0.06350140951054987,0.0,0.0,0.0,0.0,0.06350140951054987,0.0,1.4111980451399284,0.27,0.06
27,0.05736887463569925,0.0,0.0,0.0,0.0,0.05736887463569925,0.0,1.3508097560497188,0.27,0.06
28,0.045697276002919,0.0,0.0,0.0,0.0,0.045697276002919,0.0,1.3027073602571724,0.27,0.06
29,0.06765570732899703,0.0,0.0,0.0,0.0,0.06765570732899703,0.0,1.2314908262266493,0.27,0.06
30,0.09396626017916263,0.0,0.0,0.0,0.0,0.09396626017916263,0.0,1.1325789734064782,0.27,0.06
31,0.10385744546117975,0.0,0.0,0.0,0.0,0.10385744546117975,0.0,1.0232553466052363,0.27,0.06
32,0.09099890459455749,0.0,0.09099890459455749,0.0,0.0,0.0,0.0,1.0232553466052363,0.27,0.06
33,0.06745788362335675,0.006516643394257223,0.060941240229099525,0.0,0.0,0.0,0.0,1.0232553466052363,0.27,0.06
34,0.07893165855049664,0.02888874197611667,0.05004291657437997,0.0,0.0,0.0,0.0,1.0232553466052363,0.27,0.06
35,0.065875293978234,0.05346726312453565,0.012408030853698349,0.0,0.0,0.0,0.0,1.0232553466052363,0.27,0.06
36,0.42512314342109586,0.23054550212911584,0.19457764129198002,0.0,0.0,0.0,0.0,1.0232553466052363,0.27,0.06
37,0.7798210278518587,0.34368879885618014,0.43613222899567855,0.0,0.0,0.0,0.0,1.0232553466052363,0.27,0.06
38,0.5137481635479688,0.3812492946404029,0.1324988689075659,0.0,0.0,0.0,0.0,1.0232553466052363,0.27,0.06
39,0.436201270936955,0.16260821194016645,0.27359305899678854,0.0,0.0,0.0,0.0,1.0232553466052363,0.27,0.06
