t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.870920274602229,0.27,0.06
2,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.741840549204459,0.27,0.06
3,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.631540865821527,0.27,0.06
4,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.521241182438595,0.27,0.06
5,0.289979719167165,0.0,0.0,5.551115123125783e-17,0.0,0.28997971916716503,0.0,4.444930730026183,0.27,0.06
6,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.368620277613771,0.27,0.06
7,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.285300372900045,0.27,0.06
8,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.20198046818632,0.27,0.06
9,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.112180126439305,0.27,0.06
10,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.02237978469229,0.27,0.06
11,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.979926309433391,0.27,0.06
12,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.937472834174493,0.27,0.06
13,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.9004417654128374,0.27,0.06
14,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.8634106966511816,0.27,0.06
15,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.836695425615987,0.27,0.06
16,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.809980154580793,0.27,0.06
17,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.785248690800687,0.27,0.06
18,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.760517227020581,0.27,0.06
19,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7357857632404756,0.27,0.06
20,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7110542994603697,0.27,0.06
21,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,3.7110542994603697,0.27,0.06
22,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.6918774959945124,0.27,0.06
23,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.6701878700055426,0.27,0.06
24,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.6484982440165727,0.27,0.06
25,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.634743847047958,0.27,0.06
26,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.620989450079341,0.27,0.06
27,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.5765521675653544,0.27,0.06
28,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.5321148850513677,0.27,0.06
29,0.0859385302904425,0.0,0.0,1.3877787807814457e-17,0.0,0.08593853029044252,0.0,3.5094994823433563,0.27,0.06
30,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904425,0.0,3.4868840796353453,0.27,0.06
31,0.0829231432627075,0.0,0.0829231432627075,0.0,0.0,0.0,0.0,3.4868840796353453,0.27,0.06
32,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.4650621998293696,0.27,0.06
33,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.4364953753560927,0.27,0.06
34,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.4079285508828154,0.27,0.06
35,0.1256411261556175,0.010912564306372014,0.0,0.0,0.0,0.1147285618492455,0.0,3.3777368240803822,0.27,0.06
36,0.1256411261556175,0.024943004128850345,0.0,-1.3877787807814457e-17,0.0,0.10069812202676716,0.0,3.3512373182838644,0.27,0.06
37,0.12815394867873,0.03304948047072667,0.0,0.0,0.0,0.09510446820800333,0.0,3.3262098266501794,0.27,0.06
38,0.12815394867873,0.040220594157771114,0.0,0.0,0.0,0.08793335452095889,0.0,3.3030694701972956,0.27,0.06
39,0.08242057875808526,0.04645634518998373,0.0,0.0,0.0,0.03596423356810152,0.0,3.29360519820569,0.27,0.06
40,0.08242057875808526,0.05175673356736438,0.0,0.0,0.0,0.03066384519072088,0.0,3.2855357652607635,0.27,0.06
41,0.08744622380430975,0.0570571219447451,0.0,0.0,0.0,0.03038910185956465,0.0,3.277538633192457,0.27,0.06
42,0.08744622380430975,0.06048678501246201,0.0,0.0,0.0,0.026959438791847735,0.0,3.2704440440367075,0.27,0.06
43,0.273395090514625,0.06547538583823208,0.0,0.0,0.0,0.20791970467639292,0.0,3.2157283322797623,0.27,0.06
44,0.273395090514625,0.12565038329908348,0.0,0.0,0.0,0.14774470721554153,0.0,3.1768481461704092,0.27,0.06
45,0.17388731859937476,0.236958539224078,0.0,-2.7755575615628914e-17,0.06307122062470327,0.0,0.0,3.1918275610687763,0.27,0.06
46,0.17388731859937476,0.2940156611688229,0.0,0.0,0.12012834256944813,0.0,0.0,3.2203580424290204,0.27,0.06
47,1.6981654108628774,0.4006470038196586,0.0,0.0,0.0,1.2975184070432189,0.0,2.878905830049226,0.27,0.06
48,1.6981654108628774,0.45895127597084595,0.0,0.0,0.0,1.2392141348920314,0.0,2.552796847182902,0.27,0.06
49,1.582073060551535,0.5016661705415018,0.0,-2.220446049250313e-16,0.0,1.080406890010033,0.0,2.2684792445486828,0.27,0.06
50,1.582073060551535,0.5365863763218921,0.0,0.0,0.0,1.0454866842296429,0.0,1.9933511697514081,0.27,0.06
51,1.646903881647835,0.4938714817512364,1.1530323998965986,0.0,0.0,0.0,0.0,1.9933511697514081,0.27,0.06
