t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.1722983996719955,0.0,0.0,-2.7755575615628914e-17,0.0,0.17229839967199548,0.0,4.954658315875791,0.27,0.06
2,0.13974173008711724,0.0,0.0,0.0,0.0,0.13974173008711724,0.0,4.9178841763791805,0.27,0.06
3,0.2773180595618275,0.0,0.0,0.0,0.0,0.2773180595618275,0.0,4.8449057396523845,0.27,0.06
4,0.3201857282892275,0.0,0.0,0.0,0.0,0.3201857282892275,0.0,4.760646337471009,0.27,0.06
5,0.13924388466330026,0.0,0.0,0.0,0.0,0.13924388466330026,0.0,4.7240032099280365,0.27,0.06
6,0.14134119091682776,0.0,0.0,0.0,0.0,0.14134119091682776,0.0,4.686808159686766,0.27,0.06
7,0.17238919215050325,0.0,0.0,0.0,0.0,0.17238919215050325,0.0,4.6414425828050545,0.27,0.06
8,0.1407828171740055,0.0,0.0,0.0,0.0,0.1407828171740055,0.0,4.604394473022421,0.27,0.06
9,0.13922723937557374,0.0,0.0,0.0,0.0,0.13922723937557374,0.0,4.567755725818323,0.27,0.06
10,0.16824451550662775,0.0,0.0,2.7755575615628914e-17,0.0,0.16824451550662778,0.0,4.5234808533165785,0.27,0.06
11,0.14828378910671475,0.0,0.0,0.0,0.0,0.14828378910671475,0.0,4.484458803551654,0.27,0.06
12,0.171298169200436,0.0,0.0,5.551115123125783e-17,0.0,0.17129816920043606,0.0,4.439380337972592,0.27,0.06
13,0.322994242291065,0.0,0.0,0.0,0.0,0.322994242291065,0.0,4.354381853159153,0.27,0.06
14,0.256664283909305,0.0,0.0,0.0,0.0,0.256664283909305,0.0,4.286838620551442,0.27,0.06
15,0.13851754483523876,0.0,0.0,0.0,0.0,0.13851754483523876,0.0,4.250386635068485,0.27,0.06
16,0.508466630594525,0.0,0.0,0.0,0.0,0.508466630594525,0.0,4.116579627017294,0.27,0.06
17,0.6285427098368775,0.0,0.0,0.0,0.0,0.6285427098368775,0.0,3.951173650744431,0.27,0.06
18,0.448593530642635,0.0,0.0,0.0,0.0,0.448593530642635,0.0,3.833122721627948,0.27,0.06
19,0.3913851899349475,0.0,0.0,0.0,0.0,0.3913851899349475,0.0,3.7301266190134883,0.27,0.06
20,0.2312923257903345,0.0,0.0,0.0,0.0,0.2312923257903345,0.0,3.669260217489716,0.27,0.06
21,0.06013337172361025,0.0,0.0,0.0,0.0,0.06013337172361025,0.0,3.6534356459835027,0.27,0.06
22,0.058202518347347,0.0,0.0,0.0,0.0,0.058202518347347,0.0,3.6381191937868325,0.27,0.06
23,0.09063661808623975,0.0,0.0,1.3877787807814457e-17,0.0,0.09063661808623977,0.0,3.61426745218519,0.27,0.06
24,0.06286471211871625,0.0,0.0,0.0,0.0,0.06286471211871625,0.0,3.5977241068907913,0.27,0.06
25,0.05906353368519475,0.0,0.0,0.0,0.0,0.05906353368519475,0.0,3.582181071710477,0.27,0.06
26,0.2152946910772815,0.0,0.0,0.0,0.0,0.2152946910772815,0.0,3.5255245740585606,0.27,0.06
27,0.2295324649152605,0.0,0.0,2.7755575615628914e-17,0.0,0.22953246491526053,0.0,3.4651212938177025,0.27,0.06
28,0.118677875073336,0.0,0.0,0.0,0.0,0.118677875073336,0.0,3.4338902740615613,0.27,0.06
29,0.0756150025171445,0.0,0.0,0.0,0.0,0.0756150025171445,0.0,3.4139915891886288,0.27,0.06
30,0.0789516261023015,0.0,0.0,0.0,0.0,0.0789516261023015,0.0,3.393214845477497,0.27,0.06
31,0.0606100322357755,0.0,0.0,0.0,0.0,0.0606100322357755,0.0,3.377264836994398,0.27,0.06
32,0.0626785875377755,0.0,0.0,0.0,0.0,0.0626785875377755,0.0,3.360770471852878,0.27,0.06
33,0.08390738222084575,0.0,0.0,0.0,0.0,0.08390738222084575,0.0,3.338689581794761,0.27,0.06
34,0.0568497104175825,0.0,0.0,0.0,0.0,0.0568497104175825,0.0,3.3237291316848707,0.27,0.06
35,0.05492793628917,0.0,0.0,0.0,0.0,0.05492793628917,0.0,3.3092744116087736,0.27,0.06
36,0.1418117985970925,0.0,0.0,0.0,0.0,0.1418117985970925,0.0,3.2719555172411177,0.27,0.06
37,0.22534995807200675,0.0,0.0,0.0,0.0,0.22534995807200675,0.0,3.2126528966958525,0.27,0.06
38,0.105646127991534,0.0,0.0,0.0,0.0,0.105646127991534,0.0,3.1848512840665015,0.27,0.06
39,0.078648984507276,0.0,0.0,0.0,0.0,0.078648984507276,0.0,3.164154182880376,0.27,0.06
40,0.06565506762485225,0.0,0.0,0.0,0.0,0.06565506762485225,0.0,3.1468765335054147,0.27,0.06
41,0.05650923862317875,0.0,0.0,0.0,0.0,0.05650923862317875,0.0,3.132005681236157,0.27,0.06
42,0.06972559707794625,0.0,0.0,0.0,0.0,0.06972559707794625,0.0,3.113656839899856,0.27,0.06
43,0.07331795281090026,0.0,0.0,0.0,0.0,0.07331795281090026,0.0,3.0943626417917245,0.27,0.06
44,0.05584191390614725,0.0,0.0,0.0,0.0,0.05584191390614725,0.0,3.0796674012901066,0.27,0.06
45,0.05936617528022025,0.0,0.0,0.0,0.0,0.05936617528022025,0.0,3.0640447235847854,0.27,0.06
46,0.08561579402476525,0.08561579402476525,0.0,0.0,0.0,0.0,0.0,3.0640447235847854,0.27,0.06
47,0.3005715265156175,0.0,0.0,0.0,0.0,0.3005715265156175,0.0,2.9849469534490964,0.27,0.06
48,0.3445544295206875,0.0,0.0,0.0,0.0,0.3445544295206875,0.0,2.8942747351541787,0.27,0.06
49,0.55910310906623,0.0,0.0,0.0,0.0,0.55910310906623,0.0,2.7471423380314866,0.27,0.06
50,0.52025452072077,0.0,0.0,0.0,0.0,0.52025452072077,0.0,2.610233253631284,0.27,0.06
51,0.371557625836845,0.0,0.0,0.0,0.0,0.371557625836845,0.0,2.5124549310426407,0.27,0.06
52,0.258266771154965,0.0,0.0,0.0,0.0,0.258266771154965,0.0,2.4444899912650184,0.27,0.06
53,0.2434706235741645,0.1768981622645054,0.0,0.0,0.0,0.0665724613096591,0.0,2.4269709224993186,0.27,0.06
54,0.189011781757284,0.189011781757284,0.0,0.0,0.0,0.0,0.0,2.4269709224993186,0.27,0.06
55,0.06579125634261375,0.06579125634261375,0.0,0.0,0.0,0.0,0.0,2.4269709224993186,0.27,0.06
56,0.06998889526561874,0.06998889526561874,0.0,0.0,0.0,0.0,0.0,2.4269709224993186,0.27,0.06
57,0.07646996502309175,0.0,0.0,0.0,0.0,0.07646996502309175,0.0,2.406847247493242,0.27,0.06
58,0.05971421311449975,0.0,0.0,0.0,0.0,0.05971421311449975,0.0,2.391132980884163,0.27,0.06
59,0.091561188159043,0.0,0.0,0.0,0.0,0.091561188159043,0.0,2.3670379313686256,0.27,0.06
60,0.2653909543018675,0.0,0.0,0.0,0.0,0.2653909543018675,0.0,2.2971982065523444,0.27,0.06
61,0.1847248635637465,0.0,0.0,0.0,0.0,0.1847248635637465,0.0,2.2485864003513587,0.27,0.06
62,0.0556784874448335,0.0,0.0,0.0,0.0,0.0556784874448335,0.0,2.2339341668132446,0.27,0.06
63,0.06779625690965825,0.0,0.0,0.0,0.0,0.06779625690965825,0.0,2.216093046573861,0.27,0.06
64,0.077856063528309,0.0,0.0,0.0,0.0,0.077856063528309,0.0,2.1956046088032535,0.27,0.06
65,0.054560226751214,-0.0,0.0,0.0,0.0,0.054560226751214,0.0,2.1812466543950393,0.27,0.06
66,0.0591679450354785,0.0,0.0,0.0,0.0,0.0591679450354785,0.0,2.1656761425435977,0.27,0.06
67,0.085494737386755,0.0,0.0,0.0,0.0,0.085494737386755,0.0,2.14317752744182,0.27,0.06
68,0.094708660747309,0.0,0.0,0.0,0.0,0.094708660747309,0.0,2.1182541956662124,0.27,0.06
69,0.22995616314829626,0.0,0.0,0.0,0.0,0.22995616314829626,0.0,2.057739415890345,0.27,0.06
70,0.11387495296028,0.0,0.0,0.0,0.0,0.11387495296028,0.0,2.0277723230060607,0.27,0.06
71,0.06578066388678774,0.0,0.0,0.0,0.0,0.06578066388678774,0.0,2.0104616219832216,0.27,0.06
72,0.0598519150402365,0.0,0.0,0.0,0.0,0.0598519150402365,0.0,1.9947111180252648,0.27,0.06
