t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.3861518734099475,0.0,0.3861518734099475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
2,0.3861518734099475,0.0,0.3861518734099475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
3,0.32996994100809,0.0,0.32996994100809,0.0,0.0,0.0,0.0,0.0,0.27,0.06
4,0.32996994100809,0.0,0.32996994100809,0.0,0.0,0.0,0.0,0.0,0.27,0.06
5,0.22828855630895475,0.0,0.22828855630895475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
6,0.22828855630895475,0.0,0.22828855630895475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
7,0.24925786910683126,0.0,0.24925786910683126,0.0,0.0,0.0,0.0,0.0,0.27,0.06
8,0.24925786910683126,0.0,0.24925786910683126,0.0,0.0,0.0,0.0,0.0,0.27,0.06
9,0.268644592259585,0.0,0.268644592259585,0.0,0.0,0.0,0.0,0.0,0.27,0.06
10,0.268644592259585,0.0,0.268644592259585,0.0,0.0,0.0,0.0,0.0,0.27,0.06
11,0.12700281902109975,0.0,0.12700281902109975,0.0,0.0,0.0,0.0,0.0,0.27,0.06
12,0.12700281902109975,0.0,0.12700281902109975,0.0,0.0,0.0,0.0,0.0,0.27,0.06
13,0.11078127515859175,0.0,0.11078127515859175,0.0,0.0,0.0,0.0,0.0,0.27,0.06
14,0.11078127515859175,0.0,0.11078127515859175,0.0,0.0,0.0,0.0,0.0,0.27,0.06
15,0.07992077707869825,0.0,0.07992077707869825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
16,0.07992077707869825,0.0,0.07992077707869825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
17,0.073986065909488,0.0,0.073986065909488,0.0,0.0,0.0,0.0,0.0,0.27,0.06
18,0.073986065909488,0.0,0.073986065909488,0.0,0.0,0.0,0.0,0.0,0.27,0.06
19,0.073986065909488,0.0,0.073986065909488,0.0,0.0,0.0,0.0,0.0,0.27,0.06
20,0.073986065909488,0.0,0.073986065909488,0.0,0.0,0.0,0.0,0.0,0.27,0.06
21,0.05736887463569925,0.0,0.05736887463569925,0.0,0.0,0.0,0.0,0.0,0.27,0.06
22,0.05736887463569925,0.0,0.05736887463569925,0.0,0.0,0.0,0.0,0.0,0.27,0.06
23,0.06488617545003225,0.0,0.06488617545003225,0.0,0.0,0.0,0.0,0.0,0.27,0.06
24,0.06488617545003225,0.0,0.06488617545003225,0.0,0.0,0.0,0.0,0.0,0.27,0.06
25,0.04114733077319125,0.0,0.04114733077319125,0.0,0.0,0.0,0.0,0.0,0.27,0.06
26,0.04114733077319125,0.0,0.04114733077319125,0.0,0.0,0.0,0.0,0.0,0.27,0.06
27,0.13293753019031,0.0,0.13293753019031,0.0,0.0,0.0,0.0,0.0,0.27,0.06
28,0.13293753019031,0.0,0.13293753019031,0.0,0.0,0.0,0.0,0.0,0.27,0.06
29,0.067655707328997,0.0,0.067655707328997,0.0,0.0,0.0,0.0,0.0,0.27,0.06
30,0.067655707328997,0.0,0.067655707328997,0.0,0.0,0.0,0.0,0.0,0.27,0.06
31,0.065281822861313,0.0,0.065281822861313,0.0,0.0,0.0,0.0,0.0,0.27,0.06
32,0.065281822861313,0.0,0.065281822861313,0.0,0.0,0.0,0.0,0.0,0.27,0.06
33,0.08545984083662775,0.0,0.08545984083662775,0.0,0.0,0.0,0.0,0.0,0.27,0.06
34,0.08545984083662775,0.0,0.08545984083662775,0.0,0.0,0.0,0.0,0.0,0.27,0.06
35,0.09891185282017124,0.008590992357276525,0.09032086046289473,0.0,0.0,0.0,0.0,0.0,0.27,0.06
36,0.09891185282017124,0.019636553959489222,0.07927529886068202,0.0,0.0,0.0,0.0,0.0,0.27,0.06
37,0.1008900898765745,0.02601843399632319,0.0748716558802513,0.0,0.0,0.0,0.0,0.0,0.27,0.06
38,0.1008900898765745,0.031663943259676315,0.06922614661689819,0.0,0.0,0.0,0.0,0.0,0.27,0.06
39,0.06488617545003225,0.036573081749548646,0.028313093700483606,0.0,0.0,0.0,0.0,0.0,0.27,0.06
40,0.06488617545003225,0.040745849465940065,0.024140325984092187,0.0,0.0,0.0,0.0,0.0,0.27,0.06
41,0.068842649562839,0.04491861718233154,0.023924032380507464,0.0,0.0,0.0,0.0,0.0,0.27,0.06
42,0.068842649562839,0.0476186433517613,0.0212240062110777,0.0,0.0,0.0,0.0,0.0,0.27,0.06
43,0.21523219173669225,0.05154595414365914,0.1636862375930331,0.0,0.0,0.0,0.0,0.0,0.27,0.06
44,0.21523219173669225,0.09891914057092685,0.1163130511657654,0.0,0.0,0.0,0.0,0.0,0.27,0.06
45,0.13689400430311674,0.18654726261514737,0.0,0.04965325831203063,0.0,0.0,0.0,0.0,0.27,0.06
46,0.13689400430311674,0.23146587979747876,0.0,0.09457187549436202,0.0,0.0,0.0,0.0,0.27,0.06
47,1.3368925631526924,0.31541214797429556,1.021480415178397,0.0,0.0,0.0,0.0,0.0,0.27,0.06
48,1.3368925631526924,0.3613125928546014,0.9755799702980911,0.0,0.0,0.0,0.0,0.0,0.27,0.06
49,1.245498050711595,0.39494019151022625,0.8505578592013687,0.0,0.0,0.0,0.0,0.0,0.27,0.06
50,1.245498050711595,0.42243136705351114,0.8230666836580838,0.0,0.0,0.0,0.0,0.0,0.27,0.06
51,1.2965365667668025,0.3888037683978862,0.9077327983689163,0.0,0.0,0.0,0.0,0.0,0.27,0.06
52,1.2965365667668025,0.4361769548251535,0.860359611941649,0.0,0.0,0.0,0.0,0.0,0.27,0.06
53,1.01602259173354,0.4887047366667872,0.5273178550667528,0.0,0.0,0.0,0.0,0.0,0.27,0.06
54,1.01602259173354,0.4968048151750768,0.5192177765584631,0.0,0.0,0.0,0.0,0.0,0.27,0.06
55,0.8490593050436075,0.47397732119717045,0.37508198384643704,0.0,0.0,0.0,0.0,0.0,0.27,0.06
56,0.8490593050436075,0.3441306081400481,0.5049286969035593,0.0,0.0,0.0,0.0,0.0,0.27,0.06
57,1.0401570046921775,0.2420205275507043,0.7981364771414732,0.0,0.0,0.0,0.0,0.0,0.27,0.06
58,1.0401570046921775,0.17893809795584528,0.8612189067363323,0.0,0.0,0.0,0.0,0.0,0.27,0.06
59,0.956675440476695,0.16175611324129213,0.7949193272354028,0.0,0.0,0.0,0.0,0.0,0.27,0.06
60,0.956675440476695,0.1674016225046455,0.7892738179720494,0.0,0.0,0.0,0.0,0.0,0.27,0.06
