t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
1,0.08963123873653875,0.0,0.08963123873653875,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
2,0.08963123873653875,0.0,0.08963123873653875,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
3,0.0942995324207335,0.0,0.0942995324207335,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
4,0.0942995324207335,0.0,0.0942995324207335,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
5,0.1671249138941715,0.0,0.1671249138941715,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
6,0.1671249138941715,0.0,0.1671249138941715,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
7,0.05415220673665875,0.0,0.05415220673665875,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
8,0.05415220673665875,0.0,0.05415220673665875,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
9,0.05601952421033675,0.0,0.05601952421033675,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
10,0.05601952421033675,0.0,0.05601952421033675,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
11,0.0793609926313105,0.0,0.0793609926313105,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
12,0.0793609926313105,0.0,0.0793609926313105,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
13,0.04668293684194725,0.0,0.04668293684194725,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
14,0.04668293684194725,0.0,0.04668293684194725,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
15,0.07189172273659875,0.0,0.07189172273659875,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
16,0.07189172273659875,0.0,0.07189172273659875,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
17,0.103636119789123,0.0,0.103636119789123,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
18,0.103636119789123,0.0,0.103636119789123,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
19,0.0756263576839545,0.0,0.0756263576839545,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
20,0.0756263576839545,0.0,0.0756263576839545,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
21,0.07095806399976,0.0,0.07095806399976,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
22,0.07095806399976,0.0,0.07095806399976,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
23,0.052284889262981,0.0,0.052284889262981,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
24,0.052284889262981,0.0,0.052284889262981,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
25,0.0429483018945915,0.0,0.0429483018945915,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
26,0.0429483018945915,0.0,0.0429483018945915,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
27,0.105503437262801,0.0,0.105503437262801,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
28,0.105503437262801,0.0,0.105503437262801,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
29,0.103636119789123,0.0,0.103636119789123,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
30,0.103636119789123,0.0,0.103636119789123,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
31,0.1139063658943515,0.0,0.1139063658943515,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
32,0.1139063658943515,0.0,0.1139063658943515,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
33,0.1297785644206135,0.0,0.1297785644206135,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
34,0.1297785644206135,0.0,0.1297785644206135,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
35,0.10643709599963976,0.0026408217314604406,0.10379627426817932,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0026408217314604354,0.0,0.0
36,0.10643709599963976,0.00603616395762387,0.10040093204201589,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.006036163957623866,0.0,0.0
37,0.10923807221015674,0.00799791724385162,0.10124015496630512,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.007997917243851627,0.0,0.0
38,0.10923807221015674,0.009733314381668474,0.09950475782848828,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.009733314381668468,0.0,0.0
39,0.08963123873653875,0.01124235537107445,0.0783888833654643,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.011242355371074444,0.0,0.0
40,0.08963123873653875,0.012525040212069509,0.07710619852446923,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.012525040212069516,0.0,0.0
41,0.04014732568407475,0.013807725053064586,0.026339600631010165,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.013807725053064587,0.0,0.0
42,0.04014732568407475,0.014637697597237867,0.025509628086836884,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.014637697597237868,0.0,0.0
43,0.07375904021027675,0.01584493038876264,0.05791410982151411,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.01584493038876264,0.0,0.0
44,0.07375904021027675,0.030407175936530213,0.04335186427374654,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.03040717593653021,0.0,0.0
45,0.04014732568407475,0.057343557597426695,0.0,0.017196231913351942,0.0,0.0,0.0,0.0,0.24,0.06,0.04014732568407475,0.0,0.017196231913351942
46,0.04014732568407475,0.07115128265049124,0.0,0.031003956966416488,0.0,0.0,0.0,0.0,0.24,0.06,0.04014732568407475,0.0,0.031003956966416488
47,0.0448156193682695,0.0969558835693334,0.0,0.05214026420106391,0.0,0.0,0.0,0.0,0.24,0.06,0.0448156193682695,0.0,0.05214026420106391
48,0.0448156193682695,0.11106541682027912,0.0,0.06624979745200962,0.0,0.0,0.0,0.0,0.24,0.06,0.0448156193682695,0.0,0.06624979745200962
49,0.05695318294717575,0.12140234759770988,0.0,0.06444916465053413,0.0,0.0,0.0,0.0,0.24,0.06,0.05695318294717575,0.0,0.06444916465053413
50,0.05695318294717575,0.12985297713838329,0.0,0.07289979419120754,0.0,0.0,0.0,0.0,0.24,0.06,0.05695318294717575,0.0,0.07289979419120754
51,0.01307122231574525,0.11951604636095252,0.0,0.10644482404520728,0.0,0.0,0.0,0.0,0.24,0.06,0.01307122231574525,0.0,0.10644482404520728
52,0.01307122231574525,0.13407829190871995,0.0,0.12100706959297469,0.0,0.0,0.0,0.0,0.24,0.06,0.01307122231574525,0.0,0.12100706959297469
53,0.02894342084200725,0.15022503049536381,0.0,0.12128160965335656,0.0,0.0,0.0,0.0,0.24,0.06,0.02894342084200725,0.0,0.12128160965335656
54,0.02894342084200725,0.15271494812788378,0.0,0.12377152728587652,0.0,0.0,0.0,0.0,0.24,0.06,0.02894342084200725,0.0,0.12377152728587652
55,0.036412690736719,0.14569790752714598,0.0,0.10928521679042698,0.0,0.0,0.0,0.0,0.24,0.06,0.036412690736719,0.0,0.10928521679042698
56,0.036412690736719,0.10578377335735817,0.0,0.06937108262063917,0.0,0.0,0.0,0.0,0.24,0.06,0.036412690736719,0.0,0.06937108262063917
57,0.018673174736778923,0.07439572077771409,0.0,0.05572254604093516,0.0,0.0,0.0,0.0,0.24,0.06,0.018673174736778923,0.0,0.05572254604093516
58,0.018673174736778923,0.055004544063847444,0.0,0.03633136932706852,0.0,0.0,0.0,0.0,0.24,0.06,0.018673174736778923,0.0,0.03633136932706852
59,0.03921366694723575,0.04972290060092653,0.0,0.010509233653690782,0.0,0.0,0.0,0.0,0.24,0.06,0.03921366694723575,0.0,0.010509233653690782
60,0.03921366694723575,0.051458297738743455,0.0,0.012244630791507706,0.0,0.0,0.0,0.0,0.24,0.06,0.03921366694723575,0.0,0.012244630791507706
61,0.02147415094729575,0.056815393251134605,0.0,0.03534124230383885,0.0,0.0,0.0,0.0,0.24,0.06,0.02147415094729575,0.0,0.03534124230383885
62,0.02147415094729575,0.060135283427827736,0.0,0.03866113248053199,0.0,0.0,0.0,0.0,0.24,0.06,0.02147415094729575,0.0,0.03866113248053199
63,0.01493853978942315,0.04595029812741167,0.0,0.03101175833798852,0.0,0.0,0.0,0.0,0.24,0.06,0.01493853978942315,0.0,0.03101175833798852
64,0.01493853978942315,0.03395342226163423,0.0,0.01901488247221108,0.0,0.0,0.0,0.0,0.24,0.06,0.01493853978942315,0.0,0.01901488247221108
65,0.0606878178945315,0.024597368127317252,0.03609044976721425,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.024597368127317255,0.0,0.0
66,0.0606878178945315,0.02097566975274294,0.03971214814178856,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.02097566975274294,0.0,0.0
67,0.03547903199988,0.018485752120223076,0.016993279879656924,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.018485752120223076,0.0,0.0
68,0.03547903199988,0.016523998833995326,0.018955033165884674,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.016523998833995326,0.0,0.0
69,0.03547903199988,0.01335501275624279,0.02212401924363721,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.01335501275624279,0.0,0.0
70,0.03547903199988,0.009431506183787288,0.02604752581609271,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.00943150618378729,0.0,0.0
71,0.067223429052404,0.005507999611331778,0.06171542944107222,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.005507999611331776,0.0,0.0
72,0.067223429052404,0.0024899176325198446,0.06473351141988415,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.00248991763251985,0.0,0.0
73,0.034545373263041,0.0,0.034545373263041,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
74,0.034545373263041,0.0,0.034545373263041,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
75,0.03921366694723575,0.0,0.03921366694723575,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
76,0.03921366694723575,0.0,0.03921366694723575,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
77,0.0625551353682095,0.0,0.0625551353682095,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
78,0.0625551353682095,0.0,0.0625551353682095,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
79,0.04761659557878625,0.0,0.04761659557878625,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
80,0.04761659557878625,0.0,0.04761659557878625,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
81,0.086830262526022,0.0,0.086830262526022,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
82,0.086830262526022,0.0,0.086830262526022,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
83,0.0961668498944115,0.0,0.0961668498944115,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
84,0.0961668498944115,0.0,0.0961668498944115,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
85,0.07282538147343776,0.0,0.07282538147343776,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
86,0.07282538147343776,0.0,0.07282538147343776,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
87,0.0933658736838945,0.0,0.0933658736838945,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
88,0.0933658736838945,0.0,0.0933658736838945,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
89,0.2586234701043875,0.0,0.2586234701043875,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
90,0.2586234701043875,0.0,0.2586234701043875,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
91,0.0438819606314305,0.0,0.0438819606314305,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
92,0.0438819606314305,0.0,0.0438819606314305,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
93,0.07095806399976,0.0,0.07095806399976,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
94,0.07095806399976,0.0,0.07095806399976,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
95,0.31837762926208,0.0,0.31837762926208,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
96,0.31837762926208,0.0,0.31837762926208,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
97,0.42574838399856,0.0,0.42574838399856,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
98,0.42574838399856,0.0,0.42574838399856,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
99,0.11017173094699576,0.0,0.11017173094699576,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
