t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
1,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.9487953987165465,0.14,0.06,0.0,0.0,0.0
2,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.897590797433092,0.14,0.06,0.0,0.0,0.0
3,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.853836045926538,0.14,0.06,0.0,0.0,0.0
4,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.81008129441998,0.14,0.06,0.0,0.0,0.0
5,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.7798097217349875,0.14,0.06,0.0,0.0,0.0
6,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.749538149049995,0.14,0.06,0.0,0.0,0.0
7,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.716485998631372,0.14,0.06,0.0,0.0,0.0
8,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.683433848212749,0.14,0.06,0.0,0.0,0.0
9,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.6478109749837895,0.14,0.06,0.0,0.0,0.0
10,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.612188101754829,0.14,0.06,0.0,0.0,0.0
11,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.595347244160578,0.14,0.06,0.0,0.0,0.0
12,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.578506386566327,0.14,0.06,0.0,0.0,0.0
13,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.563816541935828,0.14,0.06,0.0,0.0,0.0
14,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.549126697305329,0.14,0.06,0.0,0.0,0.0
15,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.5385290236790405,0.14,0.06,0.0,0.0,0.0
16,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.527931350052752,0.14,0.06,0.0,0.0,0.0
17,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.518120632388811,0.14,0.06,0.0,0.0,0.0
18,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.508309914724871,0.14,0.06,0.0,0.0,0.0
19,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.49849919706093,0.14,0.06,0.0,0.0,0.0
20,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.4886884793969895,0.14,0.06,0.0,0.0,0.0
21,0.02890751568358925,0.0,0.0,0.0,0.0,0.02890751568358925,0.0,4.481081238427624,0.14,0.06,0.0,0.0,0.0
22,0.02890751568358925,0.0,0.0,0.0,0.0,0.02890751568358925,0.0,4.4734739974582585,0.14,0.06,0.0,0.0,0.0
23,0.032695397049025,0.0,0.0,0.0,0.0,0.032695397049025,0.0,4.464869945603252,0.14,0.06,0.0,0.0,0.0
24,0.032695397049025,0.0,0.0,0.0,0.0,0.032695397049025,0.0,4.456265893748245,0.14,0.06,0.0,0.0,0.0
25,0.020733666421332925,0.0,0.0,0.0,0.0,0.020733666421332925,0.0,4.450809665742631,0.14,0.06,0.0,0.0,0.0
26,0.020733666421332925,0.0,0.0,0.0,0.0,0.020733666421332925,0.0,4.445353437737017,0.14,0.06,0.0,0.0,0.0
27,0.0669856915150755,0.0,0.0,0.0,0.0,0.0669856915150755,0.0,4.427725624180418,0.14,0.06,0.0,0.0,0.0
28,0.0669856915150755,0.0,0.0,0.0,0.0,0.0669856915150755,0.0,4.410097810623818,0.14,0.06,0.0,0.0,0.0
29,0.0340909322889225,0.0,0.0,0.0,0.0,0.0340909322889225,0.0,4.401126512653049,0.14,0.06,0.0,0.0,0.0
