t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
1,0.49050295651153,0.0,0.49050295651153,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
2,0.49050295651153,0.0,0.49050295651153,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
3,0.41913879685514,0.0,0.41913879685514,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
4,0.41913879685514,0.0,0.41913879685514,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
5,0.289979719167165,0.0,0.289979719167165,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
6,0.289979719167165,0.0,0.289979719167165,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
7,0.3166156379121575,0.0,0.3166156379121575,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
8,0.3166156379121575,0.0,0.3166156379121575,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
9,0.3412412986386575,0.0,0.3412412986386575,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
10,0.3412412986386575,0.0,0.3412412986386575,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
11,0.161323205983813,0.0,0.161323205983813,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
12,0.161323205983813,0.0,0.161323205983813,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
13,0.14071806129429176,0.0,0.14071806129429176,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
14,0.14071806129429176,0.0,0.14071806129429176,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
15,0.101518029933739,0.0,0.101518029933739,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
16,0.101518029933739,0.0,0.101518029933739,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
17,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
18,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
19,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
20,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
21,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
22,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
23,0.08242057875808526,0.0,0.08242057875808526,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
24,0.08242057875808526,0.0,0.08242057875808526,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
25,0.052266708480737,0.0,0.052266708480737,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
26,0.052266708480737,0.0,0.052266708480737,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
27,0.16886167355315,0.0,0.16886167355315,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
28,0.16886167355315,0.0,0.16886167355315,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
29,0.0859385302904425,0.0,0.0859385302904425,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
30,0.0859385302904425,0.0,0.0859385302904425,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
31,0.0829231432627075,0.0,0.0829231432627075,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
32,0.0829231432627075,0.0,0.0829231432627075,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
33,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,1.7514331755267227,0.24,0.06,0.0,0.0,0.0
34,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,1.7228663510534454,0.24,0.06,0.0,0.0,0.0
35,0.1256411261556175,0.010912564306372014,0.0,0.0,0.0,0.1147285618492455,0.0,1.692674624251013,0.24,0.06,0.01091256430637201,0.0,0.0
36,0.1256411261556175,0.024943004128850345,0.0,0.0,0.0,0.10069812202676717,0.0,1.6661751184544953,0.24,0.06,0.024943004128850338,0.0,0.0
37,0.12815394867873,0.03304948047072667,0.0,0.0,0.0,0.09510446820800333,0.0,1.64114762682081,0.24,0.06,0.03304948047072667,0.0,0.0
38,0.12815394867873,0.040220594157771114,0.0,0.0,0.0,0.08793335452095889,0.0,1.6180072703679262,0.24,0.06,0.040220594157771114,0.0,0.0
39,0.08242057875808526,0.04645634518998373,0.0,0.0,0.0,0.03596423356810152,0.0,1.6085429983763206,0.24,0.06,0.04645634518998373,0.0,0.0
40,0.08242057875808526,0.05175673356736438,0.0,0.0,0.0,0.03066384519072088,0.0,1.6004735654313942,0.24,0.06,0.05175673356736438,0.0,0.0
41,0.08744622380430975,0.0570571219447451,0.0,0.0,0.0,0.03038910185956465,0.0,1.5924764333630876,0.24,0.06,0.0570571219447451,0.0,0.0
42,0.08744622380430975,0.06048678501246201,0.0,0.0,0.0,0.026959438791847735,0.0,1.5853818442073382,0.24,0.06,0.06048678501246201,0.0,0.0
43,0.273395090514625,0.06547538583823208,0.0,0.0,0.0,0.20791970467639292,0.0,1.5306661324503927,0.24,0.06,0.06547538583823209,0.0,0.0
44,0.273395090514625,0.12565038329908348,0.0,0.0,0.0,0.14774470721554153,0.0,1.4917859463410397,0.24,0.06,0.12565038329908348,0.0,0.0
45,0.17388731859937476,0.236958539224078,0.0,0.0,0.06307122062470324,0.0,0.0,1.5067653612394067,0.24,0.06,0.17388731859937476,0.06307122062470324,0.0
46,0.17388731859937476,0.2940156611688229,0.0,0.0,0.12012834256944813,0.0,0.0,1.5352958425996506,0.24,0.06,0.17388731859937476,0.12012834256944813,0.0
47,1.6981654108628774,0.4006470038196586,1.2975184070432189,0.0,0.0,0.0,0.0,1.5352958425996506,0.24,0.06,0.40064700381965856,0.0,0.0
