t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.1722983996719955,0.0,0.1722983996719955,0.0,0.0,0.0,0.0,0.0,0.27,0.06
2,0.13974173008711724,0.0,0.13974173008711724,0.0,0.0,0.0,0.0,0.0,0.27,0.06
3,0.2773180595618275,0.0,0.2773180595618275,0.0,0.0,0.0,0.0,0.0,0.27,0.06
4,0.3201857282892275,0.0,0.3201857282892275,0.0,0.0,0.0,0.0,0.0,0.27,0.06
5,0.13924388466330026,0.0,0.13924388466330026,0.0,0.0,0.0,0.0,0.0,0.27,0.06
6,0.14134119091682776,0.0,0.14134119091682776,0.0,0.0,0.0,0.0,0.0,0.27,0.06
7,0.17238919215050325,0.0,0.17238919215050325,0.0,0.0,0.0,0.0,0.0,0.27,0.06
8,0.1407828171740055,0.0,0.1407828171740055,0.0,0.0,0.0,0.0,0.0,0.27,0.06
9,0.13922723937557374,0.0,0.13922723937557374,0.0,0.0,0.0,0.0,0.0,0.27,0.06
10,0.16824451550662775,0.0,0.16824451550662775,0.0,0.0,0.0,0.0,0.0,0.27,0.06
11,0.14828378910671475,0.0,0.14828378910671475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
12,0.171298169200436,0.0,0.171298169200436,0.0,0.0,0.0,0.0,0.0,0.27,0.06
13,0.322994242291065,0.0,0.322994242291065,0.0,0.0,0.0,0.0,0.0,0.27,0.06
14,0.256664283909305,0.0,0.256664283909305,0.0,0.0,0.0,0.0,0.0,0.27,0.06
15,0.13851754483523876,0.0,0.13851754483523876,0.0,0.0,0.0,0.0,0.0,0.27,0.06
16,0.508466630594525,0.0,0.508466630594525,0.0,0.0,0.0,0.0,0.0,0.27,0.06
17,0.6285427098368775,0.0,0.6285427098368775,0.0,0.0,0.0,0.0,0.0,0.27,0.06
18,0.448593530642635,0.0,0.448593530642635,0.0,0.0,0.0,0.0,0.0,0.27,0.06
19,0.3913851899349475,0.0,0.3913851899349475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
20,0.2312923257903345,0.0,0.2312923257903345,0.0,0.0,0.0,0.0,0.0,0.27,0.06
21,0.06013337172361025,0.0,0.06013337172361025,0.0,0.0,0.0,0.0,0.0,0.27,0.06
22,0.058202518347347,0.0,0.058202518347347,0.0,0.0,0.0,0.0,0.0,0.27,0.06
23,0.09063661808623975,0.0,0.09063661808623975,0.0,0.0,0.0,0.0,0.0,0.27,0.06
24,0.06286471211871625,0.0,0.06286471211871625,0.0,0.0,0.0,0.0,0.0,0.27,0.06
25,0.05906353368519475,0.0,0.05906353368519475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
26,0.2152946910772815,0.0,0.2152946910772815,0.0,0.0,0.0,0.0,0.0,0.27,0.06
27,0.2295324649152605,0.0,0.2295324649152605,0.0,0.0,0.0,0.0,0.0,0.27,0.06
28,0.118677875073336,0.0,0.118677875073336,0.0,0.0,0.0,0.0,0.0,0.27,0.06
29,0.0756150025171445,0.0,0.0756150025171445,0.0,0.0,0.0,0.0,0.0,0.27,0.06
30,0.0789516261023015,0.0,0.0789516261023015,0.0,0.0,0.0,0.0,0.0,0.27,0.06
31,0.0606100322357755,0.0,0.0606100322357755,0.0,0.0,0.0,0.0,0.0,0.27,0.06
32,0.0626785875377755,0.0,0.0626785875377755,0.0,0.0,0.0,0.0,0.0,0.27,0.06
33,0.08390738222084575,0.0,0.08390738222084575,0.0,0.0,0.0,0.0,0.0,0.27,0.06
34,0.0568497104175825,0.0,0.0568497104175825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
35,0.05492793628917,0.017786228983199728,0.03714170730597027,0.0,0.0,0.0,0.0,0.0,0.27,0.06
36,0.1418117985970925,0.040654237675885135,0.10115756092120737,0.0,0.0,0.0,0.0,0.0,0.27,0.06
37,0.22534995807200675,0.053866864920547756,0.171483093151459,0.0,0.0,0.0,0.0,0.0,0.27,0.06
38,0.105646127991534,0.06555495825236468,0.04009116973916932,0.0,0.0,0.0,0.0,0.0,0.27,0.06
39,0.078648984507276,0.07571851767133601,0.0029304668359399905,0.0,0.0,0.0,0.0,0.0,0.27,0.06
40,0.06565506762485225,0.08435754317746151,0.0,0.01870247555260926,0.0,0.0,0.0,0.0,0.27,0.06
41,0.05650923862317875,0.09299656868358713,0.0,0.036487330060408385,0.0,0.0,0.0,0.0,0.27,0.06
42,0.06972559707794625,0.09858652636402133,0.0,0.028860929286075088,0.0,0.0,0.0,0.0,0.27,0.06
43,0.07331795281090026,0.10671737389919835,0.0,0.03339942108829809,0.0,0.0,0.0,0.0,0.27,0.06
44,0.05584191390614725,0.20479572229227117,0.0,0.14895380838612393,0.0,0.0,0.0,0.0,0.27,0.06
45,0.05936617528022025,0.38621525792090833,0.0,0.32684908264068807,0.0,0.0,0.0,0.0,0.27,0.06
46,0.08561579402476525,0.4792118266044952,0.0,0.3935960325797299,0.0,0.0,0.0,0.0,0.27,0.06
47,0.3005715265156175,0.6530086926689049,0.0,0.3524371661532874,0.0,0.0,0.0,0.0,0.27,0.06
48,0.3445544295206875,0.748037973236286,0.0,0.40348354371559847,0.0,0.0,0.0,0.0,0.27,0.06
49,0.55910310906623,0.8176583552562384,0.0,0.25855524619000847,0.0,0.0,0.0,0.0,0.27,0.06
50,0.52025452072077,0.8745742880024776,0.0,0.35431976728170755,0.0,0.0,0.0,0.0,0.27,0.06
51,0.371557625836845,0.804953905982525,0.0,0.43339628014568005,0.0,0.0,0.0,0.0,0.27,0.06
52,0.258266771154965,0.9030322543755969,0.0,0.6447654832206319,0.0,0.0,0.0,0.0,0.27,0.06
53,0.2434706235741645,1.0117823401585897,0.0,0.7683117165844252,0.0,0.0,0.0,0.0,0.27,0.06
54,0.189011781757284,1.028552213199893,0.0,0.8395404314426089,0.0,0.0,0.0,0.0,0.27,0.06
55,0.06579125634261375,0.9812916619016763,0.0,0.9155004055590625,0.0,0.0,0.0,0.0,0.27,0.06
56,0.06998889526561874,0.712465515269886,0.0,0.6424766200042673,0.0,0.0,0.0,0.0,0.27,0.06
57,0.07646996502309175,0.5010634793552836,0.0,0.42459351433219183,0.0,0.0,0.0,0.0,0.27,0.06
58,0.05971421311449975,0.37046174082150285,0.0,0.3107475277070031,0.0,0.0,0.0,0.0,0.27,0.06
59,0.091561188159043,0.33488928285510317,0.0,0.24332809469606015,0.0,0.0,0.0,0.0,0.27,0.06
60,0.2653909543018675,0.3465773761869205,0.0,0.08118642188505304,0.0,0.0,0.0,0.0,0.27,0.06
61,0.1847248635637465,0.38265801212426837,0.0,0.19793314856052185,0.0,0.0,0.0,0.0,0.27,0.06
62,0.0556784874448335,0.4050178428460052,0.0,0.3493393554011717,0.0,0.0,0.0,0.0,0.27,0.06
63,0.06779625690965825,0.3094803843076753,0.0,0.2416841273980171,0.0,0.0,0.0,0.0,0.27,0.06
64,0.077856063528309,0.22868008692685363,0.0,0.15082402339854462,0.0,0.0,0.0,0.0,0.27,0.06
65,0.054560226751214,0.1656660185292318,0.0,0.1111057917780178,0.0,0.0,0.0,0.0,0.27,0.06
66,0.0591679450354785,0.1412734759237008,0.0,0.08210553088822228,0.0,0.0,0.0,0.0,0.27,0.06
67,0.085494737386755,0.12450360288239806,0.0,0.03900886549564306,0.0,0.0,0.0,0.0,0.27,0.06
68,0.094708660747309,0.11129097563773545,0.0,0.01658231489042644,0.0,0.0,0.0,0.0,0.27,0.06
69,0.22995616314829626,0.08994750085789571,0.14000866229040054,0.0,0.0,0.0,0.0,0.0,0.27,0.06
70,0.11387495296028,0.06352224636857047,0.050352706591709526,0.0,0.0,0.0,0.0,0.0,0.27,0.06
71,0.06578066388678774,0.037096991879245166,0.028683672007542578,0.0,0.0,0.0,0.0,0.0,0.27,0.06
72,0.0598519150402365,0.016769873041302605,0.043082041998933895,0.0,0.0,0.0,0.0,0.0,0.27,0.06
73,0.07811330888408075,0.0,0.07811330888408075,0.0,0.0,0.0,0.0,0.0,0.27,0.06
74,0.0740548850947875,0.0,0.0740548850947875,0.0,0.0,0.0,0.0,0.0,0.27,0.06
