t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.3580609072090188,0.0,0.0,-0.0,0.0,0.3580609072090195,0.0,4.623093781885243,0.27,0.06
2,0.238773212707893,0.0,0.0,0.0,0.0,0.238773212707893,0.0,4.371753557982197,0.27,0.06
3,0.19782370564034238,0.0,0.0,0.0,0.0,0.19782370564034238,0.0,4.163518078360784,0.27,0.06
4,0.095351026118645,0.0,0.0,-0.0,0.0,0.095351026118645,0.0,4.063148577183263,0.27,0.06
5,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,3.9852685078048546,0.27,0.06
6,0.06112752504286575,0.0,0.0,0.0,0.0,0.06112752504286575,0.0,3.920923744601838,0.27,0.06
7,0.08704243048175062,0.0,0.0,0.0,0.0,0.08704243048175062,0.0,3.8293001335684163,0.27,0.06
8,0.06646876509515501,0.0,0.0,0.0,0.0,0.06646876509515501,0.0,3.7593330124156217,0.27,0.06
9,0.09218584682839949,0.003496580055104004,0.0,0.0,0.0,0.08868926677329549,0.0,3.6659758894963637,0.27,0.06
10,0.08288813266330339,0.011589590345322748,0.0,-0.0,0.0,0.07129854231798063,0.0,3.5909247923195418,0.27,0.06
11,0.14203742064976563,0.043309044819427475,0.0,-0.0,0.0,0.098728375830338,0.0,3.487000186182344,0.27,0.06
12,0.7368932837279045,0.43236404440252874,0.0,-0.0,0.0,0.30452923932537573,0.0,3.1664430921556326,0.27,0.06
13,1.2710173087391987,0.8426789827817714,0.0,-0.0,0.0,0.4283383259574273,0.0,2.7155606437793933,0.27,0.06
14,0.9325409483885738,0.9493349711851776,0.0,-0.0,0.01679402279660411,0.0,0.0,2.7315149654361672,0.27,0.06
15,0.9984162225844362,0.46642890772302387,0.0,0.0,0.0,0.5319873148614123,0.0,2.1715283182136282,0.27,0.06
16,0.8362008037417263,0.3442231500954707,0.0,-5.551115123125783e-17,0.0,0.49197765364625556,0.0,1.6536571038491488,0.27,0.06
17,0.12917887978314352,0.06029952598544418,0.0,0.0,0.0,0.06887935379769934,0.0,1.581152520904202,0.27,0.06
18,0.17962392472143077,0.022539176981880796,0.0,0.0,0.0,0.15708474773954997,0.0,1.4158001548625705,0.27,0.06
19,0.15529160892766838,0.0,0.0,0.0,0.0,0.15529160892766838,0.0,1.2523353033597617,0.27,0.06
20,0.04391686265215594,0.0,0.0,0.0,0.0,0.04391686265215594,0.0,1.206107026883808,0.27,0.06
21,0.07378824220384776,0.0,0.0,0.0,0.0,0.07378824220384776,0.0,1.128435192985021,0.27,0.06
22,0.10405526916682012,0.0,0.10405526916681984,0.0,0.0,2.7755575615628914e-16,0.0,1.1284351929850207,0.27,0.06
23,0.0627101146879885,0.0,0.0627101146879885,0.0,0.0,0.0,0.0,1.1284351929850207,0.27,0.06
24,0.026904023967086535,0.0,0.0,0.0,0.0,0.026904023967086535,0.0,1.1001151677565086,0.27,0.06
25,0.08763590159867163,0.0,0.0,0.0,0.0,0.08763590159867163,0.0,1.0078668502842227,0.27,0.06
26,0.06350140951054987,0.0,0.06350140951054987,0.0,0.0,0.0,0.0,1.0078668502842227,0.27,0.06
27,0.05736887463569925,0.0,0.05736887463569925,0.0,0.0,-0.0,0.0,1.0078668502842227,0.27,0.06
28,0.045697276002919,0.0,0.045697276002919,0.0,0.0,-0.0,0.0,1.0078668502842227,0.27,0.06
29,0.06765570732899703,0.0,0.06765570732899703,0.0,0.0,-0.0,0.0,1.0078668502842227,0.27,0.06
30,0.09396626017916263,0.0,0.09396626017916263,0.0,0.0,-0.0,0.0,1.0078668502842227,0.27,0.06
31,0.10385744546117975,0.0,0.10385744546117975,0.0,0.0,-0.0,0.0,1.0078668502842227,0.27,0.06
32,0.09099890459455749,0.0,0.09099890459455749,0.0,0.0,-0.0,0.0,1.0078668502842227,0.27,0.06
33,0.06745788362335675,0.005306897867296611,0.06215098575606014,0.0,0.0,-0.0,0.0,1.0078668502842227,0.27,0.06
34,0.07893165855049664,0.01723576779106052,0.061695890759436114,0.0,0.0,0.0,0.0,1.0078668502842227,0.27,0.06
35,0.065875293978234,0.03325209112144172,0.03262320285679227,0.0,0.0,0.0,0.0,1.0078668502842227,0.27,0.06
36,0.42512314342109586,0.46020967561142256,0.0,-0.0,0.0350865321903267,0.0,0.0,1.041199055865033,0.27,0.06
37,0.7798210278518587,0.9423218146310748,0.0,-0.0,0.1625007867792161,0.0,0.0,1.1955748033052882,0.27,0.06
38,0.5137481635479688,0.8834190972789593,0.0,-0.0,0.36967093373099047,0.0,0.0,1.546762190349729,0.27,0.06
39,0.436201270936955,0.4271988397411223,0.0,0.0,0.0,0.009002431195832583,0.0,1.5372859469856948,0.27,0.06
40,0.4627096474927612,0.23022722534219622,0.232482422150565,0.0,0.0,0.0,0.0,1.5372859469856948,0.27,0.06
41,0.13273970648466962,0.05422629760087307,0.07851340888379654,0.0,0.0,0.0,0.0,1.5372859469856948,0.27,0.06
42,0.10385744546117963,0.01270057974043842,0.0911568657207412,0.0,0.0,0.0,0.0,1.5372859469856948,0.27,0.06
43,0.1374874754200379,0.0,0.1374874754200379,0.0,0.0,0.0,0.0,1.5372859469856948,0.27,0.06
44,0.048862455293164624,0.0,0.0,-6.938893903907228e-18,0.0,0.04886245529316462,0.0,1.4858517835192058,0.27,0.06
