t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.07848298350440862,0.0,0.0,0.0,0.0,0.0784829835044088,0.0,4.917386333153254,0.27,0.06
2,0.05123427972850138,0.0,0.0,0.0,0.0,0.05123427972850138,0.0,4.86345551238641,0.27,0.06
3,0.054107388632674,0.0,0.0,0.0,0.0,0.054107388632674,0.0,4.806500366457279,0.27,0.06
4,0.10584489330739799,0.0,0.0,0.0,0.0,0.10584489330739799,0.0,4.695084689291598,0.27,0.06
5,0.1466740114532506,0.0,0.0,0.0,0.0,0.1466740114532506,0.0,4.540690993025018,0.27,0.06
6,0.023456367154711593,0.0,0.0,0.0,0.0,0.023456367154711593,0.0,4.516000080230585,0.27,0.06
7,0.05372037287226836,0.0,0.0,2.7755575615628914e-17,0.0,0.053720372872268385,0.0,4.459452319312407,0.27,0.06
8,0.023975652471558202,0.0,0.0,0.0,0.0,0.023975652471558202,0.0,4.434214790394978,0.27,0.06
9,0.02912202196569827,0.005042727560474706,0.0,0.0,0.0,0.024079294405223564,0.0,4.408868164705269,0.27,0.06
10,0.041012833117138166,0.024117392680531178,0.0,0.0,0.0,0.016895440436606988,0.0,4.391083490561472,0.27,0.06
11,0.022037570510795045,0.04341130682495613,0.0,-0.0,0.021373736314161083,0.0,0.0,4.411388540059925,0.27,0.06
12,0.0681770567321201,0.1955701297366711,0.0,-0.0,0.127393073004551,0.0,0.0,4.532411959414249,0.27,0.06
13,0.14748238344133144,0.2933990444098801,0.0,-0.0,0.1459166609685487,0.0,0.0,4.67103278733437,0.27,0.06
14,0.04903440066935317,0.3222083662118965,0.0,-0.0,0.27317396554254336,0.0,0.0,4.930548054599787,0.27,0.06
15,0.04255188668255727,0.13400500369400598,0.0,-8.326672684688674e-17,0.09145311701144879,0.0,0.0,5.017428515760663,0.27,0.06
16,0.03331208126104907,0.1144041409154652,0.0,5.551115123125783e-16,0.08109205965441557,0.0,0.0,5.094465972432358,0.27,0.06
17,0.025362850662702083,0.0468315916051042,0.0,0.0,0.021468740942402118,0.0,0.0,5.11486127632764,0.27,0.06
18,0.040509216454558974,0.017890720388466768,0.0,0.0,0.0,0.022618496066092206,0.0,5.0910523331001745,0.27,0.06
