t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.6781080934035794,0.0,0.6781080934035795,0.0,0.0,-1.1102230246251565e-16,0.0,5.0,0.27,0.06
2,0.6708678744735,0.0,0.6708678744735003,0.0,0.0,-2.220446049250313e-16,0.0,5.0,0.27,0.06
3,0.6865358145816762,0.0,0.6865358145816762,0.0,0.0,0.0,0.0,5.0,0.27,0.06
4,0.6757242269504693,0.0,0.6757242269504693,0.0,0.0,0.0,0.0,5.0,0.27,0.06
5,0.6581952758565938,0.0,0.0,0.0,0.0,0.6581952758565938,0.0,4.307162867519375,0.27,0.06
6,0.6583282052127151,0.0,0.6583282052127151,0.0,0.0,0.0,0.0,4.307162867519375,0.27,0.06
7,0.6528958255258863,0.0,0.6528958255258863,0.0,0.0,0.0,0.0,4.307162867519375,0.27,0.06
8,0.6506094406005988,0.0,0.0,0.0,0.0,0.6506094406005988,0.0,3.622310824781903,0.27,0.06
9,0.6491560796403382,0.032730728595646436,0.0,0.0,0.0,0.6164253510446918,0.0,2.9734420342085435,0.27,0.06
10,0.836426956544172,0.0,0.2542886688418104,0.0,0.0,0.5821382877023615,0.0,2.3606648892586892,0.27,0.06
11,0.707644996333755,0.0,0.7076449963337552,0.0,0.0,0.0,0.0,2.3606648892586892,0.27,0.06
12,0.6848520427374718,0.6848520427374718,0.0,-0.0,0.0,0.0,0.0,2.3606648892586892,0.27,0.06
13,0.695450943398885,0.695450943398885,0.0,-0.0,0.0,0.0,0.0,2.3606648892586892,0.27,0.06
14,0.5748928793538471,0.5748928793538471,0.0,-0.0,0.0,0.0,0.0,2.3606648892586892,0.27,0.06
15,0.3441275171270905,0.3441275171270905,0.0,0.0,0.0,0.0,0.0,2.3606648892586892,0.27,0.06
16,0.5075685914568931,0.5075685914568931,0.0,0.0,0.0,0.0,0.0,2.3606648892586892,0.27,0.06
17,0.36957019588872686,0.0,0.0,0.0,0.0,0.36957019588872686,0.0,1.9716436304284504,0.27,0.06
18,0.43389914229441123,0.0,0.43389914229441123,0.0,0.0,0.0,0.0,1.9716436304284504,0.27,0.06
19,0.38865885142776063,0.0,0.0,0.0,0.0,0.38865885142776063,0.0,1.562529049978176,0.27,0.06
20,0.19468833497540788,0.0,0.0,0.0,0.0,0.19468833497540788,0.0,1.3575939605303784,0.27,0.06
21,0.1096135470577095,0.0,0.0,0.0,0.0,0.1096135470577095,0.0,1.242211279417,0.27,0.06
22,0.11536495719922898,0.0,0.0,0.0,0.0,0.11536495719922898,0.0,1.12077448236518,0.27,0.06
23,0.1179703725792085,0.0,0.1179703725792085,0.0,0.0,0.0,0.0,1.12077448236518,0.27,0.06
24,0.11962755855218868,0.0,0.11962755855218868,0.0,0.0,0.0,0.0,1.12077448236518,0.27,0.06
25,0.11868819110226407,0.0,0.11868819110226407,0.0,0.0,0.0,0.0,1.12077448236518,0.27,0.06
26,0.1161093615935088,0.0,0.1161093615935088,0.0,0.0,0.0,0.0,1.12077448236518,0.27,0.06
27,0.114735758246921,0.0,0.0,0.0,0.0,0.114735758246921,0.0,1.0,0.27,0.06
28,0.12340275226603657,0.0,0.12340275226603657,0.0,0.0,0.0,0.0,1.0,0.27,0.06
29,0.27648419877544506,0.0,0.27648419877544506,0.0,0.0,0.0,0.0,1.0,0.27,0.06
30,0.18891920091973932,0.0,0.18891920091973932,0.0,0.0,0.0,0.0,1.0,0.27,0.06
31,0.1188299824154603,0.0,0.1188299824154603,0.0,0.0,0.0,0.0,1.0,0.27,0.06
32,0.10968444271430769,0.0,0.10968444271430769,0.0,0.0,0.0,0.0,1.0,0.27,0.06
33,0.12080619884313175,0.0,0.12080619884313175,0.0,0.0,0.0,0.0,1.0,0.27,0.06
34,0.1110314601896712,0.0,0.1110314601896712,0.0,0.0,0.0,0.0,1.0,0.27,0.06
35,0.11854639978906795,0.08821121825938161,0.03033518152968634,0.0,0.0,0.0,0.0,1.0,0.27,0.06
36,0.11505478870161237,0.11505478870161237,0.0,-0.0,0.0,0.0,0.0,1.0,0.27,0.06
37,0.11324694945836125,0.11324694945836125,0.0,-0.0,0.0,0.0,0.0,1.0,0.27,0.06
38,0.12202914891944869,0.12202914891944869,0.0,-0.0,0.0,0.0,0.0,1.0,0.27,0.06
39,0.11656132140432163,0.11656132140432174,0.0,-0.0,0.0,0.0,0.0,1.0,0.27,0.06
40,0.3823314140763819,0.3823314140763819,0.0,0.0,0.0,0.0,0.0,1.0,0.27,0.06
41,0.38790558507640577,0.0,0.38790558507640577,0.0,0.0,0.0,0.0,1.0,0.27,0.06
42,0.567927381093085,0.0,0.567927381093085,0.0,0.0,0.0,0.0,1.0,0.27,0.06
43,0.5242911044569656,0.0,0.5242911044569656,0.0,0.0,0.0,0.0,1.0,0.27,0.06
44,0.40365328279825435,0.0,0.40365328279825435,0.0,0.0,0.0,0.0,1.0,0.27,0.06
45,0.68419625791394,0.0,0.68419625791394,0.0,0.0,0.0,0.0,1.0,0.27,0.06
46,0.3513145643147208,0.0,0.3513145643147208,0.0,0.0,0.0,0.0,1.0,0.27,0.06
47,0.1404354337637257,0.0,0.1404354337637257,0.0,0.0,0.0,0.0,1.0,0.27,0.06
48,0.19777229603742463,0.0,0.19777229603742463,0.0,0.0,0.0,0.0,1.0,0.27,0.06
49,0.2992062567151305,0.0,0.2992062567151305,0.0,0.0,0.0,0.0,1.0,0.27,0.06
50,0.23945894211709687,0.0,0.23945894211709687,0.0,0.0,0.0,0.0,1.0,0.27,0.06
51,0.0810425974486825,0.0,0.0810425974486825,0.0,0.0,0.0,0.0,1.0,0.27,0.06
52,0.08861070879052782,0.0,0.08861070879052782,0.0,0.0,0.0,0.0,1.0,0.27,0.06
53,0.07944744517522563,0.0,0.07944744517522563,0.0,0.0,0.0,0.0,1.0,0.27,0.06
54,0.2530000125273307,0.0,0.2530000125273307,0.0,0.0,0.0,0.0,1.0,0.27,0.06
55,0.08888542945984537,0.0,0.08888542945984537,0.0,0.0,0.0,0.0,1.0,0.27,0.06
56,0.080209573483655,0.0,0.080209573483655,0.0,0.0,0.0,0.0,1.0,0.27,0.06
57,0.08496844443280138,0.0,0.08496844443280138,0.0,0.0,0.0,0.0,1.0,0.27,0.06
58,0.16017987412629156,0.0,0.16017987412629156,0.0,0.0,0.0,0.0,1.0,0.27,0.06
59,0.232422548199737,0.0,0.232422548199737,0.0,0.0,0.0,0.0,1.0,0.27,0.06
60,0.25958444663387714,0.25958444663387714,0.0,-0.0,0.0,0.0,0.0,1.0,0.27,0.06
61,0.3716084460159225,0.3716084460159225,0.0,-0.0,0.0,0.0,0.0,1.0,0.27,0.06
62,0.3775016474706375,0.8778363604161739,0.0,-0.0,0.5003347129455363,0.0,0.0,1.4753179772982594,0.27,0.06
63,0.28988347787248325,0.28988347787248325,0.0,-0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
64,0.08028933109732787,0.08028933109732787,0.0,-0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
65,0.09774738653460556,0.09774738653460556,0.0,-0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
66,0.07580518081749918,0.022838193754586848,0.052966987062912335,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
67,0.09602816686210214,0.0,0.09602816686210214,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
68,0.07683316783817137,0.0,0.07683316783817137,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
69,0.08674083584775338,0.0,0.08674083584775338,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
70,0.2965476695927027,0.0,0.2965476695927027,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
71,0.2536380734367133,0.0,0.2536380734367133,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
72,0.4436118472483486,0.0,0.4436118472483486,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
73,0.8972908777336249,0.0,0.8972908777336249,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
74,0.7701217937108156,0.0,0.7701217937108158,0.0,0.0,0.0,0.0,1.4753179772982594,0.27,0.06
75,0.6346933656943288,0.0,0.634693365694329,0.0,0.0,-2.220446049250313e-16,0.0,1.4753179772982596,0.27,0.06
76,0.6279671402745857,0.0,0.6279671402745858,0.0,0.0,-1.1102230246251565e-16,0.0,1.4753179772982596,0.27,0.06
77,0.6300940099725287,0.0,0.6300940099725286,0.0,0.0,1.1102230246251565e-16,0.0,1.4753179772982596,0.27,0.06
78,0.6234918519518325,0.0,0.6234918519518325,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
79,0.6270898065241843,0.0,0.6270898065241843,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
80,0.6184493983762938,0.0,0.6184493983762938,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
81,0.6390711724892613,0.0,0.6390711724892613,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
82,0.7090629094657175,0.0,0.7090629094657175,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
83,0.5046086977939237,0.0,0.5046086977939237,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
84,0.53340119632982,0.53340119632982,0.0,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
85,1.0811321772495264,1.0811321772495264,0.0,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
86,0.9424868588149018,0.9424868588149018,0.0,-0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
87,0.5352267594872206,0.0,0.535226759487221,0.0,0.0,-3.3306690738754696e-16,0.0,1.4753179772982596,0.27,0.06
88,0.2337695656751006,0.2337695656751006,0.0,-0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
89,0.8746219915363881,0.0,0.8746219915363883,0.0,0.0,-2.220446049250313e-16,0.0,1.4753179772982596,0.27,0.06
90,0.728798487871208,0.0,0.7287984878712079,0.0,0.0,1.1102230246251565e-16,0.0,1.4753179772982596,0.27,0.06
91,0.692694874748635,0.0,0.692694874748635,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
92,0.7587784886551225,0.0,0.7587784886551225,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
93,0.39839814225292247,0.0,0.39839814225292247,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
94,0.12729315142185624,0.0,0.12729315142185624,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
95,0.11157203957123156,0.0,0.11157203957123156,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
96,0.14226985887820143,0.0,0.14226985887820143,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
97,0.52321880765092,0.0,0.52321880765092,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
98,0.6345604363382075,0.0,0.6345604363382075,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
99,0.6366607201649263,0.0,0.6366607201649261,0.0,0.0,1.1102230246251565e-16,0.0,1.4753179772982596,0.27,0.06
100,0.6422348911649506,0.0,0.6422348911649504,0.0,0.0,2.220446049250313e-16,0.0,1.4753179772982596,0.27,0.06
101,0.6372721952030838,0.0,0.6372721952030836,0.0,0.0,1.1102230246251565e-16,0.0,1.4753179772982596,0.27,0.06
102,0.6400194018962599,0.0,0.6400194018962603,0.0,0.0,-3.3306690738754696e-16,0.0,1.4753179772982596,0.27,0.06
103,0.6295002588485195,0.0,0.6295002588485196,0.0,0.0,-1.1102230246251565e-16,0.0,1.4753179772982596,0.27,0.06
104,0.6251756237960362,0.0,0.6251756237960362,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
105,0.6159769123524357,0.0,0.6159769123524357,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
106,0.6285431674844457,0.0,0.6285431674844457,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
107,0.7061296016739712,0.0,0.7061296016739712,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
108,0.09460139177306562,0.09460139177306562,0.0,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
109,0.09422032761885094,0.09422032761885094,0.0,0.0,0.0,0.0,0.0,1.4753179772982596,0.27,0.06
110,0.09086164588751694,0.5592269427063915,0.0,0.0,0.46836529681887457,0.0,0.0,1.9202650092761906,0.27,0.06
111,0.10031735408628611,0.10031735408628611,0.0,-0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
112,0.1270361546666882,0.1270361546666882,0.0,-0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
113,0.22239081279110817,0.0,0.22239081279110806,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
114,0.5957184784795331,0.0,0.5957184784795332,0.0,0.0,-1.1102230246251565e-16,0.0,1.9202650092761906,0.27,0.06
115,0.6379545658978412,0.0,0.6379545658978414,0.0,0.0,-2.220446049250313e-16,0.0,1.9202650092761906,0.27,0.06
116,0.5420593283918606,0.0,0.5420593283918606,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
117,0.7911157700209225,0.0,0.7911157700209225,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
118,0.7110125400221644,0.0,0.7110125400221644,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
119,0.6339932710854231,0.0,0.6339932710854231,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
120,0.46228399080486876,0.0,0.46228399080486876,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
121,0.3969447812926613,0.0,0.3969447812926613,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
122,0.11524088980018225,0.0,0.11524088980018225,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
123,0.08861957074760243,0.0,0.08861957074760243,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
124,0.08317832910369975,0.0,0.08317832910369975,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
125,0.08070584307984156,0.0,0.08070584307984156,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
126,0.08913356425793868,0.0,0.08913356425793868,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
127,0.07942085930400138,0.0,0.07942085930400138,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
128,0.0895943860258262,0.0,0.0895943860258262,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
129,0.07853466359652538,0.003098785130101869,0.07543587846642351,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
130,0.16566542555556818,0.0,0.16566542555556818,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
131,0.4055851894405531,0.12782317391562553,0.2777620155249276,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
132,0.689158953875805,0.689158953875805,0.0,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
133,1.0642147011938095,1.0642147011938095,0.0,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
134,0.5025881715808782,0.5025881715808782,0.0,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
135,0.4518446053708006,0.4518446053708006,0.0,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
136,0.30539190275331307,0.30539190275331307,0.0,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
137,0.2342924211425116,0.2342924211425116,0.0,-0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
138,0.23899812034920945,0.0,0.23899812034920945,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
139,0.22745099028079668,0.0,0.22745099028079668,0.0,0.0,0.0,0.0,1.9202650092761906,0.27,0.06
140,0.4875937402103844,0.0,0.4875937402103843,0.0,0.0,5.551115123125783e-17,0.0,1.9202650092761906,0.27,0.06
