t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.3861518734099475,0.0,0.0,0.0,0.0,0.3861518734099475,0.0,4.8983810859447505,0.27,0.06
2,0.3861518734099475,0.0,0.0,0.0,0.0,0.3861518734099475,0.0,4.796762171889501,0.27,0.06
3,0.32996994100809,0.0,0.0,0.0,0.0,0.32996994100809,0.0,4.709927976887372,0.27,0.06
4,0.32996994100809,0.0,0.0,0.0,0.0,0.32996994100809,0.0,4.623093781885244,0.27,0.06
5,0.22828855630895475,0.0,0.0,0.0,0.0,0.22828855630895475,0.0,4.563017846014466,0.27,0.06
6,0.22828855630895475,0.0,0.0,0.0,0.0,0.22828855630895475,0.0,4.502941910143688,0.27,0.06
7,0.24925786910683126,0.0,0.0,-1.7486012637846216e-15,0.0,0.2492578691068295,0.0,4.437347734062944,0.27,0.06
8,0.24925786910683126,0.0,0.0,0.0,0.0,0.24925786910683126,0.0,4.371753557982198,0.27,0.06
9,0.268644592259585,0.0,0.0,0.0,0.0,0.268644592259585,0.0,4.3010576126507285,0.27,0.06
10,0.268644592259585,0.0,0.0,0.0,0.0,0.268644592259585,0.0,4.23036166731926,0.27,0.06
11,0.12700281902109975,0.0,0.0,0.0,0.0,0.12700281902109975,0.0,4.196939872840023,0.27,0.06
12,0.12700281902109975,0.0,0.0,0.0,0.0,0.12700281902109975,0.0,4.163518078360786,0.27,0.06
13,0.11078127515859175,0.0,0.0,0.0,0.0,0.11078127515859175,0.0,4.134365111213788,0.27,0.06
14,0.11078127515859175,0.0,0.0,0.0,0.0,0.11078127515859175,0.0,4.10521214406679,0.27,0.06
15,0.07992077707869825,0.0,0.0,0.0,0.0,0.07992077707869825,0.0,4.0841803606250275,0.27,0.06
16,0.07992077707869825,0.0,0.0,0.0,0.0,0.07992077707869825,0.0,4.063148577183265,0.27,0.06
17,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,4.043678559838662,0.27,0.06
18,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,4.024208542494061,0.27,0.06
19,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,4.004738525149459,0.27,0.06
20,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,3.9852685078048564,0.27,0.06
21,0.05736887463569925,0.0,0.0,0.0,0.0,0.05736887463569925,0.0,3.970171435532304,0.27,0.06
22,0.05736887463569925,0.0,0.0,6.938893903907228e-18,0.0,0.05736887463569926,0.0,3.955074363259752,0.27,0.06
23,0.06488617545003225,0.0,0.0,0.0,0.0,0.06488617545003225,0.0,3.937999053930796,0.27,0.06
24,0.06488617545003225,0.0,0.0,0.0,0.0,0.06488617545003225,0.0,3.92092374460184,0.27,0.06
25,0.04114733077319125,0.0,0.0,2.0816681711721685e-17,0.0,0.04114733077319127,0.0,3.910095499661526,0.27,0.06
26,0.04114733077319125,0.0,0.0,0.0,0.0,0.04114733077319125,0.0,3.8992672547212126,0.27,0.06
27,0.13293753019031,0.0,0.0,0.0,0.0,0.13293753019031,0.0,3.8642836941448153,0.27,0.06
28,0.13293753019031,0.0,0.0,0.0,0.0,0.13293753019031,0.0,3.829300133568418,0.27,0.06
29,0.067655707328997,0.0,0.0,0.0,0.0,0.067655707328997,0.0,3.811496000060787,0.27,0.06
30,0.067655707328997,0.0,0.0,0.0,0.0,0.067655707328997,0.0,3.7936918665531563,0.27,0.06
31,0.065281822861313,0.0,0.0,1.3877787807814457e-17,0.0,0.06528182286131301,0.0,3.7765124394843896,0.27,0.06
32,0.065281822861313,0.0,0.0,0.0,0.0,0.065281822861313,0.0,3.759333012415623,0.27,0.06
33,0.08545984083662775,0.0,0.0,0.0,0.0,0.08545984083662775,0.0,3.7368435806165103,0.27,0.06
34,0.08545984083662775,0.0,0.0,0.0,0.0,0.08545984083662775,0.0,3.7143541488173977,0.27,0.06
35,0.09891185282017124,0.0,0.0,0.0,0.0,0.09891185282017124,0.0,3.6883247138647213,0.27,0.06
36,0.09891185282017124,0.0,0.0,0.0,0.0,0.09891185282017124,0.0,3.6622952789120444,0.27,0.06
37,0.1008900898765745,0.0,0.0,0.0,0.0,0.1008900898765745,0.0,3.635745255260315,0.27,0.06
38,0.1008900898765745,0.0,0.0,0.0,0.0,0.1008900898765745,0.0,3.609195231608585,0.27,0.06
39,0.06488617545003225,0.0,0.0,0.0,0.0,0.06488617545003225,0.0,3.592119922279629,0.27,0.06
40,0.06488617545003225,0.0,0.0,0.0,0.0,0.06488617545003225,0.0,3.575044612950673,0.27,0.06
41,0.068842649562839,0.06788043828655214,0.0,0.0,0.0,0.000962211276286859,0.0,3.5747913994569136,0.27,0.06
42,0.068842649562839,0.0,0.0,0.0,0.0,0.068842649562839,0.0,3.556674912729851,0.27,0.06
43,0.21523219173669225,0.10508096077473178,0.0,0.0,0.0,0.11015123096196047,0.0,3.5276877466872296,0.27,0.06
