t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.22738597940254196,0.0,0.0,0.0,0.0,0.22738597940254196,0.0,4.760646337471009,0.27,0.06
2,0.1484392712261592,0.0,0.0,0.0,0.0,0.1484392712261592,0.0,4.60439447302242,0.27,0.06
3,0.15676342829733805,0.0,0.0,0.0,0.0,0.15676342829733805,0.0,4.439380337972591,0.27,0.06
4,0.3066606754075334,0.0,0.0,0.0,0.0,0.3066606754075334,0.0,4.116579627017293,0.27,0.06
5,0.42495343905119864,0.0,0.0,0.0,0.0,0.42495343905119864,0.0,3.6692602174897155,0.27,0.06
6,0.06795930506897832,0.0,0.0,-2.7755575615628914e-17,0.0,0.06795930506897829,0.0,3.597724106890791,0.27,0.06
7,0.1556421411877682,0.0,0.0,0.0,0.0,0.1556421411877682,0.0,3.4338902740615613,0.27,0.06
8,0.06946381209824924,0.0,0.0,0.0,0.0,0.06946381209824924,0.0,3.360770471852878,0.27,0.06
9,0.0843742068811727,0.007731593820168097,0.0,1.3877787807814457e-17,0.0,0.07664261306100462,0.0,3.2800940370518203,0.27,0.06
10,0.11882503454891725,0.03697718783558651,0.0,0.0,0.0,0.08184784671333074,0.0,3.193938408932525,0.27,0.06
11,0.06384867560454312,0.06655893810405573,0.0,0.0,0.0027102624995126168,0.0,0.0,3.196513158307062,0.27,0.06
12,0.19752698133532262,0.29985137772130166,0.0,0.0,0.10232439638597904,0.0,0.0,3.293721334873742,0.27,0.06
13,0.4272955066947025,0.44984429783256236,0.0,0.0,0.022548791137859847,0.0,0.0,3.315142686454709,0.27,0.06
14,0.14206563923492024,0.4940152294834358,0.0,0.0,0.3519495902485156,0.0,0.0,3.6494947971907985,0.27,0.06
15,0.1232840801496255,0.20545870186464069,0.0,0.0,0.08217462171501519,0.0,0.0,3.727560687820063,0.27,0.06
16,0.09651391786163681,0.1754063328419004,0.0,0.0,0.0788924149802636,0.0,0.0,3.8025084820513135,0.27,0.06
17,0.07348289248018913,0.07180297565164802,0.0,0.0,0.0,0.0016799168285411142,0.0,3.800740148547586,0.27,0.06
18,0.11736592375890013,0.027430350248944177,0.0,0.0,0.0,0.08993557350995596,0.0,3.706071123800264,0.27,0.06
19,0.06993252826854518,0.0,0.0,0.0,0.0,0.06993252826854518,0.0,3.6324579361491636,0.27,0.06
20,0.36539773447209406,0.0,0.0,0.0,0.0,0.36539773447209406,0.0,3.247828741968012,0.27,0.06
21,0.7407890727139268,0.0,0.0,0.0,0.0,0.7407890727139268,0.0,2.4680507706901946,0.27,0.06
22,0.9090260221806787,0.0,0.0,0.0,0.0,0.9090260221806787,0.0,1.5111812736579013,0.27,0.06
23,0.6181371351959113,0.0,0.5674606707238571,0.0,0.0,0.05067646447205423,0.0,1.4578376268452127,0.27,0.06
24,0.69339956025485,0.0,0.69339956025485,0.0,0.0,0.0,0.0,1.4578376268452127,0.27,0.06
25,0.23487144095350643,0.0,0.23487144095350643,0.0,0.0,0.0,0.0,1.4578376268452127,0.27,0.06
26,0.10491524853954719,0.0,-0.0,0.0,0.0,0.10491524853954719,0.0,1.3474005231193735,0.27,0.06
27,0.10757962948175374,0.0,0.1075796294817537,0.0,0.0,4.163336342344337e-17,0.0,1.3474005231193735,0.27,0.06
28,0.06939042151145557,0.0,-0.0,0.0,0.0,0.06939042151145551,0.0,1.2743579741599467,0.27,0.06
29,0.1484127900865944,0.0,0.1484127900865944,0.0,0.0,0.0,0.0,1.2743579741599464,0.27,0.06
30,0.0691475516314475,0.0,-0.0,0.0,0.0,0.0691475516314476,0.0,1.201571077705791,0.27,0.06
31,0.13638278668432707,0.0,0.13638278668432707,0.0,0.0,0.0,0.0,1.201571077705791,0.27,0.06
32,0.13665516411985024,0.0,0.13665516411985024,0.0,0.0,0.0,0.0,1.201571077705791,0.27,0.06
33,0.3882884098138481,0.008538368827489977,0.3797500409863581,0.0,0.0,0.0,0.0,1.201571077705791,0.27,0.06
34,0.6484262626300601,0.03785119409351857,0.6105750685365415,0.0,0.0,0.0,0.0,1.201571077705791,0.27,0.06
35,0.5120109419742674,0.07005496313578392,0.44195597883848353,0.0,0.0,0.0,0.0,1.201571077705791,0.27,0.06
36,0.37920954026507436,0.3020700089914369,0.0,0.0,0.0,0.07713953127363748,0.0,1.1203715711019622,0.27,0.06
37,0.44243855720380315,0.4503149165868337,0.0,0.0,0.007876359383030551,0.0,0.0,1.1278541125158412,0.27,0.06
38,0.5454755363442221,0.49952819203346877,0.0,0.0,0.0,0.04594734431075331,0.0,1.0794884869255748,0.27,0.06
39,0.21363129721062185,0.2130558331835885,-0.0,0.0,0.0,0.0005754640270333455,0.0,1.0788827353181711,0.27,0.06
40,0.6485753136156099,0.18091929539193344,0.46765601822367653,0.0,0.0,2.1094237467877976e-16,0.0,1.078882735318171,0.27,0.06
41,0.35795237293247006,0.07711424444985043,0.28083812848261963,0.0,0.0,-0.0,0.0,1.0788827353181707,0.27,0.06
42,0.7597408676964232,0.028438819008096545,0.7313020486883267,0.0,0.0,0.0,0.0,1.0788827353181707,0.27,0.06
43,0.6449504239111913,0.0,0.6449504239111913,0.0,0.0,0.0,0.0,1.0788827353181707,0.27,0.06
44,0.5412234219341124,0.0,0.5412234219341124,0.0,0.0,0.0,0.0,1.0788827353181707,0.27,0.06
45,0.6143022878849425,0.0,0.6143022878849425,0.0,0.0,0.0,0.0,1.0788827353181707,0.27,0.06
46,0.6408242840650101,0.0,0.6408242840650101,0.0,0.0,0.0,0.0,1.0788827353181707,0.27,0.06
47,0.3469566471812038,0.0,0.3469566471812038,0.0,0.0,0.0,0.0,1.0788827353181707,0.27,0.06
48,0.40667880463757244,0.0,0.40667880463757244,0.0,0.0,0.0,0.0,1.0788827353181707,0.27,0.06
49,0.17039970196520368,0.0,0.17039970196520368,0.0,0.0,0.0,0.0,1.0788827353181707,0.27,0.06
50,0.07493859855226224,0.0,0.0,0.0,0.0,0.07493859855226224,0.0,0.9999999999999999,0.27,0.06
