case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,E_share_out_kWh,E_share_in_kWh,Curt_frac_of_PV,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,Cost_total_with_p2p_EUR,Cost_total_with_p2p_min_step_EUR,Cost_total_with_p2p_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,E_share_out_kWh_COMM,E_share_in_kWh_COMM,Curt_frac_of_PV_COMM,Simul_frac_of_import
p2p_equalprice_01_equal_export,A,639.6659375,10.623301686840307,859.0234399298298,0.0,0.0,1.4250000000000003,0.0,430.1740324649149,198.7682283482448,0.0,0.5,0.5,2.0,214.75585998245745,0.0,0.32653303602752004,180.0449893649569,-0.029756249999999998,0.22857312521926404,5.224528576440321,0.0,5.224528576440321,0.0,0.0,,,,,,,
p2p_equalprice_01_equal_export,B,639.6659375,10.623301686840307,396.8768316964896,0.0,0.0,0.76,0.0,198.7682283482448,430.1740324649149,0.0,0.2,0.2,0.6100000000000001,99.2192079241224,0.0,0.2919658222482402,133.93007854162292,-0.0277875,0.20437607557376813,4.671453155971843,0.0,4.671453155971843,0.0,0.0,,,,,,,
p2p_equalprice_01_equal_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.185,0.0,0.0,0.0,0.0,0.7,0.7,2.6100000000000003,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_equalprice_02_weighted_export,A,639.6659375,14.872622361576422,849.0461262153779,0.0,0.0,1.4250000000000003,0.0,428.2151878646133,202.53737678765913,0.0,0.5,0.5,2.0,212.26153155384446,0.0,0.32653303602752004,178.4098598923013,-0.029756249999999998,0.22779708954256644,5.224528576440321,0.0,5.224528576440321,0.0,0.0,,,,,,,
p2p_equalprice_02_weighted_export,B,639.6659375,6.373981012104179,406.85414541094167,0.0,0.0,0.7600000000000001,0.0,202.53737678765913,428.2151878646133,0.0,0.2,0.2,0.6100000000000001,101.71353635273542,0.0,0.3019040910627162,135.56520801427854,-0.0277875,0.2114268728163754,4.830465457003459,0.0,4.830465457003459,0.0,0.0,,,,,,,
p2p_equalprice_02_weighted_export,_COMMUNITY,1279.331875,21.2466033736806,1255.9002716263194,0.0,0.0,2.1850000000000005,0.0,0.0,0.0,0.0,0.7,0.7,2.6100000000000003,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_equalprice_03_fallback_instant_export,A,639.6659375,10.623301686840307,859.0234399298298,0.0,0.0,1.4250000000000003,0.0,430.1740324649149,198.7682283482448,0.0,0.5,0.5,2.0,214.75585998245745,0.0,0.32653303602752004,180.0449893649569,-0.029756249999999998,0.22857312521926404,5.224528576440321,0.0,5.224528576440321,0.0,0.0,,,,,,,
p2p_equalprice_03_fallback_instant_export,B,639.6659375,10.623301686840307,396.8768316964896,0.0,0.0,0.76,0.0,198.7682283482448,430.1740324649149,0.0,0.2,0.2,0.6100000000000001,99.2192079241224,0.0,0.2919658222482402,133.93007854162292,-0.0277875,0.20437607557376813,4.671453155971843,0.0,4.671453155971843,0.0,0.0,,,,,,,
p2p_equalprice_03_fallback_instant_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.185,0.0,0.0,0.0,0.0,0.7,0.7,2.6100000000000003,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_equalprice_04_fallback_mean_export,A,639.6659375,10.623301686840307,859.0234399298298,0.0,0.0,1.4250000000000003,0.0,430.1740324649149,198.7682283482448,0.0,0.5,0.5,2.0,214.75585998245745,0.0,0.32653303602752004,180.0449893649569,-0.029756249999999998,0.22857312521926404,5.224528576440321,0.0,5.224528576440321,0.0,0.0,,,,,,,
