t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,P_share,E,c_grid,c_sell,P_simul_imp_exp
1,1.482,0.0,0.0,0.0,0.0,1.482,0.0,0.0,2.6100000000000003,0.25,0.05,0.0
2,1.292,0.0,1.292,0.0,0.0,0.0,0.0,0.0,2.6100000000000003,0.25,0.05,0.0
3,1.5355,0.0,0.0,0.0,0.0,1.5355,0.0,0.0,2.205921052631579,0.25,0.05,0.0
4,1.347,0.0,0.0,0.0,0.0,1.347,0.0,0.0,1.8514473684210526,0.25,0.05,0.0
5,1.2845,0.0,0.0,0.0,0.0,1.2845,0.0,0.0,1.513421052631579,0.25,0.05,0.0
6,1.587,0.0,0.0,0.0,0.0,1.587,0.0,0.0,1.0957894736842106,0.25,0.05,0.0
7,1.279,0.0,1.279,0.0,0.0,0.0,0.0,0.0,1.0957894736842106,0.25,0.05,0.0
8,1.461,0.0,1.461,0.0,0.0,0.0,0.0,0.0,1.0957894736842106,0.25,0.05,0.0
9,1.497,0.0,1.497,0.0,0.0,0.0,0.0,0.0,1.0957894736842106,0.25,0.05,0.0
10,1.6115,0.0,0.1074999999999997,0.0,0.0,1.504,0.0,0.0,0.7,0.25,0.05,0.0
11,1.2765,0.0,1.2765,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
12,1.5235,0.0,1.5235,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
13,1.655,0.0,1.655,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
14,1.257,0.0,1.257,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
15,1.486,0.0,1.486,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
16,1.488,0.0,1.488,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
17,1.458,0.0,1.458,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
18,1.301,0.0,1.301,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
19,1.3625,0.0,1.3625,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
20,1.303,0.0,1.303,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
