t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,P_share,P_share_in,P_share_out,c_p2p_buy,c_p2p_sell,c_p2p_fee,allow_export
1,0.741,0.0,0.25,0.05,0.0,0.0,0.0,0.0,1.0,0,1,0.0,-0.741,0.741,0.0,0.15,0.15,0.0,0
2,0.646,0.0,0.25,0.05,0.0,0.0,0.0,0.0,1.0,0,1,0.0,-0.646,0.646,0.0,0.15,0.15,0.0,0
3,0.76775,0.0,0.25,0.05,0.0,0.0,0.0,1.5,0.6052631578947368,0,1,0.0,0.73225,0.0,0.73225,0.15,0.15,0.0,0
4,0.6735,0.0,0.25,0.05,0.0,0.0,0.0,0.0399999999999997,0.5947368421052632,0,1,0.0,-0.6335000000000003,0.6335000000000003,0.0,0.15,0.15,0.0,0
5,0.64225,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5947368421052632,0,1,0.0,-0.64225,0.64225,0.0,0.15,0.15,0.0,0
6,0.7935,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5947368421052632,0,1,0.0,-0.7935,0.7935,0.0,0.15,0.15,0.0,0
7,0.6395,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5947368421052632,0,1,0.0,-0.6395,0.6395,0.0,0.15,0.15,0.0,0
8,0.7305,0.0,0.25,0.05,1.461,0.0,0.0,0.0,0.5947368421052632,0,1,0.0,0.7305,0.0,0.7305,0.15,0.15,0.0,0
9,0.7485,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5947368421052632,0,1,0.0,-0.7485,0.7485,0.0,0.15,0.15,0.0,0
10,0.80575,0.0,0.25,0.05,0.1074999999999997,0.0,0.0,1.5,0.2,0,1,0.0,0.8017499999999997,0.0,0.8017499999999997,0.15,0.15,0.0,0
11,0.63825,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.2,0,1,0.0,-0.63825,0.63825,0.0,0.15,0.15,0.0,0
12,0.76175,0.0,0.25,0.05,1.5235,0.0,0.0,0.0,0.2,0,1,0.0,0.76175,0.0,0.76175,0.15,0.15,0.0,0
13,0.8275,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.2,0,1,0.0,-0.8275,0.8275,0.0,0.15,0.15,0.0,0
14,0.6285,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.2,0,1,0.0,-0.6285,0.6285,0.0,0.15,0.15,0.0,0
15,0.743,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.2,0,1,0.0,-0.743,0.743,0.0,0.15,0.15,0.0,0
