t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,P_share,P_share_in,P_share_out,c_p2p_buy,c_p2p_sell,c_p2p_fee,allow_export
1,0.741,0.0,0.25,0.05,0.0,0.0,0.0,1.482,1.61,0,1,0.0,0.741,0.0,0.741,0.15,0.15,0.0,0
2,0.646,0.0,0.25,0.05,1.292,0.0,0.0,0.0,1.61,0,1,0.0,0.646,0.0,0.646,0.15,0.15,0.0,0
3,0.76775,0.0,0.25,0.05,0.0,0.0,0.0,0.03550000000000009,1.6006578947368422,0,1,0.0,-0.73225,0.73225,0.0,0.15,0.15,0.0,0
4,0.6735,0.0,0.25,0.05,0.0,0.0,0.0,1.3070000000000004,1.2567105263157894,0,1,0.0,0.6335000000000003,0.0,0.6335000000000003,0.15,0.15,0.0,0
5,0.64225,0.0,0.25,0.05,0.0,0.0,0.0,1.2845,0.9186842105263158,0,1,0.0,0.64225,0.0,0.64225,0.15,0.15,0.0,0
6,0.7935,0.0,0.25,0.05,0.0,0.0,0.0,1.587,0.5010526315789474,0,1,0.0,0.7935,0.0,0.7935,0.15,0.15,0.0,0
7,0.6395,0.0,0.25,0.05,1.279,0.0,0.0,0.0,0.5010526315789474,0,1,0.0,0.6395,0.0,0.6395,0.15,0.15,0.0,0
8,0.7305,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5010526315789474,0,1,0.0,-0.7305,0.7305,0.0,0.15,0.15,0.0,0
9,0.7485,0.0,0.25,0.05,1.497,0.0,0.0,0.0,0.5010526315789474,0,1,0.0,0.7485,0.0,0.7485,0.15,0.15,0.0,0
10,0.80575,0.0,0.25,0.05,0.0,0.0,0.0,0.004000000000000181,0.5,0,1,0.0,-0.8017499999999997,0.8017499999999997,0.0,0.15,0.15,0.0,0
11,0.63825,0.0,0.25,0.05,1.2765,0.0,0.0,0.0,0.5,0,1,0.0,0.63825,0.0,0.63825,0.15,0.15,0.0,0
12,0.76175,0.0,0.25,0.05,0.0,0.0,0.0,-0.0,0.5,0,1,0.0,-0.76175,0.76175,0.0,0.15,0.15,0.0,0
13,0.8275,0.0,0.25,0.05,1.655,0.0,0.0,-0.0,0.5,0,1,0.0,0.8275,0.0,0.8275,0.15,0.15,0.0,0
14,0.6285,0.0,0.25,0.05,1.257,0.0,0.0,-0.0,0.5,0,1,0.0,0.6285,0.0,0.6285,0.15,0.15,0.0,0
15,0.743,0.0,0.25,0.05,1.486,0.0,0.0,0.0,0.5,0,1,0.0,0.743,0.0,0.743,0.15,0.15,0.0,0
16,0.744,0.0,0.25,0.05,1.488,0.0,0.0,-0.0,0.5,0,1,0.0,0.744,0.0,0.744,0.15,0.15,0.0,0
17,0.729,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5,0,1,0.0,-0.729,0.729,0.0,0.15,0.15,0.0,0
18,0.6505,0.0,0.25,0.05,1.301,0.0,0.0,0.0,0.5,0,1,0.0,0.6505,0.0,0.6505,0.15,0.15,0.0,0
19,0.68125,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5,0,1,0.0,-0.68125,0.68125,0.0,0.15,0.15,0.0,0
20,0.6515,0.0,0.25,0.05,1.303,0.0,0.0,0.0,0.5,0,1,0.0,0.6515,0.0,0.6515,0.15,0.15,0.0,0
21,0.5935,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5,0,1,0.0,-0.5935,0.5935,0.0,0.15,0.15,0.0,0
22,0.701,0.0,0.25,0.05,1.402,0.0,0.0,0.0,0.5,0,1,0.0,0.701,0.0,0.701,0.15,0.15,0.0,0
23,0.653,0.0,0.25,0.05,1.306,0.0,0.0,0.0,0.5,0,1,0.0,0.653,0.0,0.653,0.15,0.15,0.0,0
24,0.8395,0.0,0.25,0.05,1.679,0.0,0.0,0.0,0.5,0,1,0.0,0.8395,0.0,0.8395,0.15,0.15,0.0,0
25,0.64425,0.0,0.25,0.05,1.2885,0.0,0.0,-0.0,0.5,0,1,0.0,0.64425,0.0,0.64425,0.15,0.15,0.0,0
26,0.56525,0.0,0.25,0.05,0.0,0.0,0.0,-0.0,0.5,0,1,0.0,-0.56525,0.56525,0.0,0.15,0.15,0.0,0
27,0.79725,0.0,0.25,0.05,1.5945,0.0,0.0,-0.0,0.5,0,1,0.0,0.79725,0.0,0.79725,0.15,0.15,0.0,0
28,0.61775,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5,0,1,0.0,-0.61775,0.61775,0.0,0.15,0.15,0.0,0
29,0.673,0.0,0.25,0.05,1.346,0.0,0.0,0.0,0.5,0,1,0.0,0.673,0.0,0.673,0.15,0.15,0.0,0
30,0.613,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5,0,1,0.0,-0.613,0.613,0.0,0.15,0.15,0.0,0
31,0.762,0.0,0.25,0.05,1.524,0.0,0.0,0.0,0.5,0,1,0.0,0.762,0.0,0.762,0.15,0.15,0.0,0
32,0.627,0.0,0.25,0.05,1.254,0.0,0.0,0.0,0.5,0,1,0.0,0.627,0.0,0.627,0.15,0.15,0.0,0
33,0.653,0.0,0.25,0.05,1.306,0.0,0.0,0.0,0.5,0,1,0.0,0.653,0.0,0.653,0.15,0.15,0.0,0
34,0.68425,0.0,0.25,0.05,1.3685,0.0,0.0,0.0,0.5,0,1,0.0,0.68425,0.0,0.68425,0.15,0.15,0.0,0
35,0.56975,0.0021505343376418,0.25,0.05,0.0,0.0,0.0,0.0,0.5,0,1,0.0,-0.5675994656623582,0.5675994656623582,0.0,0.15,0.15,0.0,0
36,0.6445,0.00491550705746695,0.25,0.05,1.2791689858850661,0.0,0.0,0.0,0.5,0,1,0.0,0.6395844929425331,0.0,0.6395844929425331,0.15,0.15,0.0,0
37,0.834,0.00651304685114375,0.25,0.05,0.0,0.0,0.0,-0.0,0.5,0,1,0.0,-0.8274869531488562,0.8274869531488562,0.0,0.15,0.15,0.0,0
38,0.736,0.0079262551301655,0.25,0.05,1.456147489739669,0.0,0.0,0.0,0.5,0,1,0.0,0.7280737448698344,0.0,0.7280737448698344,0.15,0.15,0.0,0
