case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,E_share_out_kWh,E_share_in_kWh,Curt_frac_of_PV,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,Cost_total_with_p2p_EUR,Cost_total_with_p2p_min_step_EUR,Cost_total_with_p2p_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,E_share_out_kWh_COMM,E_share_in_kWh_COMM,Curt_frac_of_PV_COMM,Simul_frac_of_import
p2p_spread_01_equal_export,A,639.6659375,10.623301686840307,627.4470108131597,0.0,0.0,1.4249999999999998,0.0,0.306,0.4766250000000001,0.0,0.5,0.5,1.805,156.86175270328994,0.0,0.16326651801376002,156.89346645328993,-0.02578875,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_spread_01_equal_export,B,639.6659375,10.623301686840307,628.4532608131597,0.0,0.0,0.76,0.0,0.4766250000000001,0.306,0.0,0.2,0.2,0.805,157.11331520328991,0.0,0.16326651801376002,157.0972539532899,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_spread_01_equal_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.185,0.0,0.0,0.0,0.0,0.7,0.7,2.61,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_spread_02_weighted_export,A,639.6659375,14.872622361576422,623.1976901384235,0.0,0.0,1.4249999999999998,0.0,0.306,0.4766250000000001,0.0,0.5,0.5,1.805,155.79942253460587,0.0,0.16197312521926402,155.8311362846059,-0.02578875,0.16197312521926402,2.5915700035082243,0.0,2.5915700035082243,0.0,0.0,,,,,,,
p2p_spread_02_weighted_export,B,639.6659375,6.373981012104179,632.7025814878957,0.0,0.0,0.76,0.0,0.4766250000000001,0.306,0.0,0.2,0.2,0.805,158.17564537197393,0.0,0.16455991080825602,158.15958412197395,0.0,0.16455991080825602,2.6329585729320963,0.0,2.6329585729320963,0.0,0.0,,,,,,,
p2p_spread_02_weighted_export,_COMMUNITY,1279.331875,21.2466033736806,1255.9002716263194,0.0,0.0,2.185,0.0,0.0,0.0,0.0,0.7,0.7,2.61,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_spread_03_fallback_instant_export,A,639.6659375,10.623301686840307,627.4470108131597,0.0,0.0,1.4249999999999998,0.0,0.306,0.4766250000000001,0.0,0.5,0.5,1.805,156.86175270328994,0.0,0.16326651801376002,156.89346645328993,-0.02578875,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_spread_03_fallback_instant_export,B,639.6659375,10.623301686840307,628.4532608131597,0.0,0.0,0.76,0.0,0.4766250000000001,0.306,0.0,0.2,0.2,0.805,157.11331520328991,0.0,0.16326651801376002,157.0972539532899,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_spread_03_fallback_instant_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.185,0.0,0.0,0.0,0.0,0.7,0.7,2.61,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_spread_04_fallback_mean_export,A,639.6659375,10.623301686840307,627.4470108131597,0.0,0.0,1.4249999999999998,0.0,0.306,0.4766250000000001,0.0,0.5,0.5,1.805,156.86175270328994,0.0,0.16326651801376002,156.89346645328993,-0.02578875,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
