t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.1945774848771245,0.0,0.25,0.05,0.0,0.0,0.0,0.1945774848771245,2.448795398716546,0,0,0.0,1
2,0.1945774848771245,0.0,0.25,0.05,0.0,0.0,0.0,0.1945774848771245,2.397590797433092,0,0,0.0,1
3,0.1662680557249197,0.0,0.25,0.05,0.0,0.0,0.0,0.1662680557249197,2.3538360459265344,0,0,0.0,1
4,0.1662680557249197,0.0,0.25,0.05,0.0,0.0,0.0,0.1662680557249197,2.3100812944199767,0,0,0.0,1
5,0.115031976202972,0.0,0.25,0.05,0.0,0.0,0.0,0.115031976202972,2.279809721734984,0,0,0.0,1
6,0.115031976202972,0.0,0.25,0.05,0.0,0.0,0.0,0.115031976202972,2.2495381490499913,0,0,0.0,1
7,0.1255981715907667,0.0,0.25,0.05,0.0,0.0,0.0,0.1255981715907667,2.2164859986313683,0,0,0.0,1
8,0.1255981715907667,0.0,0.25,0.05,0.0,0.0,0.0,0.1255981715907667,2.1834338482127453,0,0,0.0,1
9,0.1353669182700487,0.0,0.25,0.05,0.0,0.0,0.0,0.1353669182700487,2.147810974983785,0,0,0.0,1
10,0.1353669182700487,0.0,0.25,0.05,0.0,0.0,0.0,0.1353669182700487,2.1121881017548247,0,0,0.0,1
11,0.0639952588581525,0.0,0.25,0.05,0.0,0.0,0.0,0.0639952588581525,2.0953472441605743,0,0,0.0,1
12,0.0639952588581525,0.0,0.25,0.05,0.0,0.0,0.0,0.0639952588581525,2.078506386566324,0,0,0.0,1
13,0.0558214095958962,0.0,0.25,0.05,0.0,0.0,0.0,0.0558214095958962,2.0638165419358248,0,0,0.0,1
14,0.0558214095958962,0.0,0.25,0.05,0.0,0.0,0.0,0.0558214095958962,2.0491266973053257,0,0,0.0,1
15,0.0402711597798967,0.0,0.25,0.05,0.0,0.0,0.0,0.0402711597798967,2.038529023679037,0,0,0.0,1
16,0.0402711597798967,0.0,0.25,0.05,0.0,0.0,0.0,0.0402711597798967,2.0279313500527483,0,0,0.0,1
17,0.0372807271229735,0.0,0.25,0.05,0.0,0.0,0.0,0.0372807271229735,2.0181206323888077,0,0,0.0,1
18,0.0372807271229735,0.0,0.25,0.05,0.0,0.0,0.0,0.0372807271229735,2.008309914724867,0,0,0.0,1
19,0.0372807271229735,0.0,0.25,0.05,0.0,0.0,0.0,0.0372807271229735,1.9984991970609267,0,0,0.0,1
20,0.0372807271229735,0.0,0.25,0.05,0.0,0.0,0.0,0.0372807271229735,1.9886884793969863,0,0,0.0,1
21,0.0289075156835892,0.0,0.25,0.05,0.0,0.0,0.0,0.0289075156835892,1.9810812384276208,0,0,0.0,1
22,0.0289075156835892,0.0,0.25,0.05,0.0,0.0,0.0,0.0289075156835892,1.9734739974582554,0,0,0.0,1
23,0.032695397049025,0.0,0.25,0.05,0.0,0.0,0.0,0.032695397049025,1.9648699456032488,0,0,0.0,1
24,0.032695397049025,0.0,0.25,0.05,0.0,0.0,0.0,0.032695397049025,1.9562658937482422,0,0,0.0,1
25,0.0207336664213329,0.0,0.25,0.05,0.0,0.0,0.0,0.0207336664213329,1.9508096657426284,0,0,0.0,1
26,0.0207336664213329,0.0,0.25,0.05,0.0,0.0,0.0,0.0207336664213329,1.9453534377370145,0,0,0.0,1
27,0.0669856915150755,0.0,0.25,0.05,0.0,0.0,0.0,0.0669856915150755,1.9277256241804157,0,0,0.0,1
28,0.0669856915150755,0.0,0.25,0.05,0.0,0.0,0.0,0.0669856915150755,1.910097810623817,0,0,0.0,1
29,0.0340909322889225,0.0,0.25,0.05,0.0,0.0,0.0,0.0340909322889225,1.9011265126530479,0,0,0.0,1
30,0.0340909322889225,0.0,0.25,0.05,0.0,0.0,0.0,0.0340909322889225,1.8921552146822789,0,0,0.0,1
31,0.0328947592261532,0.0,0.25,0.05,0.0,0.0,0.0,0.0328947592261532,1.883498699096449,0,0,0.0,1
32,0.0328947592261532,0.0,0.25,0.05,0.0,0.0,0.0,0.0328947592261532,1.8748421835106193,0,0,0.0,1
33,0.0430622302596915,0.0,0.25,0.05,0.0,0.0,0.0,0.0430622302596915,1.8635100176528057,0,0,0.0,1
34,0.0430622302596915,0.0,0.25,0.05,0.0,0.0,0.0,0.0430622302596915,1.852177851794992,0,0,0.0,1
35,0.0498405442820502,0.0010752671688209,0.25,0.05,0.0,0.0,0.0,0.048765277113229304,1.839344884133616,0,0,0.0,1
36,0.0498405442820502,0.002457753528733475,0.25,0.05,0.0,0.0,0.0,0.04738279075331673,1.8268757286722168,0,0,0.0,1
37,0.0508373551676912,0.003256523425571875,0.25,0.05,0.0,0.0,0.0,0.04758083174211933,1.8143544571611327,0,0,0.0,1
38,0.0508373551676912,0.00396312756508275,0.25,0.05,0.0,0.0,0.0,0.046874227602608454,1.8020191341078147,0,0,0.0,1
39,0.032695397049025,0.004577565947266125,0.25,0.05,0.0,0.0,0.0,0.028117831101758875,1.7946197048705097,0,0,0.0,1
40,0.032695397049025,0.005099838572121975,0.25,0.05,0.0,0.0,0.0,0.027595558476903023,1.7873577157976406,0,0,0.0,1
41,0.034689018820307,0.00562211119697785,0.25,0.05,0.0,0.0,0.0,0.029066907623329148,1.779708529580975,0,0,0.0,1
42,0.034689018820307,0.0059600523071787,0.25,0.05,0.0,0.0,0.0,0.0287289665131283,1.7721482752354147,0,0,0.0,1
43,0.1084530243577415,0.006451603012925425,0.25,0.05,0.0,0.0,0.0,0.10200142134481607,1.7453057959341474,0,0,0.0,1
44,0.1084530243577415,0.012380933400994925,0.25,0.05,0.0,0.0,0.0,0.09607209095674657,1.7200236667350035,0,0,0.0,1
45,0.0689793132863575,0.023348658522968174,0.25,0.05,0.0,0.0,0.0,0.04563065476338932,1.7080155996920063,0,0,0.0,1
46,0.0689793132863575,0.02897076971994605,0.25,0.05,0.0,0.0,0.0,0.04000854356641144,1.6974870355955822,0,0,0.0,1
47,0.673644776579975,0.03947766605528168,0.25,0.05,0.0,-0.0,0.0,0.6341671105246933,1.5306009538785577,0,0,0.0,1
48,0.673644776579975,0.04522266492869625,0.25,0.05,0.0,-0.0,0.0,0.6284221116512788,1.3652267139703265,0,0,0.0,1
49,0.6275921335995776,0.049431567846652376,0.25,0.05,0.0,0.0,0.0,0.5781605657529252,1.2130791966669252,0,0,0.0,1
50,0.6275921335995776,0.05287242278687925,0.25,0.05,0.0,0.0,0.0,0.5747197108126983,1.0618371675056888,0,0,0.0,1
51,0.653309854449115,0.04866351986892312,0.25,0.05,0.0,-0.0,0.0,0.6046463345801919,0.9027197110372173,0,0,0.0,1
52,0.653309854449115,0.054592850256992675,0.25,0.05,0.5987170041921224,0.0,0.0,0.0,0.9027197110372173,0,1,0.0,1
53,0.5119620908014375,0.06116734094635475,0.25,0.05,0.0,0.0,0.0,0.4507947498550828,0.7840895137069324,0,0,0.0,1
54,0.5119620908014375,0.0621811642769573,0.25,0.05,0.4497809265244802,0.0,0.0,0.0,0.7840895137069324,0,1,0.0,1
55,0.4278312121809025,0.05932402579980463,0.25,0.05,0.0,0.0,0.0,0.36850718638109786,0.6871139383434856,0,0,0.0,1
56,0.4278312121809025,0.04307213059105443,0.25,0.05,0.0,0.0,0.0,0.38475908158984806,0.5858615484514202,0,0,0.0,1
57,0.5241231437338225,0.0302918122416403,0.25,0.05,0.4938313314921822,0.0,0.0,0.0,0.5858615484514202,0,1,0.0,1
58,0.5241231437338225,0.022396279030583926,0.25,0.05,0.5017268647032386,0.0,0.0,0.0,0.5858615484514202,0,1,0.0,1
59,0.48205774429599,0.020245744692942123,0.25,0.05,0.4618119996030479,0.0,0.0,0.0,0.5858615484514202,0,1,0.0,1
60,0.48205774429599,0.020952348832453,0.25,0.05,0.461105395463537,0.0,0.0,0.0,0.5858615484514202,0,1,0.0,1
61,0.48185840205508,0.023133605089204,0.25,0.05,0.45872479696587604,0.0,0.0,0.0,0.5858615484514202,0,1,0.0,1
62,0.48185840205508,0.024485369530007375,0.25,0.05,0.45737303252507266,0.0,0.0,0.0,0.5858615484514202,0,1,0.0,1
63,0.3608455206658275,0.018709648737483674,0.25,0.05,0.3421358719283438,0.0,0.0,0.0,0.5858615484514202,0,1,0.0,1
64,0.3608455206658275,0.013824863599125875,0.25,0.05,0.3470206570667016,0.0,0.0,0.0,0.5858615484514202,0,1,0.0,1
65,0.0502392686363067,0.010015345629589,0.25,0.05,0.0,0.0,0.0,0.0402239230067177,0.5752763055549156,0,0,0.0,1
66,0.0502392686363067,0.008540693512348875,0.25,0.05,0.0,0.0,0.0,0.041698575123957825,0.5643029963117688,0,0,0.0,1
67,0.0799442330284087,0.0075268701817463,0.25,0.05,0.0,0.0,0.0,0.07241736284666239,0.5452457955626472,0,0,0.0,1
68,0.0799442330284087,0.006728100284907925,0.25,0.05,0.0,0.0,0.0,0.07321613274350076,0.5259783922090944,0,0,0.0,1
69,0.0657895184523065,0.00543777968232285,0.25,0.05,0.0,0.0,0.0,0.060351738769983655,0.5100963556906776,0,0,0.0,1
70,0.0657895184523065,0.003840239888646075,0.25,0.05,0.0,0.0,0.0,0.06194927856366043,0.4937939139633985,0,0,0.0,1
71,0.1152313383801002,0.0022427000949693,0.25,0.05,0.0,0.0,0.0,0.11298863828513091,0.4640600617831009,0,0,0.0,1
72,0.1152313383801002,0.00101382333060255,0.25,0.05,0.0,0.0,0.0,0.11421751504949765,0.4340028209806015,0,0,0.0,1
73,0.1363637291556897,0.0,0.25,0.05,0.1363637291556897,0.0,0.0,0.0,0.4340028209806015,0,1,0.0,1
74,0.1363637291556897,0.0,0.25,0.05,0.1363637291556897,0.0,0.0,0.0,0.4340028209806015,0,1,0.0,1
75,0.0201355798899483,0.0,0.25,0.05,0.0201355798899483,0.0,0.0,0.0,0.4340028209806015,0,1,0.0,1
76,0.0201355798899483,0.0,0.25,0.05,0.0,0.0,0.0,0.0201355798899483,0.4287039841674572,0,0,0.0,1
77,0.007974487085128,0.0,0.25,0.05,0.0,0.0,0.0,0.007974487085128,0.4266054349345288,0,0,0.0,1
78,0.007974487085128,0.0,0.25,0.05,0.0,0.0,0.0,0.007974487085128,0.4245068857016004,0,0,0.0,1
79,0.0362839162373327,0.0,0.25,0.05,0.0,0.0,0.0,0.0362839162373327,0.414958486691776,0,0,0.0,1
80,0.0362839162373327,0.0,0.25,0.05,0.0,0.0,0.0,0.0362839162373327,0.4054100876819516,0,0,0.0,1
81,0.0314992239862557,0.0,0.25,0.05,0.0,0.0,0.0,0.0314992239862557,0.3971208182118843,0,0,0.0,1
82,0.0314992239862557,0.0,0.25,0.05,0.0,0.0,0.0,0.0314992239862557,0.38883154874181697,0,0,0.0,1
83,0.0428628680825632,0.0,0.25,0.05,0.0,0.0,0.0,0.0428628680825632,0.37755184661482666,0,0,0.0,1
84,0.0428628680825632,0.0,0.25,0.05,0.0,0.0,0.0,0.0428628680825632,0.36627214448783635,0,0,0.0,1
85,0.0590112044299475,0.0,0.25,0.05,0.0,0.0,0.0,0.0590112044299475,0.35074288016416594,0,0,0.0,1
86,0.0590112044299475,0.0,0.25,0.05,0.0590112044299475,0.0,0.0,0.0,0.35074288016416594,0,1,0.0,1
87,0.0458533007394862,0.0,0.25,0.05,0.0,0.0,0.0,0.0458533007394862,0.33867622207482745,0,0,0.0,1
88,0.0458533007394862,0.0,0.25,0.05,0.0,0.0,0.0,0.0458533007394862,0.32660956398548896,0,0,0.0,1
89,0.04764756033364,0.0,0.25,0.05,0.0,0.0,0.0,0.04764756033364,0.3140707323187416,0,0,0.0,1
90,0.04764756033364,0.0,0.25,0.05,0.04764756033364,0.0,0.0,0.0,0.3140707323187416,0,1,0.0,1
91,0.0155502498159997,0.0,0.25,0.05,0.0,0.0,0.0,0.0155502498159997,0.30997856131453116,0,0,0.0,1
