t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.1945774848771245,0.0,0.25,0.05,0.0,0.0,0.0,0.1945774848771245,2.448795398716546,0,0,0.0,1
2,0.1945774848771245,0.0,0.25,0.05,0.0,0.0,0.0,0.1945774848771245,2.397590797433092,0,0,0.0,1
3,0.1662680557249197,0.0,0.25,0.05,0.0,0.0,0.0,0.1662680557249197,2.3538360459265344,0,0,0.0,1
4,0.1662680557249197,0.0,0.25,0.05,0.0,0.0,0.0,0.1662680557249197,2.3100812944199767,0,0,0.0,1
5,0.115031976202972,0.0,0.25,0.05,0.0,0.0,0.0,0.115031976202972,2.279809721734984,0,0,0.0,1
6,0.115031976202972,0.0,0.25,0.05,0.0,0.0,0.0,0.115031976202972,2.2495381490499913,0,0,0.0,1
7,0.1255981715907667,0.0,0.25,0.05,0.0,0.0,0.0,0.1255981715907667,2.2164859986313683,0,0,0.0,1
8,0.1255981715907667,0.0,0.25,0.05,0.0,0.0,0.0,0.1255981715907667,2.1834338482127453,0,0,0.0,1
9,0.1353669182700487,0.0,0.25,0.05,0.0,0.0,0.0,0.1353669182700487,2.1478109749837855,0,0,0.0,1
10,0.1353669182700487,0.0,0.25,0.05,0.0,0.0,0.0,0.1353669182700487,2.112188101754825,0,0,0.0,1
11,0.0639952588581525,0.0,0.25,0.05,0.0,-1.3877787807814457e-17,0.0,0.06399525885815249,2.0953472441605743,0,0,0.0,1
12,0.0639952588581525,0.0,0.25,0.05,0.0,0.0,0.0,0.0639952588581525,2.078506386566324,0,0,0.0,1
13,0.0558214095958962,0.0,0.25,0.05,0.0,0.0,0.0,0.0558214095958962,2.0638165419358248,0,0,0.0,1
14,0.0558214095958962,0.0,0.25,0.05,0.0,0.0,0.0,0.0558214095958962,2.049126697305326,0,0,0.0,1
15,0.0402711597798967,0.0,0.25,0.05,0.0,6.938893903907228e-18,0.0,0.040271159779896704,2.0385290236790374,0,0,0.0,1
16,0.0402711597798967,0.0,0.25,0.05,0.0,0.0,0.0,0.0402711597798967,2.0279313500527487,0,0,0.0,1
17,0.0372807271229735,0.0,0.25,0.05,0.0,6.938893903907228e-18,0.0,0.037280727122973506,2.0181206323888086,0,0,0.0,1
18,0.0372807271229735,0.0,0.25,0.05,0.0,0.0,0.0,0.0372807271229735,2.008309914724868,0,0,0.0,1
19,0.0372807271229735,0.0,0.25,0.05,0.0,0.0,0.0,0.0372807271229735,1.9984991970609274,0,0,0.0,1
20,0.0372807271229735,0.0,0.25,0.05,0.0,0.0,0.0,0.0372807271229735,1.988688479396987,0,0,0.0,1
21,0.0289075156835892,0.0,0.25,0.05,0.0,0.0,0.0,0.0289075156835892,1.9810812384276215,0,0,0.0,1
22,0.0289075156835892,0.0,0.25,0.05,0.0,0.0,0.0,0.0289075156835892,1.9734739974582558,0,0,0.0,1
23,0.032695397049025,0.0,0.25,0.05,0.0,0.0,0.0,0.032695397049025,1.9648699456032492,0,0,0.0,1
24,0.032695397049025,0.0,0.25,0.05,0.0,0.0,0.0,0.032695397049025,1.9562658937482427,0,0,0.0,1
25,0.0207336664213329,0.0,0.25,0.05,0.0,0.0,0.0,0.0207336664213329,1.9508096657426288,0,0,0.0,1
26,0.0207336664213329,0.0,0.25,0.05,0.0,3.469446951953614e-18,0.0,0.020733666421332904,1.9453534377370147,0,0,0.0,1
27,0.0669856915150755,0.0,0.25,0.05,0.0,0.0,0.0,0.0669856915150755,1.927725624180416,0,0,0.0,1
28,0.0669856915150755,0.0,0.25,0.05,0.0,0.0,0.0,0.0669856915150755,1.9100978106238171,0,0,0.0,1
29,0.0340909322889225,0.0,0.25,0.05,0.0,0.0,0.0,0.0340909322889225,1.901126512653048,0,0,0.0,1
30,0.0340909322889225,0.0,0.25,0.05,0.0,0.0,0.0,0.0340909322889225,1.892155214682279,0,0,0.0,1
31,0.0328947592261532,0.0,0.25,0.05,0.0,0.0,0.0,0.0328947592261532,1.8834986990964493,0,0,0.0,1
32,0.0328947592261532,0.0,0.25,0.05,0.0,0.0,0.0,0.0328947592261532,1.8748421835106195,0,0,0.0,1
33,0.0430622302596915,0.0,0.25,0.05,0.0,0.0,0.0,0.0430622302596915,1.8635100176528059,0,0,0.0,1
34,0.0430622302596915,0.0,0.25,0.05,0.0,0.0,0.0,0.0430622302596915,1.8521778517949923,0,0,0.0,1
35,0.0498405442820502,0.00016617044618241742,0.25,0.05,0.0,0.0,0.0,0.049674373835867786,1.8391056481539745,0,0,0.0,1
36,0.0498405442820502,0.0003617627340340449,0.25,0.05,0.0,0.0,0.0,0.04947878154801616,1.8260849161676547,0,0,0.0,1
37,0.0508373551676912,0.00042947962015255043,0.25,0.05,0.0,0.0,0.0,0.05040787554753865,1.8128196857604078,0,0,0.0,1
38,0.0508373551676912,0.000497196669048388,0.25,0.05,0.0,0.0,0.0,0.05034015849864282,1.7995722756291859,0,0,0.0,1
39,0.032695397049025,0.0003739528686118272,0.25,0.05,0.0,6.938893903907228e-18,0.0,0.03232144418041318,1.7910666324238138,0,0,0.0,1
40,0.032695397049025,0.00042804064189871027,0.25,0.05,0.0,0.0,0.0,0.03226735640712629,1.7825752228429912,0,0,0.0,1
41,0.034689018820307,0.0005180816386873149,0.25,0.05,0.0,0.0,0.0,0.03417093718161968,1.7735828709530912,0,0,0.0,1
42,0.034689018820307,0.0005356016406383337,0.25,0.05,0.0,0.0,0.0,0.03415341717966867,1.7645951295900204,0,0,0.0,1
43,0.1084530243577415,0.0016924198326251515,0.25,0.05,0.0,0.0,0.0,0.10676060452511635,1.7365002336623583,0,0,0.0,1
44,0.1084530243577415,0.0029768781004600436,0.25,0.05,0.0,0.0,0.0,0.10547614625728145,1.708743353068337,0,0,0.0,1
45,0.0689793132863575,0.004321660011388913,0.25,0.05,0.0,0.0,0.0,0.06465765327496859,1.6917281811538716,0,0,0.0,1
46,0.0689793132863575,0.005114913747816879,0.25,0.05,0.0,0.0,0.0,0.06386439953854062,1.6749217602226767,0,0,0.0,1
47,0.673644776579975,0.03206344817231208,0.25,0.05,0.0,0.0,0.0,0.6415813284076629,1.5060845685364497,0,0,0.0,1
48,0.673644776579975,0.03586757483669616,0.25,0.05,0.0,0.0,0.0,0.6377772017432789,1.3382484628145341,0,0,0.0,1
49,0.6275921335995776,0.03954513771936681,0.25,0.05,0.0,0.0,0.0,0.5880469958802107,1.1834992533723734,0,0,0.0,1
50,0.6275921335995776,0.04081033577407553,0.25,0.05,0.0,0.0,0.0,0.586781797825502,1.029082990786715,0,0,0.0,1
51,0.653309854449115,0.039912410184376704,0.25,0.05,0.0,0.0,0.0,0.6133974442647383,0.867662610717047,0,0,0.0,1
52,0.653309854449115,0.04237952756146525,0.25,0.05,0.0,0.0,0.0,0.6109303268876498,0.7068914720624023,0,0,0.0,1
53,0.5119620908014375,0.042929861118864154,0.25,0.05,0.0,0.0,0.0,0.46903222968257335,0.5834619379354093,0,0,0.0,1
54,0.5119620908014375,0.04568209602673791,0.25,0.05,0.0,0.0,0.0,0.4662799947746996,0.46075667615259364,0,0,0.0,1
55,0.4278312121809025,0.03985919843125612,0.25,0.05,0.0,0.0,0.0,0.38797201374964635,0.35865877779742356,0,0,0.0,1
56,0.4278312121809025,0.03254260021167361,0.25,0.05,0.0,0.0,0.0,0.3952886119692289,0.25463545885815286,0,0,0.0,1
57,0.5241231437338225,0.025883320655881455,0.25,0.05,0.4340166577511191,0.0,0.0,0.06422316532682189,0.23773462587741026,0,1,0.0,1
58,0.5241231437338225,0.01815139023775086,0.25,0.05,0.5059717534960717,0.0,0.0,-0.0,0.23773462587741026,0,1,0.0,1
59,0.48205774429599,0.015996952796722964,0.25,0.05,0.46606079149926694,0.0,0.0,1.0547118733938988e-16,0.23773462587741023,0,1,0.0,1
60,0.48205774429599,0.015173664070080804,0.25,0.05,0.4668840802259092,0.0,0.0,-0.0,0.23773462587741023,0,1,0.0,1
61,0.48185840205508,0.015181665492076162,0.25,0.05,0.46667673656300385,0.0,0.0,-0.0,0.23773462587741023,0,1,0.0,1
62,0.48185840205508,0.017127097719413474,0.25,0.05,0.46473130433566656,0.0,0.0,0.0,0.23773462587741023,0,1,0.0,1
63,0.3608455206658275,0.012851769497555137,0.25,0.05,0.34799375116827236,0.0,0.0,0.0,0.23773462587741023,0,1,0.0,1
64,0.3608455206658275,0.008794838729826998,0.25,0.05,0.3520506819360005,0.0,0.0,0.0,0.23773462587741023,0,1,0.0,1
65,0.0502392686363067,0.0015454787125174763,0.25,0.05,0.0,0.0,0.0,0.04869378992378922,0.2249204706343078,0,0,0.0,1
66,0.0502392686363067,0.0015257399379870855,0.25,0.05,0.0,0.0,0.0,0.048713528698319616,0.21210112097685527,0,0,0.0,1
67,0.0799442330284087,0.0019153015452981978,0.25,0.05,0.0,0.0,0.0,0.07802893148311049,0.1915671916391946,0,0,0.0,1
68,0.0799442330284087,0.001503726317918361,0.25,0.05,0.0,0.0,0.0,0.07844050671049034,0.17092495303117083,0,0,0.0,1
69,0.0657895184523065,0.0010706210599841376,0.25,0.05,0.0,0.0,0.0,0.06471889739232237,0.1538936642437176,0,0,0.0,1
70,0.0657895184523065,0.0006625581479080581,0.25,0.05,0.06512696030439846,0.0,0.0,0.0,0.1538936642437176,0,1,0.0,1
71,0.1152313383801002,0.0007699152877050888,0.25,0.05,0.11446142309239511,0.0,0.0,0.0,0.1538936642437176,0,1,0.0,1
72,0.1152313383801002,0.0003508710154134479,0.25,0.05,0.11488046736468671,0.0,0.0,0.0,0.1538936642437176,0,1,0.0,1
73,0.1363637291556897,0.0,0.25,0.05,0.1363637291556897,0.0,0.0,0.0,0.1538936642437176,0,1,0.0,1
74,0.1363637291556897,0.0,0.25,0.05,0.1363637291556897,0.0,0.0,0.0,0.1538936642437176,0,1,0.0,1
75,0.0201355798899483,0.0,0.25,0.05,0.0201355798899483,0.0,0.0,0.0,0.1538936642437176,0,1,0.0,1
76,0.0201355798899483,0.0,0.25,0.05,0.0,-6.938893903907228e-18,0.0,0.020135579889948293,0.1485948274305733,0,0,0.0,1
77,0.007974487085128,0.0,0.25,0.05,0.0,0.0,0.0,0.007974487085128,0.14649627819764488,0,0,0.0,1
78,0.007974487085128,0.0,0.25,0.05,0.0,0.0,0.0,0.007974487085128,0.14439772896471645,0,0,0.0,1
79,0.0362839162373327,0.0,0.25,0.05,0.0,0.0,0.0,0.0362839162373327,0.13484932995489204,0,0,0.0,1
80,0.0362839162373327,0.0,0.25,0.05,0.0,0.0,0.0,0.0362839162373327,0.12530093094506767,0,0,0.0,1
81,0.0314992239862557,0.0,0.25,0.05,0.0,0.0,0.0,0.0314992239862557,0.11701166147500038,0,0,0.0,1
82,0.0314992239862557,0.0,0.25,0.05,0.0314992239862557,0.0,0.0,0.0,0.11701166147500038,0,1,0.0,1
83,0.0428628680825632,0.0,0.25,0.05,0.0428628680825632,0.0,0.0,0.0,0.11701166147500038,0,1,0.0,1
84,0.0428628680825632,0.0,0.25,0.05,0.0428628680825632,0.0,0.0,0.0,0.11701166147500038,0,1,0.0,1
85,0.0590112044299475,0.0,0.25,0.05,0.0590112044299475,0.0,0.0,0.0,0.11701166147500038,0,1,0.0,1
86,0.0590112044299475,0.0,0.25,0.05,0.0590112044299475,0.0,0.0,0.0,0.11701166147500038,0,1,0.0,1
87,0.0458533007394862,0.0,0.25,0.05,0.0458533007394862,0.0,0.0,0.0,0.11701166147500038,0,1,0.0,1
88,0.0458533007394862,0.0,0.25,0.05,0.0,0.0,0.0,0.0458533007394862,0.1049450033856619,0,0,0.0,1
89,0.04764756033364,0.0,0.25,0.05,0.0,0.0,0.0,0.04764756033364,0.09240617171891453,0,0,0.0,1
90,0.04764756033364,0.0,0.25,0.05,0.04764756033364,0.0,0.0,0.0,0.09240617171891453,0,1,0.0,1
