t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.1945774848771245,0.0,0.25,0.0,0.0,0.0,0.0,0.1945774848771245,2.448795398716546,0,1,0.0,0
2,0.1945774848771245,0.0,0.25,0.0,0.0,0.0,0.0,0.1945774848771245,2.3975907974330926,0,1,0.0,0
3,0.1662680557249197,0.0,0.25,0.0,0.0,0.0,0.0,0.1662680557249197,2.353836045926535,0,1,0.0,0
4,0.1662680557249197,0.0,0.25,0.0,0.0,0.0,0.0,0.1662680557249197,2.310081294419977,0,1,0.0,0
5,0.115031976202972,0.0,0.25,0.0,0.0,0.0,0.0,0.115031976202972,2.2798097217349844,0,1,0.0,0
6,0.115031976202972,0.0,0.25,0.0,0.0,0.0,0.0,0.115031976202972,2.2495381490499917,0,1,0.0,0
7,0.1255981715907667,0.0,0.25,0.0,0.0,0.0,0.0,0.1255981715907667,2.2164859986313687,0,1,0.0,0
8,0.1255981715907667,0.0,0.25,0.0,0.0,0.0,0.0,0.1255981715907667,2.1834338482127458,0,1,0.0,0
9,0.1353669182700487,0.0,0.25,0.0,0.0,0.0,0.0,0.1353669182700487,2.147810974983786,0,1,0.0,0
10,0.1353669182700487,0.0,0.25,0.0,0.0,0.0,0.0,0.1353669182700487,2.1121881017548256,0,1,0.0,0
11,0.0639952588581525,0.0,0.25,0.0,0.0,0.0,0.0,0.0639952588581525,2.0953472441605747,0,1,0.0,0
12,0.0639952588581525,0.0,0.25,0.0,0.0,0.0,0.0,0.0639952588581525,2.0785063865663242,0,1,0.0,0
13,0.0558214095958962,0.0,0.25,0.0,0.0,0.0,0.0,0.0558214095958962,2.063816541935825,0,1,0.0,0
14,0.0558214095958962,0.0,0.25,0.0,0.0,0.0,0.0,0.0558214095958962,2.049126697305326,0,1,0.0,0
15,0.0402711597798967,0.0,0.25,0.0,0.0,0.0,0.0,0.0402711597798967,2.0385290236790374,0,1,0.0,0
16,0.0402711597798967,0.0,0.25,0.0,0.0,0.0,0.0,0.0402711597798967,2.0279313500527487,0,1,0.0,0
17,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,2.018120632388808,0,1,0.0,0
18,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,2.0083099147248675,0,1,0.0,0
19,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,1.9984991970609272,0,1,0.0,0
20,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,1.9886884793969868,0,1,0.0,0
21,0.0289075156835892,0.0,0.25,0.0,-6.938893903907228e-18,0.0,0.0,0.028907515683589208,1.9810812384276213,0,1,0.0,0
22,0.0289075156835892,0.0,0.25,0.0,0.0,0.0,0.0,0.0289075156835892,1.9734739974582556,0,1,0.0,0
23,0.032695397049025,0.0,0.25,0.0,0.0,0.0,0.0,0.032695397049025,1.964869945603249,0,1,0.0,0
24,0.032695397049025,0.0,0.25,0.0,0.0,0.0,0.0,0.032695397049025,1.9562658937482424,0,1,0.0,0
25,0.0207336664213329,0.0,0.25,0.0,0.0,0.0,0.0,0.0207336664213329,1.9508096657426286,0,1,0.0,0
26,0.0207336664213329,0.0,0.25,0.0,0.0,0.0,0.0,0.0207336664213329,1.9453534377370147,0,1,0.0,0
27,0.0669856915150755,0.0,0.25,0.0,0.0,0.0,0.0,0.0669856915150755,1.927725624180416,0,1,0.0,0
28,0.0669856915150755,0.0,0.25,0.0,0.0,0.0,0.0,0.0669856915150755,1.9100978106238171,0,1,0.0,0
29,0.0340909322889225,0.0,0.25,0.0,0.0,0.0,0.0,0.0340909322889225,1.901126512653048,0,1,0.0,0
30,0.0340909322889225,0.0,0.25,0.0,0.0,0.0,0.0,0.0340909322889225,1.892155214682279,0,1,0.0,0
31,0.0328947592261532,0.0,0.25,0.0,0.0,0.0,0.0,0.0328947592261532,1.8834986990964493,0,1,0.0,0
32,0.0328947592261532,0.0,0.25,0.0,0.0,0.0,0.0,0.0328947592261532,1.8748421835106195,0,1,0.0,0
33,0.0430622302596915,0.0,0.25,0.0,0.0,0.0,0.0,0.0430622302596915,1.8635100176528059,0,1,0.0,0
34,0.0430622302596915,0.0,0.25,0.0,0.0,0.0,0.0,0.0430622302596915,1.8521778517949923,0,1,0.0,0
35,0.0498405442820502,0.0010752671688209,0.25,0.0,0.0,0.0,0.0,0.048765277113229304,1.8393448841336162,0,1,0.0,0
36,0.0498405442820502,0.002457753528733475,0.25,0.0,0.0,0.0,0.0,0.04738279075331673,1.826875728672217,0,1,0.0,0
37,0.0508373551676912,0.003256523425571875,0.25,0.0,0.0,0.0,0.0,0.04758083174211933,1.814354457161133,0,1,0.0,0
38,0.0508373551676912,0.00396312756508275,0.25,0.0,0.0,0.0,0.0,0.046874227602608454,1.802019134107815,0,1,0.0,0
39,0.032695397049025,0.004577565947266125,0.25,0.0,0.0,0.0,0.0,0.028117831101758875,1.79461970487051,0,1,0.0,0
40,0.032695397049025,0.005099838572121975,0.25,0.0,0.0,0.0,0.0,0.027595558476903023,1.7873577157976408,0,1,0.0,0
41,0.034689018820307,0.00562211119697785,0.25,0.0,0.0,0.0,0.0,0.029066907623329148,1.7797085295809751,0,1,0.0,0
42,0.034689018820307,0.0059600523071787,0.25,0.0,0.0,0.0,0.0,0.0287289665131283,1.772148275235415,0,1,0.0,0
43,0.1084530243577415,0.006451603012925425,0.25,0.0,0.0,0.0,0.0,0.10200142134481607,1.7453057959341476,0,1,0.0,0
44,0.1084530243577415,0.012380933400994925,0.25,0.0,0.0,0.0,0.0,0.09607209095674657,1.7200236667350037,0,1,0.0,0
45,0.0689793132863575,0.023348658522968174,0.25,0.0,0.0,0.0,0.0,0.04563065476338932,1.7080155996920066,0,1,0.0,0
46,0.0689793132863575,0.02897076971994605,0.25,0.0,0.0,0.0,0.0,0.04000854356641144,1.6974870355955824,0,1,0.0,0
47,0.673644776579975,0.03947766605528168,0.25,0.0,0.0,0.0,0.0,0.6341671105246933,1.5306009538785579,0,1,0.0,0
48,0.673644776579975,0.04522266492869625,0.25,0.0,0.0,0.0,0.0,0.6284221116512788,1.3652267139703267,0,1,0.0,0
49,0.6275921335995776,0.049431567846652376,0.25,0.0,0.0,0.0,0.0,0.5781605657529252,1.2130791966669254,0,1,0.0,0
50,0.6275921335995776,0.05287242278687925,0.25,0.0,0.0,0.0,0.0,0.5747197108126983,1.061837167505689,0,1,0.0,0
