t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.741,0.0,0.25,0.0,0.0,0.0,0.0,0.741,2.305,0,1,0.0,0
2,0.646,0.0,0.25,0.0,0.0,0.0,0.0,0.646,2.1350000000000002,0,1,0.0,0
3,0.76775,0.0,0.25,0.0,0.0,0.0,0.0,0.76775,1.9329605263157896,0,1,0.0,0
4,0.6735,0.0,0.25,0.0,0.0,0.0,0.0,0.6735,1.7557236842105266,0,1,0.0,0
5,0.64225,0.0,0.25,0.0,0.0,0.0,0.0,0.64225,1.5867105263157897,0,1,0.0,0
6,0.7935,0.0,0.25,0.0,0.0,0.0,0.0,0.7935,1.3778947368421055,0,1,0.0,0
7,0.6395,0.0,0.25,0.0,0.0,0.0,0.0,0.6395,1.209605263157895,0,1,0.0,0
8,0.7305,0.0,0.25,0.0,0.0,0.0,0.0,0.7305,1.017368421052632,0,1,0.0,0
9,0.7485,0.0,0.25,0.0,0.0,0.0,0.0,0.7485,0.8203947368421056,0,1,0.0,0
10,0.80575,0.0,0.25,0.0,0.0,0.0,0.0,0.80575,0.6083552631578951,0,1,0.0,0
11,0.63825,0.0,0.25,0.0,0.0,0.0,0.0,0.63825,0.44039473684210567,0,1,0.0,0
12,0.76175,0.0,0.25,0.0,0.76175,0.0,0.0,0.0,0.44039473684210567,0,1,0.0,0
13,0.8275,0.0,0.25,0.0,0.0,0.0,0.0,0.8275,0.22263157894736885,0,1,0.0,0
14,0.6285,0.0,0.25,0.0,0.6285,0.0,0.0,0.0,0.22263157894736885,0,1,0.0,0
15,0.743,0.0,0.25,0.0,0.0,0.0,0.0,0.743,0.027105263157895187,0,1,0.0,0
16,0.744,0.0,0.25,0.0,0.744,0.0,0.0,0.0,0.027105263157895187,0,1,0.0,0
17,0.729,0.0,0.25,0.0,0.729,0.0,0.0,0.0,0.027105263157895187,0,1,0.0,0
18,0.6505,0.0,0.25,0.0,0.6505,0.0,0.0,0.0,0.027105263157895187,0,1,0.0,0
