t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.3861518734099475,0.0,0.25,0.0,0.0,0.0,0.0,0.3861518734099475,2.3983810859447505,0,1,0.0,0
2,0.3861518734099475,0.0,0.25,0.0,0.0,0.0,0.0,0.3861518734099475,2.296762171889501,0,1,0.0,0
3,0.32996994100809,0.0,0.25,0.0,0.0,0.0,0.0,0.32996994100809,2.2099279768873723,0,1,0.0,0
4,0.32996994100809,0.0,0.25,0.0,0.0,0.0,0.0,0.32996994100809,2.1230937818852436,0,1,0.0,0
5,0.2282885563089547,0.0,0.25,0.0,0.0,0.0,0.0,0.2282885563089547,2.063017846014466,0,1,0.0,0
6,0.2282885563089547,0.0,0.25,0.0,0.0,0.0,0.0,0.2282885563089547,2.0029419101436883,0,1,0.0,0
7,0.2492578691068312,0.0,0.25,0.0,0.0,0.0,0.0,0.2492578691068312,1.9373477340629432,0,1,0.0,0
8,0.2492578691068312,0.0,0.25,0.0,0.0,0.0,0.0,0.2492578691068312,1.8717535579821982,0,1,0.0,0
9,0.268644592259585,0.0,0.25,0.0,0.0,0.0,0.0,0.268644592259585,1.8010576126507285,0,1,0.0,0
10,0.268644592259585,0.0,0.25,0.0,0.0,0.0,0.0,0.268644592259585,1.7303616673192588,0,1,0.0,0
11,0.1270028190210997,0.0,0.25,0.0,0.0,0.0,0.0,0.1270028190210997,1.696939872840022,0,1,0.0,0
12,0.1270028190210997,0.0,0.25,0.0,0.0,0.0,0.0,0.1270028190210997,1.6635180783607852,0,1,0.0,0
13,0.1107812751585917,0.0,0.25,0.0,0.0,0.0,0.0,0.1107812751585917,1.6343651112137874,0,1,0.0,0
14,0.1107812751585917,0.0,0.25,0.0,0.0,0.0,0.0,0.1107812751585917,1.6052121440667895,0,1,0.0,0
15,0.0799207770786982,0.0,0.25,0.0,0.0,0.0,0.0,0.0799207770786982,1.5841803606250269,0,1,0.0,0
16,0.0799207770786982,0.0,0.25,0.0,0.0,0.0,0.0,0.0799207770786982,1.5631485771832643,0,1,0.0,0
17,0.073986065909488,0.0,0.25,0.0,0.0,0.0,0.0,0.073986065909488,1.5436785598386622,0,1,0.0,0
