t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.1945774848771245,0.0,0.25,0.0,0.0,0.0,0.0,0.1945774848771245,2.448795398716546,0,1,0.0,0
2,0.1945774848771245,0.0,0.25,0.0,0.0,0.0,0.0,0.1945774848771245,2.3975907974330926,0,1,0.0,0
3,0.1662680557249197,0.0,0.25,0.0,0.0,0.0,0.0,0.1662680557249197,2.353836045926535,0,1,0.0,0
4,0.1662680557249197,0.0,0.25,0.0,0.0,0.0,0.0,0.1662680557249197,2.310081294419977,0,1,0.0,0
5,0.115031976202972,0.0,0.25,0.0,0.0,0.0,0.0,0.115031976202972,2.2798097217349844,0,1,0.0,0
6,0.115031976202972,0.0,0.25,0.0,0.0,0.0,0.0,0.115031976202972,2.2495381490499917,0,1,0.0,0
7,0.1255981715907667,0.0,0.25,0.0,0.0,0.0,0.0,0.1255981715907667,2.2164859986313687,0,1,0.0,0
8,0.1255981715907667,0.0,0.25,0.0,0.0,0.0,0.0,0.1255981715907667,2.1834338482127458,0,1,0.0,0
9,0.1353669182700487,0.0,0.25,0.0,0.0,0.0,0.0,0.1353669182700487,2.147810974983786,0,1,0.0,0
10,0.1353669182700487,0.0,0.25,0.0,0.0,0.0,0.0,0.1353669182700487,2.1121881017548256,0,1,0.0,0
11,0.0639952588581525,0.0,0.25,0.0,0.0,0.0,0.0,0.0639952588581525,2.0953472441605747,0,1,0.0,0
12,0.0639952588581525,0.0,0.25,0.0,0.0,0.0,0.0,0.0639952588581525,2.0785063865663242,0,1,0.0,0
13,0.0558214095958962,0.0,0.25,0.0,0.0,0.0,0.0,0.0558214095958962,2.063816541935825,0,1,0.0,0
14,0.0558214095958962,0.0,0.25,0.0,0.0,0.0,0.0,0.0558214095958962,2.049126697305326,0,1,0.0,0
15,0.0402711597798967,0.0,0.25,0.0,0.0,0.0,0.0,0.0402711597798967,2.0385290236790374,0,1,0.0,0
16,0.0402711597798967,0.0,0.25,0.0,0.0,0.0,0.0,0.0402711597798967,2.0279313500527487,0,1,0.0,0
17,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,2.018120632388808,0,1,0.0,0
18,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,2.0083099147248675,0,1,0.0,0
19,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,1.9984991970609272,0,1,0.0,0
20,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,1.9886884793969868,0,1,0.0,0
21,0.0289075156835892,0.0,0.25,0.0,-6.938893903907228e-18,0.0,0.0,0.028907515683589208,1.9810812384276213,0,1,0.0,0
22,0.0289075156835892,0.0,0.25,0.0,0.0,0.0,0.0,0.0289075156835892,1.9734739974582556,0,1,0.0,0
23,0.032695397049025,0.0,0.25,0.0,0.0,0.0,0.0,0.032695397049025,1.964869945603249,0,1,0.0,0
24,0.032695397049025,0.0,0.25,0.0,0.0,0.0,0.0,0.032695397049025,1.9562658937482424,0,1,0.0,0
25,0.0207336664213329,0.0,0.25,0.0,0.0,0.0,0.0,0.0207336664213329,1.9508096657426286,0,1,0.0,0
26,0.0207336664213329,0.0,0.25,0.0,0.0,0.0,0.0,0.0207336664213329,1.9453534377370147,0,1,0.0,0
27,0.0669856915150755,0.0,0.25,0.0,0.0,0.0,0.0,0.0669856915150755,1.927725624180416,0,1,0.0,0
28,0.0669856915150755,0.0,0.25,0.0,0.0,0.0,0.0,0.0669856915150755,1.9100978106238171,0,1,0.0,0
29,0.0340909322889225,0.0,0.25,0.0,0.0,0.0,0.0,0.0340909322889225,1.901126512653048,0,1,0.0,0
30,0.0340909322889225,0.0,0.25,0.0,0.0,0.0,0.0,0.0340909322889225,1.892155214682279,0,1,0.0,0
31,0.0328947592261532,0.0,0.25,0.0,0.0,0.0,0.0,0.0328947592261532,1.8834986990964493,0,1,0.0,0
32,0.0328947592261532,0.0,0.25,0.0,0.0,0.0,0.0,0.0328947592261532,1.8748421835106195,0,1,0.0,0
33,0.0430622302596915,0.0,0.25,0.0,0.0,0.0,0.0,0.0430622302596915,1.8635100176528059,0,1,0.0,0
34,0.0430622302596915,0.0,0.25,0.0,0.0,0.0,0.0,0.0430622302596915,1.8521778517949923,0,1,0.0,0
35,0.0498405442820502,0.00043010686752836,0.25,0.0,0.0,0.0,0.0,0.04941043741452184,1.8391751051069603,0,1,0.0,0
36,0.0498405442820502,0.00098310141149339,0.25,0.0,0.0,0.0,0.0,0.048857442870556815,1.8263178832989189,0,1,0.0,0
37,0.0508373551676912,0.0013026093702287501,0.25,0.0,0.0,0.0,0.0,0.04953474579746245,1.813282423878534,0,1,0.0,0
38,0.0508373551676912,0.0015852510260331001,0.25,0.0,0.0,0.0,0.0,0.0492521041416581,1.8003213438412558,0,1,0.0,0
39,0.032695397049025,0.0018310263789064502,0.25,0.0,0.0,0.0,0.0,0.03086437067011855,1.7921991410333298,0,1,0.0,0
40,0.032695397049025,0.0020399354288487903,0.25,0.0,0.0,0.0,0.0,0.03065546162017621,1.7841319142911782,0,1,0.0,0
41,0.034689018820307,0.00224884447879114,0.25,0.0,0.0,0.0,0.0,0.03244017434151586,1.7755950263065687,0,1,0.0,0
42,0.034689018820307,0.0023840209228714803,0.25,0.0,0.0,0.0,0.0,0.03230499789743552,1.7670937110704015,0,1,0.0,0
43,0.1084530243577415,0.00258064120517017,0.25,0.0,0.0,0.0,0.0,0.10587238315257133,1.7392325576091985,0,1,0.0,0
44,0.1084530243577415,0.0049523733603979705,0.25,0.0,0.0,0.0,0.0,0.10350065099734353,1.711995544188845,0,1,0.0,0
45,0.0689793132863575,0.00933946340918727,0.25,0.0,0.0,0.0,0.0,0.05963984987717022,1.6963008468527476,0,1,0.0,0
46,0.0689793132863575,0.01158830788797842,0.25,0.0,0.0,0.0,0.0,0.057391005398379075,1.6811979506952794,0,1,0.0,0
47,0.673644776579975,0.01579106642211267,0.25,0.0,0.0,0.0,0.0,0.6578537101578623,1.5080785532853156,0,1,0.0,0
48,0.673644776579975,0.0180890659714785,0.25,0.0,0.0,0.0,0.0,0.6555557106084965,1.3355638925988693,0,1,0.0,0
49,0.6275921335995776,0.01977262713866095,0.25,0.0,0.0,0.0,0.0,0.6078195064609166,1.175611390898628,0,1,0.0,0
50,0.6275921335995776,0.0211489691147517,0.25,0.0,0.0,0.0,0.0,0.6064431644848258,1.0160210844552529,0,1,0.0,0
