t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.1945774848771245,0.0,0.25,0.0,0.0,0.0,0.0,0.1945774848771245,2.448795398716546,0,1,0.0,0
2,0.1945774848771245,0.0,0.25,0.0,0.0,0.0,0.0,0.1945774848771245,2.397590797433092,0,1,0.0,0
3,0.1662680557249197,0.0,0.25,0.0,0.0,0.0,0.0,0.1662680557249197,2.3538360459265344,0,1,0.0,0
4,0.1662680557249197,0.0,0.25,0.0,0.0,0.0,0.0,0.1662680557249197,2.3100812944199767,0,1,0.0,0
5,0.115031976202972,0.0,0.25,0.0,0.0,0.0,0.0,0.115031976202972,2.279809721734984,0,1,0.0,0
6,0.115031976202972,0.0,0.25,0.0,0.0,0.0,0.0,0.115031976202972,2.2495381490499913,0,1,0.0,0
7,0.1255981715907667,0.0,0.25,0.0,0.0,0.0,0.0,0.1255981715907667,2.2164859986313683,0,1,0.0,0
8,0.1255981715907667,0.0,0.25,0.0,0.0,0.0,0.0,0.1255981715907667,2.1834338482127453,0,1,0.0,0
9,0.1353669182700487,0.0,0.25,0.0,0.0,0.0,0.0,0.1353669182700487,2.147810974983785,0,1,0.0,0
10,0.1353669182700487,0.0,0.25,0.0,0.0,0.0,0.0,0.1353669182700487,2.1121881017548247,0,1,0.0,0
11,0.0639952588581525,0.0,0.25,0.0,0.0,0.0,0.0,0.0639952588581525,2.0953472441605743,0,1,0.0,0
12,0.0639952588581525,0.0,0.25,0.0,0.0,0.0,0.0,0.0639952588581525,2.078506386566324,0,1,0.0,0
13,0.0558214095958962,0.0,0.25,0.0,0.0,0.0,0.0,0.0558214095958962,2.0638165419358248,0,1,0.0,0
14,0.0558214095958962,0.0,0.25,0.0,0.0,0.0,0.0,0.0558214095958962,2.0491266973053257,0,1,0.0,0
15,0.0402711597798967,0.0,0.25,0.0,0.0,0.0,0.0,0.0402711597798967,2.038529023679037,0,1,0.0,0
16,0.0402711597798967,0.0,0.25,0.0,0.0,0.0,0.0,0.0402711597798967,2.0279313500527483,0,1,0.0,0
17,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,2.0181206323888077,0,1,0.0,0
18,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,2.008309914724867,0,1,0.0,0
19,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,1.9984991970609267,0,1,0.0,0
20,0.0372807271229735,0.0,0.25,0.0,0.0,0.0,0.0,0.0372807271229735,1.9886884793969863,0,1,0.0,0
21,0.0289075156835892,0.0,0.25,0.0,0.0,0.0,0.0,0.0289075156835892,1.9810812384276208,0,1,0.0,0
22,0.0289075156835892,0.0,0.25,0.0,0.0,0.0,0.0,0.0289075156835892,1.9734739974582554,0,1,0.0,0
23,0.032695397049025,0.0,0.25,0.0,0.0,0.0,0.0,0.032695397049025,1.9648699456032488,0,1,0.0,0
24,0.032695397049025,0.0,0.25,0.0,0.0,0.0,0.0,0.032695397049025,1.9562658937482422,0,1,0.0,0
25,0.0207336664213329,0.0,0.25,0.0,0.0,0.0,0.0,0.0207336664213329,1.9508096657426284,0,1,0.0,0
26,0.0207336664213329,0.0,0.25,0.0,0.0,0.0,0.0,0.0207336664213329,1.9453534377370145,0,1,0.0,0
27,0.0669856915150755,0.0,0.25,0.0,0.0,0.0,0.0,0.0669856915150755,1.9277256241804157,0,1,0.0,0
28,0.0669856915150755,0.0,0.25,0.0,0.0,0.0,0.0,0.0669856915150755,1.910097810623817,0,1,0.0,0
29,0.0340909322889225,0.0,0.25,0.0,0.0,0.0,0.0,0.0340909322889225,1.9011265126530479,0,1,0.0,0
30,0.0340909322889225,0.0,0.25,0.0,0.0,0.0,0.0,0.0340909322889225,1.8921552146822789,0,1,0.0,0
31,0.0328947592261532,0.0,0.25,0.0,0.0,0.0,0.0,0.0328947592261532,1.883498699096449,0,1,0.0,0
32,0.0328947592261532,0.0,0.25,0.0,0.0,0.0,0.0,0.0328947592261532,1.8748421835106193,0,1,0.0,0
33,0.0430622302596915,0.0,0.25,0.0,0.0,0.0,0.0,0.0430622302596915,1.8635100176528057,0,1,0.0,0
34,0.0430622302596915,0.0,0.25,0.0,0.0,0.0,0.0,0.0430622302596915,1.852177851794992,0,1,0.0,0
35,0.0498405442820502,0.00016617044618241742,0.25,0.0,0.0,0.0,0.0,0.049674373835867786,1.8391056481539743,0,1,0.0,0
36,0.0498405442820502,0.0003617627340340449,0.25,0.0,0.0,0.0,0.0,0.04947878154801616,1.8260849161676542,0,1,0.0,0
37,0.0508373551676912,0.00042947962015255043,0.25,0.0,0.0,0.0,0.0,0.05040787554753865,1.8128196857604073,0,1,0.0,0
38,0.0508373551676912,0.000497196669048388,0.25,0.0,0.0,0.0,0.0,0.05034015849864282,1.7995722756291854,0,1,0.0,0
39,0.032695397049025,0.0003739528686118272,0.25,0.0,0.0,0.0,0.0,0.032321444180413175,1.7910666324238136,0,1,0.0,0
40,0.032695397049025,0.00042804064189871027,0.25,0.0,0.0,0.0,0.0,0.03226735640712629,1.782575222842991,0,1,0.0,0
41,0.034689018820307,0.0005180816386873149,0.25,0.0,0.0,0.0,0.0,0.03417093718161968,1.773582870953091,0,1,0.0,0
42,0.034689018820307,0.0005356016406383337,0.25,0.0,0.0,0.0,0.0,0.03415341717966867,1.7645951295900202,0,1,0.0,0
43,0.1084530243577415,0.0016924198326251515,0.25,0.0,0.0,0.0,0.0,0.10676060452511635,1.736500233662358,0,1,0.0,0
44,0.1084530243577415,0.0029768781004600436,0.25,0.0,0.0,0.0,0.0,0.10547614625728145,1.7087433530683367,0,1,0.0,0
45,0.0689793132863575,0.004321660011388913,0.25,0.0,0.0,0.0,0.0,0.06465765327496859,1.6917281811538714,0,1,0.0,0
46,0.0689793132863575,0.005114913747816879,0.25,0.0,0.0,0.0,0.0,0.06386439953854062,1.6749217602226765,0,1,0.0,0
47,0.673644776579975,0.03206344817231208,0.25,0.0,0.0,0.0,0.0,0.6415813284076629,1.5060845685364495,0,1,0.0,0
48,0.673644776579975,0.03586757483669616,0.25,0.0,0.0,0.0,0.0,0.6377772017432789,1.338248462814534,0,1,0.0,0
49,0.6275921335995776,0.03954513771936681,0.25,0.0,0.0,0.0,0.0,0.5880469958802107,1.1834992533723732,0,1,0.0,0
50,0.6275921335995776,0.04081033577407553,0.25,0.0,0.0,0.0,0.0,0.586781797825502,1.0290829907867147,0,1,0.0,0
