case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house
b8_pv01_equal_export,Apt1,42.664936467960885,51.4627658608004,0.0,5.2953622712785595,35.92273970831744,32.42027258675648,0.0,0.0,0.8971030378428984,1.0,5.0,0.9999999999999998,5.413962571778234,-0.31772173627671363,-0.008024968989873857,7.66053886991358e-17,5.10702591327572e-15,-0.5349979326582571,0.0,0.5349979326582571,-9.345389045956054e-15,,,,,,,,,,,,,,
b8_pv01_equal_export,Apt2,242.03226949001305,51.4627658608004,191.92071264457672,1.8924489401094327e-05,13.858359906406928,12.507169815532263,0.0,0.0,0.9999996322683189,0.20704494054047645,5.0,0.9999999999999998,5.0,51.818591278566345,-1.1354693640389102e-06,0.1178862779727143,1.746463377373545,-7.569795760259401e-05,1.746463377373545,7.569795760259401e-05,-2.7131075164277263e-15,,,,,,,,,,,,,,
b8_pv01_equal_export,Apt3,117.94368032413539,51.4627658608004,68.04039750850586,1.1440501324067043e-15,15.994697899188647,14.435214854017755,0.0,0.0,1.0,0.42311112115955885,5.0,1.0,5.0,18.370907327296585,-1.457167719820518e-17,0.08423444369762002,1.2479176844091855,-9.71445146547012e-16,1.2479176844091855,9.71445146547012e-16,-4.623905425216179e-15,,,,,,,,,,,,,,
b8_pv01_equal_export,Apt4,59.43046312832059,51.4627658608004,10.408084004529702,4.354155924701786e-16,25.029607559071877,22.58922082206236,0.0,0.0,1.0,0.8248695457402567,5.0,1.0,6.00529357718222,2.8101826812230195,-1.3322676295501878e-17,0.031062398836132488,0.460183686461222,-8.881784197001252e-16,0.460183686461222,8.881784197001252e-16,-7.89993070959838e-15,,,,,,,,,,,,,,
b8_pv01_equal_export,Apt5,149.81598662198513,51.4627658608004,99.6752910968527,9.13331910101789e-16,13.559695750441017,12.23762541477302,0.0,0.0,1.0,0.33468187645185793,5.0,1.0,5.0,26.912328596150232,-1.4779844015322396e-17,0.11096585537493336,1.6439385981471608,-9.853229343548264e-16,1.6439385981471608,9.853229343548264e-16,-4.4374226515486725e-15,,,,,,,,,,,,,,
b8_pv01_equal_export,Apt6,278.96668994884067,51.4627658608004,228.6827964289981,-7.8236028766554e-16,12.09099836879894,10.912126027841046,0.0,0.0,1.0,0.1802505292981899,5.0,0.9999999999999998,5.0,61.74435503582949,-1.3322676295501878e-17,0.1358758682291909,2.0129758256176427,-8.881784197001252e-16,2.0129758256176427,8.881784197001252e-16,-3.877106968808164e-15,,,,,,,,,,,,,,
b8_pv01_equal_export,Apt7,91.80731761505041,51.4627658608004,43.07071947210408,-4.544975507059235e-16,27.96069454209312,25.23452682423904,0.0,0.0,1.0,0.5308574458879158,5.0,1.0,5.7127855720350444,11.629094257468102,-1.3322676295501878e-17,0.04051775325969226,0.6002630112547,-8.881784197001252e-16,0.6002630112547,8.881784197001252e-16,-8.848824450957693e-15,,,,,,,,,,,,,,
b8_pv01_equal_export,Apt8,265.99010256848595,51.4627658608004,215.6950891945229,4.822531263215524e-16,11.976948582947095,10.80919609610975,0.0,0.0,1.0,0.18908603323318515,5.0,1.0,5.0,58.23767408252119,-1.249000902703301e-17,0.11739065714325361,1.73912084656672,-8.326672684688674e-16,1.73912084656672,8.326672684688674e-16,-2.0660556598883772e-15,,,,,,,,,,,,,,
b8_pv01_equal_export,_COMMUNITY,1248.651446164792,411.7021268864032,857.4930903500901,5.295381195767963,156.39374231726504,141.1453524413317,0.0,0.0,0.9871378337639022,0.31326464804580734,40.0,8.521592543579569,40.41396257177823,231.20541152277826,-0.008024968989873843,0.3433572968159743,5.086774767644064,-0.5349979326582562,5.086774767644064,0.5349979326582562,4.576139104009566,857.4930903500901,5.295381195767963,0.0,0.0,0.9871378337639022,0.31326464804580734,0.005336648371290383,28.90067644034728,23.484471591081178,-0.31772173627671363,61.74435503582949,62.06207677210621,0.8125924540055154,0.4545102887116893
b8_pv02_weighted_export,Apt1,42.664936467960885,102.9255317216008,0.0,56.926460230299426,34.196256649646216,30.862121626305708,0.0,0.0,0.44691604426900067,1.0,5.0,1.0,5.413184104665906,-3.415587613817965,-0.020436351686599852,1.249000902703301e-17,8.326672684688674e-16,-1.3624234457733235,0.0,1.3624234457733235,-3.5861071057130545e-15,,,,,,,,,,,,,,
