t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,2.6427323736526565,0.0,0.0,-2.0816681711721685e-15,0.0,2.642732373652654,0.0,39.304544112196666,0.27,0.06,-2.0816681711721685e-15
2,2.625221044883487,0.0,0.0,-4.1633363423443376e-17,0.0,2.625221044883487,0.0,38.61369646880628,0.27,0.06,-4.1633363423443376e-17
3,2.6828617319826225,0.0,0.0,0.0,0.0,2.6828617319826225,0.0,37.90768022354769,0.27,0.06,0.0
4,2.6794866410779665,0.0,0.0,1.3877787807814457e-17,0.0,2.6794866410779665,0.0,37.20255216010612,0.27,0.06,0.0
5,2.2594126037955813,0.0,0.0,0.0,0.0,2.2594126037955813,0.0,36.60796989594939,0.27,0.06,0.0
6,2.2466100208717044,0.0,0.0,6.245004513516506e-17,0.0,2.2466100208717044,0.0,36.0167567325621,0.27,0.06,0.0
7,2.215036367493065,0.0,0.0,0.0,0.0,2.215036367493065,0.0,35.43385242532709,0.27,0.06,0.0
8,2.1813920830195213,0.0,0.0,1.1102230246251563e-16,0.0,2.1813920830195217,0.0,34.85980187716406,0.27,0.06,0.0
9,2.2483871404628006,0.0,0.0,0.0,0.0,2.2483871404628006,0.0,34.26812105072647,0.27,0.06,0.0
10,2.320719658729116,0.0,0.0,0.0,0.0,2.320719658729116,0.0,33.65740535106091,0.27,0.06,0.0
11,1.891707756916766,0.0,0.0,0.0,0.0,1.891707756916766,0.0,33.15958752029335,0.27,0.06,0.0
12,1.977282653489675,0.0,0.0,0.0,0.0,1.977282653489675,0.0,32.63924997990132,0.27,0.06,0.0
13,2.0835329596640744,0.0,0.0,0.0,0.0,2.0835329596640744,0.0,32.09095183262131,0.27,0.06,0.0
14,1.9793472518579645,0.0,0.0,-1.3877787807814454e-16,0.0,1.9793472518579645,0.0,31.570070976869218,0.27,0.06,-1.3877787807814454e-16
15,1.7384377995400502,0.0,0.0,-2.775557561562892e-17,0.0,1.7384377995400502,0.0,31.112587345411303,0.27,0.06,-2.775557561562892e-17
16,2.1918527272711157,0.0,0.0,0.0,0.0,2.1918527272711157,0.0,30.535783996129435,0.27,0.06,0.0
17,2.3911630643253146,0.0,0.0,1.4571677198205177e-16,0.0,2.3911630643253146,0.0,29.906530558149086,0.27,0.06,0.0
18,2.1230862943831155,0.0,0.0,0.0,0.0,2.1230862943831155,0.0,29.34782363857458,0.27,0.06,0.0
19,2.0179239460767864,0.0,0.0,3.469446951953615e-17,0.0,2.0179239460767864,0.0,28.816791021185953,0.27,0.06,0.0
20,1.8508361227943366,0.0,0.0,0.0,0.0,1.8508361227943366,0.0,28.329728883608496,0.27,0.06,0.0
21,1.5346150039409607,0.0,0.655182210451175,1.1796119636642288e-16,0.0,0.879432793489786,0.0,28.098299201111182,0.27,0.06,1.1796119636642288e-16
22,1.5805441150306285,0.0,0.0,0.0,0.0,1.580544115030629,0.0,27.682366539261015,0.27,0.06,0.0
23,1.5879562510933847,0.0,0.0,0.0,0.0,1.5879562510933851,0.0,27.264483315289073,0.27,0.06,0.0
24,1.5053163008050503,0.0,0.636359413624385,0.0,0.0,0.8689568871806654,0.0,27.03581045024153,0.27,0.06,0.0
25,1.4839322918471132,0.0,1.2473867868131774,0.0,0.0,0.2365455050339354,0.0,26.97356163312734,0.27,0.06,0.0
26,1.6336442752007458,0.0,0.635544113573505,-6.938893903907228e-18,0.0,0.9981001616272406,0.0,26.710903695857013,0.27,0.06,-6.938893903907228e-18
27,1.9966019759342104,0.0,1.2135573287905923,-2.775557561562892e-17,0.0,0.7830446471436175,0.0,26.50483931502974,0.27,0.06,-2.775557561562892e-17
28,1.8634403702621332,0.0,0.65833706716979,2.0816681711721685e-17,0.0,1.205103303092343,0.0,26.187706866847545,0.27,0.06,2.0816681711721685e-17
29,1.571240261484108,0.0,1.1782052141446826,0.0,0.0,0.3930350473394255,0.0,26.084276591231912,0.27,0.06,0.0
30,1.623725316023624,0.0,1.226201999010385,5.551115123125783e-17,0.0,0.39752331701323923,0.0,25.979665192017897,0.27,0.06,5.551115123125783e-17
31,1.5951245819749904,0.0,1.329934219611071,0.0,0.1113455037173136,0.3765358660812329,0.0,25.90702136333991,0.27,0.06,0.0
32,1.6166424023362052,0.0,1.2373240126068525,2.0816681711721685e-17,0.0,0.3793183897293525,0.0,25.807200734463766,0.27,0.06,2.0816681711721685e-17
33,1.7001652315337132,0.0,1.2204423848265,0.0,0.0,0.47972284670721344,0.0,25.680957880067133,0.27,0.06,0.0
34,1.6340436141127916,0.0,1.1907174794407096,0.0,0.0,0.44332613467208143,0.0,25.564293107785005,0.27,0.06,0.0
35,1.6850236565689483,0.07529900068337601,1.211481801476331,0.0,0.0,0.3982428544092409,0.0,25.459492356624676,0.27,0.06,0.0
36,1.779585526624508,0.17211200156200238,1.1649683216018616,0.0,0.0,0.4425052034606429,0.0,25.343043618871878,0.27,0.06,0.0
37,1.8894549890709855,0.2280484020696536,0.9877142194944439,0.0,0.0,0.6736923675068874,0.0,25.165756153738485,0.27,0.06,0.0
38,2.109430174982026,0.2775306025187288,1.508817838216475,0.0,0.0,0.3230817342468213,0.0,25.080734644726164,0.27,0.06,0.0
39,2.103577383032096,0.3205586029092296,1.6480094142854949,1.249000902703301e-16,0.020298310159946,0.1553076759973169,0.0,25.044685052337226,0.27,0.06,1.249000902703301e-16
40,2.1028477978664384,0.3571324032411552,1.6556151870590963,7.008282842946301e-16,0.0339266513827429,0.12402685894893072,0.0,25.0201039849488,0.27,0.06,7.008282842946301e-16
41,1.8230427695403884,0.39370620357308084,1.417477421320302,0.009065949762560307,0.0442331912408562,0.065158285650422,0.0,25.013462450592076,0.27,0.06,0.009065949762560307
42,1.5341709920954605,0.4173716037878559,1.104911267821186,0.0120241247894073,0.0455878737488232,0.0695001190246486,0.0,25.006000065600936,0.27,0.06,0.0120241247894073
43,2.0557108527880246,0.4517940041002567,1.1732991309138607,0.0,0.0311683292936683,0.4617860470675749,0.0,24.891879899843033,0.27,0.06,0.0
44,2.0209484857585482,0.8670142078685881,1.0582396614515428,0.034617735773297006,0.141637626446624,0.2719499786583379,0.0,24.85395305226665,0.27,0.06,0.034617735773297006
45,1.7925662342925635,1.6350640148390256,0.8840356719556586,0.1642356761708034,0.5622977763313171,0.0,0.0,24.987498774145333,0.27,0.06,0.1642356761708034
46,1.8033148778641515,2.0287702184121055,0.7610480077035235,0.2134489516174386,0.7730543966340386,0.0,0.0,25.171099193345917,0.27,0.06,0.2134489516174386
47,5.439976180263225,2.7645490250896714,0.591005823029717,0.3007530087679394,0.2868225252751412,2.6719968661869182,0.0,24.536062473049576,0.27,0.06,0.3007530087679394
48,5.489937777897701,3.166860828740851,0.4812257299150819,0.3510419842243368,0.32823673635162093,2.5211299398177256,0.0,23.950563450612634,0.27,0.06,0.3510419842243368
49,5.524823006600755,3.4616026314157784,0.39522662133597797,0.3757471459797964,0.2397241383922529,2.2834650382210486,0.0,23.406586081317357,0.27,0.06,0.3757471459797964
50,5.518576417230887,3.702559433602581,0.3809981317984666,0.4058667462531469,0.2832524506992017,2.124138048782186,0.0,22.914874841310475,0.27,0.06,0.3809981317984666
51,5.41381192928541,3.4078176309276538,0.45223409137750126,0.4129059815502116,0.3521525027354166,2.318818691265882,0.0,22.388295615640168,0.27,0.06,0.4129059815502116
52,5.281080512193179,3.823037834695982,1.5371153239257238,0.4648085070212525,0.6083511019491963,0.9940869625419219,0.0,22.271177170105226,0.27,0.06,0.4648085070212525
53,4.462987969881605,4.283437438874341,0.9093638379662123,0.5064862590172845,0.7668216763466766,0.5434946284050147,0.0,22.310272416025718,0.27,0.06,0.5064862590172845
54,4.377154020359124,4.3544336395186685,0.4264071304042397,0.5153607840978264,0.8667007333528739,0.9783747678869155,0.0,22.258646796016254,0.27,0.06,0.4264071304042397
55,3.789393380597348,4.154353437702839,0.7408603740228976,0.4828814889761364,1.0415520122737256,0.4186130701214725,0.0,22.395854064688773,0.27,0.06,0.4828814889761364
56,2.9081916683572118,3.016262827374096,0.701470523241608,0.3406201626850431,0.9917463299544358,0.5228248103809858,0.0,22.493808341636903,0.27,0.06,0.3406201626850431
57,3.398381920890103,2.1212804192516823,1.0560819799895649,0.2464868776696815,0.5664536442945418,1.0339600436130798,0.0,22.35624633383763,0.27,0.06,0.2464868776696815
58,3.2519780625069474,1.5683706142337486,1.9693063835297653,0.1773731520424397,0.4364026001687309,0.3280768169546038,0.0,22.37355594691596,0.27,0.06,0.1773731520424397
59,3.52481039021621,1.4177726128669959,2.019574341285041,0.1380079096611387,0.2312793339772345,0.4567506797025464,0.0,22.30828724144541,0.27,0.06,0.1380079096611387
60,4.253633852496058,1.4672548133160737,2.641743560580058,0.1441931847172734,0.0918063319516395,0.38063499526883904,0.0,22.22992414126581,0.27,0.06,0.1441931847172734
61,4.249027991698517,1.6200042147023501,2.6872101021246344,0.181026375890498,0.1565178244552572,0.2793578752172854,0.0,22.193581894253594,0.27,0.06,0.181026375890498
62,3.9145688720045797,1.7146658155614518,2.479007319317631,0.1928590759978857,0.35377036198651657,0.2675251751098985,0.0,22.207200993354366,0.27,0.06,0.1928590759978857
63,2.748346865934439,1.3102026118907455,1.020548671305481,0.1488367866969201,0.2363543054915604,0.802786674926693,0.0,22.05207548961212,0.27,0.06,0.1488367866969201
64,2.7508230352041716,0.9681300087862647,1.786245642470347,0.10607771130886,0.13730417431112518,0.2398292695675443,0.0,22.021572265335337,0.27,0.06,0.10607771130886
65,1.0873237122787753,0.7013564063651608,0.5013162613222796,0.026981732901113227,0.13937752372385662,0.05101030121630459,0.0,22.04125066374178,0.27,0.06,0.026981732901113227
66,1.0566470277019497,0.5980892054279591,0.490258290287345,0.014073332783963026,0.0944542366799967,0.076827101450605,0.0,22.043465886676806,0.27,0.06,0.014073332783963026
67,1.2731571392952976,0.5270930047836327,0.5507741308253141,0.0304075935980741,0.0363778490160879,0.26207544630051227,0.0,21.983138403107464,0.27,0.06,0.0304075935980741
68,1.3648618265203711,0.4711566042759823,0.6440687802889319,0.0234155435346178,0.0262055844248173,0.2992575699148917,0.0,21.91061023732549,0.27,0.06,0.0234155435346178
69,1.5088489546644046,0.38079780345593045,0.7066447674717147,0.012120693432111328,0.0,0.43352707716887035,0.0,21.796524164386316,0.27,0.06,0.012120693432111328
70,1.487092948561563,0.26892500244062884,0.8690039653495051,0.0,0.0,0.3491639807714282,0.0,21.704638906288572,0.27,0.06,0.0
71,1.5789748568397959,0.1570522014253272,1.2295089224858469,6.938893903907228e-18,0.0,0.1924137329286215,0.0,21.654003713412614,0.27,0.06,6.938893903907228e-18
72,1.4965882145886076,0.0709962006443256,1.1981253557190377,0.0,0.0,0.2274666582252435,0.0,21.594144066511237,0.27,0.06,0.0
73,1.6122982620205897,0.0,1.3363147973197973,0.0,0.0,0.2759834647007921,0.0,21.521516838958398,0.27,0.06,0.0
74,1.6266335966430199,0.0,1.3561093334230305,0.0,0.0,0.2705242632199899,0.0,21.45032624337419,0.27,0.06,0.0
75,0.938555144840358,0.0,0.8004097948997688,0.0,0.0,0.1381453499405892,0.0,21.413972203916142,0.27,0.06,0.0
76,0.9729436121920728,0.0,0.7808397646206069,0.0,0.0,0.1921038475714658,0.0,21.363418559818385,0.27,0.06,0.0
77,1.0579789237270836,0.0,0.7618349631301713,-6.938893903907228e-18,0.0,0.2961439605969122,0.0,21.28548593860867,0.27,0.06,-6.938893903907228e-18
78,0.6814675825126503,0.0,0.1032433049437897,-1.1102230246251563e-16,0.0,0.5782242775688604,0.0,21.133321655037918,0.27,0.06,-1.1102230246251563e-16
79,0.7961335336511445,0.0,0.2384612677051834,0.0,0.0,0.5576722659459611,0.0,20.986565795578453,0.27,0.06,0.0
80,1.5925518357117188,0.0,0.25196656992946354,0.0,0.0,1.3405852657822555,0.0,20.63378019931997,0.27,0.06,0.0
81,1.5198663432144033,0.0,0.0892499466627577,0.0,0.0,1.4306163965516454,0.0,20.25730220022743,0.27,0.06,0.0
82,1.851334490544231,0.0,0.23733582585316,4.1633363423443376e-17,0.0,1.6139986646910711,0.0,19.83256570951925,0.27,0.06,4.1633363423443376e-17
83,1.3392455539707473,0.0,0.1983425758036449,0.0,0.0,1.1409029781671025,0.0,19.5323280836858,0.27,0.06,0.0
84,1.279095333849265,0.0,0.2103538009648632,7.632783294297951e-17,0.0,1.0687415328844019,0.0,19.25108031187412,0.27,0.06,7.632783294297951e-17
85,1.2955404437284255,0.0,0.5088337622206109,0.0,0.0,0.7867066815078148,0.0,19.044052237793114,0.27,0.06,0.0
86,1.5814058157490098,0.0,0.4484571169826518,0.0,0.0,1.1329486987663577,0.0,18.745907843380913,0.27,0.06,0.0
87,1.9742995209617715,0.0,0.40777802232237065,0.0,0.0,1.5665214986393998,0.0,18.33366534373897,0.27,0.06,0.0
88,2.38872513641698,0.0,1.7856338855406666,0.0,0.0,0.6030912508763132,0.0,18.17495711982415,0.27,0.06,0.0
89,1.758536165453354,0.0,0.423673820067779,0.0,0.0,1.3348623453855746,0.0,17.823677555248995,0.27,0.06,0.0
90,1.3344649774268844,0.0,0.4720678197047832,0.0,0.0,0.8623971577221012,0.0,17.596730934795815,0.27,0.06,0.0
91,0.8885368131681629,0.0,0.226743431951764,-3.469446951953614e-17,0.0,0.6617933812163987,0.0,17.42257478184413,0.27,0.06,-3.469446951953614e-17
92,1.5265784725382625,0.0,1.0868839829253536,0.0,0.0,0.4396944896129089,0.0,17.306865705630205,0.27,0.06,0.0
93,2.053734538159994,0.0,1.5034471075142708,2.6020852139652106e-17,0.0,0.5502874306457229,0.0,17.16205322388133,0.27,0.06,2.6020852139652106e-17
94,1.1784409791541206,0.0,0.8419246546983847,0.0,0.0,0.33651632445573587,0.0,17.073496296392975,0.27,0.06,0.0
95,1.345458352051235,0.0,0.7343715911153561,0.0,0.0,0.611086760935879,0.0,16.912683990883536,0.27,0.06,0.0
96,1.1241590708439613,0.0,0.5875219206598145,0.0,0.0,0.5366371501841467,0.0,16.7714636882035,0.27,0.06,0.0
97,1.3988269361328096,0.0,0.788685648897586,6.938893903907228e-18,0.0,0.6101412872352234,0.0,16.61090019156265,0.27,0.06,6.938893903907228e-18
98,1.3135103428685033,0.0,0.7288786693576196,0.0,0.0,0.5846316735108832,0.0,16.457049751165048,0.27,0.06,0.0
99,0.7772612543965131,0.0,0.586917169268061,0.0,0.0,0.1903440851284516,0.0,16.406959202447034,0.27,0.06,0.0
100,0.7050941348258044,0.0,0.5174696057897046,0.0,0.0,0.1876245290360999,0.0,16.357584326384902,0.27,0.06,0.0
101,0.5969179986930807,0.0,0.45155479255462716,0.0,0.0,0.14536320613845338,0.0,16.31933085108531,0.27,0.06,0.0
102,0.6000586720620535,0.0,0.4538556260548654,-1.3877787807814457e-17,0.0,0.14620304600718811,0.0,16.280856365293943,0.27,0.06,-1.3877787807814457e-17
103,0.5640889152494529,0.0,0.2590993784491811,-1.3877787807814457e-17,0.0,0.3049895368002718,0.0,16.20059596087282,0.27,0.06,-1.3877787807814457e-17
104,0.7358622114100568,0.0,0.4919598555827569,2.775557561562892e-17,0.0,0.2439023558272999,0.0,16.136411130391952,0.27,0.06,2.775557561562892e-17
105,0.7459538275984654,0.0,0.5886904605176426,0.0,0.0,0.1572633670808227,0.0,16.095026033791736,0.27,0.06,0.0
106,0.5537546799621378,0.0,0.2809531488619734,-1.3877787807814457e-17,0.0,0.2728015311001643,0.0,16.023236157186428,0.27,0.06,-1.3877787807814457e-17
107,0.47676084241777783,0.0,0.24845783944962618,0.0,0.0,0.2283030029681516,0.0,15.96315641956323,0.27,0.06,0.0
108,0.42680342431630514,0.0,0.20675028846287818,6.938893903907228e-18,0.0,0.220053135853427,0.0,15.905247699601802,0.27,0.06,6.938893903907228e-18
109,0.5076631110936989,0.0,0.2400501267903929,0.0,0.0,0.267612984303306,0.0,15.834823230048302,0.27,0.06,0.0
110,0.5433201672130535,0.0,0.32571879985087693,1.3877787807814457e-17,0.0,0.21760136736217667,0.0,15.777559712321414,0.27,0.06,1.3877787807814457e-17
111,0.4241948587791436,0.0,0.34731394255484116,0.0,0.0,0.07688091622430279,0.0,15.757327892262387,0.27,0.06,0.0
112,0.4522436183296942,0.0,0.3729899455608256,0.0,0.0,0.0792536727688685,0.0,15.736471662586368,0.27,0.06,0.0
113,0.6186613853989271,0.0,0.5153584745623813,0.0,0.0,0.10330291083654619,0.0,15.709286686050437,0.27,0.06,0.0
114,0.6869396859156633,0.0,0.5840384149168392,0.0,0.0,0.10290127099882419,0.0,15.682207404208636,0.27,0.06,0.0
115,1.1818048819652691,0.0,1.073106543058967,0.0,0.0,0.1086983389063022,0.0,15.653602578180665,0.27,0.06,0.0
116,1.2188356099412858,0.0,1.014359262100012,0.0,0.0,0.2044763478412736,0.0,15.599793012959276,0.27,0.06,0.0
117,1.071791057804062,0.0,0.9110991757700859,1.0408340855860843e-17,0.0,0.16069188203397589,0.0,15.557505675581917,0.27,0.06,1.0408340855860843e-17
118,0.580678565492272,0.0,0.487873231912181,0.0,0.0,0.0928053335800911,0.0,15.533083219376627,0.27,0.06,0.0
119,0.7352885468537083,0.0,0.48045236623922905,1.3877787807814457e-17,0.0,0.2548361806144792,0.0,15.466021066583343,0.27,0.06,1.3877787807814457e-17
120,0.7015892477020504,0.0,0.4437099998937609,0.0,0.0,0.2578792478082895,0.0,15.398158106633794,0.27,0.06,0.0
121,0.7347609810167873,0.0,0.4982162467040091,3.469446951953615e-17,0.0,0.23654473431277817,0.0,15.335909492340956,0.27,0.06,3.469446951953615e-17
122,0.7041049367441587,0.0,0.4603484385065176,0.0,0.0,0.24375649823764106,0.0,15.271763045436316,0.27,0.06,0.0
123,0.8723540364900517,0.0,0.6361551766830662,0.0,0.0,0.2361988598069859,0.0,15.209605450750267,0.27,0.06,0.0
124,0.8847783358165594,0.0,0.6597794300799382,0.0,0.0,0.22499890573662112,0.0,15.150395212398521,0.27,0.06,0.0
125,0.7099142345760073,0.0,0.505390166376692,0.0,0.0,0.2045240681993149,0.0,15.09657308918818,0.27,0.06,0.0
126,0.7753088167331614,0.0,0.5537163611518507,0.0,0.0,0.2215924555813109,0.0,15.038259285087832,0.27,0.06,0.0
127,0.67293804190736,0.0,0.5095985403101696,0.0,0.0,0.16333950159719038,0.0,14.995275205720151,0.27,0.06,0.0
128,0.845103038800558,0.0,0.6236584220064757,-1.3877787807814457e-17,0.0,0.22144461679408228,0.0,14.937000306563814,0.27,0.06,-1.3877787807814457e-17
129,1.1102079431257388,0.0,0.8233916965190824,-2.775557561562892e-17,0.0,0.2868162466066564,0.0,14.861522346930485,0.27,0.06,-2.775557561562892e-17
130,1.0057371696159978,0.0,0.7464575383074128,0.0,0.0,0.2592796313085852,0.0,14.793290865007172,0.27,0.06,0.0
131,0.9968535037233524,0.09681300087862642,0.6709857632613345,0.0,0.0,0.2290547395833909,0.0,14.73301330195891,0.27,0.06,0.0
132,1.0307889357107394,0.17641480160105202,0.6566037516626761,1.3877787807814457e-17,0.0,0.19777038244701028,0.0,14.680968464472855,0.27,0.06,1.3877787807814457e-17
133,1.3959404382690006,0.23235120210870314,0.8063472189667221,0.0,0.0,0.3572420171935744,0.0,14.586957407316653,0.27,0.06,0.0
134,1.1830156170965416,0.2882876026163544,0.17151550658622722,0.0,0.0,0.7232125078939597,0.0,14.396638326291923,0.27,0.06,0.0
135,1.4599771824297698,0.3270128029678048,0.8345061265460472,0.0,0.0,0.2984582529159173,0.0,14.318096680787736,0.27,0.06,0.0
136,1.536244776374674,0.3635866032997304,0.9043886866471991,0.0,0.003582268215544,0.2718517546432886,0.0,14.247407534056482,0.27,0.06,0.0
137,0.8420212235678066,0.39800900361213115,0.1639363340763443,0.0040018473464079,0.0120716739742867,0.2961494072000243,0.0,14.172340502099052,0.27,0.06,0.0040018473464079
138,1.4239826788191023,0.43028000390500637,0.8313318535083256,0.0080357223830173,0.016105549010895,0.1865120927996831,0.0,14.127083440305016,0.27,0.06,0.0080357223830173
139,1.2850100137823333,0.47330800429550723,0.7044727181838955,0.0199498335897026,0.0326456203429973,0.1598247452356303,0.0,14.092777631653416,0.27,0.06,0.0199498335897026
140,0.9904191462431033,0.94016180853244,0.30804989957328993,0.0783065591193192,0.20804881871988268,0.0285628159765752,0.0,14.134672695579235,0.27,0.06,0.0783065591193192
141,1.0320943961557383,1.6845462152880997,0.1836753628889524,0.13494191922705775,0.7011852627942561,0.0,0.0,14.301204195492874,0.27,0.06,0.13494191922705775
142,0.8141767112921413,2.0567384186659328,0.0,0.1814659446492871,1.0695638939863452,0.0084681312618408,0.0,14.55299716471941,0.27,0.06,0.0
143,2.788053709569839,2.7494892249529963,1.0830033800068681,0.3212783434349899,0.7724172499555965,0.0492566980005603,0.0,14.723483972636348,0.27,0.06,0.3212783434349899
144,3.179003138898138,3.1754664288189476,1.0984325052584072,0.3745254939182338,0.7713619703382033,0.0509916690772195,0.0,14.893263580308194,0.27,0.06,0.3745254939182338
145,3.5604025738591245,3.4314830311424283,1.3688954586442816,0.40559391047183,0.8343820054557566,0.0,0.0,15.091429306603935,0.27,0.06,0.40559391047183
146,2.985584355972758,3.7326790338759332,0.9818180462365439,0.4432434108135181,1.2856693133262014,0.0,0.0,15.396775768518907,0.27,0.06,0.4432434108135181
147,2.6183161605098917,3.446542831279106,0.764127770143741,0.3934715044363305,1.198882936476624,0.0,0.0,15.681510465932107,0.27,0.06,0.3934715044363305
148,2.836938183773408,3.7993724344812074,0.2755127404927341,0.4375752048365934,1.2007794152144224,0.4004076288504807,0.0,15.861325148400667,0.27,0.06,0.2755127404927341
149,1.5888579228392028,4.264074838698618,0.0,0.5199381325215819,2.1552787833378324,0.0,0.0,16.3732038594434,0.27,0.06,0.0
150,1.6067152555100972,4.384553239792019,0.0,0.5349979326582571,2.2428400516236646,0.0,0.0,16.90587837170402,0.27,0.06,0.0
151,2.8587194836640606,4.173716037878564,0.4556866781727237,0.4881027902086186,1.3469404654587018,0.0643600232800919,0.0,17.20883988401886,0.27,0.06,0.4556866781727237
152,3.5864734607742124,3.1625580287018007,1.4239600315973244,0.3617080390615231,0.6383365604633905,0.0,0.0,17.360444817128915,0.27,0.06,0.3617080390615231
