t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.1945774848771245,0.0,0.0,-3.3306690738754696e-16,0.0,0.19457748487712417,0.0,4.9487953987165465,0.27,0.06
2,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.897590797433092,0.27,0.06
3,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.853836045926535,0.27,0.06
4,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.810081294419977,0.27,0.06
5,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.779809721734984,0.27,0.06
6,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.749538149049991,0.27,0.06
7,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.716485998631368,0.27,0.06
8,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.683433848212745,0.27,0.06
9,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.647810974983785,0.27,0.06
10,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.612188101754825,0.27,0.06
11,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.595347244160574,0.27,0.06
12,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.578506386566323,0.27,0.06
13,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.563816541935823,0.27,0.06
14,0.05582140959589625,0.0,0.0,-6.938893903907228e-18,0.0,0.055821409595896244,0.0,4.549126697305325,0.27,0.06
15,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.538529023679036,0.27,0.06
16,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.527931350052748,0.27,0.06
17,0.0372807271229735,0.0,0.0,6.938893903907228e-18,0.0,0.037280727122973506,0.0,4.518120632388808,0.27,0.06
18,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.508309914724867,0.27,0.06
19,0.0372807271229735,0.0,0.0,6.938893903907228e-18,0.0,0.037280727122973506,0.0,4.4984991970609265,0.27,0.06
20,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.488688479396986,0.27,0.06
21,0.02890751568358925,0.0,0.0,1.3877787807814457e-17,0.0,0.028907515683589263,0.0,4.48108123842762,0.27,0.06
22,0.02890751568358925,0.0,0.0,0.0,0.0,0.02890751568358925,0.0,4.473473997458255,0.27,0.06
23,0.032695397049025,0.0,0.0,0.0,0.0,0.032695397049025,0.0,4.464869945603248,0.27,0.06
24,0.032695397049025,0.0,0.0,0.0,0.0,0.032695397049025,0.0,4.456265893748242,0.27,0.06
25,0.020733666421332925,0.0,0.0,0.0,0.0,0.020733666421332925,0.0,4.450809665742628,0.27,0.06
26,0.020733666421332925,0.0,0.0,0.0,0.0,0.020733666421332925,0.0,4.445353437737014,0.27,0.06
27,0.0669856915150755,0.0,0.0,0.0,0.0,0.0669856915150755,0.0,4.427725624180415,0.27,0.06
28,0.0669856915150755,0.0,0.0,0.0,0.0,0.0669856915150755,0.0,4.410097810623816,0.27,0.06
29,0.0340909322889225,0.0,0.0,0.0,0.0,0.0340909322889225,0.0,4.401126512653047,0.27,0.06
30,0.0340909322889225,0.0,0.0,1.3877787807814457e-17,0.0,0.034090932288922515,0.0,4.392155214682278,0.27,0.06
31,0.03289475922615325,0.0,0.0,0.0,0.0,0.03289475922615325,0.0,4.383498699096448,0.27,0.06
32,0.03289475922615325,0.0,0.0,6.938893903907228e-18,0.0,0.03289475922615326,0.0,4.374842183510618,0.27,0.06
33,0.0430622302596915,0.0,0.0,0.0,0.0,0.0430622302596915,0.0,4.363510017652804,0.27,0.06
34,0.0430622302596915,0.0,0.0,0.0,0.0,0.0430622302596915,0.0,4.352177851794991,0.27,0.06
35,0.04984054428205025,0.009412375085422024,0.0,0.0,0.0,0.04042816919662823,0.0,4.341538859901141,0.27,0.06
36,0.04984054428205025,0.021514000195250363,0.0,0.0,0.0,0.02832654408679989,0.0,4.334084506194089,0.27,0.06
37,0.05083735516769125,0.028506050258706703,0.0,0.0,0.0,0.022331304908984547,0.0,4.328207847007514,0.27,0.06
38,0.05083735516769125,0.034691325314841155,0.0,0.0,0.0,0.016146029852850095,0.0,4.32395889178308,0.27,0.06
39,0.032695397049025,0.04006982536365377,0.0,1.249000902703301e-16,0.007374428314628645,0.0,0.0,4.325710318507804,0.27,0.06
40,0.032695397049025,0.04464155040514443,0.0,5.551115123125783e-17,0.011946153356119371,0.0,0.0,4.328547529929882,0.27,0.06
41,0.034689018820307,0.049213275446635146,0.0,0.0,0.014524256626328148,0.0,0.0,4.331997040878635,0.27,0.06
42,0.034689018820307,0.05217145047348207,0.0,0.0,0.01748243165317507,0.0,0.0,4.336149118396264,0.27,0.06
43,0.1084530243577415,0.05647425051253213,0.0,0.0,0.0,0.05197877384520937,0.0,4.322470493700156,0.27,0.06
44,0.1084530243577415,0.10837677598357359,0.0,0.0,0.0,7.624837416790597e-05,0.0,4.322450428338533,0.27,0.06
45,0.0689793132863575,0.2043830018548782,0.0,0.0,0.1354036885685207,0.0,0.0,4.354608804373557,0.27,0.06
46,0.0689793132863575,0.2535962773015132,0.0,0.0,0.1846169640151557,0.0,0.0,4.398455333327156,0.27,0.06
47,0.673644776579975,0.3455686281362089,0.0,0.0,0.0,0.3280761484437661,0.0,4.312119504789323,0.27,0.06
48,0.673644776579975,0.39585760359260636,0.0,0.0,0.0,0.27778717298736866,0.0,4.2390176171610685,0.27,0.06
49,0.6275921335995776,0.4327003289269722,0.0,0.0,0.0,0.19489180467260536,0.0,4.187730300141962,0.27,0.06
50,0.6275921335995776,0.46281992920032267,0.0,0.0,0.0,0.16477220439925488,0.0,4.144369193721106,0.27,0.06
51,0.653309854449115,0.42597720386595683,0.0,0.0,0.0,0.2273326505831582,0.0,4.084544811988696,0.27,0.06
52,0.653309854449115,0.4778797293369978,0.0,0.0,0.0,0.17543012511211725,0.0,4.03837898959077,0.27,0.06
53,0.5119620908014375,0.5354296798592926,0.0,0.0,0.023467589057855065,0.0,0.0,4.04395254199201,0.27,0.06
54,0.5119620908014375,0.5443042049398337,0.0,0.0,0.03234211413839616,0.0,0.0,4.05163379409988,0.27,0.06
55,0.4278312121809025,0.519294179712855,0.0,2.220446049250313e-16,0.09146296753195227,0.0,0.0,4.073356248888719,0.27,0.06
56,0.4278312121809025,0.37703285342176207,0.0,0.0,0.0,0.050798358759140405,0.0,4.059988259741576,0.27,0.06
57,0.5241231437338225,0.26516005240646034,0.0,0.0,0.0,0.25896309132736217,0.0,3.9918400778133236,0.27,0.06
58,0.5241231437338225,0.19604632677921868,0.0,0.0,0.0,0.32807681695460383,0.0,3.905504073351586,0.27,0.06
59,0.48205774429599,0.1772215766083745,0.0,0.0,0.0,0.3048361676876155,0.0,3.825284029223266,0.27,0.06
60,0.48205774429599,0.1834068516645092,0.0,0.0,0.0,0.2986508926314808,0.0,3.7466916890570867,0.27,0.06
61,0.48185840205508,0.2025005268377938,0.0,0.0,0.0,0.2793578752172862,0.0,3.6731764587367484,0.27,0.06
62,0.48185840205508,0.2143332269451815,0.0,0.0,0.0,0.2675251751098985,0.0,3.6027750968657224,0.27,0.06
63,0.3608455206658275,0.16377532648634324,0.0,0.0,0.0,0.19707019417948424,0.0,3.550914519450069,0.27,0.06
64,0.3608455206658275,0.12101625109828315,0.0,0.0,0.0,0.23982926956754433,0.0,3.4878015537743994,0.27,0.06
65,0.05023926863630675,0.08766955079564516,0.0,2.220446049250313e-16,0.03743028215933819,0.0,0.0,3.4966912457872423,0.27,0.06
66,0.05023926863630675,0.07476115067849498,0.0,0.0,0.024521882042188234,0.0,0.0,3.502515192772262,0.27,0.06
67,0.07994423302840875,0.06588662559795415,0.0,0.0,0.0,0.014057607430454602,0.0,3.498815822395827,0.27,0.06
68,0.07994423302840875,0.058894575534497805,0.0,0.0,0.0,0.021049657493910946,0.0,3.4932764388447977,0.27,0.06
69,0.0657895184523065,0.04759972543199135,0.0,0.0,0.0,0.018189793020315155,0.0,3.4884896512078725,0.27,0.06
70,0.0657895184523065,0.03361562530507866,0.0,0.0,0.0,0.03217389314722784,0.0,3.48002283722176,0.27,0.06
71,0.11523133838010025,0.019631525178165944,0.0,0.0,0.0,0.09559981320193431,0.0,3.4548649916423035,0.27,0.06
72,0.11523133838010025,0.008874525080540768,0.0,0.0,0.0,0.10635681329955948,0.0,3.426876356563472,0.27,0.06
73,0.13636372915568976,0.0,0.0,0.0,0.0,0.13636372915568976,0.0,3.390991164680396,0.27,0.06
74,0.13636372915568976,0.0,0.0,0.0,0.0,0.13636372915568976,0.0,3.35510597279732,0.27,0.06
75,0.020135579889948324,0.0,0.0,0.0,0.0,0.020135579889948324,0.0,3.3498071359841757,0.27,0.06
76,0.020135579889948324,0.0,0.0,0.0,0.0,0.020135579889948324,0.0,3.3445082991710313,0.27,0.06
77,0.00797448708512805,0.0,0.0,-6.938893903907228e-18,0.0,0.007974487085128042,0.0,3.342409749938103,0.27,0.06
78,0.00797448708512805,0.0,0.0,0.0,0.0,0.00797448708512805,0.0,3.3403112007051745,0.27,0.06
79,0.03628391623733275,0.0,0.0,0.0,0.0,0.03628391623733275,0.0,3.3307628016953497,0.27,0.06
80,0.03628391623733275,0.0,0.0,0.0,0.0,0.03628391623733275,0.0,3.3212144026855253,0.27,0.06
