t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,2.6427323736526565,0.0,0.0,0.0,0.0,2.6427323736526565,0.0,39.304544112196666,0.27,0.06,0.0
2,2.625221044883487,0.0,0.0,0.0,0.0,2.625221044883487,0.0,38.61369646880628,0.27,0.06,0.0
3,2.6828617319826225,0.0,0.0,0.0,0.0,2.6828617319826225,0.0,37.90768022354769,0.27,0.06,0.0
4,2.6794866410779665,0.0,0.0,0.0,0.0,2.6794866410779665,0.0,37.20255216010612,0.27,0.06,0.0
5,2.2594126037955813,0.0,0.0,0.0,0.0,2.2594126037955813,0.0,36.60796989594939,0.27,0.06,0.0
6,2.2466100208717044,0.0,0.0,0.0,0.0,2.2466100208717044,0.0,36.0167567325621,0.27,0.06,0.0
7,2.215036367493065,0.0,0.0,0.0,0.0,2.215036367493065,0.0,35.43385242532709,0.27,0.06,0.0
8,2.1813920830195213,0.0,0.0,0.0,0.0,2.1813920830195213,0.0,34.85980187716405,0.27,0.06,0.0
9,2.2483871404628006,0.0,0.0,0.0,0.0,2.2483871404628006,0.0,34.26812105072647,0.27,0.06,0.0
10,2.320719658729116,0.0,0.0,0.0,0.0,2.320719658729116,0.0,33.657405351060916,0.27,0.06,0.0
11,1.891707756916766,0.0,0.0,0.0,0.0,1.891707756916766,0.0,33.15958752029335,0.27,0.06,0.0
12,1.977282653489675,0.0,0.610971550793365,0.0,0.0,1.3663111026963102,0.0,32.80003196695221,0.27,0.06,0.0
13,2.0835329596640744,0.0,0.0,0.0,0.0,2.0835329596640744,0.0,32.2517338196722,0.27,0.06,0.0
14,1.9793472518579645,0.0,0.0,0.0,0.0,1.9793472518579645,0.0,31.730852963920103,0.27,0.06,0.0
15,1.7384377995400502,0.0,0.0,0.0,0.0,1.7384377995400502,0.0,31.273369332462188,0.27,0.06,0.0
16,2.1918527272711157,0.0,0.0,0.0,0.0,2.1918527272711157,0.0,30.69656598318032,0.27,0.06,0.0
17,2.3911630643253146,0.0,0.0,0.0,0.0,2.3911630643253146,0.0,30.06731254519997,0.27,0.06,0.0
18,2.1230862943831155,0.0,0.0,0.0,0.0,2.1230862943831155,0.0,29.508605625625467,0.27,0.06,0.0
19,2.0179239460767864,0.0,0.0,0.0,0.0,2.0179239460767864,0.0,28.977573008236835,0.27,0.06,0.0
20,1.8508361227943366,0.0,0.0,0.0,0.0,1.8508361227943366,0.0,28.49051087065938,0.27,0.06,0.0
21,1.5346150039409607,0.0,0.0,0.0,0.0,1.5346150039409607,0.0,28.086664816990705,0.27,0.06,0.0
22,1.5805441150306285,0.0,0.0,0.0,0.0,1.5805441150306285,0.0,27.67073215514054,0.27,0.06,0.0
23,1.5879562510933847,0.0,0.6606057281809276,0.0,0.0,0.9273505229124568,0.0,27.42669254384779,0.27,0.06,0.0
24,1.5053163008050503,0.0,0.636359413624385,0.0,0.0,0.8689568871806655,0.0,27.19801967880025,0.27,0.06,0.0
25,1.4839322918471132,0.0,1.2473867868131774,0.0,0.0,0.2365455050339354,0.0,27.13577086168606,0.27,0.06,0.0
26,1.6336442752007458,0.0,0.635544113573505,0.0,0.0,0.9981001616272407,0.0,26.87311292441572,0.27,0.06,0.0
27,1.9966019759342104,0.0,1.2135573287905923,0.0,0.0,0.7830446471436177,0.0,26.667048543588457,0.27,0.06,0.0
28,1.8634403702621332,0.0,1.2295121221045724,0.0,0.0,0.6339282481575605,0.0,26.500225320389102,0.27,0.06,0.0
29,1.571240261484108,0.0,0.6308650002380325,0.0,0.0,0.9403752612460754,0.0,26.252758146376976,0.27,0.06,0.0
30,1.623725316023624,0.0,1.226201999010385,0.0,0.0,0.39752331701323923,0.0,26.148146747162965,0.27,0.06,0.0
31,1.5951245819749904,0.0,1.2185887158937576,0.0,0.0,0.3765358660812329,0.0,26.049058361352113,0.27,0.06,0.0
32,1.6166424023362052,0.0,1.2373240126068525,0.0,0.0,0.3793183897293525,0.0,25.94923773247597,0.27,0.06,0.0
33,1.7001652315337132,0.0,1.2204423848265,0.0,0.0,0.47972284670721344,0.0,25.822994878079342,0.27,0.06,0.0
34,1.6340436141127916,0.0,1.19071747944071,0.0,0.0,0.44332613467208143,0.0,25.70633010579721,0.27,0.06,0.0
35,1.6850236565689483,0.075299000683376,1.211481801476331,0.0,0.0,0.3982428544092409,0.0,25.601529354636885,0.27,0.06,0.0
36,1.779585526624508,0.1721120015620023,1.1649683216018618,0.0,0.0,0.4425052034606431,0.0,25.485080616884083,0.27,0.06,0.0
37,1.8894549890709855,0.22804840206965318,1.140193220187899,0.0,0.0,0.5212133668134328,0.0,25.34791920456476,0.27,0.06,0.0
38,2.109430174982026,0.277530602518729,1.5088178382164752,0.0,0.0,0.3230817342468212,0.0,25.26289769555244,0.27,0.06,0.0
39,2.103577383032096,0.32055860290923,1.6480094142854949,0.0,0.0049099167725865,0.1399192826099574,0.0,25.227242936941202,0.27,0.06,0.0
40,2.1028477978664384,0.3571324032411551,1.6556151870590963,0.0,0.0160700312206855,0.10617023878687291,0.0,25.203120032833255,0.27,0.06,0.0
41,1.8230427695403884,0.3937062035730809,1.417477421320302,0.0582792252091955,0.0245478810622022,0.09468625091840299,0.0,25.184032720133313,0.27,0.06,0.0582792252091955
42,1.5341709920954605,0.41737160378785615,1.1049112678211859,0.0641955752628893,0.0247192935594304,0.1008029893087378,0.0,25.16337644990401,0.27,0.06,0.0641955752628893
43,2.0557108527880246,0.451794004100257,1.1732991309138607,0.0391894608147875,0.0198734791911619,0.4896806577798561,0.0,25.039233070217207,0.27,0.06,0.0391894608147875
44,2.0209484857585482,0.8670142078685884,1.0582396614515428,0.1429945117568704,0.0982869160531948,0.33697604424848204,0.0,24.973898306398663,0.27,0.06,0.1429945117568704
45,1.7925662342925635,1.6350640148390252,0.8840356719556586,0.3686186780256816,0.36829569159191117,0.0103809171154721,0.0,25.058636712858203,0.27,0.06,0.3686186780256816
46,1.8033148778641515,2.0287702184121055,0.7610480077035235,0.4670452289189516,0.5194581193325257,0.0,0.0,25.182008016199674,0.27,0.06,0.4670452289189516
47,5.439976180263225,2.7645490250896714,0.591005823029717,0.6463216369041483,0.1727116980273081,2.9034546670752936,0.0,24.458960026829768,0.27,0.06,0.591005823029717
48,5.489937777897701,3.1668608287408513,0.48122572991508217,0.7468995878169432,0.1977620415611808,2.786512848619892,0.0,23.772635656800578,0.27,0.06,0.48122572991508217
49,5.524823006600755,3.461602631415777,0.395226621335978,0.8084474749067686,0.1531840726068585,2.6296253013626263,0.0,23.117010215791378,0.27,0.06,0.395226621335978
50,5.518576417230887,3.7025594336025813,0.3809981317984671,0.8686866754534696,0.1906884648591371,2.4943939921424447,0.0,22.505879254578993,0.27,0.06,0.3809981317984671
51,5.41381192928541,3.407817630927655,1.758356209932571,0.8388831854161685,0.2125374839331134,1.2990587577744663,0.0,22.21449933917772,0.27,0.06,0.8388831854161685
52,5.281080512193179,3.823037834695983,1.591146537204561,0.9426882363582504,0.417199210214398,1.2267835868652837,0.0,21.990746365586464,0.27,0.06,0.9426882363582504
53,4.462987969881605,4.2834374388743415,1.1235357099099295,1.041915938876578,0.5733664347861943,0.6712971947601093,0.0,21.950263737332364,0.27,0.06,1.041915938876578
54,4.377154020359124,4.35443363951867,1.1026013824042462,1.0596649890376602,0.6773139671573745,0.6570979546312435,0.0,21.9382052901556,0.27,0.06,1.0596649890376602
55,3.789393380597348,4.154353437702839,0.2855100130149535,1.0021756686889909,0.7573822640084826,1.109087862577028,0.0,21.82621835086366,0.27,0.06,0.2855100130149535
56,2.9081916683572118,3.0162628273740966,0.7768770939259604,0.7176530161068051,0.840933188585731,0.6736379517496907,0.0,21.84866683795548,0.27,0.06,0.7176530161068051
57,3.398381920890103,2.1212804192516828,1.9371429532378661,0.5116469300761418,0.46038962333195776,0.3119951018086542,0.0,21.875905399336652,0.27,0.06,0.5116469300761418
58,3.2519780625069474,1.5683706142337492,2.047724914241453,0.3734194788216584,0.35798406945704353,0.3672860823104475,0.0,21.86427238364574,0.27,0.06,0.3734194788216584
59,3.52481039021621,1.4177726128669963,2.1259072872500657,0.3152294862695132,0.1603907033338847,0.4567506797025458,0.0,21.782167628397392,0.27,0.06,0.3152294862695132
60,4.253633852496058,1.4672548133160728,2.3761060393072726,0.3276000363817826,0.0551249616187373,0.7929979978732318,0.0,21.586576123130992,0.27,0.06,0.3276000363817826
61,4.249027991698517,1.6200042147023503,2.768210312859752,0.3835269027282918,0.0982420558136513,0.34258242267835626,0.0,21.51975534226085,0.27,0.06,0.3835269027282918
62,3.9145688720045797,1.7146658155614516,2.5647406100957038,0.4071923029430672,0.268037071208444,0.3103918204989347,0.0,21.501732088646822,0.27,0.06,0.4071923029430672
63,2.748346865934439,1.3102026118907457,1.6917752826472268,0.3126121131832633,0.1708441748970227,0.2298252594767529,0.0,21.481827248743613,0.27,0.06,0.3126121131832633
64,2.7508230352041716,0.9681300087862652,1.8346521429096607,0.2270939624071431,0.08889767387181201,0.2640325197872009,0.0,21.433458204238907,0.27,0.06,0.2270939624071431
65,1.0873237122787753,0.7013564063651611,0.5013162613222797,0.1146512836967588,0.0867757932464686,0.0860781215345626,0.0,21.431415317889,0.27,0.06,0.1146512836967588
66,1.0566470277019497,0.5980892054279592,0.490258290287345,0.0888344834624584,0.0495975462728988,0.10673156172200299,0.0,21.41510748204408,0.27,0.06,0.0888344834624584
67,1.2731571392952976,0.527093004783633,0.5507741308253141,0.0962942191960282,0.023200523896497,0.3147847467788755,0.0,21.3377795152119,0.27,0.06,0.0962942191960282
68,1.3648618265203711,0.471156604275982,0.6440687802889318,0.0823101190691156,0.0144266693179177,0.3463732303424899,0.0,21.250054999084774,0.27,0.06,0.0823101190691156
69,1.5088489546644046,0.38079780345593034,0.7066447674717147,0.0597204188641026,0.0,0.4811268026008616,0.0,21.12344268261086,0.27,0.06,0.0597204188641026
70,1.487092948561563,0.268925002440629,0.8690039653495051,0.0317522186102773,0.0,0.3809161993817056,0.0,21.02320157751041,0.27,0.06,0.0317522186102773
71,1.5789748568397959,0.1570522014253271,1.2373615325571135,0.0,0.0,0.18456112285735501,0.0,20.974632860969002,0.27,0.06,0.0
72,1.4965882145886076,0.070996200644326,1.2016751657512539,0.0,0.0,0.22391684819302712,0.0,20.91570737460242,0.27,0.06,0.0
73,1.6122982620205897,0.0,1.3363147973197975,0.0,0.0,0.2759834647007921,0.0,20.843080147049577,0.27,0.06,0.0
74,1.6266335966430199,0.0,1.35610933342303,0.0,0.0,0.2705242632199899,0.0,20.771889551465367,0.27,0.06,0.0
75,0.938555144840358,0.0,0.8004097948997687,0.0,0.0,0.1381453499405892,0.0,20.73553551200732,0.27,0.06,0.0
76,0.9729436121920728,0.0,0.8208001531599562,0.0,0.0,0.15214345903211662,0.0,20.69549775963045,0.27,0.06,0.0
77,1.0579789237270836,0.0,0.7618349631301713,0.0,0.0,0.2961439605969122,0.0,20.617565138420733,0.27,0.06,0.0
78,0.6814675825126503,0.0,0.2222416645436704,0.0,0.0,0.4592259179689798,0.0,20.496716212639424,0.27,0.06,0.0
79,0.7961335336511445,0.0,0.2384612677051834,0.0,0.0,0.5576722659459611,0.0,20.34996035317996,0.27,0.06,0.0
80,1.5925518357117188,0.0,0.25196656992946354,0.0,0.0,1.3405852657822555,0.0,19.99717475692147,0.27,0.06,0.0
81,1.5198663432144033,0.0,0.1921195443865747,0.0,0.0,1.3277467988278286,0.0,19.64776770459836,0.27,0.06,0.0
82,1.851334490544231,0.0,0.23733582585316,0.0,0.0,1.6139986646910711,0.0,19.22303121389018,0.27,0.06,0.0
83,1.3392455539707473,0.0,0.1062016935839267,0.0,0.0,1.2330438603868206,0.0,18.898545987472595,0.27,0.06,0.0
84,1.279095333849265,0.0,0.1910603049964349,0.0,0.0,1.08803502885283,0.0,18.612220979879748,0.27,0.06,0.0
85,1.2955404437284255,0.0,0.5088337622206108,0.0,0.0,0.7867066815078148,0.0,18.405192905798742,0.27,0.06,0.0
86,1.5814058157490098,0.0,0.44845711698265206,0.0,0.0,1.1329486987663575,0.0,18.10704851138654,0.27,0.06,0.0
87,1.9742995209617715,0.0,0.4077780223223709,0.0,0.0,1.5665214986394007,0.0,17.694806011744593,0.27,0.06,0.0
88,2.38872513641698,0.0,1.7856338855406666,0.0,0.0,0.6030912508763132,0.0,17.536097787829775,0.27,0.06,0.0
89,1.758536165453354,0.0,1.188338666515269,0.0,0.0,0.570197498938085,0.0,17.386045814425017,0.27,0.06,0.0
90,1.3344649774268844,0.0,0.7909376921253122,0.0,0.0,0.5435272853015722,0.0,17.243012318293026,0.27,0.06,0.0
91,0.8885368131681629,0.0,0.226743431951764,0.0,0.0,0.661793381216399,0.0,17.06885616534134,0.27,0.06,0.0
92,1.5265784725382625,0.0,1.0868839829253536,0.0,0.0,0.4396944896129089,0.0,16.953147089127416,0.27,0.06,0.0
93,2.053734538159994,0.0,1.5034471075142708,0.0,0.0,0.5502874306457229,0.0,16.808334607378544,0.27,0.06,0.0
94,1.1784409791541206,0.0,0.8419246546983847,0.0,0.0,0.33651632445573587,0.0,16.719777679890193,0.27,0.06,0.0
95,1.345458352051235,0.0,0.7343715911153561,0.0,0.0,0.611086760935879,0.0,16.558965374380747,0.27,0.06,0.0
96,1.1241590708439613,0.0,0.5875219206598145,0.0,0.0,0.5366371501841467,0.0,16.41774507170071,0.27,0.06,0.0
97,1.3988269361328096,0.0,0.7044127502948004,0.0,0.0,0.6944141858380091,0.0,16.235004496480183,0.27,0.06,0.0
98,1.3135103428685033,0.0,0.7288786693576199,0.0,0.0,0.5846316735108832,0.0,16.08115405608258,0.27,0.06,0.0
99,0.7772612543965131,0.0,0.5869171692680614,0.0,0.0,0.1903440851284516,0.0,16.031063507364568,0.27,0.06,0.0
100,0.7050941348258044,0.0,0.5174696057897046,0.0,0.0,0.1876245290360999,0.0,15.981688631302436,0.27,0.06,0.0
101,0.5969179986930807,0.0,0.45155479255462716,0.0,0.0,0.14536320613845338,0.0,15.943435156002845,0.27,0.06,0.0
102,0.6000586720620535,0.0,0.4538556260548654,0.0,0.0,0.1462030460071882,0.0,15.90496067021148,0.27,0.06,0.0
103,0.5640889152494529,0.0,0.2590993784491811,0.0,0.0,0.3049895368002719,0.0,15.824700265790353,0.27,0.06,0.0
104,0.7358622114100568,0.0,0.3084864150144414,0.0,0.0,0.4273757963956154,0.0,15.712232950949403,0.27,0.06,0.0
105,0.7459538275984654,0.0,0.5886904605176426,0.0,0.0,0.1572633670808227,0.0,15.670847854349185,0.27,0.06,0.0
106,0.5537546799621378,0.0,0.3517740354812159,0.0,0.0,0.2019806444809219,0.0,15.61769505317,0.27,0.06,0.0
107,0.47676084241777783,0.0,0.3042424994627204,0.0,0.0,0.1725183429550574,0.0,15.572295489234453,0.27,0.06,0.0
108,0.42680342431630514,0.0,0.20675028846287818,0.0,0.0,0.220053135853427,0.0,15.514386769273028,0.27,0.06,0.0
109,0.5076631110936989,0.0,0.3028706898682016,0.0,0.0,0.2047924212254973,0.0,15.460494026845264,0.27,0.06,0.0
110,0.5433201672130535,0.0,0.3885393629286856,0.0,0.0,0.154780804284368,0.0,15.419762236244118,0.27,0.06,0.0
111,0.4241948587791436,0.0,0.3473139425548408,0.0,0.0,0.07688091622430279,0.0,15.399530416185089,0.27,0.06,0.0
112,0.4522436183296942,0.0,0.3729899455608257,0.0,0.0,0.0792536727688685,0.0,15.37867418650907,0.27,0.06,0.0
113,0.6186613853989271,0.0,0.5153584745623809,0.0,0.0,0.10330291083654619,0.0,15.351489209973138,0.27,0.06,0.0
114,0.6869396859156633,0.0,0.5840384149168392,0.0,0.0,0.10290127099882419,0.0,15.324409928131342,0.27,0.06,0.0
115,1.1818048819652691,0.0,1.073106543058967,0.0,0.0,0.1086983389063022,0.0,15.295805102103367,0.27,0.06,0.0
116,1.2188356099412858,0.0,1.014359262100012,0.0,0.0,0.2044763478412736,0.0,15.241995536881982,0.27,0.06,0.0
117,1.071791057804062,0.0,0.9110991757700859,0.0,0.0,0.16069188203397589,0.0,15.199708199504617,0.27,0.06,0.0
118,0.580678565492272,0.0,0.487873231912181,0.0,0.0,0.0928053335800911,0.0,15.17528574329933,0.27,0.06,0.0
119,0.7352885468537083,0.0,0.48045236623922905,0.0,0.0,0.2548361806144792,0.0,15.108223590506046,0.27,0.06,0.0
120,0.7015892477020504,0.0,0.4437099998937609,0.0,0.0,0.2578792478082895,0.0,15.040360630556496,0.27,0.06,0.0
121,0.7347609810167873,0.0,0.4982162467040091,0.0,0.0,0.23654473431277817,0.0,14.978112016263658,0.27,0.06,0.0
122,0.7041049367441587,0.0,0.4603484385065176,0.0,0.0,0.24375649823764106,0.0,14.913965569359018,0.27,0.06,0.0
123,0.8723540364900517,0.0,0.6361551766830659,0.0,0.0,0.2361988598069859,0.0,14.851807974672967,0.27,0.06,0.0
124,0.8847783358165594,0.0,0.6597794300799382,0.0,0.0,0.22499890573662112,0.0,14.792597736321227,0.27,0.06,0.0
125,0.7099142345760073,0.0,0.5053901663766924,0.0,0.0,0.2045240681993149,0.0,14.73877561311088,0.27,0.06,0.0
126,0.7753088167331614,0.0,0.5537163611518506,0.0,0.0,0.2215924555813109,0.0,14.680461809010536,0.27,0.06,0.0
127,0.67293804190736,0.0,0.5095985403101696,0.0,0.0,0.16333950159719038,0.0,14.637477729642853,0.27,0.06,0.0
128,0.845103038800558,0.0,0.5576169886930626,0.0,0.0,0.2874860501074953,0.0,14.561823505930356,0.27,0.06,0.0
129,1.1102079431257388,0.0,0.7676054115285059,0.0,0.0,0.34260253159723286,0.0,14.471664944983715,0.27,0.06,0.0
130,1.0057371696159978,0.0,0.6906712533168362,0.0,0.0,0.3150659162991617,0.0,14.388752861747093,0.27,0.06,0.0
131,0.9968535037233524,0.09681300087862608,0.6782467383272317,0.0,0.0,0.221793764517494,0.0,14.33038608161091,0.27,0.06,0.0
132,1.0307889357107394,0.17641480160105216,0.6698348617827551,0.0,0.0,0.1845392723269313,0.0,14.281823115209086,0.27,0.06,0.0
133,1.3959404382690006,0.23235120210870316,0.9187910798497472,0.0,0.0,0.2447981563105495,0.0,14.217402547758942,0.27,0.06,0.0
134,1.1830156170965416,0.28828760261635406,0.7220575837952146,0.0,0.0,0.1726704306849724,0.0,14.17196296073658,0.27,0.06,0.0
135,1.4599771824297698,0.32701280296780494,0.8508567666944375,0.0,0.0,0.28210761276752716,0.0,14.097724115271442,0.27,0.06,0.0
136,1.536244776374674,0.36358660329973,0.9316576818946789,0.0,0.0,0.2410004911802646,0.0,14.034302933381898,0.27,0.06,0.0
137,0.8420212235678066,0.39800900361213093,0.4381671972692108,0.0537529727979243,0.0021214488839831,0.0617194443683718,0.0,14.018564818447537,0.27,0.06,0.0537529727979243
138,1.4239826788191023,0.43028000390500604,0.8636028538012012,0.0618207228711431,0.0053485489132706,0.1972690928973083,0.0,13.967922179630936,0.27,0.06,0.0618207228711431
139,1.2850100137823333,0.473308004295507,0.33047263803637883,0.0791133341266411,0.0186226469230897,0.5789653525001777,0.0,13.81998575498565,0.27,0.06,0.0791133341266411
140,0.9904191462431033,0.9401618085324401,0.3550579899999119,0.1958267851858742,0.1610407282932604,0.0520668611898862,0.0,13.844531122379012,0.27,0.06,0.1958267851858742
141,1.0320943961557383,1.6845462152881003,0.2257890182711549,0.3455101961380706,0.5327306412654471,0.0,0.0,13.971054649679557,0.27,0.06,0.2257890182711549
142,0.8141767112921413,2.056738418665933,0.0598865917284892,0.4385582469825288,0.8638900521197518,0.0,0.0,14.176228537057998,0.27,0.06,0.0598865917284892
143,2.788053709569839,2.749489224952997,1.220477841254518,0.6649644965541146,0.647179554980282,0.1302306948967204,0.0,14.295662445866675,0.27,0.06,0.6649644965541146
144,3.179003138898138,3.175466428818949,1.387584156497048,0.7714587975206024,0.6879848571350462,0.0753962082377901,0.0,14.439217742005255,0.27,0.06,0.7714587975206024
145,3.5604025738591245,3.4314830311424287,1.6262566859799636,0.8345292893646337,0.7446997124217172,0.081891858523082,0.0,14.59453343462039,0.27,0.06,0.8345292893646337
146,2.985584355972758,3.732679033875934,0.997180701056157,0.90982829004801,1.057490644035238,0.2230435551239151,0.0,14.786991790177728,0.27,0.06,0.90982829004801
147,2.6183161605098917,3.4465428312791064,0.9364549117076961,0.8242893583462187,0.9565834616686081,0.0161912375379168,0.0,15.00991951034036,0.27,0.06,0.8242893583462187
148,2.836938183773408,3.799372434481208,0.8658889910672758,0.9124967591467444,0.9787431719731856,0.0629166893448541,0.0,15.225813990172188,0.27,0.06,0.8658889910672758
149,1.5888579228392028,4.264074838698617,0.0,1.052947487358909,1.662241804920296,0.039972376419791,0.0,15.610077372414498,0.27,0.06,0.0
150,1.6067152555100972,4.3845532397920195,0.0279245363104506,1.0830670876322597,1.7226954329601116,0.0,0.0,16.019217537742524,0.27,0.06,0.0279245363104506
151,2.8587194836640606,4.173716037878564,0.833075404293708,1.0098172949434392,1.138254663564773,0.0,0.0,16.289553020339156,0.27,0.06,0.833075404293708
152,3.5864734607742124,3.1625580287018007,1.546333121309833,0.7570277926492481,0.5638298727618026,0.1984399761736291,0.0,16.371241568758606,0.27,0.06,0.7570277926492481
153,1.5981032934338568,2.1922766198960115,0.44718162510130766,0.5209930516056732,0.5203618999577885,0.0,0.0,16.49482751999858,0.27,0.06,0.44718162510130766
154,1.6034926716136113,1.6458210149366501,0.6073124451467071,0.384379150365833,0.2972506432586547,0.0319890051547414,0.0,16.557006388521263,0.27,0.06,0.384379150365833
155,2.008957516269823,1.4823146134527483,0.7984574027953952,0.3575074310474418,0.1696624520200451,0.255355383089165,0.0,16.53010243585256,0.27,0.06,0.3575074310474418
156,1.730271137652255,1.497374413589423,0.7954454427680603,0.3612723810816106,0.29456139018395255,0.0932850525603349,0.0,16.575512067979055,0.27,0.06,0.3612723810816106
157,3.2300228505405415,1.6931518153662042,1.5150711790773164,0.3803396519469594,0.0,0.4021395080439806,0.0,16.46968588165169,0.27,0.06,0.3803396519469594
158,3.490240662725082,1.7361798157567017,1.5715388249958595,0.3910966520445839,0.0,0.5736186740171041,0.0,16.31873359901561,0.27,0.06,0.3910966520445839
159,2.646949766016568,1.3446250122031485,1.0535195433871503,0.3193503957876861,0.0,0.5681556062139552,0.0,16.169218965801413,0.27,0.06,0.3193503957876861
160,2.2326519232445396,1.0154608092158157,0.9191818138345127,0.2370593450408529,0.0059025261192368,0.5409711713543008,0.0,16.028259981187812,0.27,0.06,0.2370593450408529
161,1.502730538003143,0.7465358067751862,0.5801951890965288,0.1726290706412124,0.0,0.3486286127726393,0.0,15.936515609405538,0.27,0.06,0.1726290706412124
162,1.7614533403113533,0.6583284059746601,0.6204896434373316,0.150577220441081,0.0,0.633212511340442,0.0,15.769880738000158,0.27,0.06,0.150577220441081
163,1.452832812822177,0.565818205135084,0.33932712083071653,0.0947716144418237,0.0187030068591501,0.6611621081573502,0.0,15.600332673666744,0.27,0.06,0.0947716144418237
164,1.7011205647076366,0.49697340451028216,0.8398783581874334,0.0775604142856234,0.01181852679667,0.45364774309221345,0.0,15.483758588756688,0.27,0.06,0.0775604142856234
165,2.3519311073735216,0.40446320367070604,1.3671610281656115,0.0880445786019313,0.0,0.6683514541391348,0.0,15.307876627141127,0.27,0.06,0.0880445786019313
166,3.0028667092184027,0.27322780247967915,1.92103833207012,0.0552357283041745,0.0,0.8638363029727779,0.0,15.080551284253554,0.27,0.06,0.0552357283041745
167,2.041392405310596,0.16565780150342724,1.233594145598812,0.022741275639078,0.0038066008141378,0.6686883346615715,0.0,14.905484737562285,0.27,0.06,0.022741275639078
168,2.1502735801537107,0.066693400605276,1.780047383122831,0.0,0.0,0.3035327964256035,0.0,14.825607685871338,0.27,0.06,0.0
169,2.841272747772405,0.0,2.4293410021625563,0.0,0.0,0.41193174560984824,0.0,14.717204594921379,0.27,0.06,0.0
170,2.6676093840483484,0.0,2.2393738813847563,0.0,0.0,0.4282355026635925,0.0,14.604511041588852,0.27,0.06,0.0
171,1.893721164419364,0.0,1.5903422640928917,0.0,0.0,0.3033789003264721,0.0,14.524674488871362,0.27,0.06,0.0
172,1.7022567797976755,0.0,1.090232473830551,0.0,0.0,0.6120243059671246,0.0,14.363615460985276,0.27,0.06,0.0
173,1.4418233127762166,0.0,0.9206003456592184,0.0,0.0,0.521222967116998,0.0,14.226451522270276,0.27,0.06,0.0
174,1.4815847262234183,0.0,1.248330571344671,0.0,0.0,0.23325415487874732,0.0,14.165068849933764,0.27,0.06,0.0
175,1.817285480997592,0.0,1.4746670822485908,0.0,0.0,0.3426183987490014,0.0,14.07490611342087,0.27,0.06,0.0
176,1.9680941845868265,0.0,1.6925741862957508,0.0,0.0,0.2755199982910757,0.0,14.002400850712691,0.27,0.06,0.0
177,2.1743593376144403,0.0,1.9167340105337793,0.0,0.0,0.2576253270806612,0.0,13.934604712007255,0.27,0.06,0.0
178,2.049781088647092,0.0,1.7764051080083267,0.0,0.0,0.2733759806387654,0.0,13.862663664470738,0.27,0.06,0.0
179,2.4111570623595777,0.0,2.057059092888686,0.0,0.0,0.3540979694708916,0.0,13.769479988294187,0.27,0.06,0.0
180,2.69272650951223,0.0,2.2799191370781986,0.0,0.0,0.4128073724340314,0.0,13.660846469232599,0.27,0.06,0.0
181,2.6696267570190813,0.0,2.2172961312845496,0.0,0.0,0.4523306257345315,0.0,13.541812094039301,0.27,0.06,0.0
182,2.048213266333828,0.0,1.6792639065719448,0.0,0.0,0.36894935976188303,0.0,13.444720157259859,0.27,0.06,0.0
