t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,2.6427323736526565,0.0,9.853229343548264e-16,0.0,0.0,2.642732373652655,0.0,39.304544112196666,0.27,0.06,0.0
2,2.625221044883487,0.0,1.6653345369377348e-16,0.0,0.0,2.625221044883487,0.0,38.61369646880628,0.27,0.06,0.0
3,2.6828617319826225,0.0,3.344546861683284e-15,0.0,0.0,2.6828617319826193,0.0,37.90768022354769,0.27,0.06,0.0
4,2.6794866410779665,0.0,-2.720046410331633e-15,0.0,0.0,2.679486641077969,0.0,37.20255216010612,0.27,0.06,-2.720046410331633e-15
5,2.2594126037955813,0.0,2.0122792321330962e-15,0.0,0.0,2.2594126037955795,0.0,36.60796989594939,0.27,0.06,0.0
6,2.2466100208717044,0.0,1.8041124150158794e-15,0.0,0.0,2.2466100208717026,0.0,36.0167567325621,0.27,0.06,0.0
7,2.215036367493065,0.0,1.8943180357666733e-15,0.0,0.0,2.215036367493063,0.0,35.43385242532708,0.27,0.06,0.0
8,2.1813920830195213,0.0,2.491062911502695e-15,0.0,0.0,2.1813920830195186,0.0,34.85980187716405,0.27,0.06,0.0
9,2.2483871404628006,0.0,1.734723475976807e-16,0.0,0.0,2.2483871404628,0.0,34.26812105072647,0.27,0.06,0.0
10,2.320719658729116,0.0,4.15639744844043e-15,0.0,0.0,2.3207196587291117,0.0,33.65740535106091,0.27,0.06,0.0
11,1.891707756916766,0.0,1.3877787807814454e-16,0.0,0.0,1.891707756916766,0.0,33.15958752029334,0.27,0.06,0.0
12,1.977282653489675,0.0,3.066991105526995e-15,0.0,0.0,1.977282653489672,0.0,32.63924997990132,0.27,0.06,0.0
13,2.0835329596640744,0.0,6.938893903907228e-18,0.0,0.0,2.0835329596640744,0.0,32.09095183262131,0.27,0.06,0.0
14,1.9793472518579645,0.0,0.0,0.0,0.0,1.9793472518579645,0.0,31.570070976869214,0.27,0.06,0.0
15,1.7384377995400502,0.0,0.0,0.0,0.0,1.7384377995400502,0.0,31.1125873454113,0.27,0.06,0.0
16,2.1918527272711157,0.0,1.1379786002407857e-15,0.0,0.0,2.1918527272711144,0.0,30.535783996129435,0.27,0.06,0.0
17,2.3911630643253146,0.0,9.714451465470121e-17,0.0,0.0,2.3911630643253146,0.0,29.906530558149086,0.27,0.06,0.0
18,2.1230862943831155,0.0,2.0816681711721685e-16,0.0,0.0,2.123086294383115,0.0,29.34782363857458,0.27,0.06,0.0
19,2.0179239460767864,0.0,0.0,0.0,0.0,2.0179239460767864,0.0,28.816791021185953,0.27,0.06,0.0
20,1.8508361227943366,0.0,0.0,0.0,0.0,1.8508361227943366,0.0,28.329728883608496,0.27,0.06,0.0
21,1.5346150039409607,0.0,0.0,0.0,0.0,1.5346150039409607,0.0,27.925882829939823,0.27,0.06,0.0
22,1.5805441150306285,0.0,2.0816681711721683e-16,0.0,0.0,1.580544115030628,0.0,27.50995016808966,0.27,0.06,0.0
23,1.5879562510933847,0.0,0.2746785482897487,0.0,0.0,1.313277702803636,0.0,27.164350772615016,0.27,0.06,0.0
24,1.5053163008050503,0.0,0.6363594136243852,0.0,0.0,0.8689568871806652,0.0,26.935677907567474,0.27,0.06,0.0
25,1.4839322918471132,0.0,0.66790798081053,0.0,0.0,0.8160243110365829,0.0,26.720934667821005,0.27,0.06,0.0
26,1.6336442752007458,0.0,1.10816689759649,0.0,0.0,0.5254773776042556,0.0,26.58265114739883,0.27,0.06,0.0
27,1.9966019759342104,0.0,0.64979414054972,0.0,0.0,1.3468078353844903,0.0,26.22822803282397,0.27,0.06,0.0
28,1.8634403702621332,0.0,1.2295121221045724,0.0,0.0,0.6339282481575605,0.0,26.06140480962461,0.27,0.06,0.0
