t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,2.6427323736526565,0.0,0.0,0.0,0.0,2.6427323736526565,0.0,39.304544112196666,0.27,0.06,0.0
2,2.625221044883487,0.0,0.0,0.0,0.0,2.625221044883487,0.0,38.61369646880628,0.27,0.06,0.0
3,2.6828617319826225,0.0,0.0,0.0,0.0,2.6828617319826225,0.0,37.90768022354769,0.27,0.06,0.0
4,2.6794866410779665,0.0,0.0,0.0,0.0,2.6794866410779665,0.0,37.20255216010612,0.27,0.06,0.0
5,2.2594126037955813,0.0,0.0,0.0,0.0,2.2594126037955813,0.0,36.60796989594939,0.27,0.06,0.0
6,2.2466100208717044,0.0,0.0,0.0,0.0,2.2466100208717044,0.0,36.0167567325621,0.27,0.06,0.0
7,2.215036367493065,0.0,0.0,0.0,0.0,2.215036367493065,0.0,35.43385242532709,0.27,0.06,0.0
8,2.1813920830195213,0.0,0.0,0.0,0.0,2.1813920830195213,0.0,34.85980187716405,0.27,0.06,0.0
9,2.2483871404628006,0.0,0.0,0.0,0.0,2.2483871404628006,0.0,34.26812105072647,0.27,0.06,0.0
10,2.320719658729116,0.0,0.0,0.0,0.0,2.320719658729116,0.0,33.657405351060916,0.27,0.06,0.0
11,1.891707756916766,0.0,0.0,0.0,0.0,1.891707756916766,0.0,33.15958752029335,0.27,0.06,0.0
12,1.977282653489675,0.0,0.0,0.0,0.0,1.977282653489675,0.0,32.63924997990132,0.27,0.06,0.0
13,2.0835329596640744,0.0,0.0,0.0,0.0,2.0835329596640744,0.0,32.09095183262131,0.27,0.06,0.0
14,1.9793472518579645,0.0,0.0,0.0,0.0,1.9793472518579645,0.0,31.570070976869214,0.27,0.06,0.0
15,1.7384377995400502,0.0,0.0,0.0,0.0,1.7384377995400502,0.0,31.112587345411306,0.27,0.06,0.0
16,2.1918527272711157,0.0,0.0,0.0,0.0,2.1918527272711157,0.0,30.535783996129435,0.27,0.06,0.0
17,2.3911630643253146,0.0,0.0,0.0,0.0,2.3911630643253146,0.0,29.906530558149086,0.27,0.06,0.0
18,2.1230862943831155,0.0,0.0,0.0,0.0,2.1230862943831155,0.0,29.34782363857458,0.27,0.06,0.0
19,2.0179239460767864,0.0,0.0,0.0,0.0,2.0179239460767864,0.0,28.816791021185953,0.27,0.06,0.0
20,1.8508361227943366,0.0,0.0,0.0,0.0,1.8508361227943366,0.0,28.329728883608496,0.27,0.06,0.0
21,1.5346150039409607,0.0,0.0,0.0,0.0,1.5346150039409607,0.0,27.925882829939823,0.27,0.06,0.0
22,1.5805441150306285,0.0,0.0,0.0,0.0,1.5805441150306285,0.0,27.509950168089652,0.27,0.06,0.0
23,1.5879562510933847,0.0,0.2746785482897487,0.0,0.0,1.313277702803636,0.0,27.164350772615016,0.27,0.06,0.0
24,1.5053163008050503,0.0,0.636359413624385,0.0,0.0,0.8689568871806654,0.0,26.935677907567474,0.27,0.06,0.0
25,1.4839322918471132,0.0,0.66790798081053,0.0,0.0,0.8160243110365829,0.0,26.720934667821005,0.27,0.06,0.0
26,1.6336442752007458,0.0,0.635544113573505,0.0,0.0,0.9981001616272407,0.0,26.458276730550676,0.27,0.06,0.0
27,1.9966019759342104,0.0,1.1224169245727051,0.0,0.0,0.8741850513615049,0.0,26.228228032823964,0.27,0.06,0.0
28,1.8634403702621332,0.0,1.2295121221045724,0.0,0.0,0.6339282481575605,0.0,26.06140480962461,0.27,0.06,0.0
29,1.571240261484108,0.0,1.1782052141446826,0.0,0.0,0.3930350473394255,0.0,25.95797453400897,0.27,0.06,0.0
30,1.623725316023624,0.0,1.226201999010385,0.0,0.0,0.39752331701323923,0.0,25.85336313479496,0.27,0.06,0.0
31,1.5951245819749904,0.0,1.2185887158937576,0.0,0.0,0.3765358660812329,0.0,25.754274748984113,0.27,0.06,0.0
32,1.6166424023362052,0.0,1.2373240126068525,0.0,0.0,0.3793183897293525,0.0,25.654454120107964,0.27,0.06,0.0
33,1.7001652315337132,0.0,1.2204423848265,0.0,0.0,0.47972284670721344,0.0,25.528211265711334,0.27,0.06,0.0
34,1.6340436141127916,0.0,1.19071747944071,0.0,0.0,0.44332613467208143,0.0,25.411546493429203,0.27,0.06,0.0
35,1.6850236565689483,0.07529900068337592,1.1988880952610308,0.0,0.0,0.4108365606245414,0.0,25.303431609054325,0.27,0.06,0.0
36,1.779585526624508,0.1721120015620024,1.1361827073954611,0.0,0.0,0.4712908176670437,0.0,25.179407709668254,0.27,0.06,0.0
37,1.8894549890709855,0.2280484020696532,1.1020522813644185,0.0,0.0,0.5593543056369135,0.0,25.03220920818486,0.27,0.06,0.0
38,2.109430174982026,0.27753060251872885,1.4624010353086543,0.0,0.0,0.36949853715464237,0.0,24.9349727510389,0.27,0.06,0.0
39,2.103577383032096,0.3205586029092297,1.5943962078260738,0.0,0.0,0.18862257229679202,0.0,24.885335232013425,0.27,0.06,0.0
40,2.1028477978664384,0.35713240324115497,1.5958850375808151,0.0,0.014019125701991401,0.1638494827464595,0.0,24.845546489434373,0.27,0.06,0.0
41,1.8230427695403884,0.39370620357308067,1.3516303288231608,0.0,0.0368017817741214,0.114508018918268,0.0,24.82415322341671,0.27,0.06,0.0
42,1.5341709920954605,0.4173716037878561,1.0351061533706645,0.0,0.025805006995066798,0.10749824193200641,0.0,24.8019929015433,0.27,0.06,0.0
43,2.0557108527880246,0.4517940041002566,1.0977368936220593,0.0,0.0308363765613589,0.5370163316270671,0.0,24.66799645370634,0.27,0.06,0.0
44,2.0209484857585482,0.8670142078685883,0.9132321298867999,0.0,0.1733244601376799,0.41402660814083947,0.0,24.600206642425658,0.27,0.06,0.0
45,1.7925662342925635,1.6350640148390252,0.6105723369948532,0.0,0.453070117541315,0.0,0.0,24.707810795341718,0.27,0.06,0.0
46,1.8033148778641515,2.028770218412105,0.42173758024557717,0.0,0.6471929207935305,0.0,0.0,24.861519114030187,0.27,0.06,0.0
47,5.439976180263225,2.7645490250896705,0.1286368948394076,0.0,0.43750444356869256,2.9842947039028402,0.0,24.180085707824368,0.27,0.06,0.0
48,5.489937777897701,3.16686082874085,0.0,0.0,0.5557980623479073,2.878875011504758,0.0,23.554489060393905,0.27,0.06,0.0
49,5.524823006600755,3.4616026314157766,0.0,0.0,0.48488252171776025,2.548102896902738,0.0,22.999095265380102,0.27,0.06,0.0
50,5.518576417230887,3.7025594336025804,0.0,0.0,0.6689468461696986,2.4849638297980046,0.0,22.50403229139856,0.27,0.06,0.0
51,5.41381192928541,3.4078176309276538,0.0,0.0,0.6977891983104765,2.7037834966682324,0.0,21.95823525318987,0.27,0.06,0.0
52,5.281080512193179,3.823037834695982,0.0,0.0,1.136938676749486,2.594981354246683,0.0,21.545368358852954,0.27,0.06,0.0
53,4.462987969881605,4.283437438874341,0.0818316893265515,0.0,1.5166101835339085,1.6143290252146234,0.0,21.4807398497542,0.27,0.06,0.0
54,4.377154020359124,4.3544336395186685,0.7681310340265989,0.0,1.6548368585716453,0.909426205385502,0.0,21.6344409180372,0.27,0.06,0.0
55,3.789393380597348,4.15435343770284,0.5800547816150561,0.0,1.6317687851072926,0.6867539463867449,0.0,21.841261281766826,0.27,0.06,0.0
56,2.9081916683572118,3.0162628273740957,0.7166054324594674,0.0,1.673099230754437,0.848422639278085,0.0,22.015353233471515,0.27,0.06,0.0
57,3.398381920890103,2.1212804192516823,1.066726074489429,0.0,1.052571391993716,1.2629468191427082,0.0,21.932984512979832,0.27,0.06,0.0
58,3.2519780625069474,1.568370614233749,1.3211165151443773,0.0,0.7909470546974793,1.1534379878263004,0.0,21.817298125884616,0.27,0.06,0.0
59,3.52481039021621,1.4177726128669956,1.8678505583671088,0.0,0.2923247155273837,0.5315119345094892,0.0,21.746853684109347,0.27,0.06,0.0
60,4.253633852496058,1.4672548133160732,1.8572396408426854,0.0,0.0743667885813344,1.0035061869186335,0.0,21.50043522089251,0.27,0.06,0.0
61,4.249027991698517,1.62000421470235,1.823586077694321,0.0,0.2496037091961724,1.0550414084980173,0.0,21.282073625906072,0.27,0.06,0.0
62,3.9145688720045797,1.7146658155614514,1.80328693112586,0.0,0.453550325838031,0.8501664511552989,0.0,21.166063814830682,0.27,0.06,0.0
63,2.748346865934439,1.3102026118907453,1.344804835686413,0.0,0.314067906119296,0.4074073244765763,0.0,21.133442488724388,0.27,0.06,0.0
64,2.7508230352041716,0.9681300087862649,1.418158569876987,0.0,0.1908278072437405,0.5553622637846599,0.0,21.03261612879092,0.27,0.06,0.0
65,1.0873237122787753,0.7013564063651608,0.0759511805049084,0.0,0.127579767081352,0.4375958924900577,0.0,20.947759509659566,0.27,0.06,0.0
66,1.0566470277019497,0.5980892054279594,0.09809570403413831,0.0,0.0917907659681145,0.45225288420796617,0.0,20.850545899680164,0.27,0.06,0.0
67,1.2731571392952976,0.5270930047836327,0.2471536394300542,0.0,0.0360334450543555,0.5349439401359657,0.0,20.71832912179216,0.27,0.06,0.0
68,1.3648618265203711,0.47115660427598205,0.5717173225240315,0.0,0.0076108951880386995,0.3295987949083955,0.0,20.633400184423426,0.27,0.06,0.0
69,1.5088489546644046,0.38079780345593034,0.8577085977740593,0.0,0.0,0.2703425534344144,0.0,20.562257407203845,0.27,0.06,0.0
70,1.487092948561563,0.26892500244062867,1.062768345376009,0.0,0.0,0.1553996007449246,0.0,20.521362775428862,0.27,0.06,0.0
71,1.5789748568397959,0.1570522014253272,1.2088269703448011,0.0,0.0,0.2130956850696672,0.0,20.465284963568422,0.27,0.06,0.0
72,1.4965882145886076,0.0709962006443256,1.1887759800936333,0.0,0.0,0.2368160338506478,0.0,20.402964954660355,0.27,0.06,0.0
73,1.6122982620205897,0.0,1.3363147973197975,0.0,0.0,0.2759834647007921,0.0,20.33033772710752,0.27,0.06,0.0
74,1.6266335966430199,0.0,1.35610933342303,0.0,0.0,0.2705242632199899,0.0,20.25914713152331,0.27,0.06,0.0
75,0.938555144840358,0.0,0.8004097948997687,0.0,0.0,0.1381453499405892,0.0,20.22279309206526,0.27,0.06,0.0
76,0.9729436121920728,0.0,0.8208001531599562,0.0,0.0,0.15214345903211662,0.0,20.18275533968839,0.27,0.06,0.0
77,1.0579789237270836,0.0,0.7776608595813985,0.0,0.0,0.28031806414568494,0.0,20.1089874280711,0.27,0.06,0.0
78,0.6814675825126503,0.0,0.2581701411797965,0.0,0.0,0.42329744133285374,0.0,19.997593364562455,0.27,0.06,0.0
79,0.7961335336511445,0.0,0.40193583639955743,0.0,0.0,0.39419769725158715,0.0,19.893857128443617,0.27,0.06,0.0
80,1.5925518357117188,0.0,0.41544113862383747,0.0,0.0,1.1771106970878815,0.0,19.584091155525755,0.27,0.06,0.0
81,1.5198663432144033,0.0,0.3340370270992731,0.0,0.0,1.18582931611513,0.0,19.272030809179665,0.27,0.06,0.0
82,1.851334490544231,0.0,0.3792533085658584,0.0,0.0,1.4720811819783728,0.0,18.884641024448516,0.27,0.06,0.0
83,1.3392455539707473,0.0,0.3914581377228231,0.0,0.0,0.9477874162479242,0.0,18.635223283330642,0.27,0.06,0.0
84,1.279095333849265,0.0,0.3841758669156131,0.0,0.0,0.8949194669336519,0.0,18.399718160453364,0.27,0.06,0.0
85,1.2955404437284255,0.0,0.5088337622206108,0.0,0.0,0.7867066815078148,0.0,18.19269008637236,0.27,0.06,0.0
86,1.5814058157490098,0.0,0.44845711698265206,0.0,0.0,1.1329486987663577,0.0,17.89454569196016,0.27,0.06,0.0
87,1.9742995209617715,0.0,0.4077780223223709,0.0,0.0,1.5665214986394007,0.0,17.482303192318213,0.27,0.06,0.0
88,2.38872513641698,0.0,0.44167368280683905,0.0,0.0,1.9470514536101406,0.0,16.96992123084186,0.27,0.06,0.0
89,1.758536165453354,0.0,0.423673820067779,0.0,0.0,1.334862345385575,0.0,16.61864166626671,0.27,0.06,0.0
90,1.3344649774268844,0.0,0.4720678197047832,0.0,0.0,0.8623971577221012,0.0,16.391695045813524,0.27,0.06,0.0
91,0.8885368131681629,0.0,0.2968039613922102,0.0,0.0,0.5917328517759527,0.0,16.23597587429354,0.27,0.06,0.0
92,1.5265784725382625,0.0,0.25820792611399723,0.0,0.0,1.2683705464242652,0.0,15.902194151550312,0.27,0.06,0.0
93,2.053734538159994,0.0,0.2819082024455851,0.0,0.0,1.7718263357144086,0.0,15.435924063204414,0.27,0.06,0.0
94,1.1784409791541206,0.0,0.2397372342256514,0.0,0.0,0.9387037449284692,0.0,15.188896761907449,0.27,0.06,0.0
95,1.345458352051235,0.0,0.2737423385318859,0.0,0.0,1.0717160135193493,0.0,14.906866232033932,0.27,0.06,0.0
96,1.1241590708439613,0.0,0.3425928988909617,0.0,0.0,0.7815661719529996,0.0,14.70119092362525,0.27,0.06,0.0
97,1.3988269361328096,0.0,0.3774804609044111,0.0,0.0,1.0213464752283985,0.0,14.432415535407248,0.27,0.06,0.0
98,1.3135103428685033,0.0,0.3915815852856449,0.0,0.0,0.9219287575828582,0.0,14.189802704464393,0.27,0.06,0.0
99,0.7772612543965131,0.0,0.4874857864303779,0.0,0.0,0.2897754679661351,0.0,14.113546002368041,0.27,0.06,0.0
100,0.7050941348258044,0.0,0.42591749687851244,0.0,0.0,0.2791766379472921,0.0,14.040078466066122,0.27,0.06,0.0
101,0.5969179986930807,0.0,0.3809227838995792,0.0,0.0,0.21599521479350137,0.0,13.983237620067834,0.27,0.06,0.0
102,0.6000586720620535,0.0,0.3807903789758117,0.0,0.0,0.2192682930862419,0.0,13.925535437676716,0.27,0.06,0.0
103,0.5640889152494529,0.0,0.31646825308488025,0.0,0.0,0.24762066216457268,0.0,13.860372105528144,0.27,0.06,0.0
104,0.7358622114100568,0.0,0.3658552896501406,0.0,0.0,0.37000692175991623,0.0,13.763001862959745,0.27,0.06,0.0
105,0.7459538275984654,0.0,0.5671460353812101,0.0,0.0,0.1788077922172552,0.0,13.71594718079731,0.27,0.06,0.0
106,0.5537546799621378,0.0,0.4406946757236604,0.0,0.0,0.1130600042384774,0.0,13.686194548102975,0.27,0.06,0.0
107,0.47676084241777783,0.0,0.4134300749140461,0.0,0.0,0.06333076750373169,0.0,13.669528556654623,0.27,0.06,0.0
108,0.42680342431630514,0.0,0.3655894920041044,0.0,0.0,0.06121393231220079,0.0,13.653419627098781,0.27,0.06,0.0
109,0.5076631110936989,0.0,0.4291506719675588,0.0,0.0,0.0785124391261401,0.0,13.632758458907691,0.27,0.06,0.0
110,0.5433201672130535,0.0,0.46495031284074734,0.0,0.0,0.0783698543723063,0.0,13.61213481302024,0.27,0.06,0.0
111,0.4241948587791436,0.0,0.3473139425548408,0.0,0.0,0.07688091622430279,0.0,13.591902992961213,0.27,0.06,0.0
112,0.4522436183296942,0.0,0.3729899455608257,0.0,0.0,0.0792536727688685,0.0,13.571046763285198,0.27,0.06,0.0
113,0.6186613853989271,0.0,0.5153584745623809,0.0,0.0,0.10330291083654619,0.0,13.543861786749263,0.27,0.06,0.0
114,0.6869396859156633,0.0,0.5840384149168392,0.0,0.0,0.10290127099882419,0.0,13.516782504907468,0.27,0.06,0.0
115,1.1818048819652691,0.0,1.073106543058967,0.0,0.0,0.1086983389063022,0.0,13.488177678879493,0.27,0.06,0.0
116,1.2188356099412858,0.0,1.1009752865963367,0.0,0.0,0.11786032334494889,0.0,13.457161804315033,0.27,0.06,0.0
117,1.071791057804062,0.0,0.9765847641017236,0.0,0.0,0.0952062937023382,0.0,13.432107516498627,0.27,0.06,0.0
118,0.580678565492272,0.0,0.487873231912181,0.0,0.0,0.0928053335800911,0.0,13.407685060293339,0.27,0.06,0.0
119,0.7352885468537083,0.0,0.5556088667399097,0.0,0.0,0.17967968011379848,0.0,13.360400933947604,0.27,0.06,0.0
120,0.7015892477020504,0.0,0.5211287463172579,0.0,0.0,0.1804605013847925,0.0,13.312911328320027,0.27,0.06,0.0
121,0.7347609810167873,0.0,0.5564671877065601,0.0,0.0,0.17829379331022718,0.0,13.265991909027862,0.27,0.06,0.0
122,0.7041049367441587,0.0,0.5239606753649471,0.0,0.0,0.18014426137921158,0.0,13.218585524454387,0.27,0.06,0.0
123,0.8723540364900517,0.0,0.6361551766830659,0.0,0.0,0.2361988598069859,0.0,13.156427929768336,0.27,0.06,0.0
124,0.8847783358165594,0.0,0.6597794300799382,0.0,0.0,0.22499890573662112,0.0,13.097217691416594,0.27,0.06,0.0
125,0.7099142345760073,0.0,0.5053901663766924,0.0,0.0,0.2045240681993149,0.0,13.043395568206249,0.27,0.06,0.0
126,0.7753088167331614,0.0,0.5537163611518506,0.0,0.0,0.2215924555813109,0.0,12.985081764105903,0.27,0.06,0.0
127,0.67293804190736,0.0,0.5095985403101696,0.0,0.0,0.16333950159719038,0.0,12.942097684738222,0.27,0.06,0.0
128,0.845103038800558,0.0,0.6236584220064757,0.0,0.0,0.2214446167940824,0.0,12.883822785581884,0.27,0.06,0.0
129,1.1102079431257388,0.0,0.8233916965190824,0.0,0.0,0.2868162466066564,0.0,12.808344825948552,0.27,0.06,0.0
130,1.0057371696159978,0.0,0.7464575383074128,0.0,0.0,0.2592796313085852,0.0,12.74011334402524,0.27,0.06,0.0
131,0.9968535037233524,0.09681300087862621,0.6497149504714059,0.0,0.0,0.2503255523733196,0.0,12.674238198663842,0.27,0.06,0.0
132,1.0307889357107394,0.1764148016010524,0.6178436039121393,0.0,0.0,0.23653053019754722,0.0,12.611993322296065,0.27,0.06,0.0
133,1.3959404382690006,0.2323512021087033,0.8503147889957654,0.0,0.0,0.31327444716453123,0.0,12.5295526783054,0.27,0.06,0.0
134,1.1830156170965416,0.2882876026163541,0.6370962599578669,0.0,0.0,0.2576317545223201,0.0,12.461754848167946,0.27,0.06,0.0
135,1.4599771824297698,0.327012802967805,0.8048674037869226,0.0,0.0,0.3280969756750421,0.0,12.375413538779778,0.27,0.06,0.0
136,1.536244776374674,0.36358660329973036,0.8245049675028,0.0,0.0,0.34815320557214346,0.0,12.283794274155529,0.27,0.06,0.0
137,0.8420212235678066,0.39800900361213093,0.3208698471952605,0.0,0.0,0.12314237276041459,0.0,12.251388386587,0.27,0.06,0.0
138,1.4239826788191023,0.43028000390500615,0.7367949077753092,0.0,0.0,0.2569077671387865,0.0,12.183781079445213,0.27,0.06,0.0
139,1.2850100137823333,0.47330800429550707,0.5982918045650573,0.0,0.0,0.2134102049217684,0.0,12.127620499202642,0.27,0.06,0.0
140,0.9904191462431033,0.9401618085324397,0.2229661901675298,0.0,0.25675578675275523,0.0840469342958891,0.0,12.16648238426803,0.27,0.06,0.0
141,1.0320943961557383,1.6845462152881,0.0353984056378753,0.0,0.7181355102434757,0.0302852854732387,0.0,12.329069755984214,0.27,0.06,0.0
142,0.8141767112921413,2.0567384186659323,0.0,0.0,1.2479117567788256,0.0053500494050343,0.0,12.624040890481018,0.27,0.06,0.0
143,2.788053709569839,2.749489224952997,0.6800896016714428,0.0,1.4042921977493008,0.7627670806947002,0.0,12.756832108316292,0.27,0.06,0.0
144,3.179003138898138,3.1754664288189485,1.0894315877212981,0.0,1.3276991215125145,0.2418042438704064,0.0,13.008527953920147,0.27,0.06,0.0
145,3.5604025738591245,3.4314830311424287,1.1791437415988253,0.0,1.3250325090712338,0.2748083101891037,0.0,13.25090519845901,0.27,0.06,0.0
146,2.985584355972758,3.7326790338759337,1.1145555479719045,0.0,2.1090308457932325,0.2473806199181526,0.0,13.686699861198546,0.27,0.06,0.0
147,2.6183161605098917,3.446542831279105,0.8866900051754689,0.0,1.9117215131326342,0.1968048371879518,0.0,14.088942973939139,0.27,0.06,0.0
148,2.836938183773408,3.799372434481208,0.8110295497839339,0.0,1.953475459096433,0.1800116586046988,0.0,14.50552190636804,0.27,0.06,0.0
149,1.5888579228392028,4.264074838698616,0.0,0.0,2.6752169158594135,0.0,0.0,15.14088592388465,0.27,0.06,0.0
150,1.6067152555100972,4.384553239792019,0.0,0.0,2.7778379842819207,0.0,0.0,15.800622445151607,0.27,0.06,0.0
151,2.8587194836640606,4.173716037878564,0.43486877865410656,0.0,2.0531888745625553,0.3033235416939448,0.0,16.208432818203917,0.27,0.06,0.0
152,3.5864734607742124,3.1625580287018003,0.8209396545596988,0.0,1.1672146698744585,0.7701904473871715,0.0,16.28296460561826,0.27,0.06,0.0
153,1.5981032934338568,2.1922766198960106,0.41552716832456627,0.0,1.1019286198721083,0.0922281250853881,0.0,16.52040209360489,0.27,0.06,0.0
154,1.6034926716136113,1.6458210149366495,0.5327086053334085,0.0,0.6932740210598003,0.1182370724033535,0.0,16.65393965455308,0.27,0.06,0.0
155,2.008957516269823,1.482314613452748,0.7770541439934573,0.0,0.4228819055599193,0.1724706643835367,0.0,16.708987090180525,0.27,0.06,0.0
156,1.730271137652255,1.497374413589423,0.7738247343121114,0.0,0.7126818926201159,0.1717538823708369,0.0,16.833050649580215,0.27,0.06,0.0
157,3.2300228505405415,1.693151815366203,0.7911243949042225,0.0,0.1133677077617678,0.8591143480318835,0.0,16.633892757007352,0.27,0.06,0.0
158,3.490240662725082,1.736179815756701,0.951282125844729,0.0,0.0163748997592667,0.8191536208829178,0.0,16.422215053362567,0.27,0.06,0.0
159,2.646949766016568,1.3446250122031482,0.8045045499438107,0.0,0.0291383819359838,0.5269585858055924,0.0,16.29046210701826,0.27,0.06,0.0
160,2.2326519232445396,1.0154608092158155,0.8907570255422426,0.0,0.0178912321800478,0.344325320666529,0.0,16.204099348169827,0.27,0.06,0.0
161,1.502730538003143,0.7465358067751864,0.33231477905752305,0.0,0.0115033605507476,0.4353833127211808,0.0,16.092256840321372,0.27,0.06,0.0
162,1.7614533403113533,0.6583284059746606,0.3554281875512202,0.0,0.0084894184592877,0.7561861652447603,0.0,15.895276717930516,0.27,0.06,0.0
163,1.452832812822177,0.5658182051350836,0.0602750183139487,0.0,0.0,0.8267395893731442,0.0,15.677713668095478,0.27,0.06,0.0
164,1.7011205647076366,0.4969734045102824,0.078314751772444,0.0,0.0,1.1258324084249098,0.0,15.38144198166787,0.27,0.06,0.0
165,2.3519311073735216,0.4044632036707061,0.3999982228187947,0.0,0.0007488048353394,1.54821848571936,0.0,14.974193905521696,0.27,0.06,0.0
166,3.0028667092184027,0.273227802479679,0.7633000070307456,0.0,0.0,1.9663388997079778,0.0,14.456736300335386,0.27,0.06,0.0
167,2.041392405310596,0.16565780150342738,0.7825637439433396,0.0,0.0,1.093170859863828,0.0,14.169059758265956,0.27,0.06,0.0
168,2.1502735801537107,0.06669340060527561,0.7859561991287892,0.0,0.0,1.297623980419645,0.0,13.827579763418683,0.27,0.06,0.0
169,2.841272747772405,0.0,1.3223485275771099,0.0,0.0,1.5189242201952946,0.0,13.42786286336729,0.27,0.06,0.0
170,2.6676093840483484,0.0,1.3695848277287048,0.0,0.0,1.2980245563196438,0.0,13.086277453809489,0.27,0.06,0.0
171,1.893721164419364,0.0,0.707907282135215,0.0,0.0,1.1858138822841486,0.0,12.774221168997872,0.27,0.06,0.0
172,1.7022567797976755,0.0,0.7055890475173201,0.0,0.0,0.9966677322803557,0.0,12.51194018681883,0.27,0.06,0.0
173,1.4418233127762166,0.0,0.6118992374987673,0.0,0.0,0.8299240752774493,0.0,12.293539114377396,0.27,0.06,0.0
174,1.4815847262234183,0.0,0.6116828487583222,0.0,0.0,0.8699018774650961,0.0,12.064617567676056,0.27,0.06,0.0
175,1.817285480997592,0.0,0.8389575160007698,0.0,0.0,0.9783279649968223,0.0,11.807162840045315,0.27,0.06,0.0
176,1.9680941845868265,0.0,0.6445556874360798,0.0,0.0,1.3235384971507465,0.0,11.45886323553196,0.27,0.06,0.0
177,2.1743593376144403,0.0,0.5458015723700299,0.0,0.0,1.6285577652444108,0.0,11.030295402572904,0.27,0.06,0.0
178,2.049781088647092,0.0,1.632107984600974,0.0,0.0,0.41767310404611824,0.0,10.920381427823925,0.27,0.06,0.0
179,2.4111570623595777,0.0,2.0939410956574034,0.0,0.0,0.3172159667021744,0.0,10.836903541849669,0.27,0.06,0.0
180,2.69272650951223,0.0,2.3168011398469157,0.0,0.0,0.3759253696653142,0.0,10.737975812990374,0.27,0.06,0.0
181,2.6696267570190813,0.0,2.252981960990498,0.0,0.0,0.4166447960285835,0.0,10.628332445614433,0.27,0.06,0.0
182,2.048213266333828,0.0,1.714949736277893,0.0,0.0,0.333263530055935,0.0,10.540631516652345,0.27,0.06,0.0
183,1.5137288901920494,0.0,1.1211630063970874,0.0,0.0,0.392565883794962,0.0,10.437324705127354,0.27,0.06,0.0
184,1.234447848185736,0.0,0.8647733459870256,0.0,0.0,0.36967450219871045,0.0,10.34004194139085,0.27,0.06,0.0
185,1.0846912959509358,0.0,0.8122698226915235,0.0,0.0,0.27242147325941246,0.0,10.268352080006796,0.27,0.06,0.0
186,1.0344969485305144,0.0,0.7625544138032104,0.0,0.0,0.27194253472730423,0.0,10.196788255078557,0.27,0.06,0.0
187,0.8762675079309726,0.0,0.7132961904814048,0.0,0.0,0.1629713174495679,0.0,10.15390106627604,0.27,0.06,0.0
188,0.9059762879894235,0.0,0.7458968818291491,0.0,0.0,0.16007940616027438,0.0,10.111774906760179,0.27,0.06,0.0
189,0.9120036566226419,0.0,0.7243098710654601,0.0,0.0,0.187693785557182,0.0,10.062381805297761,0.27,0.06,0.0
190,1.0826587497016704,0.0,0.8575805996393324,0.0,0.0,0.225078150062338,0.0,10.003150713176094,0.27,0.06,0.0
191,1.2213749386344581,0.0,0.9606518515622595,0.0,0.0,0.2607230870721985,0.0,9.934539374472884,0.27,0.06,0.0
192,1.2179172458783663,0.0,1.0050331717270344,0.0,0.0,0.21288407415133198,0.0,9.878517249696216,0.27,0.06,0.0
