t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.1722983996719955,0.0,0.0,0.0,0.0,0.1722983996719955,0.0,4.954658315875791,0.27,0.06
2,0.13974173008711724,0.0,0.0,0.0,0.0,0.13974173008711724,0.0,4.9178841763791805,0.27,0.06
3,0.2773180595618275,0.0,0.0,0.0,0.0,0.2773180595618275,0.0,4.844905739652384,0.27,0.06
4,0.3201857282892275,0.0,0.0,0.0,0.0,0.3201857282892275,0.0,4.760646337471008,0.27,0.06
5,0.13924388466330026,0.0,0.0,0.0,0.0,0.13924388466330026,0.0,4.724003209928034,0.27,0.06
6,0.14134119091682776,0.0,0.0,0.0,0.0,0.14134119091682776,0.0,4.6868081596867635,0.27,0.06
7,0.17238919215050325,0.0,0.0,0.0,0.0,0.17238919215050325,0.0,4.641442582805052,0.27,0.06
8,0.1407828171740055,0.0,0.0,0.0,0.0,0.1407828171740055,0.0,4.604394473022419,0.27,0.06
9,0.13922723937557374,0.0,0.0,0.0,0.0,0.13922723937557374,0.0,4.56775572581832,0.27,0.06
10,0.16824451550662775,0.0,0.0,0.0,0.0,0.16824451550662775,0.0,4.523480853316576,0.27,0.06
11,0.14828378910671475,0.0,0.0,0.0,0.0,0.14828378910671475,0.0,4.484458803551651,0.27,0.06
12,0.171298169200436,0.0,0.0,0.0,0.0,0.171298169200436,0.0,4.439380337972589,0.27,0.06
13,0.322994242291065,0.0,0.0,0.0,0.0,0.322994242291065,0.0,4.354381853159151,0.27,0.06
14,0.256664283909305,0.0,0.0,0.0,0.0,0.256664283909305,0.0,4.28683862055144,0.27,0.06
15,0.13851754483523876,0.0,0.0,0.0,0.0,0.13851754483523876,0.0,4.250386635068482,0.27,0.06
16,0.508466630594525,0.0,0.0,0.0,0.0,0.508466630594525,0.0,4.116579627017291,0.27,0.06
17,0.6285427098368775,0.0,0.0,0.0,0.0,0.6285427098368775,0.0,3.951173650744429,0.27,0.06
18,0.448593530642635,0.0,0.0,0.0,0.0,0.448593530642635,0.0,3.8331227216279458,0.27,0.06
19,0.3913851899349475,0.0,0.0,0.0,0.0,0.3913851899349475,0.0,3.730126619013486,0.27,0.06
20,0.2312923257903345,0.0,0.0,0.0,0.0,0.2312923257903345,0.0,3.6692602174897138,0.27,0.06
21,0.06013337172361025,0.0,0.0,0.0,0.0,0.06013337172361025,0.0,3.6534356459835005,0.27,0.06
22,0.058202518347347,0.0,0.0,0.0,0.0,0.058202518347347,0.0,3.6381191937868302,0.27,0.06
23,0.09063661808623975,0.0,0.0,0.0,0.0,0.09063661808623975,0.0,3.6142674521851883,0.27,0.06
24,0.06286471211871625,0.0,0.0,0.0,0.0,0.06286471211871625,0.0,3.5977241068907895,0.27,0.06
25,0.05906353368519475,0.0,0.0,0.0,0.0,0.05906353368519475,0.0,3.582181071710475,0.27,0.06
26,0.2152946910772815,0.0,0.0,0.0,0.0,0.2152946910772815,0.0,3.525524574058559,0.27,0.06
27,0.2295324649152605,0.0,0.0,0.0,0.0,0.2295324649152605,0.0,3.4651212938177007,0.27,0.06
28,0.118677875073336,0.0,0.0,0.0,0.0,0.118677875073336,0.0,3.4338902740615596,0.27,0.06
29,0.0756150025171445,0.0,0.0,0.0,0.0,0.0756150025171445,0.0,3.413991589188627,0.27,0.06
30,0.0789516261023015,0.0,0.0,0.0,0.0,0.0789516261023015,0.0,3.393214845477495,0.27,0.06
31,0.0606100322357755,0.0,0.0,0.0,0.0,0.0606100322357755,0.0,3.3772648369943963,0.27,0.06
32,0.0626785875377755,0.0,0.0,0.0,0.0,0.0626785875377755,0.0,3.3607704718528764,0.27,0.06
33,0.08390738222084575,0.0,0.0,0.0,0.0,0.08390738222084575,0.0,3.338689581794759,0.27,0.06
34,0.0568497104175825,0.0,0.0,0.0,0.0,0.0568497104175825,0.0,3.323729131684869,0.27,0.06
35,0.05492793628917,0.0160403361375136,0.0,0.0,0.0,0.0388876001516564,0.0,3.313495552697591,0.27,0.06
36,0.1418117985970925,0.03666362545717398,0.0,0.0,0.0,0.10514817313991853,0.0,3.285824980818665,0.27,0.06
37,0.22534995807200675,0.048579303730755474,0.0,0.0,0.0,0.17677065434125128,0.0,3.239306387570967,0.27,0.06
38,0.105646127991534,0.05912009604969295,0.0,0.0,0.0,0.04652603194184105,0.0,3.227062694954693,0.27,0.06
39,0.078648984507276,0.06828600241398648,0.0,0.0,0.0,0.010362982093289522,0.0,3.2243355944038274,0.27,0.06
40,0.06565506762485225,0.07607702282363588,0.0,0.0,0.010421955198783625,0.0,0.0,3.2268108087635388,0.27,0.06
41,0.05650923862317875,0.08386804323328538,0.0,0.0,0.027358804610106632,0.0,0.0,3.233308524858439,0.27,0.06
42,0.06972559707794625,0.0889092917336468,0.0,0.0,0.01918369465570055,0.0,0.0,3.237864652339168,0.27,0.06
43,0.07331795281090026,0.09624201682508157,0.0,0.0,0.022924064014181317,0.0,0.0,3.243309117542536,0.27,0.06
44,0.05584191390614725,0.18469301324051374,0.0,0.0,0.1288510993343665,0.0,0.0,3.273911253634448,0.27,0.06
45,0.05936617528022025,0.3483044418431524,0.0,0.0,0.28893826656293214,0.0,0.0,3.3425340919431443,0.27,0.06
46,0.08561579402476525,0.43217248507643746,0.0,0.0,0.3465566910516722,0.0,0.0,3.4248413060679166,0.27,0.06
47,0.3005715265156175,0.588909483905857,0.0,0.0,0.28833795739023943,0.0,0.0,3.4933215709480985,0.27,0.06
48,0.3445544295206875,0.6746107084120007,0.0,0.0,0.33005627889131317,0.0,0.0,3.571709937184785,0.27,0.06
49,0.55910310906623,0.7373971670074104,0.0,0.0,0.17829405794118047,0.0,0.0,3.6140547759458155,0.27,0.06
50,0.52025452072077,0.788726242647454,0.0,0.0,0.2684717219266839,0.0,0.0,3.677816809903403,0.27,0.06
51,0.371557625836845,0.7259397840520442,0.0,0.0,0.3543821582151992,0.0,0.0,3.761982572479513,0.27,0.06
52,0.258266771154965,0.8143907804674755,0.0,0.0,0.5561240093125105,0.0,0.0,3.894062024691234,0.27,0.06
53,0.2434706235741645,0.912465978565416,0.0,0.0,0.6689953549912515,0.0,0.0,4.0529484215016565,0.27,0.06
54,0.189011781757284,0.9275897240665008,0.0,0.0,0.7385779423092167,0.0,0.0,4.228360682800095,0.27,0.06
55,0.06579125634261375,0.8849682594725358,0.0,0.0,0.819177003129922,0.0,0.0,4.422915221043452,0.27,0.06
56,0.06998889526561874,0.642530036136973,0.0,0.0,0.5725411408713543,0.0,0.0,4.558893742000398,0.27,0.06
57,0.07646996502309175,0.4518791837596686,0.0,0.0,0.37540921873657684,0.0,0.0,4.648053431450335,0.27,0.06
58,0.05971421311449975,0.33409728697849744,0.0,0.0,0.2743830738639977,0.0,0.0,4.713219411493035,0.27,0.06
59,0.091561188159043,0.30201661470347,0.0,0.0,0.210455426544427,0.0,0.0,4.763202575297337,0.27,0.06
60,0.2653909543018675,0.3125574070224079,0.0,0.0,0.04716645272054043,0.0,0.0,4.7744046078184645,0.27,0.06
61,0.1847248635637465,0.3450963746156496,0.0,0.0,0.16037151105190312,0.0,0.0,4.812492841693292,0.27,0.06
62,0.0556784874448335,0.36526136861709535,0.0,0.0,0.30958288117226185,0.0,0.0,4.886018775971704,0.27,0.06
63,0.06779625690965825,0.27910184879273664,0.0,0.0,0.2113055918830784,0.0,0.0,4.936203854043935,0.27,0.06
64,0.077856063528309,0.2062328931966034,0.0,0.0,0.1283768296682944,0.0,0.0,4.9666933510901545,0.27,0.06
65,0.054560226751214,0.14940427373798384,0.0,0.0,0.09484404698676985,0.0,0.0,4.989218812249512,0.27,0.06
66,0.0591679450354785,0.12740609846367953,0.0,0.0,0.06823815342820103,0.0,0.0,5.00542537368871,0.27,0.06
67,0.085494737386755,0.11228235296259516,0.0,0.0,0.026787615575840154,0.0,0.0,5.011787432387972,0.27,0.06
68,0.094708660747309,0.10036667468901365,0.0,0.0,0.005658013941704648,0.0,0.0,5.013131210699126,0.27,0.06
69,0.22995616314829626,0.08111827132399729,0.0,0.0,0.0,0.14883789182429896,0.0,4.973963344429574,0.27,0.06
70,0.11387495296028,0.057286914776834286,0.0,0.0,0.0,0.05658803818344571,0.0,4.95907175543393,0.27,0.06
71,0.06578066388678774,0.03345555822967124,0.0,0.0,0.0,0.03232510565711651,0.0,4.950565148682058,0.27,0.06
72,0.0598519150402365,0.015123745501084255,0.0,0.0,0.0,0.04472816953915225,0.0,4.938794577750702,0.27,0.06
73,0.07811330888408075,0.0,0.0,0.0,0.0,0.07811330888408075,0.0,4.918238443833839,0.27,0.06
74,0.0740548850947875,0.0,0.0,0.0,0.0,0.0740548850947875,0.0,4.898750316177316,0.27,0.06
75,0.05857779392517875,0.0,0.0,0.0,0.0,0.05857779392517875,0.0,4.883335107249637,0.27,0.06
76,0.06898412517013375,0.0,0.0,0.0,0.0,0.06898412517013375,0.0,4.865181390099602,0.27,0.06
77,0.15595877995656374,0.0,0.0,0.0,0.0,0.15595877995656374,0.0,4.824139605900506,0.27,0.06
78,0.2622510477534775,0.0,0.0,0.0,0.0,0.2622510477534775,0.0,4.75512617228117,0.27,0.06
79,0.2306779633524325,0.0,0.0,0.0,0.0,0.2306779633524325,0.0,4.694421445083162,0.27,0.06
80,0.8127031468259025,0.0,0.0,0.0,0.0,0.8127031468259025,0.0,4.480552195918451,0.27,0.06
81,0.79358981689206,0.0,0.0,0.0,0.0,0.79358981689206,0.0,4.27171277042054,0.27,0.06
82,1.0063922544343076,0.0,0.0,0.0,0.0,1.0063922544343076,0.0,4.006872703464143,0.27,0.06
83,0.60123838513367,0.0,0.0,0.0,0.0,0.60123838513367,0.0,3.8486520757973883,0.27,0.06
84,0.56193583439567,0.0,0.0,0.0,0.0,0.56193583439567,0.0,3.700774224640633,0.27,0.06
85,0.486836835798045,0.0,0.0,0.0,0.0,0.486836835798045,0.0,3.572659267851674,0.27,0.06
86,0.7442365387832625,0.0,0.0,0.0,0.0,0.7442365387832625,0.0,3.3768075471192365,0.27,0.06
87,1.06107051140758,0.0,0.0,0.0,0.0,1.06107051140758,0.0,3.0975784651698732,0.27,0.06
88,1.3439602027338275,0.0,0.0,0.0,0.0,1.3439602027338275,0.0,2.7439047276083395,0.27,0.06
89,0.76466484644749,0.0,0.0,0.0,0.0,0.76466484644749,0.0,2.5426771364379475,0.27,0.06
90,0.4134296037166125,0.0,0.0,0.0,0.0,0.4134296037166125,0.0,2.433879872301997,0.27,0.06
91,0.39571750436774,0.0,0.0,0.0,0.0,0.39571750436774,0.0,2.3297436869420656,0.27,0.06
92,0.8987365862518025,0.0,0.0,0.0,0.0,0.8987365862518025,0.0,2.0932340589810647,0.27,0.06
93,1.258365593620715,0.0,0.0,0.0,0.0,1.258365593620715,0.0,1.7620852185545608,0.27,0.06
94,0.6390141090247625,0.0,0.0,0.0,0.0,0.6390141090247625,0.0,1.5939236109164654,0.27,0.06
95,0.54595938459427,0.0,0.0,0.0,0.0,0.54595938459427,0.0,1.4502500886548155,0.27,0.06
96,0.3302591537796525,0.0,0.0,0.0,0.0,0.3302591537796525,0.0,1.363339785028591,0.27,0.06
97,0.411205187993175,0.0,0.0,0.0,0.0,0.411205187993175,0.0,1.2551278934514398,0.27,0.06
98,0.337297084071975,0.0,0.0,0.0,0.0,0.337297084071975,0.0,1.1663655029061832,0.27,0.06
99,0.0994313828376835,0.0,0.0,0.0,0.0,0.0994313828376835,0.0,1.1401993495278455,0.27,0.06
100,0.09155210891119225,0.0,0.0,0.0,0.0,0.09155210891119225,0.0,1.116106689288058,0.27,0.06
101,0.070632008655048,0.0,0.0,0.0,0.0,0.070632008655048,0.0,1.0975193185893612,0.27,0.06
102,0.07306524707905375,0.0,0.0,0.0,0.0,0.07306524707905375,0.0,1.0782916219896104,0.27,0.06
103,0.0924902978557715,0.0,0.0,0.0,0.0,0.0924902978557715,0.0,1.0539520699223022,0.27,0.06
104,0.1834734405683155,0.0,0.0,0.0,0.0,0.1834734405683155,0.0,1.005669585562219,0.27,0.06
105,0.21698948400942475,0.0,0.19544505887299224,0.0,0.0,0.02154442513643251,0.0,1.0,0.27,0.06
106,0.0889206402424445,0.0,0.0889206402424445,0.0,0.0,0.0,0.0,1.0,0.27,0.06
107,0.06527071279916975,0.0,0.06527071279916975,0.0,0.0,0.0,0.0,1.0,0.27,0.06
108,0.059137680875976,0.0,0.059137680875976,0.0,0.0,0.0,0.0,1.0,0.27,0.06
109,0.07682405568927175,0.0,0.07682405568927175,0.0,0.0,0.0,0.0,1.0,0.27,0.06
110,0.07641094991206175,0.0,0.07641094991206175,0.0,0.0,0.0,0.0,1.0,0.27,0.06
111,0.05872608830674125,0.0,0.05872608830674125,0.0,0.0,0.0,0.0,1.0,0.27,0.06
112,0.0656005921377475,0.0,0.0656005921377475,0.0,0.0,0.0,0.0,1.0,0.27,0.06
113,0.224063731293148,0.0,0.224063731293148,0.0,0.0,0.0,0.0,1.0,0.27,0.06
114,0.22290007436027476,0.0,0.22290007436027476,0.0,0.0,0.0,0.0,1.0,0.27,0.06
115,0.06007133019663,0.0,0.06007133019663,0.0,0.0,0.0,0.0,1.0,0.27,0.06
116,0.08661602449632474,0.0,0.08661602449632474,0.0,0.0,0.0,0.0,1.0,0.27,0.06
117,0.06548558833163776,0.0,0.06548558833163776,0.0,0.0,0.0,0.0,1.0,0.27,0.06
118,0.0585293712699745,0.0,0.0585293712699745,0.0,0.0,0.0,0.0,1.0,0.27,0.06
119,0.07515650050068075,0.0,0.07515650050068075,0.0,0.0,0.0,0.0,1.0,0.27,0.06
120,0.077418746423497,0.0,0.077418746423497,0.0,0.0,0.0,0.0,1.0,0.27,0.06
121,0.058250941002551,0.0,0.058250941002551,0.0,0.0,0.0,0.0,1.0,0.27,0.06
122,0.0636122368584295,0.0,0.0636122368584295,0.0,0.0,0.0,0.0,1.0,0.27,0.06
123,0.228058600347486,0.0,0.228058600347486,0.0,0.0,0.0,0.0,1.0,0.27,0.06
124,0.19560936852884175,0.0,0.19560936852884175,0.0,0.0,0.0,0.0,1.0,0.27,0.06
125,0.060815828520393,0.0,0.060815828520393,0.0,0.0,0.0,0.0,1.0,0.27,0.06
126,0.11026746514757475,0.0,0.11026746514757475,0.0,0.0,0.0,0.0,1.0,0.27,0.06
127,0.10359573118523575,0.0,0.10359573118523575,0.0,0.0,0.0,0.0,1.0,0.27,0.06
128,0.2719416316261975,0.0,0.2719416316261975,0.0,0.0,0.0,0.0,1.0,0.27,0.06
129,0.4492790138553675,0.0,0.4492790138553675,0.0,0.0,0.0,0.0,1.0,0.27,0.06
130,0.3694981497826975,0.0,0.3694981497826975,0.0,0.0,0.0,0.0,1.0,0.27,0.06
131,0.3692651157545275,0.02062328931966034,0.34864182643486713,0.0,0.0,0.0,0.0,1.0,0.27,0.06
132,0.3651113598628,0.03758021609360328,0.32753114376919673,0.0,0.0,0.0,0.0,1.0,0.27,0.06
133,0.66226000993868,0.049495894367184844,0.6127641155714951,0.0,0.0,0.0,0.0,1.0,0.27,0.06
134,0.5262150469348,0.06141157264076635,0.4648034742940337,0.0,0.0,0.0,0.0,1.0,0.27,0.06
135,0.665333335336165,0.06966088836863052,0.5956724469675345,0.0,0.0,0.0,0.0,1.0,0.27,0.06
136,0.739896658310595,0.07745190877827991,0.6624447495323151,0.0,0.0,0.0,0.0,1.0,0.27,0.06
137,0.2941313133734725,0.08478463386971474,0.20934667950375774,0.0,0.0,0.0,0.0,1.0,0.27,0.06
138,0.69620429123675,0.09165906364293479,0.6045452275938152,0.0,0.0,0.0,0.0,1.0,0.27,0.06
139,0.634466919059505,0.10082497000722834,0.5336419490522767,0.0,0.0,0.0,0.0,1.0,0.27,0.06
140,0.4232412442273425,0.2002750540598127,0.2229661901675298,0.0,0.0,0.0,0.0,1.0,0.27,0.06
141,0.394243639799965,0.3588452341620897,0.03539840563787533,0.0,0.0,0.0,0.0,1.0,0.27,0.06
142,0.2655604335950825,0.43813032421322873,0.0,0.0,0.1725698906181462,0.0,0.0,1.0409853490218097,0.27,0.06
143,0.287185688767635,0.5857014166783545,0.0,0.0,0.2985157279107195,0.0,0.0,1.1118828344006055,0.27,0.06
144,0.569848398897615,0.6764438896848588,0.0,0.0,0.10659549078724384,0.0,0.0,1.137199263462576,0.27,0.06
145,0.740713790617165,0.7309810325524054,0.0,0.0,0.0,0.009732758064759595,0.0,1.134638011340271,0.27,0.06
146,0.3042834256786075,0.7951423771024598,0.0,0.0,0.49085895142385233,0.0,0.0,1.2512170123034358,0.27,0.06
147,0.281903079726465,0.7341890997799084,0.0,0.0,0.4522860200534434,0.0,0.0,1.3586349420661286,0.27,0.06
