t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.49050295651153,0.0,0.49050295651153,0.0,0.0,0.0,0.0,0.0,0.27,0.06
2,0.49050295651153,0.0,0.49050295651153,0.0,0.0,0.0,0.0,0.0,0.27,0.06
3,0.41913879685514,0.0,0.41913879685514,0.0,0.0,0.0,0.0,0.0,0.27,0.06
4,0.41913879685514,0.0,0.41913879685514,0.0,0.0,0.0,0.0,0.0,0.27,0.06
5,0.289979719167165,0.0,0.289979719167165,0.0,0.0,0.0,0.0,0.0,0.27,0.06
6,0.289979719167165,0.0,0.289979719167165,0.0,0.0,0.0,0.0,0.0,0.27,0.06
7,0.3166156379121575,0.0,0.3166156379121575,0.0,0.0,0.0,0.0,0.0,0.27,0.06
8,0.3166156379121575,0.0,0.3166156379121575,0.0,0.0,0.0,0.0,0.0,0.27,0.06
9,0.3412412986386575,0.0,0.3412412986386575,0.0,0.0,0.0,0.0,0.0,0.27,0.06
10,0.3412412986386575,0.0,0.3412412986386575,0.0,0.0,0.0,0.0,0.0,0.27,0.06
11,0.161323205983813,0.0,0.161323205983813,0.0,0.0,0.0,0.0,0.0,0.27,0.06
12,0.161323205983813,0.0,0.161323205983813,0.0,0.0,0.0,0.0,0.0,0.27,0.06
13,0.14071806129429176,0.0,0.14071806129429176,0.0,0.0,0.0,0.0,0.0,0.27,0.06
14,0.14071806129429176,0.0,0.14071806129429176,0.0,0.0,0.0,0.0,0.0,0.27,0.06
15,0.101518029933739,0.0,0.101518029933739,0.0,0.0,0.0,0.0,0.0,0.27,0.06
16,0.101518029933739,0.0,0.101518029933739,0.0,0.0,0.0,0.0,0.0,0.27,0.06
17,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,0.0,0.27,0.06
18,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,0.0,0.27,0.06
19,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,0.0,0.27,0.06
20,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,0.0,0.27,0.06
21,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
22,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
23,0.08242057875808526,0.0,0.08242057875808526,0.0,0.0,0.0,0.0,0.0,0.27,0.06
24,0.08242057875808526,0.0,0.08242057875808526,0.0,0.0,0.0,0.0,0.0,0.27,0.06
25,0.052266708480737,0.0,0.052266708480737,0.0,0.0,0.0,0.0,0.0,0.27,0.06
26,0.052266708480737,0.0,0.052266708480737,0.0,0.0,0.0,0.0,0.0,0.27,0.06
27,0.16886167355315,0.0,0.16886167355315,0.0,0.0,0.0,0.0,0.0,0.27,0.06
28,0.16886167355315,0.0,0.16886167355315,0.0,0.0,0.0,0.0,0.0,0.27,0.06
29,0.0859385302904425,0.0,0.0859385302904425,0.0,0.0,0.0,0.0,0.0,0.27,0.06
30,0.0859385302904425,0.0,0.0859385302904425,0.0,0.0,0.0,0.0,0.0,0.27,0.06
31,0.0829231432627075,0.0,0.0829231432627075,0.0,0.0,0.0,0.0,0.0,0.27,0.06
32,0.0829231432627075,0.0,0.0829231432627075,0.0,0.0,0.0,0.0,0.0,0.27,0.06
33,0.1085539329984535,0.0,0.1085539329984535,0.0,0.0,0.0,0.0,0.0,0.27,0.06
34,0.1085539329984535,0.0,0.1085539329984535,0.0,0.0,0.0,0.0,0.0,0.27,0.06
35,0.1256411261556175,0.009034542116359913,0.1166065840392576,0.0,0.0,0.0,0.0,0.0,0.27,0.06
36,0.1256411261556175,0.02065038198025125,0.10499074417536626,0.0,0.0,0.0,0.0,0.0,0.27,0.06
37,0.12815394867873,0.027361756123832882,0.10079219255489713,0.0,0.0,0.0,0.0,0.0,0.27,0.06
38,0.12815394867873,0.03329874094315509,0.09485520773557492,0.0,0.0,0.0,0.0,0.0,0.27,0.06
39,0.08242057875808526,0.038461336438217926,0.04395924231986733,0.0,0.0,0.0,0.0,0.0,0.27,0.06
40,0.08242057875808526,0.042849542609021275,0.03957103614906398,0.0,0.0,0.0,0.0,0.0,0.27,0.06
41,0.08744622380430975,0.04723774877982468,0.04020847502448507,0.0,0.0,0.0,0.0,0.0,0.27,0.06
42,0.08744622380430975,0.05007717630210923,0.03736904750220052,0.0,0.0,0.0,0.0,0.0,0.27,0.06
43,0.273395090514625,0.054207252698159465,0.21918783781646556,0.0,0.0,0.0,0.0,0.0,0.27,0.06
44,0.273395090514625,0.10402629922551557,0.16936879128910945,0.0,0.0,0.0,0.0,0.0,0.27,0.06
45,0.17388731859937476,0.19617862881238665,0.0,0.022291310213011895,0.0,0.0,0.0,0.0,0.27,0.06
46,0.17388731859937476,0.24341637759221119,0.0,0.06952905899283643,0.0,0.0,0.0,0.0,0.27,0.06
47,1.6981654108628774,0.3316967605577857,1.3664686503050918,0.0,0.0,0.0,0.0,0.0,0.27,0.06
48,1.6981654108628774,0.3799670284366227,1.3181983824262546,0.0,0.0,0.0,0.0,0.0,0.27,0.06
49,1.582073060551535,0.4153308075778026,1.1667422529737324,0.0,0.0,0.0,0.0,0.0,0.27,0.06
50,1.582073060551535,0.44424134235015433,1.1378317182013806,0.0,0.0,0.0,0.0,0.0,0.27,0.06
51,1.646903881647835,0.40887756320897445,1.2380263184388605,0.0,0.0,0.0,0.0,0.0,0.27,0.06
52,1.646903881647835,0.4586966097363301,1.1882072719115049,0.0,0.0,0.0,0.0,0.0,0.27,0.06
53,1.290585698126955,0.5139363815335022,0.7766493165934528,0.0,0.0,0.0,0.0,0.0,0.27,0.06
54,1.290585698126955,0.5224546641003561,0.7681310340265989,0.0,0.0,0.0,0.0,0.0,0.27,0.06
55,1.07850337666337,0.49844859504831396,0.5800547816150561,0.0,0.0,0.0,0.0,0.0,0.27,0.06
56,1.07850337666337,0.36189794420390264,0.7166054324594674,0.0,0.0,0.0,0.0,0.0,0.27,0.06
57,1.321242032396025,0.2545159579065963,1.0667260744894287,0.0,0.0,0.0,0.0,0.0,0.27,0.06
58,1.321242032396025,0.18817660579503928,1.1330654266009856,0.0,0.0,0.0,0.0,0.0,0.27,0.06
59,1.2152009721771324,0.17010752156231934,1.045093450614813,0.0,0.0,0.0,0.0,0.0,0.27,0.06
60,1.2152009721771324,0.1760445063816418,1.0391564657954906,0.0,0.0,0.0,0.0,0.0,0.27,0.06
61,1.21469845792896,0.19437172038911465,1.0203267375398453,0.0,0.0,0.0,0.0,0.0,0.27,0.06
62,1.21469845792896,0.20572943047825287,1.008969027450707,0.0,0.0,0.0,0.0,0.0,0.27,0.06
63,0.90964170311022,0.15720103282466252,0.7524406702855575,0.0,0.0,0.0,0.0,0.0,0.27,0.06
64,0.90964170311022,0.11615839863891315,0.7934833044713068,0.0,0.0,0.0,0.0,0.0,0.27,0.06
65,0.1266462551648625,0.08415030656952378,0.042495948595338714,0.0,0.0,0.0,0.0,0.0,0.27,0.06
66,0.1266462551648625,0.07176007738137306,0.054886177783489434,0.0,0.0,0.0,0.0,0.0,0.27,0.06
67,0.20152836635361074,0.06324179481451937,0.13828657153909135,0.0,0.0,0.0,0.0,0.0,0.27,0.06
68,0.20152836635361074,0.05653042067093774,0.144997945682673,0.0,0.0,0.0,0.0,0.0,0.27,0.06
69,0.16584628652541525,0.045688970131305816,0.12015731639410943,0.0,0.0,0.0,0.0,0.0,0.27,0.06
70,0.16584628652541525,0.03226622184414255,0.1335800646812727,0.0,0.0,0.0,0.0,0.0,0.27,0.06
71,0.2904822836717875,0.018843473556979254,0.2716388101148083,0.0,0.0,0.0,0.0,0.0,0.27,0.06
72,0.2904822836717875,0.008518282566853635,0.2819640011049339,0.0,0.0,0.0,0.0,0.0,0.27,0.06
73,0.34375412116177,0.0,0.34375412116177,0.0,0.0,0.0,0.0,0.0,0.27,0.06
74,0.34375412116177,0.0,0.34375412116177,0.0,0.0,0.0,0.0,0.0,0.27,0.06
75,0.0507590149668695,0.0,0.0507590149668695,0.0,0.0,0.0,0.0,0.0,0.27,0.06
76,0.0507590149668695,0.0,0.0507590149668695,0.0,0.0,0.0,0.0,0.0,0.27,0.06
77,0.0201025801848988,0.0,0.0201025801848988,0.0,0.0,0.0,0.0,0.0,0.27,0.06
78,0.0201025801848988,0.0,0.0201025801848988,0.0,0.0,0.0,0.0,0.0,0.27,0.06
79,0.0914667398412895,0.0,0.0914667398412895,0.0,0.0,0.0,0.0,0.0,0.27,0.06
80,0.0914667398412895,0.0,0.0914667398412895,0.0,0.0,0.0,0.0,0.0,0.27,0.06
81,0.07940519173035025,0.0,0.07940519173035025,0.0,0.0,0.0,0.0,0.0,0.27,0.06
82,0.07940519173035025,0.0,0.07940519173035025,0.0,0.0,0.0,0.0,0.0,0.27,0.06
83,0.108051368493831,0.0,0.108051368493831,0.0,0.0,0.0,0.0,0.0,0.27,0.06
84,0.108051368493831,0.0,0.108051368493831,0.0,0.0,0.0,0.0,0.0,0.27,0.06
85,0.14875909336825124,0.0,0.14875909336825124,0.0,0.0,0.0,0.0,0.0,0.27,0.06
86,0.14875909336825124,0.0,0.14875909336825124,0.0,0.0,0.0,0.0,0.0,0.27,0.06
87,0.11558983606316825,0.0,0.11558983606316825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
88,0.11558983606316825,0.0,0.11558983606316825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
89,0.1201129166047705,0.0,0.1201129166047705,0.0,0.0,0.0,0.0,0.0,0.27,0.06
90,0.1201129166047705,0.0,0.1201129166047705,0.0,0.0,0.0,0.0,0.0,0.27,0.06
91,0.03920003136055275,0.0,0.03920003136055275,0.0,0.0,0.0,0.0,0.0,0.27,0.06
92,0.03920003136055275,0.0,0.03920003136055275,0.0,0.0,0.0,0.0,0.0,0.27,0.06
93,0.020605144689521276,0.0,0.020605144689521276,0.0,0.0,0.0,0.0,0.0,0.27,0.06
94,0.020605144689521276,0.0,0.020605144689521276,0.0,0.0,0.0,0.0,0.0,0.27,0.06
95,0.04774362793913475,0.0,0.04774362793913475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
96,0.04774362793913475,0.0,0.04774362793913475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
97,0.10704623948458625,0.0,0.10704623948458625,0.0,0.0,0.0,0.0,0.0,0.27,0.06
98,0.10704623948458625,0.0,0.10704623948458625,0.0,0.0,0.0,0.0,0.0,0.27,0.06
99,0.11558983606316825,0.0,0.11558983606316825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
100,0.11558983606316825,0.0,0.11558983606316825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
101,0.08845135281355475,0.0,0.08845135281355475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
102,0.08845135281355475,0.0,0.08845135281355475,0.0,0.0,0.0,0.0,0.0,0.27,0.06
103,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
104,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
105,0.08995904632742226,0.0,0.08995904632742226,0.0,0.0,0.0,0.0,0.0,0.27,0.06
106,0.08995904632742226,0.0,0.08995904632742226,0.0,0.0,0.0,0.0,0.0,0.27,0.06
107,0.05578466001309425,0.0,0.05578466001309425,0.0,0.0,0.0,0.0,0.0,0.27,0.06
108,0.05578466001309425,0.0,0.05578466001309425,0.0,0.0,0.0,0.0,0.0,0.27,0.06
109,0.06282056307780876,0.0,0.06282056307780876,0.0,0.0,0.0,0.0,0.0,0.27,0.06
110,0.06282056307780876,0.0,0.06282056307780876,0.0,0.0,0.0,0.0,0.0,0.27,0.06
111,0.05327183748998175,0.0,0.05327183748998175,0.0,0.0,0.0,0.0,0.0,0.27,0.06
112,0.05327183748998175,0.0,0.05327183748998175,0.0,0.0,0.0,0.0,0.0,0.27,0.06
113,0.03015387027734825,0.0,0.03015387027734825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
114,0.03015387027734825,0.0,0.03015387027734825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
115,0.1417231903035365,0.0,0.1417231903035365,0.0,0.0,0.0,0.0,0.0,0.27,0.06
116,0.1417231903035365,0.0,0.1417231903035365,0.0,0.0,0.0,0.0,0.0,0.27,0.06
117,0.110061626512321,0.0,0.110061626512321,0.0,0.0,0.0,0.0,0.0,0.27,0.06
118,0.110061626512321,0.0,0.110061626512321,0.0,0.0,0.0,0.0,0.0,0.27,0.06
119,0.12865651318335225,0.0,0.12865651318335225,0.0,0.0,0.0,0.0,0.0,0.27,0.06
120,0.12865651318335225,0.0,0.12865651318335225,0.0,0.0,0.0,0.0,0.0,0.27,0.06
121,0.142225754808159,0.0,0.142225754808159,0.0,0.0,0.0,0.0,0.0,0.27,0.06
122,0.142225754808159,0.0,0.142225754808159,0.0,0.0,0.0,0.0,0.0,0.27,0.06
123,0.12162061011863776,0.0,0.12162061011863776,0.0,0.0,0.0,0.0,0.0,0.27,0.06
124,0.12162061011863776,0.0,0.12162061011863776,0.0,0.0,0.0,0.0,0.0,0.27,0.06
125,0.14021549678966924,0.0,0.14021549678966924,0.0,0.0,0.0,0.0,0.0,0.27,0.06
126,0.14021549678966924,0.0,0.14021549678966924,0.0,0.0,0.0,0.0,0.0,0.27,0.06
127,0.090964175336667,0.0,0.090964175336667,0.0,0.0,0.0,0.0,0.0,0.27,0.06
128,0.090964175336667,0.0,0.090964175336667,0.0,0.0,0.0,0.0,0.0,0.27,0.06
129,0.07086159515176825,0.0,0.07086159515176825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
130,0.07086159515176825,0.0,0.07086159515176825,0.0,0.0,0.0,0.0,0.0,0.27,0.06
131,0.100512900924494,0.011615839863891317,0.08889706106060268,0.0,0.0,0.0,0.0,0.0,0.27,0.06
