t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,2.6427323736526565,0.0,0.0,0.0,0.0,2.6427323736526565,0.0,39.304544112196666,0.27,0.06,0.0
2,2.625221044883487,0.0,0.0,0.0,0.0,2.625221044883487,0.0,38.61369646880628,0.27,0.06,0.0
3,2.6828617319826225,0.0,0.0,0.0,0.0,2.6828617319826225,0.0,37.90768022354769,0.27,0.06,0.0
4,2.6794866410779665,0.0,0.0,0.0,0.0,2.6794866410779665,0.0,37.20255216010612,0.27,0.06,0.0
5,2.2594126037955813,0.0,0.0,0.0,0.0,2.2594126037955813,0.0,36.60796989594939,0.27,0.06,0.0
6,2.2466100208717044,0.0,0.0,0.0,0.0,2.2466100208717044,0.0,36.0167567325621,0.27,0.06,0.0
7,2.215036367493065,0.0,0.0,0.0,0.0,2.215036367493065,0.0,35.43385242532709,0.27,0.06,0.0
8,2.1813920830195213,0.0,0.5147446724651961,0.0,0.0,1.666647410554325,0.0,34.995261001497,0.27,0.06,0.0
9,2.2483871404628006,0.0,0.0,0.0,0.0,2.2483871404628006,0.0,34.40358017505942,0.27,0.06,0.0
10,2.320719658729116,0.0,0.0,0.0,0.0,2.320719658729116,0.0,33.79286447539386,0.27,0.06,0.0
11,1.891707756916766,0.0,0.0,0.0,0.0,1.891707756916766,0.0,33.2950466446263,0.27,0.06,0.0
12,1.977282653489675,0.0,0.0,0.0,0.0,1.9772826534896752,0.0,32.77470910423427,0.27,0.06,0.0
13,2.0835329596640744,0.0,0.69343041718584,0.0,0.0,1.390102542478234,0.0,32.408892645687374,0.27,0.06,0.0
14,1.9793472518579645,0.0,0.6854192079902575,0.0,0.0,1.293928043867707,0.0,32.068385265722185,0.27,0.06,0.0
15,1.7384377995400502,0.0,0.67386321596477,0.0,0.0,1.0645745835752805,0.0,31.78823405951816,0.27,0.06,0.0
16,2.1918527272711157,0.0,0.65018406666101,0.0,0.0,1.5416686606101058,0.0,31.382531780410243,0.27,0.06,0.0
17,2.3911630643253146,0.0,0.662236328282685,0.0,0.0,1.7289267360426295,0.0,30.927551060399022,0.27,0.06,0.0
18,2.1230862943831155,0.0,0.64830533176116,0.0,0.0,1.4747809626219555,0.0,30.539450807077454,0.27,0.06,0.0
19,2.0179239460767864,0.0,0.648198988276265,0.0,0.0,1.3697249578005213,0.0,30.17899687081416,0.27,0.06,0.0
20,1.8508361227943366,0.0,0.674040455106265,0.0,0.0,1.1767956676880718,0.0,29.86931380036993,0.27,0.06,0.0
21,1.5346150039409607,0.0,0.655182210451175,0.0,0.0,0.879432793489786,0.0,29.637884117872616,0.27,0.06,0.0
22,1.5805441150306285,0.0,0.6811654685943725,0.0,0.0,0.8993786464362564,0.0,29.40120552670518,0.27,0.06,0.0
23,1.5879562510933847,0.0,0.6606057281809276,0.0,0.0,0.9273505229124571,0.0,29.15716591541243,0.27,0.06,0.0
24,1.5053163008050503,0.0,1.1884665957366625,0.0,0.0,0.3168497050683879,0.0,29.073784414078645,0.27,0.06,0.0
25,1.4839322918471132,0.0,0.9669806825100258,0.0,0.0,0.516951609337087,0.0,28.937744516884678,0.27,0.06,0.0
26,1.6336442752007458,0.0,0.635544113573505,0.0,0.0,0.9981001616272409,0.0,28.675086579614344,0.27,0.06,0.0
27,1.9966019759342104,0.0,0.64979414054972,0.0,0.0,1.3468078353844903,0.0,28.320663465039488,0.27,0.06,0.0
28,1.8634403702621332,0.0,1.2295121221045724,0.0,0.0,0.6339282481575605,0.0,28.153840241840125,0.27,0.06,0.0
29,1.571240261484108,0.0,1.1782052141446826,0.0,0.0,0.3930350473394255,0.0,28.050409966224485,0.27,0.06,0.0
30,1.623725316023624,0.0,1.226201999010385,0.0,0.0,0.39752331701323923,0.0,27.945798567010478,0.27,0.06,0.0
31,1.5951245819749904,0.0,1.2185887158937576,0.0,0.0,0.3765358660812329,0.0,27.846710181199626,0.27,0.06,0.0
32,1.6166424023362052,0.0,1.2373240126068525,0.0,0.0,0.3793183897293525,0.0,27.74688955232348,0.27,0.06,0.0
33,1.7001652315337132,0.0,1.2204423848265,0.0,0.0,0.47972284670721344,0.0,27.62064669792685,0.27,0.06,0.0
34,1.6340436141127916,0.0,1.19071747944071,0.0,0.0,0.44332613467208143,0.0,27.50398192564472,0.27,0.06,0.0
35,1.6850236565689483,0.075299000683376,1.2155708768836804,0.0,0.0,0.3941537790018915,0.0,27.40025724696001,0.27,0.06,0.0
36,1.779585526624508,0.17211200156200263,1.1743147796758033,0.0,0.0,0.4331587453867014,0.0,27.286268103437195,0.27,0.06,0.0
37,1.8894549890709855,0.22804840206965346,1.1525772771358715,0.0,0.0,0.5088293098654603,0.0,27.152365653472597,0.27,0.06,0.0
38,2.109430174982026,0.277530602518729,1.5238890018607059,0.0083379368034137,0.022575419471189,0.3389239268771934,0.0,27.06853680852406,0.27,0.06,0.0083379368034137
39,2.103577383032096,0.32055860290923005,1.6654171924482113,0.0356543587935692,0.0410469808279679,0.19430292729619209,0.0,27.02715311718223,0.27,0.06,0.0356543587935692
40,2.1028477978664384,0.3571324032411551,1.675009087562525,0.043452653084335,0.0533122727321275,0.1674712328792207,0.0,26.995743404882635,0.27,0.06,0.043452653084335
41,1.8230427695403884,0.39370620357308084,1.4388574441644435,0.0492573256038187,0.0642493850428842,0.10398583244956688,0.0,26.98363794108043,0.27,0.06,0.0492573256038187
42,1.5341709920954605,0.4173716037878563,1.1275764286504941,0.054303280733138,0.0647220944623209,0.10824833485256871,0.0,26.97052303460666,0.27,0.06,0.054303280733138
43,2.0557108527880246,0.4517940041002567,1.1978335833579574,0.0,0.0708049117524377,0.4768881770822476,0.0,26.86184231244201,0.27,0.06,0.0
44,2.0209484857585482,0.8670142078685885,1.1053224439990237,0.0764124226527652,0.2147343670722618,0.3397586236159629,0.0,26.823431560512212,0.27,0.06,0.0764124226527652
45,1.7925662342925635,1.6350640148390254,0.9728270236581038,0.27965031383023,0.6105862348117428,0.074911744437407,0.0,26.94873217432279,0.27,0.06,0.27965031383023
46,1.8033148778641515,2.0287702184121055,0.871219382250111,0.3635966582543575,0.7841575325710617,0.0510794680273542,0.0,27.121527623038055,0.27,0.06,0.3635966582543575
47,5.439976180263225,2.764549025089671,0.7411333058424042,0.0,0.6329927852742605,2.5672866346054115,0.0,26.5962616635919,0.27,0.06,0.0
48,5.489937777897701,3.166860828740851,0.6532005584756072,0.0015957643616274,0.7313053305466187,2.4027774855894894,0.0,26.13763681496791,0.27,0.06,0.0015957643616274
49,5.524823006600755,3.4616026314157775,1.5722961905059285,0.1104934848617249,0.684188946718162,1.2856066162589357,0.0,25.961814159219013,0.27,0.06,0.1104934848617249
50,5.518576417230887,3.7025594336025813,0.4984698318192362,0.1618704825420649,0.7626201894306952,2.242037823781816,0.0,25.552926500582014,0.27,0.06,0.1618704825420649
51,5.41381192928541,3.4078176309276547,1.9537898430046425,0.0733076841728274,0.8210436406671001,0.9465557801930402,0.0,25.49883073887386,0.27,0.06,0.0733076841728274
52,5.281080512193179,3.8230378346959824,1.916623910235519,0.1618412605326974,1.1359661890776944,0.8392262168720698,0.0,25.547773704339797,0.27,0.06,0.1618412605326974
53,4.462987969881605,4.2834374388743415,1.4882095701826579,0.40135578760531,1.3274048962029426,0.4201016446328602,0.0,25.752479302810926,0.27,0.06,0.40135578760531
54,4.377154020359124,4.354433639518669,1.4733195608030405,0.416493652993265,1.444330028832555,0.4102245018632355,0.0,25.987553868378853,0.27,0.06,0.416493652993265
55,3.789393380597348,4.15435343770284,1.302262236860646,0.4579632746113775,1.5012201151400208,0.2919610957852605,0.0,26.2672617784127,0.27,0.06,0.4579632746113775
56,2.9081916683572118,3.016262827374096,0.958128999860027,0.2152987052104875,1.280331844679317,0.4294303910128925,0.0,26.458332593889065,0.27,0.06,0.2152987052104875
57,3.398381920890103,2.1212804192516823,1.2871149607819974,0.0,0.8268754850430466,0.8168620258994703,0.0,26.439751830560613,0.27,0.06,0.0
58,3.2519780625069474,1.5683706142337492,2.048265561502188,0.0,0.6123700471522039,0.24771193392321372,0.0,26.52000236572684,0.27,0.06,0.0
59,3.52481039021621,1.4177726128669959,2.191144201866941,0.0,0.39257904796627063,0.308472623448544,0.0,26.53206288344816,0.27,0.06,0.0
60,4.253633852496058,1.4672548133160734,2.795290647042019,0.0,0.2651265805098387,0.2562149726478044,0.0,26.52760545351719,0.27,0.06,0.0
61,4.249027991698517,1.6200042147023503,2.8567422958282362,0.0,0.36415835612558334,0.1364398372935125,0.0,26.57818784275662,0.27,0.06,0.0
62,3.9145688720045797,1.714665815561452,2.6584457766639398,0.0,0.5747987369970502,0.1162560167762375,0.0,26.684108854168095,0.27,0.06,0.0
63,2.748346865934439,1.3102026118907457,1.6440297626269422,0.0,0.4067156882972666,0.20083017971401768,0.0,26.727853782845532,0.27,0.06,0.0
64,2.7508230352041716,0.9681300087862651,1.8875597024525794,0.0,0.2592867595919942,0.1544200835573212,0.0,26.748797524154597,0.27,0.06,0.0
65,1.0873237122787753,0.7013564063651611,0.5394030779735917,0.0993044924689667,0.1610776074304181,0.1069463278394072,0.0,26.75890968543527,0.27,0.06,0.0993044924689667
66,1.0566470277019497,0.5980892054279596,0.5227372320942922,0.0772857791773927,0.1203564089651709,0.1334627783222616,0.0,26.752372548795485,0.27,0.06,0.0772857791773927
67,1.2731571392952976,0.5270930047836331,0.5793976586767604,0.0324429493973335,0.082620528551319,0.2817299537835564,0.0,26.697855462804434,0.27,0.06,0.0324429493973335
68,1.3648618265203711,0.4711566042759822,0.8426624825390749,0.0205161463643977,0.067540877560391,0.1390997636301023,0.0,26.677291220269733,0.27,0.06,0.0205161463643977
69,1.5088489546644046,0.38079780345593056,0.7273238059603104,0.0154044868103725,0.0016376115956277,0.41776944365416324,0.0,26.567740825746284,0.27,0.06,0.0154044868103725
70,1.487092948561563,0.268925002440629,0.883607806090039,0.0,0.0179045322081912,0.35246467223908595,0.0,26.47923929103018,0.27,0.06,0.0
71,1.5789748568397959,0.15705220142532722,1.24594431443852,0.0,0.0107055539013638,0.18668389487731202,0.0,26.432654519324565,0.27,0.06,0.0
72,1.4965882145886076,0.0709962006443258,1.205555053451068,0.0,0.0,0.2200369604932132,0.0,26.374750056036874,0.27,0.06,0.0
73,1.6122982620205897,0.0,1.3363147973197975,0.0,0.0,0.2759834647007921,0.0,26.302122828484034,0.27,0.06,0.0
74,1.6266335966430199,0.0,1.35610933342303,0.0,0.0,0.2705242632199899,0.0,26.230932232899825,0.27,0.06,0.0
75,0.938555144840358,0.0,0.70969039139355,0.0,0.0,0.2288647534468077,0.0,26.1707046662033,0.27,0.06,0.0
76,0.9729436121920728,0.0,0.7300807496537375,0.0,0.0,0.2428628625383351,0.0,26.10679338658795,0.27,0.06,0.0
77,1.0579789237270836,0.0,0.7417323829452724,0.0,0.0,0.31624654078181114,0.0,26.023570612698,0.27,0.06,0.0
78,0.6814675825126503,0.0,0.2222416645436704,0.0,0.0,0.45922591796897994,0.0,25.902721686916685,0.27,0.06,0.0
79,0.7961335336511445,0.0,0.2384612677051834,0.0,0.0,0.5576722659459612,0.0,25.755965827457224,0.27,0.06,0.0
80,1.5925518357117188,0.0,0.25196656992946354,0.0,0.0,1.3405852657822555,0.0,25.403180231198736,0.27,0.06,0.0
81,1.5198663432144033,0.0,0.1921195443865747,0.0,0.0,1.3277467988278286,0.0,25.053773178875623,0.27,0.06,0.0
82,1.851334490544231,0.0,0.23733582585316,0.0,0.0,1.6139986646910713,0.0,24.62903668816745,0.27,0.06,0.0
83,1.3392455539707473,0.0,0.1983425758036449,0.0,0.0,1.1409029781671025,0.0,24.328799062334,0.27,0.06,0.0
84,1.279095333849265,0.0,0.2991116734902659,0.0,0.0,0.9799836603589992,0.0,24.07090862539742,0.27,0.06,0.0
85,1.2955404437284255,0.0,0.3917221284815282,0.0,0.0,0.903818315246897,0.0,23.833061700332447,0.27,0.06,0.0
86,1.5814058157490098,0.0,0.2465242038170064,0.0,0.0,1.334881611932004,0.0,23.481777065613496,0.27,0.06,0.0
87,1.9742995209617715,0.0,0.3167791177278134,0.0,0.0,1.657520403233958,0.0,23.045587485815084,0.27,0.06,0.0
88,2.38872513641698,0.0,1.694634980946109,0.0,0.0,0.6940901554708706,0.0,22.8629321817438,0.27,0.06,0.0
89,1.758536165453354,0.0,1.188338666515269,0.0,0.0,0.570197498938085,0.0,22.712880208339044,0.27,0.06,0.0
90,1.3344649774268844,0.0,0.3775080884086997,0.0,0.0,0.9569568890181848,0.0,22.461049448071105,0.27,0.06,0.0
91,0.8885368131681629,0.0,0.226743431951764,0.0,0.0,0.661793381216399,0.0,22.286893295119416,0.27,0.06,0.0
92,1.5265784725382625,0.0,1.0868839829253536,0.0,0.0,0.439694489612909,0.0,22.171184218905495,0.27,0.06,0.0
93,2.053734538159994,0.0,1.5034471075142708,0.0,0.0,0.5502874306457232,0.0,22.02637173715662,0.27,0.06,0.0
94,1.1784409791541206,0.0,0.8419246546983847,0.0,0.0,0.3365163244557362,0.0,21.93781480966827,0.27,0.06,0.0
95,1.345458352051235,0.0,0.7343715911153561,0.0,0.0,0.6110867609358788,0.0,21.777002504158826,0.27,0.06,0.0
96,1.1241590708439613,0.0,0.5875219206598145,0.0,0.0,0.5366371501841465,0.0,21.635782201478786,0.27,0.06,0.0
97,1.3988269361328096,0.0,0.7886856488975862,0.0,0.0,0.6101412872352234,0.0,21.475218704837943,0.27,0.06,0.0
98,1.3135103428685033,0.0,0.3073086866828592,0.0,0.0,1.0062016561856442,0.0,21.210428795315405,0.27,0.06,0.0
99,0.7772612543965131,0.0,0.408388217556341,0.0,0.0,0.3688730368401717,0.0,21.11335694351536,0.27,0.06,0.0
100,0.7050941348258044,0.0,0.33491859228395493,0.0,0.0,0.37017554254184937,0.0,21.015942327056976,0.27,0.06,0.0
101,0.5969179986930807,0.0,0.3809227838995792,0.0,0.0,0.21599521479350137,0.0,20.95910148105869,0.27,0.06,0.0
102,0.6000586720620535,0.0,0.3807903789758117,0.0,0.0,0.21926829308624202,0.0,20.90139929866757,0.27,0.06,0.0
103,0.5640889152494529,0.0,0.1862275252789229,0.0,0.0,0.3778613899705298,0.0,20.801962090780588,0.27,0.06,0.0
104,0.7358622114100568,0.0,0.48434810500306613,0.0,0.0,0.2515141064069906,0.0,20.73577416804191,0.27,0.06,0.0
105,0.7459538275984654,0.0,0.3008800898889754,0.0,0.0,0.4450737377094898,0.0,20.61864950022362,0.27,0.06,0.0
106,0.5537546799621378,0.0,0.2809531488619734,0.0,0.0,0.27280153110016436,0.0,20.546859623618317,0.27,0.06,0.0
107,0.47676084241777783,0.0,0.24845783944962618,0.0,0.0,0.2283030029681521,0.0,20.486779885995116,0.27,0.06,0.0
108,0.42680342431630514,0.0,0.20675028846287818,0.0,0.0,0.2200531358534272,0.0,20.42887116603369,0.27,0.06,0.0
109,0.5076631110936989,0.0,0.3028706898682016,0.0,0.0,0.20479242122549718,0.0,20.374978423605924,0.27,0.06,0.0
110,0.5433201672130535,0.0,0.33908343651860007,0.0,0.0,0.2042367306944533,0.0,20.32123191552844,0.27,0.06,0.0
111,0.4241948587791436,0.0,0.1933773911623654,0.0,0.0,0.2308174676167781,0.0,20.260490476681916,0.27,0.06,0.0
112,0.4522436183296942,0.0,0.212178890337344,0.0,0.0,0.2400647279923504,0.0,20.197315548262875,0.27,0.06,0.0
113,0.6186613853989271,0.0,0.4614657596081917,0.0,0.0,0.15719562579073548,0.0,20.155948278317947,0.27,0.06,0.0
114,0.6869396859156633,0.0,0.5301456999626499,0.0,0.0,0.15679398595301347,0.0,20.114686703067154,0.27,0.06,0.0
115,1.1818048819652691,0.0,1.013035212862337,0.0,0.0,0.168769669102932,0.0,20.07027363225059,0.27,0.06,0.0
116,1.2188356099412858,0.0,1.014359262100012,0.0,0.0,0.2044763478412736,0.0,20.016464067029208,0.27,0.06,0.0
117,1.071791057804062,0.0,0.9110991757700859,0.0,0.0,0.160691882033976,0.0,19.974176729651845,0.27,0.06,0.0
118,0.580678565492272,0.0,0.487873231912181,0.0,0.0,0.0928053335800911,0.0,19.949754273446555,0.27,0.06,0.0
119,0.7352885468537083,0.0,0.48045236623922905,0.0,0.0,0.2548361806144791,0.0,19.88269212065327,0.27,0.06,0.0
120,0.7015892477020504,0.0,0.4437099998937609,0.0,0.0,0.2578792478082895,0.0,19.81482916070372,0.27,0.06,0.0
121,0.7347609810167873,0.0,0.4982162467040091,0.0,0.0,0.23654473431277828,0.0,19.752580546410883,0.27,0.06,0.0
122,0.7041049367441587,0.0,0.4603484385065176,0.0,0.0,0.2437564982376409,0.0,19.688434099506242,0.27,0.06,0.0
123,0.8723540364900517,0.0,0.6361551766830659,0.0,0.0,0.2361988598069859,0.0,19.626276504820193,0.27,0.06,0.0
124,0.8847783358165594,0.0,0.6597794300799382,0.0,0.0,0.22499890573662112,0.0,19.567066266468455,0.27,0.06,0.0
125,0.7099142345760073,0.0,0.4445743378562994,0.0,0.0,0.2653398967197079,0.0,19.497239977858,0.27,0.06,0.0
126,0.7753088167331614,0.0,0.4434488960042759,0.0,0.0,0.3318599207288854,0.0,19.409908419771455,0.27,0.06,0.0
127,0.67293804190736,0.0,0.4060028091249339,0.0,0.0,0.2669352327824261,0.0,19.33966230588134,0.27,0.06,0.0
128,0.845103038800558,0.0,0.6236584220064757,0.0,0.0,0.2214446167940824,0.0,19.281387406725003,0.27,0.06,0.0
129,1.1102079431257388,0.0,0.7676054115285059,0.0,0.0,0.3426025315972327,0.0,19.19122884577836,0.27,0.06,0.0
130,1.0057371696159978,0.0,0.7464575383074128,0.0,0.0,0.2592796313085852,0.0,19.122997363855056,0.27,0.06,0.0
131,0.9968535037233524,0.09681300087862621,0.681448555576201,0.0,0.0,0.2185919472685245,0.0,19.06547316720544,0.27,0.06,0.0
132,1.0307889357107394,0.17641480160105238,0.6210830053149182,0.0,0.0,0.23329112879476832,0.0,19.00408076489103,0.27,0.06,0.0
133,1.3959404382690006,0.23235120210870353,0.8840232750339955,0.0118626534288115,0.0,0.2914286145551126,0.0,18.927389024218627,0.27,0.06,0.0118626534288115
134,1.1830156170965416,0.2882876026163543,0.6969217091074604,0.0237894564617475,0.0,0.2215957618344739,0.0,18.869074350051662,0.27,0.06,0.0237894564617475
135,1.4599771824297698,0.3270128029678051,0.8744652317613353,0.0278598682263955,0.0,0.28635901592702473,0.0,18.793716714281395,0.27,0.06,0.0278598682263955
136,1.536244776374674,0.36358660329973047,0.9106963897111803,0.0356581625171612,0.0,0.2976199458809245,0.0,18.715395675891678,0.27,0.06,0.0356581625171612
137,0.8420212235678066,0.3980090036121311,0.3984470212552441,0.0471843393340447,0.0,0.09274953803447589,0.0,18.690987902724707,0.27,0.06,0.0471843393340447
138,1.4239826788191023,0.43028000390500626,0.8629172632845181,0.0540651872376617,0.0,0.18485059886723937,0.0,18.642343008285962,0.27,0.06,0.0540651872376617
139,1.2850100137823333,0.4733080042955074,0.6766580711684367,0.0722109490799197,0.0088743912397449,0.2161292786380536,0.0,18.587574550248014,0.27,0.06,0.0722109490799197
140,0.9904191462431033,0.9401618085324399,0.37770827329967005,0.1717538820855772,0.1711553870259333,0.015458333522504,0.0,18.624155972160757,0.27,0.06,0.1717538820855772
141,1.0320943961557383,1.6845462152881003,0.2214894434095305,0.3236937930399802,0.5502474695019118,0.0,0.0,18.754839746167463,0.27,0.06,0.2214894434095305
142,0.8141767112921413,2.056738418665933,0.0,0.4030529055283627,0.8550170513008439,0.015508249455415,0.0,18.95382517757367,0.27,0.06,0.0
143,2.788053709569839,2.749489224952997,1.2214256426251908,0.1933053902684724,0.9895557677398759,0.0,0.0,19.18884467241189,0.27,0.06,0.1933053902684724
144,3.179003138898138,3.1754664288189485,1.2776637044036816,0.2841325825962149,1.0324923181236159,0.042497906395339,0.0,19.422877938388527,0.27,0.06,0.2841325825962149
145,3.5604025738591245,3.431483031142429,1.5533983117331118,0.306623332113935,1.1178554369024816,0.0,0.0,19.68836860465287,0.27,0.06,0.306623332113935
146,2.985584355972758,3.732679033875934,1.1697387235783183,0.37084457921436,1.5459888222671347,0.0,0.0,20.055540949941314,0.27,0.06,0.37084457921436
147,2.6183161605098917,3.446542831279106,0.9376430007498078,0.374029035440455,1.3918406360785665,0.0,0.0,20.386103101009972,0.27,0.06,0.374029035440455
148,2.836938183773408,3.799372434481208,0.8671987072023367,0.449259639186665,1.3803733187234717,0.0,0.0,20.713941764206798,0.27,0.06,0.449259639186665
149,1.5888579228392028,4.264074838698617,0.2082619813567325,0.7241812692896068,2.1592976279265397,0.0,0.0,21.22677495083935,0.27,0.06,0.2082619813567325
150,1.6067152555100972,4.384553239792019,0.2009690443132175,0.7498697681297742,2.2289372604653646,0.0,0.0,21.756147550199874,0.27,0.06,0.2009690443132175
151,2.8587194836640606,4.173716037878564,0.66581123958082,0.5571875219074824,1.5022667274854387,0.0786464555975974,0.0,22.09223946229409,0.27,0.06,0.5571875219074824
152,3.5864734607742124,3.1625580287018007,1.594003413440948,0.341587620927485,0.8285003604410517,0.0,0.0,22.28900829789884,0.27,0.06,0.341587620927485
153,1.5981032934338568,2.192276619896011,0.4479373446605527,0.270867827603966,0.7712428435187404,0.0,0.0,22.47217847323454,0.27,0.06,0.270867827603966
154,1.6034926716136113,1.64582101493665,0.5570400919840752,0.1543521364360535,0.4803877438209119,0.0353714449498516,0.0,22.5769622874052,0.27,0.06,0.1543521364360535
155,2.008957516269823,1.482314613452748,0.8483135129736596,0.0730377864535252,0.3772132015967287,0.1285803778936691,0.0,22.632713481233456,0.27,0.06,0.0730377864535252
156,1.730271137652255,1.4973744135894234,0.7959616162844827,0.0762488488085452,0.5194977774160363,0.032681734002931,0.0,22.74749374705321,0.27,0.06,0.0762488488085452
157,3.2300228505405415,1.6931518153662037,1.7126837568238502,0.1048347557333625,0.1140770703779638,0.043099104461814,0.0,22.763245181672758,0.27,0.06,0.1048347557333625
158,3.490240662725082,1.7361798157567014,1.8552640366555113,0.11400921960485,0.1017428768306574,0.114548906748376,0.0,22.75726466577573,0.27,0.06,0.11400921960485
159,2.646949766016568,1.3446250122031485,1.3733189128072796,0.0765742612909134,0.1699488261192371,0.1755289284162907,0.0,22.751435688711606,0.27,0.06,0.0765742612909134
160,2.2326519232445396,1.015460809215816,1.0562543786436216,0.0063896126740202,0.16157411008149458,0.3289004581406174,0.0,22.703256787713688,0.27,0.06,0.0063896126740202
161,1.502730538003143,0.7465358067751866,0.7702177211124088,0.0632837409716722,0.0590118487830462,0.1082725998702659,0.0,22.688779312360122,0.27,0.06,0.0632837409716722
162,1.7614533403113533,0.6583284059746606,0.9457466982127991,0.0444760900351195,0.0304347191327907,0.232289045291804,0.0,22.634878862024735,0.27,0.06,0.0444760900351195
163,1.452832812822177,0.5658182051350839,0.7758423818877191,0.0827653862557242,0.0071081307972165,0.2010457428523145,0.0,22.583660268654253,0.27,0.06,0.0827653862557242
164,1.7011205647076366,0.4969734045102825,0.8459896986902808,0.0680862440613417,0.0,0.42624370556841457,0.0,22.471490872452037,0.27,0.06,0.0680862440613417
165,2.3519311073735216,0.40446320367070626,1.7102867683815963,0.0,0.0100316608543495,0.2472127961755684,0.0,22.408817392911377,0.27,0.06,0.0
166,3.0028667092184027,0.2732278024796791,1.9277150955154374,0.0,0.0025355125917124,0.8044593238149984,0.0,22.19771975509533,0.27,0.06,0.0
167,2.041392405310596,0.1656578015034273,1.2375851566150164,0.0225625065690283,0.0,0.6607119537611795,0.0,22.023848188316073,0.27,0.06,0.0225625065690283
168,2.1502735801537107,0.0666934006052759,1.301091003573164,0.0014612396646033,0.0,0.783950415639874,0.0,21.817545447358214,0.27,0.06,0.0014612396646033
169,2.841272747772405,0.0,2.4293410021625563,0.0,0.0,0.41193174560984824,0.0,21.70914235640825,0.27,0.06,0.0
170,2.6676093840483484,0.0,2.2393738813847563,0.0,0.0,0.4282355026635925,0.0,21.596448803075727,0.27,0.06,0.0
171,1.893721164419364,0.0,1.633467831922486,0.0,0.0,0.2602533324968776,0.0,21.527961083997603,0.27,0.06,0.0
172,1.7022567797976755,0.0,1.3996780254157941,0.0,0.0,0.3025787543818814,0.0,21.44833509600237,0.27,0.06,0.0
173,1.4418233127762166,0.0,1.1625993709369016,0.0,0.0,0.27922394183931487,0.0,21.374855111307813,0.27,0.06,0.0
174,1.4815847262234183,0.0,1.2024354716361114,0.0,0.0,0.2791492545873067,0.0,21.30139478115326,0.27,0.06,0.0
175,1.817285480997592,0.0,1.4228372713708208,0.0,0.0,0.3944482096267713,0.0,21.19759262072516,0.27,0.06,0.0
176,1.9680941845868265,0.0,1.640744375417981,0.0,0.0,0.3273498091688456,0.0,21.111447934101783,0.27,0.06,0.0
177,2.1743593376144403,0.0,1.8520627525887525,0.0,0.0,0.3222965850256879,0.0,21.026633043305544,0.27,0.06,0.0
178,2.049781088647092,0.0,1.7479184943961177,0.0,0.0,0.3018625942509744,0.0,20.94719551850266,0.27,0.06,0.0
179,2.4111570623595777,0.0,2.057059092888686,0.0,0.0,0.3540979694708916,0.0,20.85401184232611,0.27,0.06,0.0
180,2.69272650951223,0.0,2.2799191370781986,0.0,0.0,0.4128073724340314,0.0,20.74537832326452,0.27,0.06,0.0
181,2.6696267570190813,0.0,2.2172961312845496,0.0,0.0,0.4523306257345315,0.0,20.626343948071224,0.27,0.06,0.0
182,2.048213266333828,0.0,1.6792639065719448,0.0,0.0,0.36894935976188303,0.0,20.52925201129178,0.27,0.06,0.0
