t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,2.6427323736526565,0.0,2.6427323736526565,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
2,2.625221044883487,0.0,2.625221044883487,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
3,2.6828617319826225,0.0,2.6828617319826225,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
4,2.6794866410779665,0.0,2.6794866410779665,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
5,2.2594126037955813,0.0,2.2594126037955813,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
6,2.2466100208717044,0.0,2.2466100208717044,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
7,2.215036367493065,0.0,2.215036367493065,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
8,2.1813920830195213,0.0,2.1813920830195213,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
9,2.2483871404628006,0.0,2.2483871404628006,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
10,2.320719658729116,0.0,2.320719658729116,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
11,1.891707756916766,0.0,1.891707756916766,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
12,1.977282653489675,0.0,1.977282653489675,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
13,2.0835329596640744,0.0,2.0835329596640744,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
14,1.9793472518579645,0.0,1.9793472518579645,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
15,1.7384377995400502,0.0,1.7384377995400502,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
16,2.1918527272711157,0.0,2.1918527272711157,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
17,2.3911630643253146,0.0,2.3911630643253146,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
18,2.1230862943831155,0.0,2.1230862943831155,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
19,2.0179239460767864,0.0,2.0179239460767864,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
20,1.8508361227943366,0.0,1.8508361227943366,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
21,1.5346150039409607,0.0,1.5346150039409607,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
22,1.5805441150306285,0.0,1.5805441150306285,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
23,1.5879562510933847,0.0,1.5879562510933847,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
24,1.5053163008050503,0.0,1.5053163008050503,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
25,1.4839322918471132,0.0,1.4839322918471132,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
26,1.6336442752007458,0.0,1.6336442752007458,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
27,1.9966019759342104,0.0,1.9966019759342104,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
28,1.8634403702621332,0.0,1.8634403702621332,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
29,1.571240261484108,0.0,1.571240261484108,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
