t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,2.6427323736526565,0.0,0.0,0.0,0.0,2.6427323736526565,0.0,39.304544112196666,0.27,0.06,0.0
2,2.625221044883487,0.0,0.68343412960551,0.0,0.0,1.9417869152779779,0.0,38.79354755554457,0.27,0.06,0.0
3,2.6828617319826225,0.0,0.41913879685514,0.0,0.0,2.2637229351274826,0.0,38.197830993668916,0.27,0.06,0.0
4,2.6794866410779665,0.0,1.2391114790777125,0.0,0.0,1.4403751620002536,0.0,37.818784898405696,0.27,0.06,0.0
5,2.2594126037955813,0.0,1.271683090324505,0.0,0.0,0.9877295134710761,0.0,37.5588560790712,0.27,0.06,0.0
6,2.2466100208717044,0.0,0.58350766300224,0.0,0.0,1.6631023578694633,0.0,37.12119756384239,0.27,0.06,0.0
7,2.215036367493065,0.0,0.6626262543939725,0.0,0.0,1.5524101130990917,0.0,36.71266858671105,0.27,0.06,0.0
8,2.1813920830195213,0.0,0.5790174864988775,0.0,0.0,1.6023745965206435,0.0,36.29099106131088,0.27,0.06,0.0
9,2.2483871404628006,0.0,0.67457217253075,0.0,0.0,1.5738149679320508,0.0,35.876829227644556,0.27,0.06,0.0
10,2.320719658729116,0.0,0.6924024301651674,0.0,0.0,1.6283172285639484,0.0,35.448324693811934,0.27,0.06,0.0
11,1.891707756916766,0.0,1.26056107672804,0.0,0.0,0.6311466801887259,0.0,35.28223346218333,0.27,0.06,0.0
12,1.977282653489675,0.0,1.3151781077821125,0.0,0.0,0.6621045457075627,0.0,35.10799542383923,0.27,0.06,0.0
13,2.0835329596640744,0.0,1.29505255936946,0.0,0.0,0.788480400294614,0.0,34.90050058165644,0.27,0.06,0.0
14,1.9793472518579645,0.0,1.0479717793120467,0.0,0.0,0.9313754725459178,0.0,34.655401773091725,0.27,0.06,0.0
15,1.7384377995400502,0.0,0.584645584444875,0.0,0.0,1.153792215095175,0.0,34.35177224280351,0.27,0.06,0.0
16,2.1918527272711157,0.0,0.564101489210305,0.0,0.0,1.6277512380608106,0.0,33.92341665384015,0.27,0.06,0.0
17,2.3911630643253146,0.0,0.0,0.0,0.0,2.391163064325314,0.0,33.2941632158598,0.27,0.06,0.0
18,2.1230862943831155,0.0,1.365610288554494,0.0,0.0,0.7574760058286214,0.0,33.09482742485226,0.27,0.06,0.0
19,2.0179239460767864,0.0,1.2105782180058275,0.0,0.0,0.8073457280709602,0.0,32.88236802272833,0.27,0.06,0.0
20,1.8508361227943366,0.0,0.674040455106265,0.0,0.0,1.176795667688071,0.0,32.5726849522841,0.27,0.06,0.0
21,1.5346150039409607,0.0,0.655182210451175,0.0,0.0,0.8794327934897859,0.0,32.34125526978679,0.27,0.06,0.0
22,1.5805441150306285,0.0,0.6811654685943725,0.0,0.0,0.8993786464362559,0.0,32.10457667861935,0.27,0.06,0.0
23,1.5879562510933847,0.0,1.23374907966513,0.0,0.0,0.35420717142825436,0.0,32.0113642650856,0.27,0.06,0.0
24,1.5053163008050503,0.0,1.1884665957366625,0.0,0.0,0.31684970506838767,0.0,31.927982763751814,0.27,0.06,0.0
25,1.4839322918471132,0.0,0.66790798081053,0.0,0.0,0.8160243110365831,0.0,31.713239524005346,0.27,0.06,0.0
26,1.6336442752007458,0.0,1.186943939113335,0.0,0.0,0.44670033608741055,0.0,31.59568680398234,0.27,0.06,0.0
27,1.9966019759342104,0.0,1.2135573287905923,0.0,0.0,0.7830446471436172,0.0,31.389622423155075,0.27,0.06,0.0
28,1.8634403702621332,0.0,1.2295121221045724,0.0,0.0,0.6339282481575605,0.0,31.222799199955716,0.27,0.06,0.0
29,1.571240261484108,0.0,1.1782052141446826,0.0,0.0,0.3930350473394255,0.0,31.11936892434008,0.27,0.06,0.0
30,1.623725316023624,0.0,1.226201999010385,0.0,0.0,0.39752331701323923,0.0,31.014757525126072,0.27,0.06,0.0
31,1.5951245819749904,0.0,0.56610054039331,0.0,0.0,1.0290240415816796,0.0,30.74396172470984,0.27,0.06,0.0
32,1.6166424023362052,0.0,0.6625199109090775,0.0,0.0,0.9541224914271269,0.0,30.492876858544808,0.27,0.06,0.0
33,1.7001652315337132,0.0,1.2204423848265,0.0,0.0,0.47972284670721344,0.0,30.366634004148175,0.27,0.06,0.0
34,1.6340436141127916,0.0,1.19071747944071,0.0,0.0,0.44332613467208143,0.0,30.249969231866043,0.27,0.06,0.0
35,1.6850236565689483,0.0752990006833762,0.0,0.0,0.0,1.609724655885572,0.0,29.82635748031721,0.27,0.06,0.0
36,1.779585526624508,0.17211200156200282,1.2079963219923626,0.0,0.0,0.3994772030701424,0.0,29.72123190056191,0.27,0.06,0.0
37,1.8894549890709855,0.2280484020696536,0.7419286168364321,0.0,0.0,0.9194779701648998,0.0,29.479264013676406,0.27,0.06,0.0
38,2.109430174982026,0.2775306025187292,0.25737357303579966,0.0,0.0,1.574525999427497,0.0,29.06491506645865,0.27,0.06,0.0
39,2.103577383032096,0.3205586029092301,1.2111271892009225,0.0,0.0,0.5718915909219433,0.0,28.914417279373925,0.27,0.06,0.0
40,2.1028477978664384,0.35713240324115547,1.2026166817383397,0.0,0.0,0.5430987128869433,0.0,28.771496565456314,0.27,0.06,0.0
