t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
1,2.6427323736526565,0.0,0.0,-5.273559366969494e-16,0.0,2.6427323736526556,0.0,39.304544112196666,0.27,0.06,-5.273559366969494e-16
2,2.625221044883487,0.0,1.5600889595269876,-4.1633363423443376e-17,0.0,1.0651320853564996,0.0,39.024246194997595,0.27,0.06,-4.1633363423443376e-17
3,2.6828617319826225,0.0,1.1152986968200076,0.0,0.0,1.5675630351626146,0.0,38.6117296067969,0.27,0.06,0.0
4,2.6794866410779665,0.0,1.41258574013638,1.3877787807814457e-17,0.0,1.2669009009415868,0.0,38.27833463286491,0.27,0.06,1.3877787807814457e-17
5,2.2594126037955813,0.0,0.289979719167165,0.0,0.0,1.9694328846284164,0.0,37.760062821120584,0.27,0.06,0.0
6,2.2466100208717044,0.0,0.672551646317705,2.2898349882893854e-16,0.0,1.5740583745539993,0.0,37.34583693308006,0.27,0.06,2.2898349882893854e-16
7,2.215036367493065,0.0,0.6626262543939725,0.0,0.0,1.552410113099092,0.0,36.93730795594872,0.27,0.06,0.0
8,2.1813920830195213,0.0,1.2463937498849225,5.551115123125783e-17,0.0,0.9349983331345987,0.0,36.69125576301856,0.27,0.06,5.551115123125783e-17
9,2.2483871404628006,0.0,0.0,0.0,0.0,2.2483871404627966,0.0,36.09957493658098,0.27,0.06,0.0
10,2.320719658729116,0.0,0.0,0.0,0.0,2.320719658729118,0.0,35.488859236915424,0.27,0.06,0.0
11,1.891707756916766,0.0,0.0,0.0,0.0,1.8917077569167673,0.0,34.99104140614786,0.27,0.06,0.0
12,1.977282653489675,0.0,0.7042065569887475,0.0,0.0,1.2730760965009273,0.0,34.656021380752875,0.27,0.06,0.0
13,2.0835329596640744,0.0,0.69343041718584,0.0,0.0,1.390102542478234,0.0,34.29020492220597,0.27,0.06,0.0
14,1.9793472518579645,0.0,1.28009080298374,-2.7755575615628914e-17,0.0,0.6992564488742246,0.0,34.10619006723907,0.27,0.06,-2.7755575615628914e-17
15,1.7384377995400502,0.0,1.258508800409645,-4.1633363423443376e-17,0.0,0.4799289991304051,0.0,33.97989296220475,0.27,0.06,-4.1633363423443376e-17
16,2.1918527272711157,0.0,0.65018406666101,0.0,0.0,1.5416686606101058,0.0,33.57419068309684,0.27,0.06,0.0
17,2.3911630643253146,0.0,0.5745580646290975,1.1796119636642286e-16,0.0,1.8166049996962172,0.0,33.09613673580836,0.27,0.06,1.1796119636642286e-16
18,2.1230862943831155,0.0,0.562471493630315,0.0,0.0,1.5606148007528005,0.0,32.68544863034709,0.27,0.06,0.0
19,2.0179239460767864,0.0,1.2105782180058275,3.469446951953615e-17,0.0,0.8073457280709591,0.0,32.472989228223156,0.27,0.06,3.469446951953615e-17
20,1.8508361227943366,0.0,0.5847993576127976,0.0,0.0,1.2660367651815392,0.0,32.139821658438535,0.27,0.06,0.0
21,1.5346150039409607,0.0,1.2236201029969198,1.1796119636642288e-16,0.0,0.31099490094404103,0.0,32.05798089503221,0.27,0.06,1.1796119636642288e-16
22,1.5805441150306285,0.0,0.6811654685943725,0.0,0.0,0.8993786464362565,0.0,31.821302303864773,0.27,0.06,0.0
23,1.5879562510933847,0.0,1.2337490796651265,0.0,0.0,0.35420717142825797,0.0,31.72808989033102,0.27,0.06,0.0
24,1.5053163008050503,0.0,1.1884665957366627,0.0,0.0,0.31684970506838944,0.0,31.644708388997238,0.27,0.06,0.0
25,1.4839322918471132,0.0,1.2473867868131774,0.0,0.0,0.2365455050339354,0.0,31.582459571883042,0.27,0.06,0.0
26,1.6336442752007458,0.0,0.635544113573505,-6.938893903907228e-18,0.0,0.9981001616272396,0.0,31.319801634612716,0.27,0.06,-6.938893903907228e-18
27,1.9966019759342104,0.0,1.2135573287905923,-2.775557561562892e-17,0.0,0.7830446471436175,0.0,31.113737253785445,0.27,0.06,-2.775557561562892e-17
28,1.8634403702621332,0.0,1.2295121221045724,-6.938893903907235e-18,0.0,0.6339282481575604,0.0,30.94691403058609,0.27,0.06,-6.938893903907235e-18
29,1.571240261484108,0.0,1.264143744435125,0.0,0.0,0.30709651704898305,0.0,30.866099157678462,0.27,0.06,0.0
30,1.623725316023624,0.0,1.226201999010385,4.163336342344337e-17,0.0,0.39752331701323923,0.0,30.761487758464455,0.27,0.06,4.163336342344337e-17
31,1.5951245819749904,0.0,1.2185887158937576,0.0,0.0,0.3765358660812329,0.0,30.662399372653603,0.27,0.06,0.0
32,1.6166424023362052,0.0,1.2373240126068525,2.0816681711721685e-17,0.0,0.3793183897293525,0.0,30.562578743777454,0.27,0.06,2.0816681711721685e-17
33,1.7001652315337132,0.0,1.2204423848265,0.0,0.0,0.47972284670721344,0.0,30.43633588938082,0.27,0.06,0.0
34,1.6340436141127916,0.0,1.19071747944071,0.0,0.0,0.44332613467208143,0.0,30.319671117098693,0.27,0.06,0.0
35,1.6850236565689483,0.075299000683376,0.0,0.0,0.0,1.6097246558855731,0.0,29.896059365549863,0.27,0.06,0.0
36,1.779585526624508,0.1721120015620023,1.1649683216018618,0.0,0.0,0.4425052034606431,0.0,29.779610627797062,0.27,0.06,0.0
37,1.8894549890709855,0.22804840206965318,0.0,0.0,0.0,1.6614065870013328,0.0,29.342398368059868,0.27,0.06,0.0
38,2.109430174982026,0.277530602518729,0.6915301196475107,0.0,0.0,1.1403694528157855,0.0,29.04230114363466,0.27,0.06,0.0
39,2.103577383032096,0.32055860290923,1.6480094142854949,-1.3877787807814457e-17,0.0049099167725865,0.1399192826099574,0.0,29.006646385023423,0.27,0.06,-1.3877787807814457e-17
40,2.1028477978664384,0.3571324032411551,1.6556151870590963,2.7755575615628914e-16,0.0160700312206855,0.10617023878687291,0.0,28.98252348091548,0.27,0.06,2.7755575615628914e-16
41,1.8230427695403884,0.3937062035730809,1.417477421320302,0.0582792252091955,0.0245478810622022,0.09468625091840299,0.0,28.963436168215537,0.27,0.06,0.0582792252091955
42,1.5341709920954605,0.41737160378785615,1.1049112678211859,0.0641955752628893,0.0247192935594304,0.1008029893087378,0.0,28.942779897986235,0.27,0.06,0.0641955752628893
