t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.58073974597962,0.0,0.0,0.0,0.0,0.58073974597962,0.0,4.847173751057995,0.27,0.06
2,0.59294933551274,0.0,0.0,0.0,0.0,0.59294933551274,0.0,4.6911344522388525,0.27,0.06
3,0.6039902489696425,0.0,0.0,0.0,0.0,0.6039902489696425,0.0,4.53218964987842,0.27,0.06
4,0.5756344768045625,0.0,0.0,0.0,0.0,0.5756344768045625,0.0,4.380706892824588,0.27,0.06
5,0.5907657565282275,0.0,0.0,0.0,0.0,0.5907657565282275,0.0,4.225242220054001,0.27,0.06
6,0.58350766300224,0.0,0.0,2.220446049250313e-16,0.0,0.5835076630022402,0.0,4.071687571895517,0.27,0.06
7,0.57489636559853,0.0,0.0,0.0,0.0,0.57489636559853,0.0,3.920399054632746,0.27,0.06
8,0.5790174864988775,0.0,0.5790174864988775,0.0,0.0,0.0,0.0,3.920399054632746,0.27,0.06
9,0.5852606771165675,0.0,0.0,0.0,0.0,0.5852606771165675,0.0,3.7663830869704915,0.27,0.06
10,0.600730257809665,0.0,0.0,0.0,0.0,0.6007302578096666,0.0,3.6082961770205793,0.27,0.06
11,0.585598978086,0.0,0.0,0.0,0.0,0.585598978086,0.0,3.4541911827874214,0.27,0.06
12,0.610971550793365,0.0,0.0,0.0,0.0,0.610971550793365,0.0,3.293409195736536,0.27,0.06
13,0.60162214218362,0.0,0.0,0.0,0.0,0.60162214218362,0.0,3.1350875793724255,0.27,0.06
14,0.5946715949934825,0.0,0.5946715949934825,0.0,0.0,0.0,0.0,3.1350875793724255,0.27,0.06
15,0.584645584444875,0.0,0.584645584444875,0.0,0.0,0.0,0.0,3.1350875793724255,0.27,0.06
16,0.564101489210305,0.0,0.0,0.0,0.0,0.564101489210305,0.0,2.986639819053924,0.27,0.06
17,0.5745580646290975,0.0,0.5745580646290975,0.0,0.0,0.0,0.0,2.986639819053924,0.27,0.06
18,0.562471493630315,0.0,0.562471493630315,0.0,0.0,0.0,0.0,2.986639819053924,0.27,0.06
19,0.5623792297295624,0.0,0.5623792297295624,0.0,0.0,0.0,0.0,2.986639819053924,0.27,0.06
20,0.5847993576127976,0.0,0.5847993576127976,0.0,0.0,0.0,0.0,2.986639819053924,0.27,0.06
21,0.568437892545745,0.0,0.568437892545745,0.0,0.0,0.0,0.0,2.986639819053924,0.27,0.06
22,0.59098103896332,0.0,0.0,0.0,0.0,0.5909810389633205,0.0,2.831118493010945,0.27,0.06
23,0.5731433514842025,0.0,0.5731433514842025,0.0,0.0,0.0,0.0,2.831118493010945,0.27,0.06
24,0.5521071821122775,0.0,0.5521071821122776,0.0,0.0,-1.1102230246251565e-16,0.0,2.831118493010945,0.27,0.06
25,0.5794788060026475,0.0,0.5794788060026475,0.0,0.0,0.0,0.0,2.831118493010945,0.27,0.06
26,0.55139982553983,0.0,0.0,0.0,0.0,0.55139982553983,0.0,2.6860132757636213,0.27,0.06
27,0.5637631882408725,0.0,0.5637631882408725,0.0,0.0,0.0,0.0,2.6860132757636213,0.27,0.06
28,0.5711750549347825,0.0,0.5711750549347825,0.0,0.0,0.0,0.0,2.6860132757636213,0.27,0.06
29,0.54734021390665,0.0,0.54734021390665,0.0,0.0,0.0,0.0,2.6860132757636213,0.27,0.06
30,0.5696373232555475,0.0,0.5696373232555475,0.0,0.0,0.0,0.0,2.6860132757636213,0.27,0.06
31,0.56610054039331,0.0,0.56610054039331,0.0,0.0,0.0,0.0,2.6860132757636213,0.27,0.06
32,0.574804101697775,0.0,0.574804101697775,0.0,0.0,0.0,0.0,2.6860132757636213,0.27,0.06
33,0.56696167013368,0.0,0.56696167013368,0.0,0.0,0.0,0.0,2.6860132757636213,0.27,0.06
34,0.5531528396541575,0.0,0.5531528396541576,0.0,0.0,0.0,0.0,2.6860132757636213,0.27,0.06
35,0.5715441105377975,0.011294850102506429,0.0,0.0,0.0,0.5602492604352927,0.0,2.538579259859597,0.27,0.06
36,0.56117979901976,0.025816800234300434,0.5353629987854596,0.0,0.0,0.0,0.0,2.538579259859597,0.27,0.06
37,0.556166793745455,0.034207260310448045,0.0,0.0,0.0,0.5219595334350063,0.0,2.4012214879030163,0.27,0.06
38,0.73315971002532,0.04162959037780938,0.6915301196475107,0.0,0.0,0.0,0.0,2.4012214879030163,0.27,0.06
39,0.802818955094635,0.04808379043638452,0.7547351646582504,0.0,0.0,0.0,0.0,2.4012214879030163,0.27,0.06
40,0.81059987739156,0.053569860486173314,0.7570300169053867,0.0,0.0,0.0,0.0,2.4012214879030163,0.27,0.06
41,0.7042195998221324,0.05905593053596217,0.6451636692861703,0.0,0.0,0.0,0.0,2.4012214879030163,0.27,0.06
42,0.5617641370578675,0.06260574056817848,0.49915839648968907,0.0,0.0,0.0,0.0,2.4012214879030163,0.27,0.06
43,0.5975317759168575,0.06776910061503856,0.0,0.0,0.0,0.5297626753018189,0.0,2.261810257560432,0.27,0.06
44,0.59230348820746,0.1300521311802883,0.46225135702717174,0.0,0.0,0.0,0.0,2.261810257560432,0.27,0.06
45,0.6005764846417425,0.24525960222585383,0.35531688241588866,0.0,0.0,0.0,0.0,2.261810257560432,0.27,0.06
46,0.5891665155818225,0.30431553276181583,0.0,0.0,0.0,0.2848509828200067,0.0,2.1868494726077987,0.27,0.06
47,0.5956249886346076,0.4146823537634507,0.18094263487115686,0.0,0.0,0.0,0.0,2.1868494726077987,0.27,0.06
48,0.591350094566335,0.4750291243111276,0.0,0.0,0.0,0.11632097025520736,0.0,2.1562386909616915,0.27,0.06
49,0.585629732719585,0.5192403947123666,0.06638933800721836,0.0,0.0,0.0,0.0,2.1562386909616915,0.27,0.06
50,0.60700420306094,0.5553839150403872,0.05162028802055296,0.0,0.0,0.0,0.0,2.1562386909616915,0.27,0.06
51,0.6058662816183075,0.5111726446391481,0.09469363697915933,0.0,0.0,0.0,0.0,2.1562386909616915,0.27,0.06
52,0.61500040779296,0.5734556752043973,0.0,0.0,0.0,0.041544732588562616,0.0,2.14530586659628,0.27,0.06
53,0.59833139639006,0.642515615831151,0.0,0.0,0.044184219441090966,0.0,0.0,2.155799618713539,0.27,0.06
54,0.59248801600897,0.6531650459278003,0.0,0.0,0.06067702991883028,0.0,0.0,2.1702104133192615,0.27,0.06
55,0.608142124503575,0.6231530156554259,0.0,0.0,0.015010891151850947,0.0,0.0,2.1737754999678263,0.27,0.06
56,0.19615305300312524,0.4524394241061145,0.0,0.0,0.25628637110298924,0.0,0.0,2.2346435131047864,0.27,0.06
57,0.18179063911907675,0.3181920628877524,0.0,0.0,0.13640142376867567,0.0,0.0,2.267038851249847,0.27,0.06
58,0.12424871968213,0.23525559213506242,0.0,0.0,0.11100687245293242,0.0,0.0,2.2934029834574186,0.27,0.06
59,0.329136088623305,0.2126658919300494,0.11647019669325509,0.0,0.0,0.0,0.0,2.2934029834574186,0.27,0.06
60,0.559088483936,0.22008822199741104,0.3390002619385889,0.0,0.0,0.0,0.0,2.2934029834574186,0.27,0.06
61,0.6161075746020075,0.24300063220535253,0.3216247005554962,0.0,0.0,0.05148224184115904,0.0,2.279855025078166,0.27,0.06
62,0.5413738149912225,0.2571998723342178,0.2841739426570047,0.0,0.0,0.0,0.0,2.279855025078166,0.27,0.06
63,0.3045631363891425,0.1965303917836119,0.0,0.0,0.0,0.1080327446055307,0.0,2.251425355445132,0.27,0.06
64,0.2994271125805,0.1452195013179398,0.0,-2.7755575615628914e-17,0.0,0.15420761126256016,0.0,2.2108444051128795,0.27,0.06
65,0.3143431098690725,0.10520346095477419,0.0,0.0,0.0,0.20913964891429832,0.0,2.1558076553985903,0.27,0.06
66,0.2972127789624025,0.08971338081419397,0.0,0.0,0.0,0.20749939814820853,0.0,2.101202550622746,0.27,0.06
67,0.31708027225811,0.07906395071754498,0.238016321540565,0.0,0.0,0.0,0.0,2.101202550622746,0.27,0.06
68,0.3539243232925625,0.07067349064139736,0.0,0.0,0.0,0.28325083265116513,0.0,2.0266628578198076,0.27,0.06
69,0.3725001219777125,0.05711967051838961,0.31538045145932286,0.0,0.0,0.0,0.0,2.0266628578198076,0.27,0.06
70,0.434932028154625,0.04033875036609439,0.3945932777885306,0.0,0.0,0.0,0.0,2.0266628578198076,0.27,0.06
71,0.366472213795115,0.023557830213799133,0.0,0.0,0.0,0.3429143835813159,0.0,1.9364222305615664,0.27,0.06
72,0.3319040056459275,0.010649430096648921,0.0,0.0,0.0,0.3212545755492778,0.0,1.8518815527854406,0.27,0.06
73,0.3353792792409975,0.0,0.33537927924099753,0.0,0.0,0.0,0.0,1.8518815527854406,0.27,0.06
74,0.3445749146828175,0.0,0.34457491468281765,0.0,0.0,-1.6653345369377348e-16,0.0,1.8518815527854406,0.27,0.06
75,0.32968967202783,0.0,0.32968967202782995,0.0,0.0,5.551115123125783e-17,0.0,1.8518815527854406,0.27,0.06
76,0.3391620991719125,0.0,0.3391620991719124,0.0,0.0,5.551115123125783e-17,0.0,1.8518815527854406,0.27,0.06
77,0.3445749146828175,0.0,0.3445749146828175,0.0,0.0,0.0,0.0,1.8518815527854406,0.27,0.06
78,0.10324330494378975,0.0,0.0,0.0,0.0,0.10324330494378975,0.0,1.8247122620107592,0.27,0.06
79,0.11077819017203774,0.0,0.0,0.0,0.0,0.11077819017203774,0.0,1.7955601067023281,0.27,0.06
80,0.1170521354233135,0.0,0.0,0.0,0.0,0.1170521354233135,0.0,1.7647569131698773,0.27,0.06
81,0.08924994666275775,0.0,0.0,0.0,0.0,0.08924994666275775,0.0,1.7412700851007306,0.27,0.06
82,0.110255361401098,0.0,0.0,0.0,0.0,0.110255361401098,0.0,1.7122555163109678,0.27,0.06
83,0.09214088221971825,0.0,0.0,0.0,0.0,0.09214088221971825,0.0,1.6880079157268313,0.27,0.06
84,0.08875787252540275,0.0,0.0,0.0,0.0,0.08875787252540275,0.0,1.6646505808517253,0.27,0.06
85,0.1128695052557965,0.0,0.1128695052557962,0.0,0.0,0.0,0.0,1.6646505808517253,0.27,0.06
86,0.084821279426563,0.0,0.084821279426563,0.0,0.0,0.0,0.0,1.6646505808517253,0.27,0.06
87,0.09346333146385975,0.0,0.09346333146385975,0.0,0.0,0.0,0.0,1.6646505808517253,0.27,0.06
88,0.10920970385921876,0.0,0.10920970385921876,0.0,0.0,0.0,0.0,1.6646505808517253,0.27,0.06
89,0.0970923782268525,0.0,0.0970923782268525,0.0,0.0,0.0,0.0,1.6646505808517253,0.27,0.06
90,0.11957401537725774,0.0,0.0,0.0,0.0,0.11957401537725774,0.0,1.6331837346998155,0.27,0.06
91,0.1053346200275485,0.0,0.0,-1.3877787807814457e-17,0.0,0.10533462002754848,0.0,1.6054640978504606,0.27,0.06
92,0.0874046686476765,0.0,0.0,0.0,0.0,0.0874046686476765,0.0,1.5824628692589668,0.27,0.06
93,0.11385365353050625,0.0,0.0,0.0,0.0,0.11385365353050625,0.0,1.5525013814877813,0.27,0.06
94,0.0942629519370615,0.0,0.0,0.0,0.0,0.0942629519370615,0.0,1.527695341504344,0.27,0.06
95,0.0875276871820155,0.0,0.0,0.0,0.0,0.0875276871820155,0.0,1.5046617396143398,0.27,0.06
96,0.1195125061100885,0.0,0.0,0.0,0.0,0.1195125061100885,0.0,1.473211080111685,0.27,0.06
97,0.086482029640136,0.0,0.086482029640136,0.0,0.0,0.0,0.0,1.473211080111685,0.27,0.06
98,0.093032766593674,0.0,0.093032766593674,0.0,0.0,0.0,0.0,1.473211080111685,0.27,0.06
99,0.13049191029982124,0.0,0.13049191029982124,0.0,0.0,0.0,0.0,1.473211080111685,0.27,0.06
100,0.10189010106606375,0.0,0.10189010106606375,0.0,0.0,0.0,0.0,1.473211080111685,0.27,0.06
101,0.103520096646052,0.0,0.103520096646052,0.0,0.0,0.0,0.0,1.473211080111685,0.27,0.06
102,0.1034585873788825,0.0,0.1034585873788825,0.0,0.0,0.0,0.0,1.473211080111685,0.27,0.06
103,0.08651278427372075,0.0,0.0,-2.7755575615628914e-17,0.0,0.08651278427372072,0.0,1.4504445579343899,0.27,0.06
104,0.10945574092789626,0.0,0.0,0.0,0.0,0.10945574092789626,0.0,1.4216404155849436,0.27,0.06
105,0.0979842626008085,0.0,0.0,0.0,0.0,0.0979842626008085,0.0,1.3958550833215728,0.27,0.06
