t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.741,0.0,0.25,0.05,0.0,0.0,0.0,0.741,1.8049999999999997,0,1,0.0,0
2,0.646,0.0,0.25,0.05,0.0,0.0,0.0,0.646,1.6349999999999998,0,1,0.0,0
3,0.76775,0.0,0.25,0.05,0.0,0.0,0.0,0.7677499999999996,1.4329605263157892,0,1,0.0,0
4,0.6735,0.0,0.25,0.05,0.0,0.0,0.0,0.6735,1.2557236842105262,0,1,0.0,0
5,0.64225,0.0,0.25,0.05,0.0,0.0,0.0,0.6422500000000002,1.0867105263157892,0,1,0.0,0
6,0.7935,0.0,0.25,0.05,0.0,0.0,0.0,0.7935000000000002,0.8778947368421051,0,1,0.0,0
7,0.6395,0.0,0.25,0.05,0.43575000000000164,0.0,0.0,0.20374999999999832,0.8242763157894739,0,1,0.0,0
8,0.7305,0.0,0.25,0.05,0.0,0.0,0.0,0.7305,0.6320394736842108,0,1,0.0,0
9,0.7485,0.0,0.25,0.05,0.24674999999999914,0.0,0.0,0.5017500000000009,0.5,0,1,0.0,0
10,0.80575,0.0,0.25,0.05,0.80575,0.0,0.0,0.0,0.5,0,1,0.0,0
11,0.63825,0.0,0.25,0.05,0.63825,0.0,0.0,0.0,0.5,0,1,0.0,0
12,0.76175,0.0,0.25,0.05,0.76175,0.0,0.0,0.0,0.5,0,1,0.0,0
13,0.8275,0.0,0.25,0.05,0.8275,0.0,0.0,0.0,0.5,0,1,0.0,0
14,0.6285,0.0,0.25,0.05,0.6285,0.0,0.0,0.0,0.5,0,1,0.0,0
15,0.743,0.0,0.25,0.05,0.743,0.0,0.0,0.0,0.5,0,1,0.0,0
16,0.744,0.0,0.25,0.05,0.744,0.0,0.0,0.0,0.5,0,1,0.0,0
17,0.729,0.0,0.25,0.05,0.729,0.0,0.0,0.0,0.5,0,1,0.0,0
18,0.6505,0.0,0.25,0.05,0.6505,0.0,0.0,0.0,0.5,0,1,0.0,0
19,0.68125,0.0,0.25,0.05,0.68125,0.0,0.0,0.0,0.5,0,1,0.0,0
20,0.6515,0.0,0.25,0.05,0.6515,0.0,0.0,0.0,0.5,0,1,0.0,0
21,0.5935,0.0,0.25,0.05,0.5935,0.0,0.0,0.0,0.5,0,1,0.0,0
22,0.701,0.0,0.25,0.05,0.701,0.0,0.0,0.0,0.5,0,1,0.0,0
23,0.653,0.0,0.25,0.05,0.653,0.0,0.0,0.0,0.5,0,1,0.0,0
24,0.8395,0.0,0.25,0.05,0.8395,0.0,0.0,0.0,0.5,0,1,0.0,0
25,0.64425,0.0,0.25,0.05,0.64425,0.0,0.0,0.0,0.5,0,1,0.0,0
26,0.56525,0.0,0.25,0.05,0.56525,0.0,0.0,0.0,0.5,0,1,0.0,0
27,0.79725,0.0,0.25,0.05,0.79725,0.0,0.0,0.0,0.5,0,1,0.0,0
28,0.61775,0.0,0.25,0.05,0.61775,0.0,0.0,0.0,0.5,0,1,0.0,0
29,0.673,0.0,0.25,0.05,0.673,0.0,0.0,0.0,0.5,0,1,0.0,0
30,0.613,0.0,0.25,0.05,0.613,0.0,0.0,0.0,0.5,0,1,0.0,0
31,0.762,0.0,0.25,0.05,0.762,0.0,0.0,0.0,0.5,0,1,0.0,0
32,0.627,0.0,0.25,0.05,0.627,0.0,0.0,0.0,0.5,0,1,0.0,0
33,0.653,0.0,0.25,0.05,0.653,0.0,0.0,0.0,0.5,0,1,0.0,0
34,0.68425,0.0,0.25,0.05,0.68425,0.0,0.0,0.0,0.5,0,1,0.0,0
35,0.56975,0.0030107480726985197,0.25,0.05,0.5667392519273015,0.0,0.0,0.0,0.5,0,1,0.0,0
36,0.6445,0.00688170988045373,0.25,0.05,0.6376182901195462,0.0,0.0,0.0,0.5,0,1,0.0,0
37,0.834,0.00911826559160125,0.25,0.05,0.8248817344083987,0.0,0.0,0.0,0.5,0,1,0.0,0
38,0.736,0.011096757182231699,0.25,0.05,0.7249032428177683,0.0,0.0,0.0,0.5,0,1,0.0,0
