t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.741,0.0,0.25,0.05,0.0,0.0,0.0,0.741,0.8050000000000003,0,1,0.0,0
2,0.646,0.0,0.25,0.05,0.0,0.0,0.0,0.646,0.6350000000000002,0,1,0.0,0
3,0.76775,0.0,0.25,0.05,0.0,0.0,0.0,0.76775,0.43296052631578963,0,1,0.0,0
4,0.6735,0.0,0.25,0.05,0.0,0.0,0.0,0.6735000000000001,0.2557236842105266,0,1,0.0,0
5,0.64225,0.0,0.25,0.05,0.43049999999999966,0.0,0.0,0.21175000000000038,0.2,0,1,0.0,0
6,0.7935,0.0,0.25,0.05,0.7935,0.0,0.0,0.0,0.2,0,1,0.0,0
7,0.6395,0.0,0.25,0.05,0.6395,0.0,0.0,0.0,0.2,0,1,0.0,0
8,0.7305,0.0,0.25,0.05,0.7305,0.0,0.0,0.0,0.2,0,1,0.0,0
9,0.7485,0.0,0.25,0.05,0.7485,0.0,0.0,0.0,0.2,0,1,0.0,0
10,0.80575,0.0,0.25,0.05,0.80575,0.0,0.0,0.0,0.2,0,1,0.0,0
11,0.63825,0.0,0.25,0.05,0.63825,0.0,0.0,0.0,0.2,0,1,0.0,0
12,0.76175,0.0,0.25,0.05,0.76175,0.0,0.0,0.0,0.2,0,1,0.0,0
13,0.8275,0.0,0.25,0.05,0.8275,0.0,0.0,0.0,0.2,0,1,0.0,0
14,0.6285,0.0,0.25,0.05,0.6285,0.0,0.0,0.0,0.2,0,1,0.0,0
15,0.743,0.0,0.25,0.05,0.743,0.0,0.0,0.0,0.2,0,1,0.0,0
16,0.744,0.0,0.25,0.05,0.744,0.0,0.0,0.0,0.2,0,1,0.0,0
17,0.729,0.0,0.25,0.05,0.729,0.0,0.0,0.0,0.2,0,1,0.0,0
18,0.6505,0.0,0.25,0.05,0.6505,0.0,0.0,0.0,0.2,0,1,0.0,0
19,0.68125,0.0,0.25,0.05,0.68125,0.0,0.0,0.0,0.2,0,1,0.0,0
20,0.6515,0.0,0.25,0.05,0.6515,0.0,0.0,0.0,0.2,0,1,0.0,0
21,0.5935,0.0,0.25,0.05,0.5935,0.0,0.0,0.0,0.2,0,1,0.0,0
22,0.701,0.0,0.25,0.05,0.701,0.0,0.0,0.0,0.2,0,1,0.0,0
23,0.653,0.0,0.25,0.05,0.653,0.0,0.0,0.0,0.2,0,1,0.0,0
24,0.8395,0.0,0.25,0.05,0.8395,0.0,0.0,0.0,0.2,0,1,0.0,0
25,0.64425,0.0,0.25,0.05,0.64425,0.0,0.0,0.0,0.2,0,1,0.0,0
26,0.56525,0.0,0.25,0.05,0.56525,0.0,0.0,0.0,0.2,0,1,0.0,0
27,0.79725,0.0,0.25,0.05,0.79725,0.0,0.0,0.0,0.2,0,1,0.0,0
28,0.61775,0.0,0.25,0.05,0.61775,0.0,0.0,0.0,0.2,0,1,0.0,0
29,0.673,0.0,0.25,0.05,0.673,0.0,0.0,0.0,0.2,0,1,0.0,0
30,0.613,0.0,0.25,0.05,0.613,0.0,0.0,0.0,0.2,0,1,0.0,0
31,0.762,0.0,0.25,0.05,0.762,0.0,0.0,0.0,0.2,0,1,0.0,0
32,0.627,0.0,0.25,0.05,0.627,0.0,0.0,0.0,0.2,0,1,0.0,0
33,0.653,0.0,0.25,0.05,0.653,0.0,0.0,0.0,0.2,0,1,0.0,0
34,0.68425,0.0,0.25,0.05,0.68425,0.0,0.0,0.0,0.2,0,1,0.0,0
35,0.56975,0.0012903206025850799,0.25,0.05,0.5684596793974149,0.0,0.0,0.0,0.2,0,1,0.0,0
36,0.6445,0.00294930423448017,0.25,0.05,0.6415506957655198,0.0,0.0,0.0,0.2,0,1,0.0,0
37,0.834,0.00390782811068625,0.25,0.05,0.8300921718893137,0.0,0.0,0.0,0.2,0,1,0.0,0
38,0.736,0.0047557530780993,0.25,0.05,0.7312442469219007,0.0,0.0,0.0,0.2,0,1,0.0,0
39,0.7005,0.00549307913671935,0.25,0.05,0.6950069208632806,0.0,0.0,0.0,0.2,0,1,0.0,0
40,0.65,0.00611980628654637,0.25,0.05,0.6438801937134536,0.0,0.0,0.0,0.2,0,1,0.0,0
41,0.698,0.00674653343637342,0.25,0.05,0.6912534665636265,0.0,0.0,0.0,0.2,0,1,0.0,0
42,0.87875,0.00715206276861444,0.25,0.05,0.8715979372313856,0.0,0.0,0.0,0.2,0,1,0.0,0
43,0.7325,0.007741923615510509,0.25,0.05,0.7247580763844895,0.0,0.0,0.0,0.2,0,1,0.0,0
44,0.88825,0.014857120081193909,0.25,0.05,0.8733928799188061,0.0,0.0,0.0,0.2,0,1,0.0,0
45,0.68425,0.028018390227561807,0.25,0.05,0.6562316097724382,0.0,0.0,0.0,0.2,0,1,0.0,0
46,0.76775,0.03476492366393526,0.25,0.05,0.7329850763360648,0.0,0.0,0.0,0.2,0,1,0.0,0
47,0.7115,0.04737319926633801,0.25,0.05,0.664126800733662,0.0,0.0,0.0,0.2,0,1,0.0,0
48,0.7955,0.054267197914435496,0.25,0.05,0.7412328020855645,0.0,0.0,0.0,0.2,0,1,0.0,0
49,0.67925,0.05931788141598285,0.25,0.05,0.6199321185840172,0.0,0.0,0.0,0.2,0,1,0.0,0
50,0.77225,0.0634469073442551,0.25,0.05,0.7088030926557449,0.0,0.0,0.0,0.2,0,1,0.0,0
51,0.6305,0.05839622384270775,0.25,0.05,0.5721037761572922,0.0,0.0,0.0,0.2,0,1,0.0,0
52,0.8015,0.0655114203083912,0.25,0.05,0.7359885796916088,0.0,0.0,0.0,0.2,0,1,0.0,0
53,0.7915,0.0734008091356257,0.25,0.05,0.7180991908643742,0.0,0.0,0.0,0.2,0,1,0.0,0
54,0.667,0.07461739713234876,0.25,0.05,0.5923826028676513,0.0,0.0,0.0,0.2,0,1,0.0,0
55,0.662,0.07118883095976555,0.25,0.05,0.5908111690402345,0.0,0.0,0.0,0.2,0,1,0.0,0
56,0.792,0.051686556709265315,0.25,0.05,0.7403134432907347,0.0,0.0,0.0,0.2,0,1,0.0,0
57,0.7075,0.03635017468996836,0.25,0.05,0.6711498253100316,0.0,0.0,0.0,0.2,0,1,0.0,0
